,station_name,equipment_id,description,borough,subway_lines,equipment_type,ada_compliant,is_active,clean_lines,remote
0,125 St,EL125,125 St & Lexington Ave (NE corner) to Mezzanine for service in both directions,MN,4/5/6/METRO-NORTH,EL,Y,Y,4-5-6,['R132']
1,125 St,EL142,125 St & St Nicholas Ave (SW corner) to Mezzanine for service in both directions,MN,A/B/C/D,EL,Y,Y,A-B-C-D,['R102']
2,125 St,EL143,Mezzanine to downtown Platform,MN,A/B/C/D,EL,Y,Y,A-B-C-D,['R102']
3,125 St,EL126,Mezzanine to Platforms for service in both directions on all lines,MN,4/5/6/METRO-NORTH,EL,Y,Y,4-5-6,['R132']
4,125 St,EL144,Mezzanine to uptown Platform,MN,A/B/C/D,EL,Y,Y,A-B-C-D,['R102']
5,125 St,ES102,Street to Mezzanine,MN,1,ES,N,Y,1,['R034']
6,125 St,ES101,Street to Mezzanine,MN,1,ES,N,Y,1,['R034']
7,125 St,ES103,Street to Mezzanine,MN,1,ES,N,Y,1,['R034']
8,135 St,EL180,Lenox Ave & 181 St (NE corner) to uptown Platform,MN,2/3,EL,Y,Y,2-3,['R207']
9,135 St,EL181,Lenox Ave & 181 St (SW corner) to downtown Platform,MN,2/3,EL,Y,Y,2-3,['R207']
10,14 St - 8 Av,EL221,8th Ave & 14 St (SW corner) to Mezzanine for service in both directions,MN,A/C/E/L,EL,Y,Y,A-C-E-L,['R175']
11,14 St - 8 Av,EL222,Mezzanine to downtown A/C/E Platform,MN,A/C/E/L,EL,Y,Y,A-C-E-L,['R175']
12,14 St - 8 Av,EL223,Mezzanine to uptown A/C/E Platform,MN,A/C/E/L,EL,Y,Y,A-C-E-L,['R175']
13,14 St - Union Sq,EL217,4th Ave & 14 St (NE corner) to Mezzanine for service in both directions,MN,L/N/Q/R/W,EL,Y,Y,L-N-Q-R-W,['R170']
14,14 St - Union Sq,EL220,Mezzanine to downtown N/Q/R/W Platform,MN,L/N/Q/R/W,EL,Y,Y,L-N-Q-R-W,['R170']
15,14 St - Union Sq,EL218,Mezzanine to Platform for service in both directions,MN,L,EL,Y,Y,L,['R170']
16,14 St - Union Sq,EL219,Mezzanine to uptown N/Q/R/W Platform,MN,L/N/Q/R/W,EL,Y,Y,L-N-Q-R-W,['R170']
17,14 St - Union Sq,ES257X,Street to Mezzanine all trains,MN,L/N/Q/R/W,ES,N,Y,L-N-Q-R-W,['R170']
18,14 St - Union Sq,ES258X,Street to Mezzanine all trains,MN,L/N/Q/R/W,ES,N,Y,L-N-Q-R-W,['R170']
19,14 St - Union Sq,ES256X,Three landings,MN,4/5/6,ES,N,N,4-5-6,['R170']
20,145 St,ES116,Northbound ll Platform to Upper Mezzanine,MN,A/B/C/D,ES,N,Y,A-B-C-D,['R101']
21,145 St,ES115,Northbound ll Platform to Upper Mezzanine,MN,A/B/C/D,ES,N,Y,A-B-C-D,['R101']
