the_geom,zone_id,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,cartodb_id,stop_url,location_t,parent_sta,name_cur,routes_wkd,routes_off,routes_all
0101000020E6100000C9022670EB7B52C0CEF9298E03694440,0,302,0,145TH STREET-LENOX,0,40.820421,-73.936245,94,0,0,0,145TH STREET,3,3,3
0101000020E6100000FBCE2F4AD07D52C08DC8772975574440,0,A44,0,CLINTON - WASHINGTON,0,40.683263,-73.965838,212,0,0,0,CLINTON - WASHINGTON,C,"A, C","A, C"
0101000020E610000010AE80423D7F52C0DEC5FB71FB5B4440,0,F15,0,DELANCY STREET,0,40.718611,-73.988114,299,0,0,0,DELANCY STREET,F,F,F
0101000020E6100000766F4562827952C04704E3E0D2714440,0,101,0,242ND STREET-BWAY (Van Cortland Park),0,40.889248,-73.898583,1,0,0,0,242ND STREET - VAN CORTLAND PARK,1,1,1
0101000020E6100000E6EB32FCA77952C076A73B4F3C714440,0,103,0,238TH STREET-BWAY,0,40.884653,-73.900878,2,0,0,0,238TH STREET,1,1,1
0101000020E6100000C493DDCCE87952C058F2785A7E704440,0,104,0,231ST STREET-BWAY,0,40.878856,-73.904834,3,0,0,0,231ST STREET,1,1,1
0101000020E6100000C478CDAB3A7A52C0B4AD669DF16F4440,0,106,0,225TH STREET-BWAY (Marble Hill),0,40.874561,-73.909831,4,0,0,0,225TH STREET - MARBLE HILL,1,1,1
0101000020E6100000CCED5EEE937A52C00BDAE4F0496F4440,0,107,0,215TH STREET-10 AV,0,40.869444,-73.915279,5,0,0,0,215TH STREET - 10 AV,1,1,1
0101000020E61000001A36CAFACD7A52C0AB37A3E6AB6E4440,0,108,0,207TH STREET-10 AV,0,40.864621,-73.918822,6,0,0,0,207TH STREET - 10 AV,1,1,1
0101000020E610000052D158FB3B7B52C0DB183BE1256E4440,0,109,0,DYCKMAN ST. - 200 STREET,0,40.860531,-73.925536,7,0,0,0,DYCKMAN ST - 200 STREET,1,1,1
0101000020E6100000A220787C7B7B52C05DDC4603786D4440,0,110,0,191 STREET - ST. NICHOLAS,0,40.855225,-73.929412,8,0,0,0,191 STREET - ST NICHOLAS,1,1,1
0101000020E61000004AEB6F09C07B52C0ED647094BC6C4440,0,111,0,181 STREET - ST. NICHOLAS,0,40.849505,-73.933596,9,0,0,0,181 STREET - ST NICHOLAS,1,1,1
0101000020E6100000FC389A232B7C52C0713AC956976B4440,0,112,0,168TH STREET - BWAY- WASHINGTON HGTS,0,40.840556,-73.940133,10,0,0,0,168TH STREET- WASHINGTON HGTS,1,1,1
0101000020E61000005114E813797C52C0F64201DBC16A4440,0,113,0,157TH STREET - BWAY,0,40.834041,-73.94489,11,0,0,0,157TH STREET,1,1,1
0101000020E61000004DDBBFB2D27C52C0F1BC546CCC694440,0,114,0,145TH STREET - BWAY,0,40.826551,-73.95036,12,0,0,0,145TH STREET,1,1,1
0101000020E6100000B9BE0F07097D52C07286E28E37694440,0,115,0,137TH STREET - BWAY (City College),0,40.822008,-73.953676,13,0,0,0,137TH STREET - CITY COLLEGE,1,1,1
0101000020E6100000BC5983F7557D52C0971E4DF564684440,0,116,0,125TH STREET - BWAY,0,40.815581,-73.958372,14,0,0,0,125TH STREET,1,1,1
0101000020E6100000C8EF6DFAB37D52C03E213B6F63674440,0,117,0,116TH STREET - BWAY - Columbia Univ,0,40.807722,-73.96411,15,0,0,0,116TH STREET - COLUMBIA UNIV,1,1,1
0101000020E6100000164F3DD2E07D52C018080264E8664440,0,118,0,110TH STREET - BWAY - Cathedral Pkwy,0,40.803967,-73.966847,16,0,0,0,110TH STREET - CATHEDRAL PKWY,1,1,1
0101000020E610000086C8E9EBF97D52C082751C3F54664440,0,119,0,103RD STREET - BWAY,0,40.799446,-73.968379,17,0,0,0,103RD STREET,1,1,1
0101000020E610000083893F8A3A7E52C0265646239F654440,0,120,0,96TH STREET - BWAY,0,40.793919,-73.972323,18,0,0,0,96TH STREET,"1, 2, 3","1, 2, 3","1, 2, 3"
0101000020E61000000FF10F5B7A7E52C0E3175E49F2644440,0,121,0,86TH STREET - BWAY,0,40.788644,-73.976218,19,0,0,0,86TH STREET,1,"1, 2","1, 2"
0101000020E6100000D8F2CAF5B67E52C07A1C06F357644440,0,122,0,79TH STREET - BWAY,0,40.783934,-73.979917,20,0,0,0,79TH STREET,1,"1, 2","1, 2"
0101000020E6100000CDE9B298D87E52C08E3C1059A4634440,0,123,0,72ND STREET - BWAY,0,40.778453,-73.98197,21,0,0,0,72ND STREET,"1, 2, 3","1, 2, 3","1, 2, 3"
0101000020E61000008F352383DC7E52C089B5F81400634440,0,124,0,66TH STREET - BWAY (Lincoln Center),0,40.77344,-73.982209,22,0,0,0,66TH STREET - LINCOLN CENTER,1,"1, 2","1, 2"
0101000020E61000009D7FBBECD77E52C00620EEEA55624440,0,125,0,59 ST. COLUMBUS CIRCLE,0,40.768247,-73.981929,23,0,0,0,59 ST COLUMBUS CIRCLE,1,"1, 2","1, 2"
0101000020E6100000F3CCCB61F77E52C04539984D80614440,0,126,0,50TH STREET-BWAY,0,40.761728,-73.983849,24,0,0,0,50TH STREET,1,"1, 2","1, 2"
0101000020E6100000AA7D3A1E337F52C0787FBC57AD604440,0,127,0,42ND ST. - TIMES SQ.,0,40.75529,-73.987495,25,0,0,0,42ND ST - TIMES SQ,"1, 2, 3","1, 2, 3","1, 2, 3"
0101000020E610000033DE567A6D7F52C09666F3380C604440,0,128,0,34TH ST. - PENN STA.,0,40.750373,-73.991057,26,0,0,0,34TH ST - PENN STA,"1, 2, 3","1, 2, 3","1, 2, 3"
0101000020E61000006DFFCA4A937F52C0520ABABDA45F4440,0,129,0,28TH STREET - 7 AV,0,40.747215,-73.993365,27,0,0,0,28TH STREET,1,"1, 2","1, 2"
0101000020E6100000234223D8B87F52C09949D40B3E5F4440,0,130,0,23RD STREET - 7 AV,0,40.744081,-73.995657,28,0,0,0,23RD STREET,1,"1, 2","1, 2"
0101000020E61000001EA8531EDD7F52C090831266DA5E4440,0,131,0,18TH STREET - 7 AV,0,40.74104,-73.997871,29,0,0,0,18TH STREET,1,"1, 2","1, 2"
0101000020E61000004C1B0E4B038052C0BA111615715E4440,0,132,0,14TH STREET - 7 AV,0,40.737826,-74.000201,30,0,0,0,14TH STREET,"1, 2, 3","1, 2, 3","1, 2, 3"
0101000020E610000094BDA59C2F8052C05D15A8C5E05D4440,0,133,0,CHRISTOPHER - SHERIDAN S,0,40.733422,-74.002906,31,0,0,0,CHRISTOPHER - SHERIDAN S,1,"1, 2","1, 2"
0101000020E6100000925ED4EE578052C0C0232A54375D4440,0,134,0,HOUSTON STREET - IRT,0,40.728251,-74.005367,32,0,0,0,HOUSTON STREET,1,"1, 2","1, 2"
0101000020E6100000E36DA5D7668052C032E4D87A865C4440,0,135,0,CANAL STREET - IRT,0,40.722854,-74.006277,33,0,0,0,CANAL STREET,1,"1, 2","1, 2"
0101000020E61000003633FAD1708052C04AB6BA9C125C4440,0,136,0,FRANKLIN STREET - IRT,0,40.719318,-74.006886,34,0,0,0,FRANKLIN STREET,1,"1, 2","1, 2"
