"station_name","label","line","direction"
"125 St","A-south","A","south"
"125 St","D-south","D","south"
"125 St","B-south","B","south"
"125 St","C-south","C","south"
"125 St","5-south","5","south"
"125 St","4-north","4","north"
"125 St","5-north","5","north"
"125 St","METRO_NORTH-south","METRO_NORTH","south"
"125 St","METRO_NORTH-north","METRO_NORTH","north"
"125 St","6-south","6","south"
"125 St","4-south","4","south"
"125 St","6-north","6","north"
"125 St","C-north","C","north"
"125 St","B-north","B","north"
"125 St","A-north","A","north"
"125 St","D-north","D","north"
"135 St","3-north","3","north"
"135 St","2-north","2","north"
"135 St","3-south","3","south"
"135 St","2-south","2","south"
"14 St - 8 Av","E-south","E","south"
"14 St - 8 Av","A-south","A","south"
"14 St - 8 Av","C-south","C","south"
"14 St - 8 Av","E-north","E","north"
"14 St - 8 Av","A-north","A","north"
"14 St - 8 Av","C-north","C","north"
"14 St - Union Sq","W-south","W","south"
"14 St - Union Sq","R-south","R","south"
"14 St - Union Sq","Q-south","Q","south"
"14 St - Union Sq","N-south","N","south"
"14 St - Union Sq","L-north","L","north"
"14 St - Union Sq","L-south","L","south"
"14 St - Union Sq","N-north","N","north"
"14 St - Union Sq","R-north","R","north"
"14 St - Union Sq","Q-north","Q","north"
"14 St - Union Sq","W-north","W","north"
"149 St - 3 Av","5-north","5","north"
"149 St - 3 Av","2-north","2","north"
"149 St - 3 Av","5-manhattan","5","manhattan"
"149 St - 3 Av","2-manhattan","2","manhattan"
"161 St - Yankee Stadium","4-manhattan","4","manhattan"
"161 St - Yankee Stadium","B-manhattan","B","manhattan"
"161 St - Yankee Stadium","D-manhattan","D","manhattan"
"161 St - Yankee Stadium","D-norwood 205 st","D","norwood 205 st"
"161 St - Yankee Stadium","B-norwood 205 st","B","norwood 205 st"
"161 St - Yankee Stadium","4-woodlawn","4","woodlawn"
"168 St","A-south","A","south"
"168 St","C-south","C","south"
"168 St","C-north","C","north"
"168 St","A-north","A","north"
"175 St","A-north","A","north"
"179 St - Jamaica","F-manhattan","F","manhattan"
"191 St","1-south","1","south"
"191 St","1-north","1","north"
"207 St - Inwood","A-north","A","north"
"207 St - Inwood","A-south","A","south"
"21 St - Queensbridge","F-jamaica","F","jamaica"
"21 St - Queensbridge","F-manhattan","F","manhattan"
"23 St","6-north","6","north"
"23 St","6-south","6","south"
"231 St","1-north","1","north"
"231 St","1-south","1","south"
"233 St","2-south","2","south"
"233 St","5-south","5","south"
"233 St","2-north","2","north"
"233 St","5-north","5","north"
"28 St","6-south","6","south"
"34 St - Herald Sq","D-south","D","south"
"34 St - Herald Sq","M-south","M","south"
"34 St - Herald Sq","F-south","F","south"
"34 St - Herald Sq","B-south","B","south"
"34 St - Herald Sq","N-south","N","south"
"34 St - Herald Sq","R-south","R","south"
"34 St - Herald Sq","Q-south","Q","south"
"34 St - Herald Sq","W-south","W","south"
"34 St - Herald Sq","B-north","B","north"
"34 St - Herald Sq","D-north","D","north"
"34 St - Herald Sq","F-north","F","north"
"34 St - Herald Sq","M-north","M","north"
"34 St - Herald Sq","R-north","R","north"
"34 St - Herald Sq","N-north","N","north"
"34 St - Herald Sq","Q-north","Q","north"
"34 St - Herald Sq","W-north","W","north"
"34 St - Hudson Yards","7-north","7","north"
"34 St - Hudson Yards","7-south","7","south"
"42 St - Grand Central","4-south","4","south"
"42 St - Grand Central","6-south","6","south"
"42 St - Grand Central","5-south","5","south"
"42 St - Grand Central","5-north","5","north"
"42 St - Grand Central","6-north","6","north"
"42 St - Grand Central","4-north","4","north"
"42 St - Port Authority Bus Terminal","A-south","A","south"
"42 St - Port Authority Bus Terminal","A-north","A","north"
"42 St - Port Authority Bus Terminal","C-south","C","south"
"42 St - Port Authority Bus Terminal","E-north","E","north"
"42 St - Port Authority Bus Terminal","C-north","C","north"
"42 St - Port Authority Bus Terminal","E-south","E","south"
"47-50 St - Rockefeller Ctr","F-south","F","south"
"47-50 St - Rockefeller Ctr","D-south","D","south"
"47-50 St - Rockefeller Ctr","M-south","M","south"
"47-50 St - Rockefeller Ctr","B-south","B","south"
"47-50 St - Rockefeller Ctr","D-jamaica","D","jamaica"
"47-50 St - Rockefeller Ctr","M-jamaica","M","jamaica"
"47-50 St - Rockefeller Ctr","F-jamaica","F","jamaica"
"47-50 St - Rockefeller Ctr","B-jamaica","B","jamaica"
"50 St","E-south","E","south"
"50 St","C-south","C","south"
"51 St","6-south","6","south"
"51 St","6-north","6","north"
"59 St - Columbus Cir","1-north","1","north"
"59 St - Columbus Cir","C-south","C","south"
"59 St - Columbus Cir","1-south","1","south"
"59 St - Columbus Cir","B-south","B","south"
"59 St - Columbus Cir","A-south","A","south"
"59 St - Columbus Cir","D-south","D","south"
"59 St - Columbus Cir","D-north","D","north"
"59 St - Columbus Cir","C-north","C","north"
"59 St - Columbus Cir","A-north","A","north"
"59 St - Columbus Cir","B-north","B","north"
"61 St - Woodside","7-flushing main st","7","flushing main st"
"61 St - Woodside","7-manhattan","7","manhattan"
"66 St - Lincoln Center","1-north","1","north"
"66 St - Lincoln Center","1-south","1","south"
"72 St","1-south","1","south"
"72 St","2-south","2","south"
"72 St","3-south","3","south"
"72 St","2-north","2","north"
"72 St","1-north","1","north"
"72 St","3-north","3","north"
"72 St / 2 Av","Q-south","Q","south"
"72 St / 2 Av","Q-north","Q","north"
"74 St - Broadway / Roosevelt Av","7-manhattan","7","manhattan"
"8 Av","N-north","N","north"
"8 Av - 14 St","L-north","L","north"
"8 Av - 14 St","L-south","L","south"
"86 St","6-north","6","north"
"86 St","4-north","4","north"
"86 St","5-north","5","north"
"86 St / 2 Av","Q-south","Q","south"
"86 St / 2 Av","Q-north","Q","north"
"96 St","2-north","2","north"
"96 St","3-north","3","north"
"96 St","1-north","1","north"
"96 St","3-south","3","south"
"96 St","2-south","2","south"
"96 St","1-south","1","south"
"96 St / 2 Av","Q-south","Q","south"
"Aqueduct Racetrack","A-manhattan","A","manhattan"
"Atlantic Av-Barclays Ctr","2-manhattan","2","manhattan"
"Atlantic Av-Barclays Ctr","3-manhattan","3","manhattan"
"Atlantic Av-Barclays Ctr","D-manhattan","D","manhattan"
"Atlantic Av-Barclays Ctr","N-manhattan","N","manhattan"
"Atlantic Av-Barclays Ctr","R-manhattan","R","manhattan"
"Atlantic Av-Barclays Ctr","4-north","4","north"
"Atlantic Av-Barclays Ctr","5-north","5","north"
"Atlantic Av-Barclays Ctr","4-south","4","south"
"Atlantic Av-Barclays Ctr","5-south","5","south"
"Atlantic Av-Barclays Ctr","Q-south","Q","south"
"Atlantic Av-Barclays Ctr","Q-north","Q","north"
"Atlantic Av-Barclays Ctr","B-south","B","south"
"Atlantic Av-Barclays Ctr","B-north","B","north"
"Atlantic Av-Barclays Ctr","R-bay ridge","R","bay ridge"
"Atlantic Av-Barclays Ctr","N-bay ridge","N","bay ridge"
"Atlantic Av-Barclays Ctr","D-bay ridge","D","bay ridge"
"Bay Parkway","D-coney island","D","coney island"
"Bay Parkway","D-manhattan","D","manhattan"
"Borough Hall","2-north","2","north"
"Borough Hall","3-north","3","north"
"Borough Hall","3-south","3","south"
"Borough Hall","2-south","2","south"
