"station_name","from","from_type","to","to_type"
"125 St","125 St","Street","EL125","Elevator"
"125 St","125 St","Street","EL142","Elevator"
"125 St","Mezzanine","Mezzanine","EL125","Elevator"
"125 St","Mezzanine","Mezzanine","EL142","Elevator"
"125 St","Mezzanine","Mezzanine","EL143","Elevator"
"125 St","Mezzanine","Mezzanine","EL126","Elevator"
"125 St","Mezzanine","Mezzanine","EL144","Elevator"
"125 St","Platform pid_1","Platform","EL143","Elevator"
"125 St","Platform pid_1","Platform","A-south","Train"
"125 St","Platform pid_1","Platform","D-south","Train"
"125 St","Platform pid_1","Platform","B-south","Train"
"125 St","Platform pid_1","Platform","C-south","Train"
"125 St","Platform pid_2","Platform","EL126","Elevator"
"125 St","Platform pid_2","Platform","5-south","Train"
"125 St","Platform pid_2","Platform","4-north","Train"
"125 St","Platform pid_2","Platform","5-north","Train"
"125 St","Platform pid_2","Platform","METRO_NORTH-south","Train"
"125 St","Platform pid_2","Platform","METRO_NORTH-north","Train"
"125 St","Platform pid_2","Platform","6-south","Train"
"125 St","Platform pid_2","Platform","4-south","Train"
"125 St","Platform pid_2","Platform","6-north","Train"
"125 St","Platform pid_3","Platform","EL144","Elevator"
"125 St","Platform pid_3","Platform","C-north","Train"
"125 St","Platform pid_3","Platform","B-north","Train"
"125 St","Platform pid_3","Platform","A-north","Train"
"125 St","Platform pid_3","Platform","D-north","Train"
"135 St","135 St","Street","EL180","Elevator"
"135 St","135 St","Street","EL181","Elevator"
"135 St","Platform pid_4","Platform","EL180","Elevator"
"135 St","Platform pid_4","Platform","3-north","Train"
"135 St","Platform pid_4","Platform","2-north","Train"
"135 St","Platform pid_5","Platform","EL181","Elevator"
"135 St","Platform pid_5","Platform","3-south","Train"
"135 St","Platform pid_5","Platform","2-south","Train"
"14 St - 8 Av","14 St - 8 Av","Street","EL221","Elevator"
"14 St - 8 Av","Mezzanine","Mezzanine","EL221","Elevator"
"14 St - 8 Av","Mezzanine","Mezzanine","EL222","Elevator"
"14 St - 8 Av","Mezzanine","Mezzanine","EL223","Elevator"
"14 St - 8 Av","Platform pid_6","Platform","EL222","Elevator"
"14 St - 8 Av","Platform pid_6","Platform","E-south","Train"
"14 St - 8 Av","Platform pid_6","Platform","A-south","Train"
"14 St - 8 Av","Platform pid_6","Platform","C-south","Train"
"14 St - 8 Av","Platform pid_7","Platform","EL223","Elevator"
"14 St - 8 Av","Platform pid_7","Platform","E-north","Train"
"14 St - 8 Av","Platform pid_7","Platform","A-north","Train"
"14 St - 8 Av","Platform pid_7","Platform","C-north","Train"
"14 St - Union Sq","14 St - Union Sq","Street","EL217","Elevator"
"14 St - Union Sq","Mezzanine","Mezzanine","EL217","Elevator"
"14 St - Union Sq","Mezzanine","Mezzanine","EL220","Elevator"
"14 St - Union Sq","Mezzanine","Mezzanine","EL218","Elevator"
"14 St - Union Sq","Mezzanine","Mezzanine","EL219","Elevator"
