,Unnamed: 0,equipment_id,line,direction,station,stop_ids
0,230,EL103,1,south,191 St,"110N, 110S"
1,21,EL103,1,north,191 St,"110N, 110S"
2,185,EL122,6,manhattan,Pelham Bay Park,"601N, 601S"
3,18,EL124,A,north,175 St,"A07N, A07S"
4,628,EL126,5,south,125 St,"621N, 621S"
5,1,EL126,4,north,125 St,"621N, 621S"
6,419,EL126,5,north,125 St,"621N, 621S"
7,1464,EL126,METRO-NORTH,south,125 St,
8,1255,EL126,METRO-NORTH,north,125 St,
9,1046,EL126,6,south,125 St,"621N, 621S"
10,210,EL126,4,south,125 St,"621N, 621S"
11,837,EL126,6,north,125 St,"621N, 621S"
12,404,EL127,5,wakefield 241 st,Simpson St,"217N, 217S"
13,195,EL127,2,wakefield 241 st,Simpson St,"217N, 217S"
14,403,EL128,5,manhattan,Simpson St,"217N, 217S"
15,194,EL128,2,manhattan,Simpson St,"217N, 217S"
16,219,EL129,5,north,149 St - 3 Av,"221N, 221S"
17,10,EL129,2,north,149 St - 3 Av,"221N, 221S"
18,220,EL130,5,manhattan,149 St - 3 Av,"221N, 221S"
19,11,EL130,2,manhattan,149 St - 3 Av,"221N, 221S"
20,15,EL132,4,woodlawn,161 St - Yankee Stadium,"414N, 414S"
21,12,EL133,4,manhattan,161 St - Yankee Stadium,"414N, 414S"
22,13,EL134,B,manhattan,161 St - Yankee Stadium,"D11N, D11S"
23,222,EL134,D,manhattan,161 St - Yankee Stadium,"D11N, D11S"
24,223,EL135,D,norwood 205 st,161 St - Yankee Stadium,"D11N, D11S"
25,14,EL135,B,norwood 205 st,161 St - Yankee Stadium,"D11N, D11S"
26,395,EL137,5,manhattan,Pelham Pkwy,"211N, 211S, 504N, 504S"
27,186,EL137,2,manhattan,Pelham Pkwy,"211N, 211S"
28,396,EL138,5,wakefield 241 st,Pelham Pkwy,"211N, 211S, 504N, 504S"
29,187,EL138,2,wakefield 241 st,Pelham Pkwy,"211N, 211S"
30,226,EL140,C,north,168 St,"A09N, A09S"
31,17,EL140,A,north,168 St,"A09N, A09S"
32,16,EL141,A,south,168 St,"A09N, A09S"
33,225,EL141,C,south,168 St,"A09N, A09S"
34,0,EL143,A,south,125 St,"A15N, A15S"
35,627,EL143,D,south,125 St,"A15N, A15S"
36,209,EL143,B,south,125 St,"A15N, A15S"
37,418,EL143,C,south,125 St,"A15N, A15S"
38,420,EL144,C,north,125 St,"A15N, A15S"
39,211,EL144,B,north,125 St,"A15N, A15S"
40,2,EL144,A,north,125 St,"A15N, A15S"
41,629,EL144,D,north,125 St,"A15N, A15S"
42,495,EL145,3,south,96 St,"120N, 120S"
43,286,EL145,2,south,96 St,"120N, 120S"
44,77,EL145,1,south,96 St,"120N, 120S"
45,285,EL146,2,north,96 St,"120N, 120S"
46,494,EL146,3,north,96 St,"120N, 120S"
47,76,EL146,1,north,96 St,"120N, 120S"
48,22,EL149,A,north,207 St - Inwood,"A02N, A02S"
49,231,EL149,A,south,207 St - Inwood,"A02N, A02S"
50,332,EL159,5,north,East 180 St,"213N, 213S"
51,123,EL159,2,north,East 180 St,"213N, 213S"
52,122,EL160,2,south,East 180 St,"213N, 213S"
53,331,EL160,5,south,East 180 St,"213N, 213S"
54,113,EL16X,R,south,Cortlandt St,"R25N, R25S"
55,322,EL16X,W,south,Cortlandt St,"R25N, R25S"
56,121,EL178,1,south,Dyckman St,"109N, 109S"
57,212,EL180,3,north,135 St,"224N, 224S"
58,3,EL180,2,north,135 St,"224N, 224S"
59,213,EL181,3,south,135 St,"224N, 224S"
60,4,EL181,2,south,135 St,"224N, 224S"
61,147,EL182,2,north,Gun Hill Rd,"208N, 208S"
62,356,EL182,5,north,Gun Hill Rd,"208N, 208S, 503N, 503S"
63,355,EL183,5,south,Gun Hill Rd,"208N, 208S, 503N, 503S"
64,146,EL183,2,south,Gun Hill Rd,"208N, 208S"
65,28,EL184,1,south,231 St,"104N, 104S"
66,27,EL185,1,north,231 St,"104N, 104S"
67,133,EL187,4,north,Fordham Rd,"407N, 407S"
68,132,EL188,4,south,Fordham Rd,"407N, 407S"
69,169,EL190,D,north,Kingsbridge Road,"D04N, D04S"
70,378,EL190,B,north,Kingsbridge Road,"D04N, D04S"
71,377,EL191,B,south,Kingsbridge Road,"D04N, D04S"
72,168,EL191,D,south,Kingsbridge Road,"D04N, D04S"
73,30,EL193,2,north,233 St,"205N, 205S"
74,239,EL193,5,north,233 St,"205N, 205S"
75,29,EL194,2,south,233 St,"205N, 205S"
76,238,EL194,5,south,233 St,"205N, 205S"
77,153,EL196,6,north,Hunts Point,"613N, 613S"
78,152,EL197,6,south,Hunts Point,"613N, 613S"
79,53,EL201,6,north,51 St,"630N, 630S"
80,52,EL202,6,south,51 St,"630N, 630S"
81,45,EL205,4,south,42 St - Grand Central,"631N, 631S"
82,463,EL205,6,south,42 St - Grand Central,"631N, 631S"
83,254,EL205,5,south,42 St - Grand Central,"631N, 631S"
84,255,EL206,5,north,42 St - Grand Central,"631N, 631S"
85,464,EL206,6,north,42 St - Grand Central,"631N, 631S"
86,46,EL206,4,north,42 St - Grand Central,"631N, 631S"
87,260,EL208X,E,south,50 St,"A25N, A25S"
88,51,EL208X,C,south,50 St,"A25N, A25S"
89,450,EL209,D,south,34 St - Herald Sq,"D17N, D17S"
90,32,EL209,M,south,34 St - Herald Sq,"D17N, D17S"
91,659,EL209,F,south,34 St - Herald Sq,"D17N, D17S"
92,241,EL209,B,south,34 St - Herald Sq,"D17N, D17S"
93,243,EL210,B,north,34 St - Herald Sq,"D17N, D17S"
94,452,EL210,D,north,34 St - Herald Sq,"D17N, D17S"
95,661,EL210,F,north,34 St - Herald Sq,"D17N, D17S"
96,34,EL210,M,north,34 St - Herald Sq,"D17N, D17S"
97,242,EL211,N,south,34 St - Herald Sq,"R17N, R17S"
98,33,EL211,R,south,34 St - Herald Sq,"R17N, R17S"
99,660,EL211,Q,south,34 St - Herald Sq,"R17N, R17S"
100,451,EL211,W,south,34 St - Herald Sq,"R17N, R17S"
101,35,EL212,R,north,34 St - Herald Sq,"R17N, R17S"
102,244,EL212,N,north,34 St - Herald Sq,"R17N, R17S"
103,662,EL212,Q,north,34 St - Herald Sq,"R17N, R17S"
104,453,EL212,W,north,34 St - Herald Sq,"R17N, R17S"
105,40,EL214,1,north,34 St - Penn,"128N, 128S"
106,247,EL215,3,south,34 St - Penn,"128N, 128S"
107,665,EL215,2,south,34 St - Penn,"128N, 128S"
108,456,EL215,2,north,34 St - Penn,"128N, 128S"
109,38,EL215,3,north,34 St - Penn,"128N, 128S"
110,39,EL216,1,south,34 St - Penn,"128N, 128S"
