,equipment_id,line,direction,station
230,EL103,1,south,191 St
21,EL103,1,north,191 St
185,EL122,6,manhattan,Pelham Bay Park
18,EL124,A,north,175 St
628,EL126,5,south,125 St
1,EL126,4,north,125 St
419,EL126,5,north,125 St
1464,EL126,METRO-NORTH,south,125 St
1255,EL126,METRO-NORTH,north,125 St
1046,EL126,6,south,125 St
210,EL126,4,south,125 St
837,EL126,6,north,125 St
404,EL127,5,wakefield 241 st,Simpson St
195,EL127,2,wakefield 241 st,Simpson St
403,EL128,5,manhattan,Simpson St
194,EL128,2,manhattan,Simpson St
219,EL129,5,north,149 St - 3 Av
10,EL129,2,north,149 St - 3 Av
220,EL130,5,manhattan,149 St - 3 Av
11,EL130,2,manhattan,149 St - 3 Av
15,EL132,4,woodlawn,161 St - Yankee Stadium
12,EL133,4,manhattan,161 St - Yankee Stadium
13,EL134,B,manhattan,161 St - Yankee Stadium
222,EL134,D,manhattan,161 St - Yankee Stadium
223,EL135,D,norwood 205 st,161 St - Yankee Stadium
14,EL135,B,norwood 205 st,161 St - Yankee Stadium
395,EL137,5,manhattan,Pelham Pkwy
186,EL137,2,manhattan,Pelham Pkwy
396,EL138,5,wakefield 241 st,Pelham Pkwy
187,EL138,2,wakefield 241 st,Pelham Pkwy
226,EL140,C,north,168 St
17,EL140,A,north,168 St
16,EL141,A,south,168 St
225,EL141,C,south,168 St
0,EL143,A,south,125 St
627,EL143,D,south,125 St
209,EL143,B,south,125 St
418,EL143,C,south,125 St
420,EL144,C,north,125 St
211,EL144,B,north,125 St
2,EL144,A,north,125 St
629,EL144,D,north,125 St
495,EL145,3,south,96 St
286,EL145,2,south,96 St
77,EL145,1,south,96 St
285,EL146,2,north,96 St
494,EL146,3,north,96 St
76,EL146,1,north,96 St
22,EL149,A,north,207 St - Inwood
231,EL149,A,south,207 St - Inwood
332,EL159,5,north,East 180 St
123,EL159,2,north,East 180 St
122,EL160,2,south,East 180 St
331,EL160,5,south,East 180 St
113,EL16X,R,south,Cortlandt St
322,EL16X,W,south,Cortlandt St
121,EL178,1,south,Dyckman St
212,EL180,3,north,135 St
3,EL180,2,north,135 St
213,EL181,3,south,135 St
4,EL181,2,south,135 St
147,EL182,2,north,Gun Hill Rd
356,EL182,5,north,Gun Hill Rd
355,EL183,5,south,Gun Hill Rd
146,EL183,2,south,Gun Hill Rd
28,EL184,1,south,231 St
27,EL185,1,north,231 St
133,EL187,4,north,Fordham Rd
132,EL188,4,south,Fordham Rd
169,EL190,D,north,Kingsbridge Road
378,EL190,B,north,Kingsbridge Road
377,EL191,B,south,Kingsbridge Road
168,EL191,D,south,Kingsbridge Road
30,EL193,2,north,233 St
239,EL193,5,north,233 St
29,EL194,2,south,233 St
238,EL194,5,south,233 St
153,EL196,6,north,Hunts Point
152,EL197,6,south,Hunts Point
53,EL201,6,north,51 St
52,EL202,6,south,51 St
45,EL205,4,south,42 St - Grand Central
463,EL205,6,south,42 St - Grand Central
254,EL205,5,south,42 St - Grand Central
255,EL206,5,north,42 St - Grand Central
464,EL206,6,north,42 St - Grand Central
46,EL206,4,north,42 St - Grand Central
260,EL208X,E,south,50 St
51,EL208X,C,south,50 St
450,EL209,D,south,34 St - Herald Sq
32,EL209,M,south,34 St - Herald Sq
659,EL209,F,south,34 St - Herald Sq
241,EL209,B,south,34 St - Herald Sq
243,EL210,B,north,34 St - Herald Sq
452,EL210,D,north,34 St - Herald Sq
661,EL210,F,north,34 St - Herald Sq
34,EL210,M,north,34 St - Herald Sq
242,EL211,N,south,34 St - Herald Sq
33,EL211,R,south,34 St - Herald Sq
660,EL211,Q,south,34 St - Herald Sq
451,EL211,W,south,34 St - Herald Sq
35,EL212,R,north,34 St - Herald Sq
244,EL212,N,north,34 St - Herald Sq
662,EL212,Q,north,34 St - Herald Sq
453,EL212,W,north,34 St - Herald Sq
40,EL214,1,north,34 St - Penn
247,EL215,3,south,34 St - Penn
665,EL215,2,south,34 St - Penn
456,EL215,2,north,34 St - Penn
38,EL215,3,north,34 St - Penn
39,EL216,1,south,34 St - Penn
8,EL218,L,north,14 St - Union Sq
217,EL218,L,south,14 St - Union Sq
218,EL219,N,north,14 St - Union Sq
9,EL219,R,north,14 St - Union Sq
636,EL219,Q,north,14 St - Union Sq
427,EL219,W,north,14 St - Union Sq
425,EL220,W,south,14 St - Union Sq
7,EL220,R,south,14 St - Union Sq
634,EL220,Q,south,14 St - Union Sq
216,EL220,N,south,14 St - Union Sq
423,EL222,E,south,14 St - 8 Av
5,EL222,A,south,14 St - 8 Av
214,EL222,C,south,14 St - 8 Av
424,EL223,E,north,14 St - 8 Av
6,EL223,A,north,14 St - 8 Av
215,EL223,C,north,14 St - 8 Av
73,EL224,L,north,8 Av - 14 St
282,EL224,L,south,8 Av - 14 St
37,EL225,E,north,34 St - Penn
