origin,destination,walking_dist
Astor Pl,8th St - NYU,155.477
Astor Pl,Union Sq - 14th St,525.6640000000001
Astor Pl,Bleecker St,675.259
Astor Pl,3rd Ave,791.5649999999999
Astor Pl,Lower East Side - 2nd Ave,898.374
Astor Pl,Broadway - Lafayette St,827.1790000000002
Astor Pl,Prince St,934.0730000000001
Astor Pl,6th Ave,1170.982
Astor Pl,W 4th St - Washington Sq (Upper),983.8989999999999
Astor Pl,W 4th St - Washington Sq (Lower),983.8989999999999
Astor Pl,1st Ave,1320.464
Astor Pl,Bowery,1160.4449999999997
Astor Pl,23rd St,1223.1749999999997
Astor Pl,14th St,1334.7649999999996
Astor Pl,Christopher St - Sheridan Sq,1154.4729999999997
Astor Pl,Delancey St - Essex St,1732.0050000000003
Astor Pl,18th St,1747.3999999999999
Astor Pl,Spring St,1520.2109999999996
Astor Pl,Houston St,1510.495
Astor Pl,Canal St,1628.3210000000004
Canal St,Canal St - Holland Tunnel,504.73699999999997
Canal St,Prince St,785.7489999999999
Canal St,Franklin St,695.559
Canal St,Brooklyn Bridge - City Hall,715.329
Canal St,Bowery,775.1140000000001
Canal St,Broadway - Lafayette St,870.1339999999999
Canal St,Spring St,1048.482
Canal St,City Hall,947.3510000000001
Canal St,Chambers St,1044.261
Canal St,Bleecker St,971.206
Canal St,World Trade Center,1251.5349999999999
Canal St,Houston St,1327.9229999999998
Canal St,East Broadway,1051.9120000000005
Canal St,Lower East Side - 2nd Ave,1344.0909999999997
Canal St,Delancey St - Essex St,1362.874
Canal St,Cortlandt St,1505.6500000000003
Canal St,W 4th St - Washington Sq (Lower),1777.3460000000007
Canal St,W 4th St - Washington Sq (Upper),1777.3460000000007
Canal St,8th St - NYU,1545.292
Canal St,Christopher St - Sheridan Sq,1917.669
50th St,49th St,218.07600000000002
50th St,47th-50th Sts - Rockefeller Ctr,491.247
50th St,57th St,821.8580000000001
50th St,42nd St - Port Authority Bus Term,936.7149999999999
50th St,59th St - Columbus Circle,1195.3090000000002
50th St,42nd St - Bryant Pk,1060.122
50th St,5th Ave - Bryant Pk,1068.254
50th St,Times Sq - 42nd St,851.0799999999999
50th St,5th Ave - 53rd St,1052.984
50th St,5th Ave - 59th St,1371.281
50th St,Grand Central - 42nd St,1571.9479999999996
50th St,66th St - Lincoln Ctr,1746.04
50th St,Herald Sq - 34th St,1393.5189999999998
50th St,51st St,1359.7380000000003
50th St,34th St - Penn Station,1389.913
50th St,Lexington Ave - 53rd St,1515.3960000000002
50th St,33rd St,2135.7919999999995
50th St,Lexington Ave - 59th St,1847.7210000000002
50th St,72nd St,2098.0550000000007
50th St,28th St,2090.3280000000004
Bergen St,Atlantic Av - Barclay's Center,422.489
Bergen St,Lafayette Ave,761.26
Bergen St,Fulton St,902.114
Bergen St,Grand Army Plaza,709.4789999999998
Bergen St,Union St,1058.477
Bergen St,Nevins St,1035.117
Bergen St,Clinton - Washington Aves,1510.539
Bergen St,DeKalb Ave,1243.191
Bergen St,Hoyt - Schermerhorn Sts,1297.752
Bergen St,Hoyt St,1757.6339999999996
Bergen St,Eastern Pkwy - Bklyn Museum,1503.6100000000001
Bergen St,7th Ave,2026.807
Bergen St,Jay St - MetroTech,1793.3069999999998
Bergen St,Classon Ave,2091.027
Bergen St,4th Av - 9th St,2040.935
Bergen St,Botanic Garden,1934.35
Bergen St,Park Pl,1758.4550000000002
Bergen St,Borough Hall,1931.1389999999997
Bergen St,Franklin Ave - Fulton St,2099.472
