ADA,borough,equipment,equipmenttype,estimatedreturntoservice,ismaintenanceoutage,isupcomingoutage,outagedate,reason,serving,station,trainno,actualreturntoservice
N,QNS,ES455,ES,09/01/2020  3:00:00 PM,N,N,09/01/2020  7:35:00 AM,PLANNED WORK,Street to Mezzanine,Flushing Main St,7,2020-09-01 13:12:46.329007
N,MN,ES630,ES,09/01/2020  4:00:00 PM,N,N,09/01/2020  7:42:00 AM,UNDER INVESTIGATION,Upper Mezzanine to Street,34 St - Hudson Yards,7,2020-09-01 13:22:46.885928
N,MN,ES296,ES,09/01/2020  5:00:00 PM,N,N,09/01/2020  8:27:00 AM,UNDER INVESTIGATION,Mezzanine to Street,72 St / 2 Av,Q,2020-09-01 13:27:47.202611
Y,BKN,EL359,EL,09/01/2020  6:00:00 PM,N,N,09/01/2020  9:15:00 AM,UNDER INVESTIGATION,Street to Southbound platform,Bedford Av,L,2020-09-01 13:37:47.923494
N,QNS,ES441,ES,09/01/2020  4:00:00 PM,N,N,09/01/2020  8:15:00 AM,PLANNED WORK,Mezzanine to Platform,Jamaica Center Parsons/Archer,E/J/Z,2020-09-01 13:37:47.923494
N,BX,ES114,ES,09/01/2020  2:00:00 PM,N,N,09/01/2020  5:41:00 AM,UNDER INVESTIGATION,Lower Mezzanine to Upper Mezzanine,161 St - Yankee Stadium,4/B/D,2020-09-01 13:52:48.719530
N,MN,ES256,ES,09/01/2020  6:00:00 PM,N,N,09/01/2020  9:18:00 AM,UNDER INVESTIGATION,Upper Mezzanine to Street,42 St - Grand Central,4/5/6/7,2020-09-01 13:52:48.719530
Y,QNS,EL462,EL,09/01/2020  3:00:00 PM,N,N,09/01/2020  7:30:00 AM,PLANNED WORK,Lefferts Blvd & Liberty Ave to Mezzanine for service in both directions,Ozone Park / Lefferts Blvd,A,2020-09-01 13:57:49.085135
N,MN,ES633,ES,09/01/2020  3:00:00 PM,N,N,09/01/2020  6:20:00 AM,REPAIR,Lower Mezzanine to Upper Mezzanine,34 St - Hudson Yards,7,2020-09-01 14:07:49.582227
Y,MN,EL402,EL,09/01/2020  3:00:00 PM,N,N,09/01/2020  6:44:00 AM,UNDER INVESTIGATION,Lexington Ave entrance and F/Q Platform for service in both directions,Lexington Av / 63 St,F/Q,2020-09-01 14:17:50.099417
N,MN,ES364,ES,09/01/2020  5:00:00 PM,N,N,09/01/2020  9:20:00 AM,PLANNED WORK,Lower Mezzanine to Southbound Platform,Fulton St,2/3/4/5/A/C/J/Z,2020-09-01 14:42:51.928875
N,MN,ES229,ES,09/01/2020  5:00:00 PM,N,N,09/01/2020  8:24:00 AM,UNDER INVESTIGATION,Northbound Platform to Mezzanine,34 St - Herald Sq,B/D/F/M/N/Q/R/W,2020-09-01 15:02:52.984503
Y,QNS,EL406,EL,09/01/2020  4:00:00 PM,N,N,09/01/2020  7:45:00 AM,PLANNED WORK,Mezzanine to Manhattan bound Platform,21 St - Queensbridge,F,2020-09-01 15:17:53.759348
N,MN,ES240,ES,09/10/2020  7:00:00 AM,N,N,09/01/2020  2:45:00 AM,REPAIR,Southbound Platform to Mezzanine,5 Av / 53 St,E/M,2020-09-01 15:22:54.062838
Y,QNS,EL463,EL,09/01/2020  4:00:00 PM,N,N,09/01/2020 10:53:00 AM,PLANNED WORK,Mezzanine to Platform for service in both directions,Ozone Park / Lefferts Blvd,A,2020-09-01 15:22:54.062838
Y,MN,EL145,EL,09/01/2020  5:00:00 PM,N,N,09/01/2020  9:00:00 AM,INSPECTION,Street to Southbound platform,96 St,1/2/3,2020-09-01 15:52:55.667121
Y,BKN,EL359,EL,09/01/2020  7:00:00 PM,N,N,09/01/2020 10:50:00 AM,PLANNED WORK,Street to Southbound platform,Bedford Av,L,2020-09-01 16:12:56.397321
Y,BKN,EL358,EL,09/01/2020  8:00:00 PM,N,N,09/01/2020 12:00:00 PM,PLANNED WORK,Street to Northbound platform,Bedford Av,L,2020-09-01 16:32:57.273561
Y,MN,EL224,EL,09/01/2020  9:00:00 PM,N,N,09/01/2020 12:07:00 PM,UNDER INVESTIGATION,Mezzanine to Platform for L service in both directions,8 Av - 14 St,A/C/E/L,2020-09-01 17:12:59.029319
N,QNS,ES444,ES,09/01/2020  9:00:00 PM,N,N,09/01/2020 12:17:00 PM,REPAIR,Center Island Upper Platform to Mezzanine,Jamaica Center Parsons/Archer,E/J/Z,2020-09-01 17:12:59.029319
N,MN,EL117,EL,09/01/2020  8:00:00 PM,N,N,09/01/2020 11:36:00 AM,REPAIR,Lower Mezzanine to Upper Mezzanine (below 184 St & Ft Washington Ave),181 St,A,2020-09-01 17:17:59.219272
Y,MN,EL213,EL,09/01/2020  7:00:00 PM,N,N,09/01/2020 10:41:00 AM,UNDER INVESTIGATION,6th Ave & 34 St entrance (SW corner) to Mezzanine for all trains,34 St - Herald Sq,B/D/F/M/N/Q/R/W,2020-09-01 17:17:59.219272
N,BKN,ES314,ES,09/03/2020 11:00:00 PM,N,N,09/01/2020  4:40:00 AM,REPAIR,Street to Lower Mezzanine,Smith - 9 Sts,F/G,2020-09-01 17:17:59.219272
N,MN,ES216,ES,09/01/2020 11:00:00 PM,N,N,08/31/2020  6:06:00 AM,REPAIR,Center Island Platform to Mezzanine (41 st / 7 ave),Times Sq - 42 St,1/2/3/7/N/Q/R/W,2020-09-01 17:17:59.219272
N,QNS,ES430,ES,09/01/2020  6:00:00 PM,N,N,09/01/2020 10:50:00 AM,PLANNED WORK,Mezzanine to Street,Jamaica - Van Wyck,E,2020-09-01 17:27:59.539398
N,BKN,ES346,ES,09/01/2020  5:00:00 PM,N,N,09/01/2020  8:55:00 AM,PLANNED WORK,Street to Mezzanine,Brighton Beach,B/Q,2020-09-01 17:48:00.564834
N,BX,ES120,ES,09/01/2020  9:00:00 PM,N,N,09/01/2020 12:12:00 PM,UNDER INVESTIGATION,Mezzanine to Street,Pelham Bay Park,6,2020-09-01 17:48:00.564834
N,BX,ES121,ES,09/01/2020  6:00:00 PM,N,N,09/01/2020 10:00:00 AM,PLANNED WORK,Center Island Platform to Street,Pelham Bay Park,6,2020-09-01 17:58:01.123781
N,MN,ES325,ES,09/01/2020  5:00:00 PM,N,N,09/01/2020  8:09:00 AM,REPAIR,Northbound ll Platform to Northbound ul Platform,West 4 St - Washington Sq,A/B/C/D/E/F/M,2020-09-01 17:58:01.123781
N,MN,EL114,EL,09/01/2020 11:00:00 PM,N,N,09/01/2020  2:26:00 PM,UNDER INVESTIGATION,Lower Mezzanine to Upper Mezzanine,168 St,1,2020-09-01 18:48:04.593981
Y,MN,EL335,EL,09/01/2020  4:00:00 PM,N,N,09/01/2020  9:21:00 AM,PLANNED WORK,Uptown A/C/E Platform to uptown B/D/F/M Platform and transfer Mezzanine,West 4 St - Washington Sq,A/B/C/D/E/F/M,2020-09-01 18:53:04.944895
Y,BX,EL131,EL,09/01/2020  6:00:00 PM,N,N,09/01/2020  9:55:00 AM,REPAIR,Street to Mezzanine,161 St - Yankee Stadium,4/B/D,2020-09-01 19:13:06.924915
