,station_name,platform_id,line,direction,stop_id
8,125 St,pid_1,A,south,A15S
9,125 St,pid_1,D,south,A15S
10,125 St,pid_1,B,south,A15S
11,125 St,pid_1,C,south,A15S
13,125 St,pid_2,5,south,621S
14,125 St,pid_2,4,north,621N
15,125 St,pid_2,5,north,621N
18,125 St,pid_2,6,south,621S
19,125 St,pid_2,4,south,621S
20,125 St,pid_2,6,north,621N
22,125 St,pid_3,C,north,A15N
23,125 St,pid_3,B,north,A15N
24,125 St,pid_3,A,north,A15N
25,125 St,pid_3,D,north,A15N
29,135 St,pid_4,3,north,224N
30,135 St,pid_4,2,north,224N
32,135 St,pid_5,3,south,224S
33,135 St,pid_5,2,south,224S
39,14 St - 8 Av,pid_6,E,south,A31S
40,14 St - 8 Av,pid_6,A,south,A31S
41,14 St - 8 Av,pid_6,C,south,A31S
43,14 St - 8 Av,pid_7,E,north,A31N
44,14 St - 8 Av,pid_7,A,north,A31N
45,14 St - 8 Av,pid_7,C,north,A31N
52,14 St - Union Sq,pid_8,W,south,R20S
53,14 St - Union Sq,pid_8,R,south,R20S
54,14 St - Union Sq,pid_8,Q,south,R20S
55,14 St - Union Sq,pid_8,N,south,R20S
57,14 St - Union Sq,pid_9,L,north,L03N
58,14 St - Union Sq,pid_9,L,south,L03S
60,14 St - Union Sq,pid_10,N,north,R20N
61,14 St - Union Sq,pid_10,R,north,R20N
62,14 St - Union Sq,pid_10,Q,north,R20N
63,14 St - Union Sq,pid_10,W,north,R20N
67,149 St - 3 Av,pid_11,5,north,221N
68,149 St - 3 Av,pid_11,2,north,221N
70,149 St - 3 Av,pid_12,5,manhattan,221S
71,149 St - 3 Av,pid_12,2,manhattan,221S
79,161 St - Yankee Stadium,pid_13,4,manhattan,414S
81,161 St - Yankee Stadium,pid_14,B,manhattan,D11S
82,161 St - Yankee Stadium,pid_14,D,manhattan,D11S
84,161 St - Yankee Stadium,pid_15,D,norwood 205 st,D11N
85,161 St - Yankee Stadium,pid_15,B,norwood 205 st,D11N
87,161 St - Yankee Stadium,pid_16,4,woodlawn,414N
93,168 St,pid_17,A,south,A09S
94,168 St,pid_17,C,south,A09S
96,168 St,pid_18,C,north,A09N
97,168 St,pid_18,A,north,A09N
102,175 St,pid_19,A,north,A07N
108,179 St - Jamaica,pid_20,F,manhattan,F01N
132,191 St,pid_21,1,south,110S
133,191 St,pid_21,1,north,110N
138,207 St - Inwood,pid_22,A,north,A02N
139,207 St - Inwood,pid_22,A,south,A02S
145,21 St - Queensbridge,pid_23,F,jamaica,B04N
147,21 St - Queensbridge,pid_24,F,manhattan,B04S
151,23 St,pid_25,6,north,634N
153,23 St,pid_26,6,south,634S
157,231 St,pid_27,1,north,104N
159,231 St,pid_28,1,south,104S
165,233 St,pid_29,2,south,205S
166,233 St,pid_29,5,south,205S
168,233 St,pid_30,2,north,205N
169,233 St,pid_30,5,north,205N
172,28 St,pid_31,6,south,633S
182,34 St - Herald Sq,pid_32,D,south,D17S
183,34 St - Herald Sq,pid_32,M,south,D17S
184,34 St - Herald Sq,pid_32,F,south,D17S
185,34 St - Herald Sq,pid_32,B,south,D17S
187,34 St - Herald Sq,pid_33,N,south,R17S
188,34 St - Herald Sq,pid_33,R,south,R17S
189,34 St - Herald Sq,pid_33,Q,south,R17S
190,34 St - Herald Sq,pid_33,W,south,R17S
192,34 St - Herald Sq,pid_34,B,north,D17N
193,34 St - Herald Sq,pid_34,D,north,D17N
194,34 St - Herald Sq,pid_34,F,north,D17N
195,34 St - Herald Sq,pid_34,M,north,D17N
197,34 St - Herald Sq,pid_35,R,north,R17N
198,34 St - Herald Sq,pid_35,N,north,R17N
199,34 St - Herald Sq,pid_35,Q,north,R17N
200,34 St - Herald Sq,pid_35,W,north,R17N
205,34 St - Hudson Yards,pid_36,7,north,726N
206,34 St - Hudson Yards,pid_36,7,south,726S
221,42 St - Grand Central,pid_37,4,south,631S
222,42 St - Grand Central,pid_37,6,south,631S
223,42 St - Grand Central,pid_37,5,south,631S
225,42 St - Grand Central,pid_38,5,north,631N
226,42 St - Grand Central,pid_38,6,north,631N
227,42 St - Grand Central,pid_38,4,north,631N
234,47-50 St - Rockefeller Ctr,pid_39,F,south,D15S
235,47-50 St - Rockefeller Ctr,pid_39,D,south,D15S
236,47-50 St - Rockefeller Ctr,pid_39,M,south,D15S
237,47-50 St - Rockefeller Ctr,pid_39,B,south,D15S
239,47-50 St - Rockefeller Ctr,pid_40,D,jamaica,D15N
240,47-50 St - Rockefeller Ctr,pid_40,M,jamaica,D15N
241,47-50 St - Rockefeller Ctr,pid_40,F,jamaica,D15N
242,47-50 St - Rockefeller Ctr,pid_40,B,jamaica,D15N
