,from,to,line
0,101S,103S,1
1,103N,101N,1
2,103S,104S,1
3,104N,103N,1
4,104S,106S,1
5,106N,104N,1
6,106S,107S,1
7,107N,106N,1
8,107S,108S,1
9,108N,107N,1
10,108S,109S,1
11,109N,108N,1
12,109S,110S,1
13,110N,109N,1
14,110S,111S,1
15,111N,110N,1
16,111S,112S,1
17,112N,111N,1
18,112S,113S,1
19,113N,112N,1
20,113S,114S,1
21,114N,113N,1
22,114S,115S,1
23,115N,114N,1
24,115S,116S,1
25,116N,115N,1
26,116S,117S,1
27,117N,116N,1
28,117S,118S,1
29,118N,117N,1
30,118S,119S,1
31,119N,118N,1
32,119S,120S,1
33,120N,119N,1
34,120S,121S,1
35,121N,120N,1
36,121S,122S,1
37,122N,121N,1
38,122S,123S,1
39,123N,122N,1
40,123S,124S,1
41,124N,123N,1
42,124S,125S,1
43,125N,124N,1
44,125S,126S,1
45,126N,125N,1
46,126S,127S,1
47,127N,126N,1
48,127S,128S,1
49,128N,127N,1
50,128S,129S,1
51,129N,128N,1
52,129S,130S,1
53,130N,129N,1
54,130S,131S,1
55,131N,130N,1
56,131S,132S,1
57,132N,131N,1
58,132S,133S,1
59,133N,132N,1
60,133S,134S,1
61,134N,133N,1
62,134S,135S,1
63,135N,134N,1
64,135S,136S,1
65,136N,135N,1
66,136S,137S,1
67,137N,136N,1
68,137S,138S,1
69,138N,137N,1
70,138S,139S,1
71,139N,138N,1
72,139S,142S,1
73,142N,139N,1
74,120N,227N,2
75,120S,121S,2
76,120S,123S,2
77,121N,120N,2
78,121S,122S,2
79,122N,121N,2
80,122S,123S,2
81,123N,120N,2
82,123N,122N,2
83,123S,124S,2
84,123S,127S,2
85,124N,123N,2
86,124S,125S,2
87,125N,124N,2
88,125S,126S,2
89,126N,125N,2
90,126S,127S,2
91,127N,123N,2
92,127N,126N,2
93,127S,128S,2
94,128N,127N,2
95,128S,129S,2
96,128S,132S,2
97,129N,128N,2
98,129S,130S,2
99,130N,129N,2
100,130S,131S,2
101,131N,130N,2
102,131S,132S,2
103,132N,128N,2
104,132N,131N,2
105,132S,133S,2
106,132S,137S,2
107,133N,132N,2
108,133S,134S,2
109,134N,133N,2
110,134S,135S,2
111,135N,134N,2
112,135S,136S,2
113,136N,135N,2
114,136S,137S,2
115,137N,132N,2
116,137N,136N,2
117,137S,228S,2
118,201S,204S,2
119,204N,201N,2
120,204S,205S,2
121,205N,204N,2
122,205S,206S,2
123,206N,205N,2
124,206S,207S,2
125,207N,206N,2
126,207S,208S,2
127,208N,207N,2
128,208S,209S,2
129,209N,208N,2
130,209S,210S,2
131,210N,209N,2
132,210S,211S,2
133,211N,210N,2
134,211S,212S,2
135,212N,211N,2
136,212S,213S,2
137,213N,212N,2
138,213S,214S,2
139,214N,213N,2
140,214S,215S,2
141,215N,214N,2
142,215S,216S,2
143,216N,215N,2
144,216S,217S,2
145,217N,216N,2
146,217S,218S,2
147,218N,217N,2
148,218S,219S,2
149,219N,218N,2
150,219S,220S,2
151,220N,219N,2
152,220S,221S,2
153,221N,220N,2
154,221S,222S,2
155,222N,221N,2
156,222S,224S,2
157,224N,222N,2
158,224S,225S,2
159,225N,224N,2
160,225S,226S,2
161,226N,225N,2
162,226S,227S,2
163,227N,226N,2
164,227S,120S,2
165,228N,137N,2
166,228S,229S,2
167,229N,228N,2
168,229S,230S,2
169,230N,229N,2
170,230S,231S,2
171,231N,230N,2
172,231S,232S,2
173,232N,231N,2
174,232S,233S,2
175,233N,232N,2
176,233S,234S,2
177,234N,233N,2
178,234S,235S,2
179,235N,234N,2
180,235S,236S,2
181,236N,235N,2
182,236S,237S,2
183,237N,236N,2
184,237S,238S,2
185,238N,237N,2
186,238S,239S,2
187,239N,238N,2
188,239S,241S,2
189,239S,248S,2
190,241N,239N,2
191,241S,242S,2
192,242N,241N,2
193,242S,243S,2
194,243N,242N,2
195,243S,244S,2
196,244N,243N,2
197,244S,245S,2
198,245N,244N,2
199,245S,246S,2
200,246N,245N,2
201,246S,247S,2
202,247N,246N,2
203,248N,239N,2
204,248S,249S,2
205,249N,248N,2
206,249S,250S,2
207,250N,249N,2
208,250S,251S,2
209,251N,250N,2
210,251S,252S,2
211,252N,251N,2
212,252S,253S,2
213,253N,252N,2
214,253S,254S,2
215,254N,253N,2
216,254S,255S,2
217,255N,254N,2
218,255S,256S,2
219,256N,255N,2
220,256S,257S,2
221,257N,256N,2
222,120N,227N,3
223,120S,123S,3
224,123N,120N,3
225,123S,127S,3
226,127N,123N,3
227,127S,128S,3
228,128N,127N,3
229,128S,132S,3
230,132N,128N,3
231,132S,137S,3
232,137N,132N,3
233,137S,228S,3
234,224N,302N,3
235,224S,225S,3
236,225N,224N,3
237,225S,226S,3
238,226N,225N,3
239,226S,227S,3
240,227N,226N,3
241,227S,120S,3
242,228N,137N,3
243,228S,229S,3
244,229N,228N,3
245,229S,230S,3
246,230N,229N,3
247,230S,231S,3
248,231N,230N,3
249,231S,232S,3
250,232N,231N,3
251,232S,233S,3
252,233N,232N,3
253,233S,234S,3
254,234N,233N,3
255,234S,235S,3
256,235N,234N,3
257,235S,236S,3
258,236N,235N,3
259,236S,237S,3
260,237N,236N,3
261,237S,238S,3
262,238N,237N,3
263,238S,239S,3
264,239N,238N,3
265,239S,248S,3
266,248N,239N,3
267,248S,249S,3
268,249N,248N,3
269,249S,250S,3
270,250N,249N,3
271,250S,251S,3
272,251N,250N,3
273,251S,252S,3
274,252N,251N,3
275,252S,253S,3
276,253N,252N,3
277,253S,254S,3
278,254N,253N,3
279,254S,255S,3
280,255N,254N,3
281,255S,256S,3
282,256N,255N,3
283,256S,257S,3
284,257N,256N,3
285,301S,302S,3
286,302N,301N,3
287,302S,224S,3
288,234N,423N,4
289,234S,235S,4
290,235N,234N,4
291,235S,236S,4
292,235S,239S,4
293,236N,235N,4
294,236S,237S,4
295,237N,236N,4
296,237S,238S,4
297,238N,237N,4
298,238S,239S,4
299,239N,235N,4
300,239N,238N,4
301,239S,248S,4
302,239S,250S,4
303,248N,239N,4
304,248S,249S,4
305,249N,248N,4
306,249S,250S,4
307,250N,239N,4
308,250N,249N,4
309,250S,251S,4
310,251N,250N,4
311,251S,252S,4
312,252N,251N,4
313,252S,253S,4
314,253N,252N,4
