"station_name","from","from_type","to","to_type"
"125 St","EL125","Elevator","125 St","Street"
"125 St","EL142","Elevator","125 St","Street"
"125 St","EL125","Elevator","Mezzanine","Mezzanine"
"125 St","EL142","Elevator","Mezzanine","Mezzanine"
"125 St","Mezzanine","Mezzanine","EL143","Elevator"
"125 St","Mezzanine","Mezzanine","EL126","Elevator"
"125 St","Mezzanine","Mezzanine","EL144","Elevator"
"125 St","pid_1","Platform","EL143","Elevator"
"125 St","pid_1","Platform","D-south","Train"
"125 St","pid_1","Platform","C-south","Train"
"125 St","pid_1","Platform","A-south","Train"
"125 St","pid_1","Platform","B-south","Train"
"125 St","pid_2","Platform","EL126","Elevator"
"125 St","pid_2","Platform","5-south","Train"
"125 St","pid_2","Platform","4-south","Train"
"125 St","pid_2","Platform","6-north","Train"
"125 St","pid_2","Platform","4-north","Train"
"125 St","pid_2","Platform","5-north","Train"
"125 St","pid_2","Platform","6-south","Train"
"125 St","pid_3","Platform","EL144","Elevator"
"125 St","pid_3","Platform","B-north","Train"
"125 St","pid_3","Platform","A-north","Train"
"125 St","pid_3","Platform","C-north","Train"
"125 St","pid_3","Platform","D-north","Train"
"135 St","EL180","Elevator","135 St","Street"
"135 St","EL181","Elevator","135 St","Street"
"135 St","EL180","Elevator","pid_4","Platform"
"135 St","pid_4","Platform","3-bronx","Train"
"135 St","pid_4","Platform","2-bronx","Train"
"135 St","EL181","Elevator","pid_5","Platform"
"135 St","pid_5","Platform","3-south","Train"
"135 St","pid_5","Platform","2-south","Train"
"14 St - 8 Av","EL221","Elevator","14 St - 8 Av","Street"
"14 St - 8 Av","EL221","Elevator","Mezzanine","Mezzanine"
"14 St - 8 Av","Mezzanine","Mezzanine","EL222","Elevator"
"14 St - 8 Av","Mezzanine","Mezzanine","EL223","Elevator"
"14 St - 8 Av","pid_6","Platform","EL222","Elevator"
"14 St - 8 Av","pid_6","Platform","C-south","Train"
"14 St - 8 Av","pid_6","Platform","E-south","Train"
"14 St - 8 Av","pid_6","Platform","A-south","Train"
"14 St - 8 Av","pid_7","Platform","EL223","Elevator"
"14 St - 8 Av","pid_7","Platform","C-north","Train"
"14 St - 8 Av","pid_7","Platform","E-north","Train"
"14 St - 8 Av","pid_7","Platform","A-north","Train"
"14 St - Union Sq","EL217","Elevator","14 St - Union Sq","Street"
"14 St - Union Sq","EL217","Elevator","Mezzanine","Mezzanine"
"14 St - Union Sq","Mezzanine","Mezzanine","EL220","Elevator"
"14 St - Union Sq","Mezzanine","Mezzanine","EL218","Elevator"
"14 St - Union Sq","Mezzanine","Mezzanine","EL219","Elevator"
"14 St - Union Sq","pid_8","Platform","EL220","Elevator"
"14 St - Union Sq","pid_8","Platform","N-south","Train"
"14 St - Union Sq","pid_8","Platform","W-south","Train"
"14 St - Union Sq","pid_8","Platform","R-south","Train"
"14 St - Union Sq","pid_8","Platform","Q-south","Train"
"14 St - Union Sq","pid_9","Platform","EL218","Elevator"
"14 St - Union Sq","pid_9","Platform","L-south","Train"
"14 St - Union Sq","pid_9","Platform","L-north","Train"
"14 St - Union Sq","pid_10","Platform","EL219","Elevator"
"14 St - Union Sq","pid_10","Platform","W-north","Train"
"14 St - Union Sq","pid_10","Platform","N-north","Train"
