Station,Elevator,Importance,Perc. Importance,Betweenness
Harlem-125 St,EL125,6,100.0,9.0
Harlem-125 St,EL126,6,100.0,21.0
125 St (IRT Third Avenue Line),EL142,8,100.0,1776.0
125 St (IRT Third Avenue Line),EL143,4,50.0,3209.498276496091
125 St (IRT Third Avenue Line),EL144,4,50.0,3745.8818867041273
135 St,EL180,2,50.0,5322.0
135 St,EL181,2,50.0,8860.0
14 St - 8 Av,EL221,6,100.0,1776.0
14 St - 8 Av,EL222,3,50.0,2655.954545454545
14 St - 8 Av,EL223,3,50.0,2663.954545454545
14 St - Union Sq,EL217,10,100.0,1776.0
14 St - Union Sq,EL220,4,40.0,24781.9439226181
14 St - Union Sq,EL218,2,20.0,43289.50789723335
14 St - Union Sq,EL219,4,40.0,25707.459366415707
149 St - 3 Av,EL129,2,50.0,15.0
149 St - 3 Av,EL130,2,50.0,15.0
161 St - Yankee Stadium,EL134,2,33.33333333333333,5322.0
161 St - Yankee Stadium,EL133,1,16.666666666666664,19310.03898939382
161 St - Yankee Stadium,EL132,1,16.666666666666664,17735.777154602976
161 St - Yankee Stadium,EL131,6,100.0,1776.0
161 St - Yankee Stadium,EL135,2,33.33333333333333,5322.0
168 St,EL139,4,100.0,1776.0
168 St,EL141,2,50.0,2512.1635521838034
168 St,EL140,2,50.0,3002.69990800609
175 St,EL123,2,100.0,1776.0
175 St,EL124,2,100.0,5322.0
179 St - Jamaica,EL431,2,100.0,1776.0
179 St - Jamaica,EL432,1,50.0,3550.0
179 St - Jamaica,EL433,1,50.0,10626.0
207 St - Inwood,EL148,1,100.0,1776.0
207 St - Inwood,EL149,1,100.0,5322.0
21 St - Queensbridge,EL405,2,100.0,1776.0
21 St - Queensbridge,EL407,1,50.0,10626.0
21 St - Queensbridge,EL406,1,50.0,3550.0
23 St,EL298,1,50.0,1347.9932730123408
23 St,EL299,1,50.0,1320.215214275021
231 St,EL185,1,50.0,8.0
231 St,EL184,1,50.0,8.0
233 St,EL192,4,100.0,1776.0
