equipment,total_outage
EL103,299 days 12:46:31.000000000
EL104,303 days 01:53:20.000000000
EL105,298 days 20:36:10.000000000
EL106,300 days 13:16:37.000000000
EL107,0 days 17:58:29.000000000
EL108,1 days 20:50:35.000000000
EL109,2 days 02:06:41.000000000
EL110,0 days 07:31:10.000000000
EL111,1 days 11:20:32.000000000
EL112,2 days 13:39:19.000000000
EL113,4 days 08:49:28.000000000
EL114,1 days 11:11:21.000000000
EL117,3 days 23:13:28.000000000
EL118,4 days 23:07:14.000000000
EL119,3 days 10:49:17.000000000
EL11X,10 days 03:47:27.000000000
EL121,3 days 13:15:13.000000000
EL122,3 days 23:58:03.000000000
EL123,8 days 18:46:30.000000000
EL124,5 days 16:11:11.000000000
EL125,-60 days +20:58:45.000000000
EL126,-3 days +13:49:46.000000000
EL127,-2 days +08:18:31.000000000
EL128,9 days 06:04:54.000000000
EL129,1 days 03:28:23.000000000
EL12X,25 days 06:01:54.000000000
EL130,2 days 02:59:53.000000000
EL131,5 days 20:46:11.000000000
EL132,6 days 14:20:58.000000000
EL133,1 days 19:58:34.000000000
EL134,3 days 16:33:55.000000000
EL135,6 days 02:39:10.000000000
EL136,6 days 17:18:46.000000000
EL137,4 days 05:11:32.000000000
EL138,4 days 15:08:47.000000000
EL139,5 days 16:11:53.000000000
EL13X,0 days 05:26:09.000000000
EL140,2 days 23:33:49.000000000
EL141,1 days 00:53:49.000000000
EL142,4 days 01:09:39.000000000
EL143,4 days 22:09:42.000000000
EL144,5 days 03:18:24.000000000
EL145,11 days 02:57:15.000000000
EL146,-2 days +01:55:15.000000000
EL148,11 days 17:15:21.000000000
EL149,4 days 14:02:41.000000000
EL14X,1 days 19:18:08.000000000
EL156,3 days 11:55:09.000000000
EL159,-7 days +13:47:17.000000000
EL160,-1 days +10:20:17.000000000
EL16X,14 days 00:18:25.000000000
EL178,-1 days +16:38:35.000000000
EL17X,6 days 10:50:56.000000000
EL180,8 days 01:27:46.000000000
EL181,2 days 11:08:18.000000000
EL182,9 days 01:21:28.000000000
EL183,10 days 04:15:14.000000000
EL184,-2 days +18:27:33.000000000
EL185,3 days 23:23:35.000000000
EL186,-3 days +10:38:20.000000000
EL187,-1 days +21:44:04.000000000
EL188,-4 days +08:16:34.000000000
EL189,-3 days +02:12:09.000000000
EL18X,6 days 08:45:25.000000000
EL190,-1 days +01:02:10.000000000
EL191,-6 days +11:48:01.000000000
EL192,11 days 17:51:24.000000000
EL193,4 days 03:14:22.000000000
EL194,8 days 00:05:35.000000000
EL195,8 days 13:44:21.000000000
EL196,5 days 18:37:44.000000000
EL197,1 days 17:24:10.000000000
EL198,2 days 21:23:32.000000000
EL199,2 days 10:08:20.000000000
EL200X,4 days 20:44:02.000000000
EL201,0 days 04:06:51.000000000
EL202,5 days 13:22:19.000000000
EL204,1 days 22:55:15.000000000
EL205,2 days 00:17:49.000000000
EL206,3 days 15:54:57.000000000
EL207X,3 days 13:13:31.000000000
EL208X,0 days 05:32:36.000000000
EL209,2 days 21:20:36.000000000
EL210,0 days 22:10:13.000000000
EL211,2 days 10:40:15.000000000
EL212,1 days 20:45:11.000000000
EL213,5 days 21:32:27.000000000
EL214,2 days 11:18:59.000000000
EL215,1 days 07:13:59.000000000
EL216,1 days 21:40:52.000000000
EL217,-1 days +10:16:41.000000000
EL218,0 days 16:51:20.000000000
EL219,1 days 02:06:19.000000000
EL220,2 days 11:41:43.000000000
EL221,3 days 18:31:51.000000000
EL222,2 days 03:43:05.000000000
EL223,0 days 07:16:32.000000000
EL224,9 days 17:55:31.000000000
EL225,4 days 04:35:17.000000000
EL226,0 days 04:53:16.000000000
EL227,1 days 07:13:56.000000000
EL228,2 days 07:04:59.000000000
EL229,0 days 09:30:56.000000000
EL22X,1 days 04:41:33.000000000
EL230,6 days 23:58:05.000000000
EL231X,8 days 04:28:10.000000000
EL232,3 days 19:17:55.000000000
EL233,3 days 23:49:19.000000000
EL234,3 days 05:12:07.000000000
EL235,-1 days +02:53:58.000000000
EL236,1 days 10:33:27.000000000
EL237,2 days 13:11:14.000000000
EL238,3 days 18:00:55.000000000
EL239,1 days 09:09:26.000000000
EL23X,4 days 22:45:44.000000000
EL240,5 days 21:49:41.000000000
EL244,6 days 18:53:05.000000000
EL245,5 days 15:23:23.000000000
EL247,1 days 18:07:04.000000000
EL248,2 days 05:42:17.000000000
EL249,0 days 20:12:50.000000000
EL250,2 days 20:41:09.000000000
EL259,0 days 18:01:18.000000000
EL262,1 days 00:14:37.000000000
EL264,0 days 21:27:26.000000000
EL265,1 days 20:16:16.000000000
EL266,2 days 10:57:42.000000000
EL267,2 days 03:18:38.000000000
EL269,0 days 20:09:27.000000000
EL273,2 days 16:50:37.000000000
EL276X,2 days 03:20:35.000000000
EL277,2 days 00:52:41.000000000
EL278,3 days 17:37:01.000000000
EL279,1 days 04:08:27.000000000
EL280,0 days 18:05:26.000000000
EL281,12 days 23:55:01.000000000
EL292,2 days 12:46:34.000000000
EL293,2 days 15:32:15.000000000
EL296,5 days 01:56:23.000000000
EL298,-1 days +18:18:17.000000000
EL299,4 days 11:28:27.000000000
