equipment,duration_delta
EL103,302 days 00:35:37
EL104,308 days 09:05:55
EL105,303 days 18:14:26
EL106,303 days 05:49:50
EL107,0 days 17:58:29
EL108,1 days 20:50:35
EL109,2 days 02:06:41
EL110,0 days 07:31:10
EL111,4 days 04:37:25
EL112,5 days 04:09:29
EL113,9 days 09:05:57
EL114,3 days 10:48:05
EL117,6 days 08:06:36
EL118,6 days 05:58:32
EL119,5 days 03:31:39
EL11X,10 days 07:17:40
EL121,7 days 02:46:34
EL122,8 days 23:06:55
EL123,22 days 12:59:35
EL124,9 days 00:36:00
EL125,16 days 00:35:32
EL126,11 days 18:18:58
EL127,9 days 01:25:47
EL128,15 days 22:21:36
EL129,17 days 02:11:48
EL12X,25 days 21:28:24
EL130,19 days 00:07:15
EL131,13 days 06:18:14
EL132,10 days 05:56:25
EL133,3 days 17:29:03
EL134,6 days 01:55:38
EL135,10 days 15:25:18
EL136,10 days 13:16:01
EL137,6 days 09:03:09
EL138,7 days 04:07:10
EL139,19 days 16:55:29
EL13X,0 days 12:03:25
EL140,9 days 09:18:23
EL141,7 days 07:43:31
EL142,16 days 02:24:50
EL143,8 days 16:25:34
EL144,8 days 10:49:43
EL145,17 days 15:07:24
EL146,8 days 20:26:56
EL148,18 days 12:51:24
EL149,7 days 17:46:58
EL14X,5 days 08:24:18
EL156,4 days 20:44:31
EL159,9 days 02:29:15
EL160,5 days 12:00:47
EL16X,43 days 05:44:25
EL178,9 days 13:14:26
EL17X,46 days 02:06:12
EL180,11 days 19:22:01
EL181,7 days 15:24:55
EL182,11 days 12:16:50
EL183,17 days 15:27:03
EL184,11 days 23:08:35
EL185,9 days 16:42:47
EL186,7 days 11:57:30
EL187,8 days 05:29:05
EL188,4 days 13:13:52
EL189,11 days 03:34:36
EL18X,8 days 17:14:44
EL190,9 days 06:01:11
EL191,4 days 21:37:01
EL192,17 days 04:27:53
EL193,6 days 03:50:11
EL194,12 days 00:39:34
EL195,15 days 03:31:04
EL196,8 days 10:19:08
EL197,3 days 18:40:50
EL198,5 days 18:32:49
EL199,4 days 17:11:13
EL200X,9 days 12:39:34
EL201,2 days 10:31:10
EL202,9 days 04:15:10
EL204,4 days 04:43:14
EL205,4 days 10:01:18
EL206,15 days 21:53:01
EL207X,11 days 00:46:12
EL208X,0 days 05:32:36
EL209,5 days 09:44:08
EL210,17 days 05:54:39
EL211,4 days 12:36:05
EL212,10 days 04:51:48
EL213,15 days 23:16:56
EL214,4 days 16:56:32
EL215,2 days 15:20:32
EL216,3 days 10:26:06
EL217,5 days 08:59:23
EL218,3 days 21:58:54
EL219,4 days 17:40:59
EL220,7 days 21:24:04
EL221,5 days 23:31:00
EL222,4 days 18:05:39
EL223,3 days 09:55:40
EL224,17 days 21:51:09
EL225,8 days 12:41:49
EL226,5 days 08:20:27
EL227,3 days 08:17:57
EL228,4 days 00:39:00
EL229,2 days 23:53:47
EL22X,4 days 00:23:48
EL230,13 days 18:41:25
EL231X,15 days 09:54:47
EL232,10 days 14:50:28
EL233,9 days 11:51:57
EL234,5 days 22:36:25
EL235,2 days 10:45:02
EL236,2 days 06:54:25
EL237,5 days 20:36:08
EL238,7 days 08:36:12
EL239,2 days 15:05:07
EL23X,6 days 15:46:21
EL240,7 days 10:58:05
EL244,9 days 08:49:01
EL245,8 days 23:03:28
EL247,2 days 19:36:18
EL248,4 days 05:40:47
EL249,1 days 09:51:36
EL250,3 days 22:21:59
EL259,1 days 12:48:17
EL262,2 days 00:05:28
EL264,6 days 06:50:20
EL265,3 days 06:24:28
EL266,3 days 09:06:27
EL267,3 days 02:47:19
EL269,1 days 09:54:38
EL273,5 days 13:39:40
EL276X,2 days 09:26:39
EL277,7 days 14:49:19
EL278,8 days 00:55:07
EL279,8 days 19:38:13
EL279X,2 days 16:01:21
EL280,4 days 01:52:02
EL281,21 days 00:18:56
EL283,0 days 07:56:03
EL287X,8 days 21:29:00
EL292,3 days 22:57:31
EL293,5 days 15:45:40
EL296,10 days 17:34:11
EL298,3 days 20:55:26
EL299,5 days 12:53:21
EL300X,16 days 15:56:30
EL301,11 days 09:50:56
EL302,5 days 19:16:27
EL303,4 days 14:32:05
EL304,12 days 23:49:04
EL305,9 days 02:35:10
EL306,4 days 23:15:23
EL307,4 days 05:59:44
EL308,4 days 19:18:15
EL309,8 days 12:49:01
EL310,12 days 11:46:59
EL311,15 days 05:25:55
EL312,9 days 12:08:20
EL314,2 days 15:13:37
EL315,2 days 23:36:19
EL316,4 days 04:27:35
EL317,243 days 08:57:37
EL318,456 days 07:50:21
EL319,13 days 12:51:01
EL320,10 days 00:55:37
EL321,6 days 18:56:31
EL322,24 days 15:23:16
EL323,5 days 13:55:20
EL324,14 days 06:35:36
EL325,7 days 23:07:13
EL326,5 days 03:17:42
EL327X,48 days 15:56:36
EL328,10 days 14:06:11
EL329,7 days 10:59:42
EL330,10 days 18:23:38
EL331,21 days 02:57:45
EL332,3 days 17:01:04
EL333,6 days 22:24:22
EL334,4 days 21:43:33
EL335,14 days 16:41:51
EL336,6 days 13:55:40
EL337,2 days 11:38:09
EL338,4 days 20:54:42
EL339,294 days 14:24:20
EL340,294 days 05:19:04
EL341,4 days 06:12:40
EL342,5 days 01:24:21
EL343,8 days 21:43:54
EL344,12 days 04:56:43
EL345,8 days 01:04:16
EL346,3 days 07:16:45
EL358,4 days 18:12:23
EL359,3 days 11:30:41
EL370,5 days 15:41:40
EL371,4 days 04:12:01
EL372,6 days 06:01:14
EL373,16 days 18:29:52
EL374,5 days 06:32:06
EL375,12 days 11:32:04
EL376,5 days 09:24:47
EL377,2 days 20:49:29
EL378,6 days 00:34:11
EL382,6 days 04:51:45
EL383,4 days 02:32:05
EL387,16 days 20:24:39
EL388,5 days 01:10:36
EL389,5 days 08:29:33
EL391,8 days 22:56:38
EL392,8 days 09:57:04
EL393,6 days 21:18:42
EL394,10 days 19:28:59
EL395,5 days 23:11:34
EL396,5 days 20:56:48
EL397,6 days 09:29:52
EL398,4 days 00:21:06
EL399,8 days 15:03:37
EL400,3 days 16:22:23
EL401,8 days 08:19:57
EL402,21 days 04:48:17
EL403,11 days 12:39:57
EL404,7 days 21:15:19
EL405,27 days 20:49:09
EL406,5 days 14:33:18
EL407,5 days 05:32:11
EL408,3 days 20:00:34
EL409,3 days 06:50:43
EL411,4 days 22:38:46
EL412,18 days 16:14:10
EL413,12 days 11:41:28
EL414,11 days 09:02:34
EL415X,2 days 03:49:01
EL416X,2 days 16:26:47
EL417X,9 days 03:22:35
EL418X,17 days 06:40:09
EL419X,0 days 07:32:21
EL420,6 days 05:01:26
EL421,6 days 21:05:18
EL422,8 days 13:46:53
EL423,14 days 08:10:22
EL424,5 days 00:05:08
EL425,14 days 20:13:20
EL426,7 days 04:46:35
EL427,11 days 05:30:03
EL428,11 days 09:00:24
EL429,6 days 19:59:50
EL430,4 days 10:09:00
EL431,16 days 07:07:38
EL432,4 days 13:39:59
EL433,5 days 07:31:44
EL434,9 days 04:22:02
EL435,7 days 18:44:49
EL436,13 days 15:25:20
EL437,4 days 22:30:39
EL438,4 days 03:46:38
EL439,7 days 06:59:47
EL440,10 days 10:47:40
EL441,20 days 03:45:41
EL442,20 days 18:10:35
EL443,13 days 22:43:08
EL444,6 days 01:10:37
EL445X,12 days 05:05:41
EL446,10 days 04:12:07
EL447,5 days 17:10:28
EL448X,29 days 06:37:56
EL449X,47 days 18:01:58
EL450X,13 days 15:03:58
EL454,0 days 18:01:27
EL462,10 days 00:17:47
EL463,6 days 20:17:06
EL464,7 days 14:39:14
EL465,10 days 10:05:19
EL466,6 days 07:54:51
EL467,26 days 12:19:02
EL482X,12 days 04:07:13
EL489X,15 days 07:49:28
EL490X,11 days 13:46:14
EL491X,23 days 00:19:57
EL492X,3 days 17:22:03
EL493X,7 days 13:54:28
EL497,5 days 21:48:10
EL498,4 days 15:08:32
EL499,1 days 21:36:43
EL500,5 days 03:36:17
EL501,7 days 01:42:59
EL502,5 days 00:12:14
EL600,3 days 03:31:30
EL601,12 days 12:32:42
EL602,6 days 23:47:51
EL603,6 days 00:54:09
EL700X,36 days 09:35:49
EL701,5 days 02:27:18
EL702,5 days 11:25:45
EL706,6 days 17:25:24
EL707,4 days 00:57:07
EL708,6 days 15:14:23
EL709,5 days 09:14:59
EL710,18 days 02:44:34
EL711,3 days 16:13:55
EL712,2 days 10:48:55
EL713,2 days 12:49:48
EL716,9 days 10:44:30
EL717X,2 days 00:32:50
EL718X,4 days 20:09:42
EL719,10 days 06:52:54
EL720,4 days 06:37:07
EL721,5 days 09:10:57
EL722,4 days 22:59:19
EL723,18 days 20:00:46
EL726X,28 days 21:13:20
EL727X,50 days 07:16:35
EL728X,33 days 22:26:12
EL729X,37 days 04:37:05
EL730,7 days 11:28:39
EL731,3 days 12:07:10
EL732,3 days 00:20:51
EL736,863 days 04:35:59
EL738,4 days 13:08:51
EL739,4 days 05:38:50
EL740,15 days 10:01:44
EL741,4 days 14:47:33
EL742,7 days 07:13:04
EL743,4 days 07:54:29
EL745,6 days 00:43:17
