,UNIT,SCP,datetime,ENTRIES,EXITS,cleaned_entries,cleaned_exits,entries_diff,exists_diff,station_name,equipment_id,description,borough,subway_lines,equipment_type,ada_compliant,is_active,clean_lines,remote
1353634,R034,00-00-00,2020-02-29 03:00:00,127893.0,61389.0,0.0,0.0,,,125 St,ES102,Street to Mezzanine,MN,1,ES,N,Y,1,R034
1353635,R034,00-00-00,2020-02-29 03:00:00,127893.0,61389.0,0.0,0.0,,,125 St,ES101,Street to Mezzanine,MN,1,ES,N,Y,1,R034
1353636,R034,00-00-00,2020-02-29 03:00:00,127893.0,61389.0,0.0,0.0,,,125 St,ES103,Street to Mezzanine,MN,1,ES,N,Y,1,R034
1353637,R034,00-00-00,2020-02-29 03:00:00,127893.0,61389.0,0.0,0.0,0.0,0.0,125 St,ES102,Street to Mezzanine,MN,1,ES,N,Y,1,R034
1353638,R034,00-00-00,2020-02-29 03:00:00,127893.0,61389.0,0.0,0.0,0.0,0.0,125 St,ES101,Street to Mezzanine,MN,1,ES,N,Y,1,R034
1353639,R034,00-00-00,2020-02-29 03:00:00,127893.0,61389.0,0.0,0.0,0.0,0.0,125 St,ES103,Street to Mezzanine,MN,1,ES,N,Y,1,R034
1353640,R034,00-00-00,2020-02-29 03:00:00,127893.0,61389.0,20093.75,19267.75,20094.0,19268.0,125 St,ES102,Street to Mezzanine,MN,1,ES,N,Y,1,R034
1353641,R034,00-00-00,2020-02-29 03:00:00,127893.0,61389.0,20093.75,19267.75,20094.0,19268.0,125 St,ES101,Street to Mezzanine,MN,1,ES,N,Y,1,R034
1353642,R034,00-00-00,2020-02-29 03:00:00,127893.0,61389.0,20093.75,19267.75,20094.0,19268.0,125 St,ES103,Street to Mezzanine,MN,1,ES,N,Y,1,R034
1353643,R034,00-00-00,2020-02-29 03:00:00,127893.0,61389.0,40187.5,38535.5,20094.0,19268.0,125 St,ES102,Street to Mezzanine,MN,1,ES,N,Y,1,R034
1353644,R034,00-00-00,2020-02-29 03:00:00,127893.0,61389.0,40187.5,38535.5,20094.0,19268.0,125 St,ES101,Street to Mezzanine,MN,1,ES,N,Y,1,R034
1353645,R034,00-00-00,2020-02-29 03:00:00,127893.0,61389.0,40187.5,38535.5,20094.0,19268.0,125 St,ES103,Street to Mezzanine,MN,1,ES,N,Y,1,R034
1353646,R034,00-00-00,2020-02-29 03:00:00,127893.0,61389.0,60281.25,57803.25,20094.0,19268.0,125 St,ES102,Street to Mezzanine,MN,1,ES,N,Y,1,R034
1353647,R034,00-00-00,2020-02-29 03:00:00,127893.0,61389.0,60281.25,57803.25,20094.0,19268.0,125 St,ES101,Street to Mezzanine,MN,1,ES,N,Y,1,R034
1353648,R034,00-00-00,2020-02-29 03:00:00,127893.0,61389.0,60281.25,57803.25,20094.0,19268.0,125 St,ES103,Street to Mezzanine,MN,1,ES,N,Y,1,R034
1353649,R034,00-00-00,2020-02-29 07:00:00,127923.0,61403.0,80375.0,77071.0,20094.0,19268.0,125 St,ES102,Street to Mezzanine,MN,1,ES,N,Y,1,R034
1353650,R034,00-00-00,2020-02-29 07:00:00,127923.0,61403.0,80375.0,77071.0,20094.0,19268.0,125 St,ES101,Street to Mezzanine,MN,1,ES,N,Y,1,R034
1353651,R034,00-00-00,2020-02-29 07:00:00,127923.0,61403.0,80375.0,77071.0,20094.0,19268.0,125 St,ES103,Street to Mezzanine,MN,1,ES,N,Y,1,R034
1353652,R034,00-00-00,2020-02-29 07:00:00,127923.0,61403.0,80375.0,77071.0,0.0,0.0,125 St,ES102,Street to Mezzanine,MN,1,ES,N,Y,1,R034
1353653,R034,00-00-00,2020-02-29 07:00:00,127923.0,61403.0,80375.0,77071.0,0.0,0.0,125 St,ES101,Street to Mezzanine,MN,1,ES,N,Y,1,R034
1353654,R034,00-00-00,2020-02-29 07:00:00,127923.0,61403.0,80375.0,77071.0,0.0,0.0,125 St,ES103,Street to Mezzanine,MN,1,ES,N,Y,1,R034
1353655,R034,00-00-00,2020-02-29 07:00:00,127923.0,61403.0,122727.25,126092.25,42352.0,49021.0,125 St,ES102,Street to Mezzanine,MN,1,ES,N,Y,1,R034
1353656,R034,00-00-00,2020-02-29 07:00:00,127923.0,61403.0,122727.25,126092.25,42352.0,49021.0,125 St,ES101,Street to Mezzanine,MN,1,ES,N,Y,1,R034
1353657,R034,00-00-00,2020-02-29 07:00:00,127923.0,61403.0,122727.25,126092.25,42352.0,49021.0,125 St,ES103,Street to Mezzanine,MN,1,ES,N,Y,1,R034
1353658,R034,00-00-00,2020-02-29 07:00:00,127923.0,61403.0,165079.5,175113.5,42352.0,49021.0,125 St,ES102,Street to Mezzanine,MN,1,ES,N,Y,1,R034
1353659,R034,00-00-00,2020-02-29 07:00:00,127923.0,61403.0,165079.5,175113.5,42352.0,49021.0,125 St,ES101,Street to Mezzanine,MN,1,ES,N,Y,1,R034
1353660,R034,00-00-00,2020-02-29 07:00:00,127923.0,61403.0,165079.5,175113.5,42352.0,49021.0,125 St,ES103,Street to Mezzanine,MN,1,ES,N,Y,1,R034
1353661,R034,00-00-00,2020-02-29 07:00:00,127923.0,61403.0,207431.75,224134.75,42352.0,49021.0,125 St,ES102,Street to Mezzanine,MN,1,ES,N,Y,1,R034
