,UNIT,SCP,datetime,ENTRIES,EXITS,cleaned_entries,cleaned_exits,entries_diff,exists_diff,station_name,equipment_id,description,borough,subway_lines,equipment_type,ada_compliant,is_active,clean_lines,remote
2869408,R175,00-00-00,2020-02-29 00:00:00,7449038.0,6436881.0,0.0,0.0,,,14 St - 8 Av,EL221,8th Ave & 14 St (SW corner) to Mezzanine for service in both directions,MN,A/C/E/L,EL,Y,Y,A-C-E-L,R175
2869409,R175,00-00-00,2020-02-29 00:00:00,7449038.0,6436881.0,0.0,0.0,,,14 St - 8 Av,EL222,Mezzanine to downtown A/C/E Platform,MN,A/C/E/L,EL,Y,Y,A-C-E-L,R175
2869410,R175,00-00-00,2020-02-29 00:00:00,7449038.0,6436881.0,0.0,0.0,,,14 St - 8 Av,EL223,Mezzanine to uptown A/C/E Platform,MN,A/C/E/L,EL,Y,Y,A-C-E-L,R175
2869412,R175,00-00-00,2020-02-29 00:00:00,7449038.0,6436881.0,0.0,0.0,0.0,0.0,14 St - 8 Av,EL221,8th Ave & 14 St (SW corner) to Mezzanine for service in both directions,MN,A/C/E/L,EL,Y,Y,A-C-E-L,R175
2869413,R175,00-00-00,2020-02-29 00:00:00,7449038.0,6436881.0,0.0,0.0,0.0,0.0,14 St - 8 Av,EL222,Mezzanine to downtown A/C/E Platform,MN,A/C/E/L,EL,Y,Y,A-C-E-L,R175
2869414,R175,00-00-00,2020-02-29 00:00:00,7449038.0,6436881.0,0.0,0.0,0.0,0.0,14 St - 8 Av,EL223,Mezzanine to uptown A/C/E Platform,MN,A/C/E/L,EL,Y,Y,A-C-E-L,R175
2869416,R175,00-00-00,2020-02-29 00:00:00,7449038.0,6436881.0,2114.25,2691.25,2114.0,2691.0,14 St - 8 Av,EL221,8th Ave & 14 St (SW corner) to Mezzanine for service in both directions,MN,A/C/E/L,EL,Y,Y,A-C-E-L,R175
2869417,R175,00-00-00,2020-02-29 00:00:00,7449038.0,6436881.0,2114.25,2691.25,2114.0,2691.0,14 St - 8 Av,EL222,Mezzanine to downtown A/C/E Platform,MN,A/C/E/L,EL,Y,Y,A-C-E-L,R175
2869418,R175,00-00-00,2020-02-29 00:00:00,7449038.0,6436881.0,2114.25,2691.25,2114.0,2691.0,14 St - 8 Av,EL223,Mezzanine to uptown A/C/E Platform,MN,A/C/E/L,EL,Y,Y,A-C-E-L,R175
2869420,R175,00-00-00,2020-02-29 00:00:00,7449038.0,6436881.0,4228.5,5382.5,2114.0,2691.0,14 St - 8 Av,EL221,8th Ave & 14 St (SW corner) to Mezzanine for service in both directions,MN,A/C/E/L,EL,Y,Y,A-C-E-L,R175
2869421,R175,00-00-00,2020-02-29 00:00:00,7449038.0,6436881.0,4228.5,5382.5,2114.0,2691.0,14 St - 8 Av,EL222,Mezzanine to downtown A/C/E Platform,MN,A/C/E/L,EL,Y,Y,A-C-E-L,R175
2869422,R175,00-00-00,2020-02-29 00:00:00,7449038.0,6436881.0,4228.5,5382.5,2114.0,2691.0,14 St - 8 Av,EL223,Mezzanine to uptown A/C/E Platform,MN,A/C/E/L,EL,Y,Y,A-C-E-L,R175
2869424,R175,00-00-00,2020-02-29 00:00:00,7449038.0,6436881.0,6342.75,8073.75,2114.0,2691.0,14 St - 8 Av,EL221,8th Ave & 14 St (SW corner) to Mezzanine for service in both directions,MN,A/C/E/L,EL,Y,Y,A-C-E-L,R175
2869425,R175,00-00-00,2020-02-29 00:00:00,7449038.0,6436881.0,6342.75,8073.75,2114.0,2691.0,14 St - 8 Av,EL222,Mezzanine to downtown A/C/E Platform,MN,A/C/E/L,EL,Y,Y,A-C-E-L,R175
2869426,R175,00-00-00,2020-02-29 00:00:00,7449038.0,6436881.0,6342.75,8073.75,2114.0,2691.0,14 St - 8 Av,EL223,Mezzanine to uptown A/C/E Platform,MN,A/C/E/L,EL,Y,Y,A-C-E-L,R175
2869428,R175,00-00-00,2020-02-29 04:00:00,7449038.0,6436980.0,8457.0,10765.0,2114.0,2691.0,14 St - 8 Av,EL221,8th Ave & 14 St (SW corner) to Mezzanine for service in both directions,MN,A/C/E/L,EL,Y,Y,A-C-E-L,R175
2869429,R175,00-00-00,2020-02-29 04:00:00,7449038.0,6436980.0,8457.0,10765.0,2114.0,2691.0,14 St - 8 Av,EL222,Mezzanine to downtown A/C/E Platform,MN,A/C/E/L,EL,Y,Y,A-C-E-L,R175
2869430,R175,00-00-00,2020-02-29 04:00:00,7449038.0,6436980.0,8457.0,10765.0,2114.0,2691.0,14 St - 8 Av,EL223,Mezzanine to uptown A/C/E Platform,MN,A/C/E/L,EL,Y,Y,A-C-E-L,R175
2869432,R175,00-00-00,2020-02-29 04:00:00,7449038.0,6436980.0,8457.0,10765.0,0.0,0.0,14 St - 8 Av,EL221,8th Ave & 14 St (SW corner) to Mezzanine for service in both directions,MN,A/C/E/L,EL,Y,Y,A-C-E-L,R175
2869433,R175,00-00-00,2020-02-29 04:00:00,7449038.0,6436980.0,8457.0,10765.0,0.0,0.0,14 St - 8 Av,EL222,Mezzanine to downtown A/C/E Platform,MN,A/C/E/L,EL,Y,Y,A-C-E-L,R175
2869434,R175,00-00-00,2020-02-29 04:00:00,7449038.0,6436980.0,8457.0,10765.0,0.0,0.0,14 St - 8 Av,EL223,Mezzanine to uptown A/C/E Platform,MN,A/C/E/L,EL,Y,Y,A-C-E-L,R175
2869436,R175,00-00-00,2020-02-29 04:00:00,7449038.0,6436980.0,42520.5,39336.0,34064.0,28571.0,14 St - 8 Av,EL221,8th Ave & 14 St (SW corner) to Mezzanine for service in both directions,MN,A/C/E/L,EL,Y,Y,A-C-E-L,R175
2869437,R175,00-00-00,2020-02-29 04:00:00,7449038.0,6436980.0,42520.5,39336.0,34064.0,28571.0,14 St - 8 Av,EL222,Mezzanine to downtown A/C/E Platform,MN,A/C/E/L,EL,Y,Y,A-C-E-L,R175
2869438,R175,00-00-00,2020-02-29 04:00:00,7449038.0,6436980.0,42520.5,39336.0,34064.0,28571.0,14 St - 8 Av,EL223,Mezzanine to uptown A/C/E Platform,MN,A/C/E/L,EL,Y,Y,A-C-E-L,R175
2869440,R175,00-00-00,2020-02-29 04:00:00,7449038.0,6436980.0,76584.0,67907.0,34064.0,28571.0,14 St - 8 Av,EL221,8th Ave & 14 St (SW corner) to Mezzanine for service in both directions,MN,A/C/E/L,EL,Y,Y,A-C-E-L,R175
2869441,R175,00-00-00,2020-02-29 04:00:00,7449038.0,6436980.0,76584.0,67907.0,34064.0,28571.0,14 St - 8 Av,EL222,Mezzanine to downtown A/C/E Platform,MN,A/C/E/L,EL,Y,Y,A-C-E-L,R175
2869442,R175,00-00-00,2020-02-29 04:00:00,7449038.0,6436980.0,76584.0,67907.0,34064.0,28571.0,14 St - 8 Av,EL223,Mezzanine to uptown A/C/E Platform,MN,A/C/E/L,EL,Y,Y,A-C-E-L,R175
2869444,R175,00-00-00,2020-02-29 04:00:00,7449038.0,6436980.0,110647.5,96478.0,34064.0,28571.0,14 St - 8 Av,EL221,8th Ave & 14 St (SW corner) to Mezzanine for service in both directions,MN,A/C/E/L,EL,Y,Y,A-C-E-L,R175
2869445,R175,00-00-00,2020-02-29 04:00:00,7449038.0,6436980.0,110647.5,96478.0,34064.0,28571.0,14 St - 8 Av,EL222,Mezzanine to downtown A/C/E Platform,MN,A/C/E/L,EL,Y,Y,A-C-E-L,R175
2869446,R175,00-00-00,2020-02-29 04:00:00,7449038.0,6436980.0,110647.5,96478.0,34064.0,28571.0,14 St - 8 Av,EL223,Mezzanine to uptown A/C/E Platform,MN,A/C/E/L,EL,Y,Y,A-C-E-L,R175
2869448,R175,00-00-00,2020-02-29 08:00:00,7449038.0,6437115.0,144711.0,125049.0,34064.0,28571.0,14 St - 8 Av,EL221,8th Ave & 14 St (SW corner) to Mezzanine for service in both directions,MN,A/C/E/L,EL,Y,Y,A-C-E-L,R175
2869449,R175,00-00-00,2020-02-29 08:00:00,7449038.0,6437115.0,144711.0,125049.0,34064.0,28571.0,14 St - 8 Av,EL222,Mezzanine to downtown A/C/E Platform,MN,A/C/E/L,EL,Y,Y,A-C-E-L,R175
2869450,R175,00-00-00,2020-02-29 08:00:00,7449038.0,6437115.0,144711.0,125049.0,34064.0,28571.0,14 St - 8 Av,EL223,Mezzanine to uptown A/C/E Platform,MN,A/C/E/L,EL,Y,Y,A-C-E-L,R175
2869452,R175,00-00-00,2020-02-29 08:00:00,7449038.0,6437115.0,144711.0,125049.0,0.0,0.0,14 St - 8 Av,EL221,8th Ave & 14 St (SW corner) to Mezzanine for service in both directions,MN,A/C/E/L,EL,Y,Y,A-C-E-L,R175
2869453,R175,00-00-00,2020-02-29 08:00:00,7449038.0,6437115.0,144711.0,125049.0,0.0,0.0,14 St - 8 Av,EL222,Mezzanine to downtown A/C/E Platform,MN,A/C/E/L,EL,Y,Y,A-C-E-L,R175
2869454,R175,00-00-00,2020-02-29 08:00:00,7449038.0,6437115.0,144711.0,125049.0,0.0,0.0,14 St - 8 Av,EL223,Mezzanine to uptown A/C/E Platform,MN,A/C/E/L,EL,Y,Y,A-C-E-L,R175
2869456,R175,00-00-00,2020-02-29 08:00:00,7449038.0,6437115.0,402577.0,266853.0,257866.0,141804.0,14 St - 8 Av,EL221,8th Ave & 14 St (SW corner) to Mezzanine for service in both directions,MN,A/C/E/L,EL,Y,Y,A-C-E-L,R175
2869457,R175,00-00-00,2020-02-29 08:00:00,7449038.0,6437115.0,402577.0,266853.0,257866.0,141804.0,14 St - 8 Av,EL222,Mezzanine to downtown A/C/E Platform,MN,A/C/E/L,EL,Y,Y,A-C-E-L,R175
2869458,R175,00-00-00,2020-02-29 08:00:00,7449038.0,6437115.0,402577.0,266853.0,257866.0,141804.0,14 St - 8 Av,EL223,Mezzanine to uptown A/C/E Platform,MN,A/C/E/L,EL,Y,Y,A-C-E-L,R175
2869460,R175,00-00-00,2020-02-29 08:00:00,7449038.0,6437115.0,660443.0,408657.0,257866.0,141804.0,14 St - 8 Av,EL221,8th Ave & 14 St (SW corner) to Mezzanine for service in both directions,MN,A/C/E/L,EL,Y,Y,A-C-E-L,R175
2869461,R175,00-00-00,2020-02-29 08:00:00,7449038.0,6437115.0,660443.0,408657.0,257866.0,141804.0,14 St - 8 Av,EL222,Mezzanine to downtown A/C/E Platform,MN,A/C/E/L,EL,Y,Y,A-C-E-L,R175
2869462,R175,00-00-00,2020-02-29 08:00:00,7449038.0,6437115.0,660443.0,408657.0,257866.0,141804.0,14 St - 8 Av,EL223,Mezzanine to uptown A/C/E Platform,MN,A/C/E/L,EL,Y,Y,A-C-E-L,R175
2869464,R175,00-00-00,2020-02-29 08:00:00,7449038.0,6437115.0,918309.0,550461.0,257866.0,141804.0,14 St - 8 Av,EL221,8th Ave & 14 St (SW corner) to Mezzanine for service in both directions,MN,A/C/E/L,EL,Y,Y,A-C-E-L,R175
2869465,R175,00-00-00,2020-02-29 08:00:00,7449038.0,6437115.0,918309.0,550461.0,257866.0,141804.0,14 St - 8 Av,EL222,Mezzanine to downtown A/C/E Platform,MN,A/C/E/L,EL,Y,Y,A-C-E-L,R175
2869466,R175,00-00-00,2020-02-29 08:00:00,7449038.0,6437115.0,918309.0,550461.0,257866.0,141804.0,14 St - 8 Av,EL223,Mezzanine to uptown A/C/E Platform,MN,A/C/E/L,EL,Y,Y,A-C-E-L,R175
2869468,R175,00-00-00,2020-02-29 12:00:00,7449199.0,6437696.0,1176175.0,692265.0,257866.0,141804.0,14 St - 8 Av,EL221,8th Ave & 14 St (SW corner) to Mezzanine for service in both directions,MN,A/C/E/L,EL,Y,Y,A-C-E-L,R175
2869469,R175,00-00-00,2020-02-29 12:00:00,7449199.0,6437696.0,1176175.0,692265.0,257866.0,141804.0,14 St - 8 Av,EL222,Mezzanine to downtown A/C/E Platform,MN,A/C/E/L,EL,Y,Y,A-C-E-L,R175
2869470,R175,00-00-00,2020-02-29 12:00:00,7449199.0,6437696.0,1176175.0,692265.0,257866.0,141804.0,14 St - 8 Av,EL223,Mezzanine to uptown A/C/E Platform,MN,A/C/E/L,EL,Y,Y,A-C-E-L,R175
2869472,R175,00-00-00,2020-02-29 12:00:00,7449199.0,6437696.0,1176175.0,692265.0,0.0,0.0,14 St - 8 Av,EL221,8th Ave & 14 St (SW corner) to Mezzanine for service in both directions,MN,A/C/E/L,EL,Y,Y,A-C-E-L,R175
2869473,R175,00-00-00,2020-02-29 12:00:00,7449199.0,6437696.0,1176175.0,692265.0,0.0,0.0,14 St - 8 Av,EL222,Mezzanine to downtown A/C/E Platform,MN,A/C/E/L,EL,Y,Y,A-C-E-L,R175
2869474,R175,00-00-00,2020-02-29 12:00:00,7449199.0,6437696.0,1176175.0,692265.0,0.0,0.0,14 St - 8 Av,EL223,Mezzanine to uptown A/C/E Platform,MN,A/C/E/L,EL,Y,Y,A-C-E-L,R175
2869476,R175,00-00-00,2020-02-29 12:00:00,7449199.0,6437696.0,1298622.0,797433.5,122447.0,105168.0,14 St - 8 Av,EL221,8th Ave & 14 St (SW corner) to Mezzanine for service in both directions,MN,A/C/E/L,EL,Y,Y,A-C-E-L,R175
2869477,R175,00-00-00,2020-02-29 12:00:00,7449199.0,6437696.0,1298622.0,797433.5,122447.0,105168.0,14 St - 8 Av,EL222,Mezzanine to downtown A/C/E Platform,MN,A/C/E/L,EL,Y,Y,A-C-E-L,R175
2869478,R175,00-00-00,2020-02-29 12:00:00,7449199.0,6437696.0,1298622.0,797433.5,122447.0,105168.0,14 St - 8 Av,EL223,Mezzanine to uptown A/C/E Platform,MN,A/C/E/L,EL,Y,Y,A-C-E-L,R175
2869480,R175,00-00-00,2020-02-29 12:00:00,7449199.0,6437696.0,1421069.0,902602.0,122447.0,105168.0,14 St - 8 Av,EL221,8th Ave & 14 St (SW corner) to Mezzanine for service in both directions,MN,A/C/E/L,EL,Y,Y,A-C-E-L,R175
