,UNIT,SCP,datetime,ENTRIES,EXITS,cleaned_entries,cleaned_exits,entries_diff,exists_diff,station_name,equipment_id,description,borough,subway_lines,equipment_type,ada_compliant,is_active,clean_lines,remote
594533,R019,00-00-00,2020-02-29 03:00:00,2946809.0,10290170.0,0.0,0.0,,,179 St - Jamaica,EL431,179 Pl & Hillside Ave (SE corner) to Mezzanine for service in both directions,QNS,F,EL,Y,Y,F,R019
594534,R019,00-00-00,2020-02-29 03:00:00,2946809.0,10290170.0,0.0,0.0,,,179 St - Jamaica,EL433,Mezzanine to Manhattan bound Platform,QNS,F,EL,Y,Y,F,R019
594535,R019,00-00-00,2020-02-29 03:00:00,2946809.0,10290170.0,0.0,0.0,,,179 St - Jamaica,EL432,Mezzanine to Manhattan bound Platform,QNS,F,EL,Y,Y,F,R019
594536,R019,00-00-00,2020-02-29 03:00:00,2946809.0,10290170.0,0.0,0.0,0.0,0.0,179 St - Jamaica,EL431,179 Pl & Hillside Ave (SE corner) to Mezzanine for service in both directions,QNS,F,EL,Y,Y,F,R019
594537,R019,00-00-00,2020-02-29 03:00:00,2946809.0,10290170.0,0.0,0.0,0.0,0.0,179 St - Jamaica,EL433,Mezzanine to Manhattan bound Platform,QNS,F,EL,Y,Y,F,R019
594538,R019,00-00-00,2020-02-29 03:00:00,2946809.0,10290170.0,0.0,0.0,0.0,0.0,179 St - Jamaica,EL432,Mezzanine to Manhattan bound Platform,QNS,F,EL,Y,Y,F,R019
594539,R019,00-00-00,2020-02-29 03:00:00,2946809.0,10290170.0,16369.25,16546.0,16369.0,16546.0,179 St - Jamaica,EL431,179 Pl & Hillside Ave (SE corner) to Mezzanine for service in both directions,QNS,F,EL,Y,Y,F,R019
594540,R019,00-00-00,2020-02-29 03:00:00,2946809.0,10290170.0,16369.25,16546.0,16369.0,16546.0,179 St - Jamaica,EL433,Mezzanine to Manhattan bound Platform,QNS,F,EL,Y,Y,F,R019
594541,R019,00-00-00,2020-02-29 03:00:00,2946809.0,10290170.0,16369.25,16546.0,16369.0,16546.0,179 St - Jamaica,EL432,Mezzanine to Manhattan bound Platform,QNS,F,EL,Y,Y,F,R019
594542,R019,00-00-00,2020-02-29 03:00:00,2946809.0,10290170.0,32738.5,33092.0,16369.0,16546.0,179 St - Jamaica,EL431,179 Pl & Hillside Ave (SE corner) to Mezzanine for service in both directions,QNS,F,EL,Y,Y,F,R019
594543,R019,00-00-00,2020-02-29 03:00:00,2946809.0,10290170.0,32738.5,33092.0,16369.0,16546.0,179 St - Jamaica,EL433,Mezzanine to Manhattan bound Platform,QNS,F,EL,Y,Y,F,R019
594544,R019,00-00-00,2020-02-29 03:00:00,2946809.0,10290170.0,32738.5,33092.0,16369.0,16546.0,179 St - Jamaica,EL432,Mezzanine to Manhattan bound Platform,QNS,F,EL,Y,Y,F,R019
594545,R019,00-00-00,2020-02-29 03:00:00,2946809.0,10290170.0,49107.75,49638.0,16369.0,16546.0,179 St - Jamaica,EL431,179 Pl & Hillside Ave (SE corner) to Mezzanine for service in both directions,QNS,F,EL,Y,Y,F,R019
594546,R019,00-00-00,2020-02-29 03:00:00,2946809.0,10290170.0,49107.75,49638.0,16369.0,16546.0,179 St - Jamaica,EL433,Mezzanine to Manhattan bound Platform,QNS,F,EL,Y,Y,F,R019
594547,R019,00-00-00,2020-02-29 03:00:00,2946809.0,10290170.0,49107.75,49638.0,16369.0,16546.0,179 St - Jamaica,EL432,Mezzanine to Manhattan bound Platform,QNS,F,EL,Y,Y,F,R019
594548,R019,00-00-00,2020-02-29 07:00:00,2946854.0,10290220.0,65477.0,66184.0,16369.0,16546.0,179 St - Jamaica,EL431,179 Pl & Hillside Ave (SE corner) to Mezzanine for service in both directions,QNS,F,EL,Y,Y,F,R019
594549,R019,00-00-00,2020-02-29 07:00:00,2946854.0,10290220.0,65477.0,66184.0,16369.0,16546.0,179 St - Jamaica,EL433,Mezzanine to Manhattan bound Platform,QNS,F,EL,Y,Y,F,R019
594550,R019,00-00-00,2020-02-29 07:00:00,2946854.0,10290220.0,65477.0,66184.0,16369.0,16546.0,179 St - Jamaica,EL432,Mezzanine to Manhattan bound Platform,QNS,F,EL,Y,Y,F,R019
594551,R019,00-00-00,2020-02-29 07:00:00,2946854.0,10290220.0,65477.0,66184.0,0.0,0.0,179 St - Jamaica,EL431,179 Pl & Hillside Ave (SE corner) to Mezzanine for service in both directions,QNS,F,EL,Y,Y,F,R019
594552,R019,00-00-00,2020-02-29 07:00:00,2946854.0,10290220.0,65477.0,66184.0,0.0,0.0,179 St - Jamaica,EL433,Mezzanine to Manhattan bound Platform,QNS,F,EL,Y,Y,F,R019
594553,R019,00-00-00,2020-02-29 07:00:00,2946854.0,10290220.0,65477.0,66184.0,0.0,0.0,179 St - Jamaica,EL432,Mezzanine to Manhattan bound Platform,QNS,F,EL,Y,Y,F,R019
594554,R019,00-00-00,2020-02-29 07:00:00,2946854.0,10290220.0,115701.0,121627.75,50224.0,55444.0,179 St - Jamaica,EL431,179 Pl & Hillside Ave (SE corner) to Mezzanine for service in both directions,QNS,F,EL,Y,Y,F,R019
594555,R019,00-00-00,2020-02-29 07:00:00,2946854.0,10290220.0,115701.0,121627.75,50224.0,55444.0,179 St - Jamaica,EL433,Mezzanine to Manhattan bound Platform,QNS,F,EL,Y,Y,F,R019
594556,R019,00-00-00,2020-02-29 07:00:00,2946854.0,10290220.0,115701.0,121627.75,50224.0,55444.0,179 St - Jamaica,EL432,Mezzanine to Manhattan bound Platform,QNS,F,EL,Y,Y,F,R019
594557,R019,00-00-00,2020-02-29 07:00:00,2946854.0,10290220.0,165925.0,177071.5,50224.0,55444.0,179 St - Jamaica,EL431,179 Pl & Hillside Ave (SE corner) to Mezzanine for service in both directions,QNS,F,EL,Y,Y,F,R019
594558,R019,00-00-00,2020-02-29 07:00:00,2946854.0,10290220.0,165925.0,177071.5,50224.0,55444.0,179 St - Jamaica,EL433,Mezzanine to Manhattan bound Platform,QNS,F,EL,Y,Y,F,R019
