,UNIT,SCP,datetime,ENTRIES,EXITS,cleaned_entries,cleaned_exits,entries_diff,exists_diff,station_name,equipment_id,description,borough,subway_lines,equipment_type,ada_compliant,is_active,clean_lines,remote
2743075,R157,00-00-00,2020-02-29 00:00:00,5125916.0,1331893.0,0.0,0.0,,,205 St - Norwood,ES112,Center Island Platform to Mezzanine,BX,D,ES,N,Y,D,R157
2743076,R157,00-00-00,2020-02-29 00:00:00,5125916.0,1331893.0,0.0,0.0,0.0,0.0,205 St - Norwood,ES112,Center Island Platform to Mezzanine,BX,D,ES,N,Y,D,R157
2743077,R157,00-00-00,2020-02-29 00:00:00,5125916.0,1331893.0,4145.25,5409.5,4145.0,5410.0,205 St - Norwood,ES112,Center Island Platform to Mezzanine,BX,D,ES,N,Y,D,R157
2743078,R157,00-00-00,2020-02-29 00:00:00,5125916.0,1331893.0,8290.5,10819.0,4145.0,5410.0,205 St - Norwood,ES112,Center Island Platform to Mezzanine,BX,D,ES,N,Y,D,R157
2743079,R157,00-00-00,2020-02-29 00:00:00,5125916.0,1331893.0,12435.75,16228.5,4145.0,5410.0,205 St - Norwood,ES112,Center Island Platform to Mezzanine,BX,D,ES,N,Y,D,R157
2743080,R157,00-00-00,2020-02-29 04:00:00,5125940.0,1331923.0,16581.0,21638.0,4145.0,5410.0,205 St - Norwood,ES112,Center Island Platform to Mezzanine,BX,D,ES,N,Y,D,R157
2743081,R157,00-00-00,2020-02-29 04:00:00,5125940.0,1331923.0,16581.0,21638.0,0.0,0.0,205 St - Norwood,ES112,Center Island Platform to Mezzanine,BX,D,ES,N,Y,D,R157
2743082,R157,00-00-00,2020-02-29 04:00:00,5125940.0,1331923.0,56525.75,53074.75,39945.0,31437.0,205 St - Norwood,ES112,Center Island Platform to Mezzanine,BX,D,ES,N,Y,D,R157
2743083,R157,00-00-00,2020-02-29 04:00:00,5125940.0,1331923.0,96470.5,84511.5,39945.0,31437.0,205 St - Norwood,ES112,Center Island Platform to Mezzanine,BX,D,ES,N,Y,D,R157
2743084,R157,00-00-00,2020-02-29 04:00:00,5125940.0,1331923.0,136415.25,115948.25,39945.0,31437.0,205 St - Norwood,ES112,Center Island Platform to Mezzanine,BX,D,ES,N,Y,D,R157
2743085,R157,00-00-00,2020-02-29 08:00:00,5126193.0,1331948.0,176360.0,147385.0,39945.0,31437.0,205 St - Norwood,ES112,Center Island Platform to Mezzanine,BX,D,ES,N,Y,D,R157
2743086,R157,00-00-00,2020-02-29 08:00:00,5126193.0,1331948.0,176360.0,147385.0,0.0,0.0,205 St - Norwood,ES112,Center Island Platform to Mezzanine,BX,D,ES,N,Y,D,R157
2743087,R157,00-00-00,2020-02-29 08:00:00,5126193.0,1331948.0,430504.0,286439.75,254144.0,139055.0,205 St - Norwood,ES112,Center Island Platform to Mezzanine,BX,D,ES,N,Y,D,R157
2743088,R157,00-00-00,2020-02-29 08:00:00,5126193.0,1331948.0,684648.0,425494.5,254144.0,139055.0,205 St - Norwood,ES112,Center Island Platform to Mezzanine,BX,D,ES,N,Y,D,R157
2743089,R157,00-00-00,2020-02-29 08:00:00,5126193.0,1331948.0,938792.0,564549.25,254144.0,139055.0,205 St - Norwood,ES112,Center Island Platform to Mezzanine,BX,D,ES,N,Y,D,R157
2743090,R157,00-00-00,2020-02-29 12:00:00,5126520.0,1332001.0,1192936.0,703604.0,254144.0,139055.0,205 St - Norwood,ES112,Center Island Platform to Mezzanine,BX,D,ES,N,Y,D,R157
2743091,R157,00-00-00,2020-02-29 12:00:00,5126520.0,1332001.0,1192936.0,703604.0,0.0,0.0,205 St - Norwood,ES112,Center Island Platform to Mezzanine,BX,D,ES,N,Y,D,R157
2743092,R157,00-00-00,2020-02-29 12:00:00,5126520.0,1332001.0,1343376.5,828904.75,150440.0,125301.0,205 St - Norwood,ES112,Center Island Platform to Mezzanine,BX,D,ES,N,Y,D,R157
2743093,R157,00-00-00,2020-02-29 12:00:00,5126520.0,1332001.0,1493817.0,954205.5,150440.0,125301.0,205 St - Norwood,ES112,Center Island Platform to Mezzanine,BX,D,ES,N,Y,D,R157
2743094,R157,00-00-00,2020-02-29 12:00:00,5126520.0,1332001.0,1644257.5,1079506.25,150440.0,125301.0,205 St - Norwood,ES112,Center Island Platform to Mezzanine,BX,D,ES,N,Y,D,R157
2743095,R157,00-00-00,2020-02-29 16:00:00,5126789.0,1332073.0,1794698.0,1204807.0,150440.0,125301.0,205 St - Norwood,ES112,Center Island Platform to Mezzanine,BX,D,ES,N,Y,D,R157
2743096,R157,00-00-00,2020-02-29 16:00:00,5126789.0,1332073.0,1794698.0,1204807.0,0.0,0.0,205 St - Norwood,ES112,Center Island Platform to Mezzanine,BX,D,ES,N,Y,D,R157
2743097,R157,00-00-00,2020-02-29 16:00:00,5126789.0,1332073.0,2013870.0,1393277.0,219172.0,188470.0,205 St - Norwood,ES112,Center Island Platform to Mezzanine,BX,D,ES,N,Y,D,R157
2743098,R157,00-00-00,2020-02-29 16:00:00,5126789.0,1332073.0,2233042.0,1581747.0,219172.0,188470.0,205 St - Norwood,ES112,Center Island Platform to Mezzanine,BX,D,ES,N,Y,D,R157
2743099,R157,00-00-00,2020-02-29 16:00:00,5126789.0,1332073.0,2452214.0,1770217.0,219172.0,188470.0,205 St - Norwood,ES112,Center Island Platform to Mezzanine,BX,D,ES,N,Y,D,R157
2743100,R157,00-00-00,2020-02-29 20:00:00,5126993.0,1332142.0,2671386.0,1958687.0,219172.0,188470.0,205 St - Norwood,ES112,Center Island Platform to Mezzanine,BX,D,ES,N,Y,D,R157
2743101,R157,00-00-00,2020-02-29 20:00:00,5126993.0,1332142.0,2671386.0,1958687.0,0.0,0.0,205 St - Norwood,ES112,Center Island Platform to Mezzanine,BX,D,ES,N,Y,D,R157
2743102,R157,00-00-00,2020-02-29 20:00:00,5126993.0,1332142.0,2936667.75,2173992.5,265282.0,215306.0,205 St - Norwood,ES112,Center Island Platform to Mezzanine,BX,D,ES,N,Y,D,R157
2743103,R157,00-00-00,2020-02-29 20:00:00,5126993.0,1332142.0,3201949.5,2389298.0,265282.0,215306.0,205 St - Norwood,ES112,Center Island Platform to Mezzanine,BX,D,ES,N,Y,D,R157
2743104,R157,00-00-00,2020-02-29 20:00:00,5126993.0,1332142.0,3467231.25,2604603.5,265282.0,215306.0,205 St - Norwood,ES112,Center Island Platform to Mezzanine,BX,D,ES,N,Y,D,R157
2743105,R157,00-00-00,2020-03-01 00:00:00,5127113.0,1332193.0,3732513.0,2819909.0,265282.0,215306.0,205 St - Norwood,ES112,Center Island Platform to Mezzanine,BX,D,ES,N,Y,D,R157
2743106,R157,00-00-00,2020-03-01 00:00:00,5127113.0,1332193.0,3732513.0,2819909.0,0.0,0.0,205 St - Norwood,ES112,Center Island Platform to Mezzanine,BX,D,ES,N,Y,D,R157
2743107,R157,00-00-00,2020-03-01 00:00:00,5127113.0,1332193.0,4256411.75,3261278.5,523899.0,441370.0,205 St - Norwood,ES112,Center Island Platform to Mezzanine,BX,D,ES,N,Y,D,R157
