,UNIT,SCP,datetime,ENTRIES,EXITS,cleaned_entries,cleaned_exits,entries_diff,exists_diff,station_name,equipment_id,description,borough,subway_lines,equipment_type,ada_compliant,is_active,clean_lines,remote
3265456,R303,00-00-00,2020-02-29 03:00:00,7969253.0,11328518.0,0.0,0.0,,,21 St - Queensbridge,EL405,21 St & 41 Ave (NE corner) to Mezzanine to reach service in both directions,QNS,F,EL,Y,Y,F,R303
3265457,R303,00-00-00,2020-02-29 03:00:00,7969253.0,11328518.0,0.0,0.0,,,21 St - Queensbridge,EL407,Mezzanine to Jamaica bound Platform,QNS,F,EL,Y,Y,F,R303
3265458,R303,00-00-00,2020-02-29 03:00:00,7969253.0,11328518.0,0.0,0.0,,,21 St - Queensbridge,EL406,Mezzanine to Manhattan bound Platform,QNS,F,EL,Y,Y,F,R303
3265459,R303,00-00-00,2020-02-29 03:00:00,7969253.0,11328518.0,0.0,0.0,,,21 St - Queensbridge,ES421,Mezzanine to Street,QNS,F,ES,N,Y,F,R303
3265460,R303,00-00-00,2020-02-29 03:00:00,7969253.0,11328518.0,0.0,0.0,,,21 St - Queensbridge,ES422,Mezzanine to Street,QNS,F,ES,N,Y,F,R303
3265461,R303,00-00-00,2020-02-29 03:00:00,7969253.0,11328518.0,0.0,0.0,,,21 St - Queensbridge,ES425,Northbound Platform to Mezzanine,QNS,F,ES,N,Y,F,R303
3265462,R303,00-00-00,2020-02-29 03:00:00,7969253.0,11328518.0,0.0,0.0,,,21 St - Queensbridge,ES426,Northbound Platform to Mezzanine,QNS,F,ES,N,Y,F,R303
3265463,R303,00-00-00,2020-02-29 03:00:00,7969253.0,11328518.0,0.0,0.0,,,21 St - Queensbridge,ES424,Southbound Platform to Mezzanine,QNS,F,ES,N,Y,F,R303
3265464,R303,00-00-00,2020-02-29 03:00:00,7969253.0,11328518.0,0.0,0.0,,,21 St - Queensbridge,ES423,Southbound Platform to Mezzanine,QNS,F,ES,N,Y,F,R303
3265465,R303,00-00-00,2020-02-29 03:00:00,7969253.0,11328518.0,0.0,0.0,0.0,0.0,21 St - Queensbridge,EL405,21 St & 41 Ave (NE corner) to Mezzanine to reach service in both directions,QNS,F,EL,Y,Y,F,R303
3265466,R303,00-00-00,2020-02-29 03:00:00,7969253.0,11328518.0,0.0,0.0,0.0,0.0,21 St - Queensbridge,EL407,Mezzanine to Jamaica bound Platform,QNS,F,EL,Y,Y,F,R303
3265467,R303,00-00-00,2020-02-29 03:00:00,7969253.0,11328518.0,0.0,0.0,0.0,0.0,21 St - Queensbridge,EL406,Mezzanine to Manhattan bound Platform,QNS,F,EL,Y,Y,F,R303
3265468,R303,00-00-00,2020-02-29 03:00:00,7969253.0,11328518.0,0.0,0.0,0.0,0.0,21 St - Queensbridge,ES421,Mezzanine to Street,QNS,F,ES,N,Y,F,R303
3265469,R303,00-00-00,2020-02-29 03:00:00,7969253.0,11328518.0,0.0,0.0,0.0,0.0,21 St - Queensbridge,ES422,Mezzanine to Street,QNS,F,ES,N,Y,F,R303
3265470,R303,00-00-00,2020-02-29 03:00:00,7969253.0,11328518.0,0.0,0.0,0.0,0.0,21 St - Queensbridge,ES425,Northbound Platform to Mezzanine,QNS,F,ES,N,Y,F,R303
3265471,R303,00-00-00,2020-02-29 03:00:00,7969253.0,11328518.0,0.0,0.0,0.0,0.0,21 St - Queensbridge,ES426,Northbound Platform to Mezzanine,QNS,F,ES,N,Y,F,R303
3265472,R303,00-00-00,2020-02-29 03:00:00,7969253.0,11328518.0,0.0,0.0,0.0,0.0,21 St - Queensbridge,ES424,Southbound Platform to Mezzanine,QNS,F,ES,N,Y,F,R303
3265473,R303,00-00-00,2020-02-29 03:00:00,7969253.0,11328518.0,0.0,0.0,0.0,0.0,21 St - Queensbridge,ES423,Southbound Platform to Mezzanine,QNS,F,ES,N,Y,F,R303
3265474,R303,00-00-00,2020-02-29 03:00:00,7969253.0,11328518.0,15601.25,16106.0,15601.0,16106.0,21 St - Queensbridge,EL405,21 St & 41 Ave (NE corner) to Mezzanine to reach service in both directions,QNS,F,EL,Y,Y,F,R303
3265475,R303,00-00-00,2020-02-29 03:00:00,7969253.0,11328518.0,15601.25,16106.0,15601.0,16106.0,21 St - Queensbridge,EL407,Mezzanine to Jamaica bound Platform,QNS,F,EL,Y,Y,F,R303
3265476,R303,00-00-00,2020-02-29 03:00:00,7969253.0,11328518.0,15601.25,16106.0,15601.0,16106.0,21 St - Queensbridge,EL406,Mezzanine to Manhattan bound Platform,QNS,F,EL,Y,Y,F,R303
3265477,R303,00-00-00,2020-02-29 03:00:00,7969253.0,11328518.0,15601.25,16106.0,15601.0,16106.0,21 St - Queensbridge,ES421,Mezzanine to Street,QNS,F,ES,N,Y,F,R303
3265478,R303,00-00-00,2020-02-29 03:00:00,7969253.0,11328518.0,15601.25,16106.0,15601.0,16106.0,21 St - Queensbridge,ES422,Mezzanine to Street,QNS,F,ES,N,Y,F,R303
3265479,R303,00-00-00,2020-02-29 03:00:00,7969253.0,11328518.0,15601.25,16106.0,15601.0,16106.0,21 St - Queensbridge,ES425,Northbound Platform to Mezzanine,QNS,F,ES,N,Y,F,R303
3265480,R303,00-00-00,2020-02-29 03:00:00,7969253.0,11328518.0,15601.25,16106.0,15601.0,16106.0,21 St - Queensbridge,ES426,Northbound Platform to Mezzanine,QNS,F,ES,N,Y,F,R303
3265481,R303,00-00-00,2020-02-29 03:00:00,7969253.0,11328518.0,15601.25,16106.0,15601.0,16106.0,21 St - Queensbridge,ES424,Southbound Platform to Mezzanine,QNS,F,ES,N,Y,F,R303
3265482,R303,00-00-00,2020-02-29 03:00:00,7969253.0,11328518.0,15601.25,16106.0,15601.0,16106.0,21 St - Queensbridge,ES423,Southbound Platform to Mezzanine,QNS,F,ES,N,Y,F,R303
3265483,R303,00-00-00,2020-02-29 03:00:00,7969253.0,11328518.0,31202.5,32212.0,15601.0,16106.0,21 St - Queensbridge,EL405,21 St & 41 Ave (NE corner) to Mezzanine to reach service in both directions,QNS,F,EL,Y,Y,F,R303
3265484,R303,00-00-00,2020-02-29 03:00:00,7969253.0,11328518.0,31202.5,32212.0,15601.0,16106.0,21 St - Queensbridge,EL407,Mezzanine to Jamaica bound Platform,QNS,F,EL,Y,Y,F,R303
3265485,R303,00-00-00,2020-02-29 03:00:00,7969253.0,11328518.0,31202.5,32212.0,15601.0,16106.0,21 St - Queensbridge,EL406,Mezzanine to Manhattan bound Platform,QNS,F,EL,Y,Y,F,R303
3265486,R303,00-00-00,2020-02-29 03:00:00,7969253.0,11328518.0,31202.5,32212.0,15601.0,16106.0,21 St - Queensbridge,ES421,Mezzanine to Street,QNS,F,ES,N,Y,F,R303
3265487,R303,00-00-00,2020-02-29 03:00:00,7969253.0,11328518.0,31202.5,32212.0,15601.0,16106.0,21 St - Queensbridge,ES422,Mezzanine to Street,QNS,F,ES,N,Y,F,R303
3265488,R303,00-00-00,2020-02-29 03:00:00,7969253.0,11328518.0,31202.5,32212.0,15601.0,16106.0,21 St - Queensbridge,ES425,Northbound Platform to Mezzanine,QNS,F,ES,N,Y,F,R303
3265489,R303,00-00-00,2020-02-29 03:00:00,7969253.0,11328518.0,31202.5,32212.0,15601.0,16106.0,21 St - Queensbridge,ES426,Northbound Platform to Mezzanine,QNS,F,ES,N,Y,F,R303
3265490,R303,00-00-00,2020-02-29 03:00:00,7969253.0,11328518.0,31202.5,32212.0,15601.0,16106.0,21 St - Queensbridge,ES424,Southbound Platform to Mezzanine,QNS,F,ES,N,Y,F,R303
3265491,R303,00-00-00,2020-02-29 03:00:00,7969253.0,11328518.0,31202.5,32212.0,15601.0,16106.0,21 St - Queensbridge,ES423,Southbound Platform to Mezzanine,QNS,F,ES,N,Y,F,R303
3265492,R303,00-00-00,2020-02-29 03:00:00,7969253.0,11328518.0,46803.75,48318.0,15601.0,16106.0,21 St - Queensbridge,EL405,21 St & 41 Ave (NE corner) to Mezzanine to reach service in both directions,QNS,F,EL,Y,Y,F,R303
3265493,R303,00-00-00,2020-02-29 03:00:00,7969253.0,11328518.0,46803.75,48318.0,15601.0,16106.0,21 St - Queensbridge,EL407,Mezzanine to Jamaica bound Platform,QNS,F,EL,Y,Y,F,R303
3265494,R303,00-00-00,2020-02-29 03:00:00,7969253.0,11328518.0,46803.75,48318.0,15601.0,16106.0,21 St - Queensbridge,EL406,Mezzanine to Manhattan bound Platform,QNS,F,EL,Y,Y,F,R303
3265495,R303,00-00-00,2020-02-29 03:00:00,7969253.0,11328518.0,46803.75,48318.0,15601.0,16106.0,21 St - Queensbridge,ES421,Mezzanine to Street,QNS,F,ES,N,Y,F,R303
3265496,R303,00-00-00,2020-02-29 03:00:00,7969253.0,11328518.0,46803.75,48318.0,15601.0,16106.0,21 St - Queensbridge,ES422,Mezzanine to Street,QNS,F,ES,N,Y,F,R303
3265497,R303,00-00-00,2020-02-29 03:00:00,7969253.0,11328518.0,46803.75,48318.0,15601.0,16106.0,21 St - Queensbridge,ES425,Northbound Platform to Mezzanine,QNS,F,ES,N,Y,F,R303
3265498,R303,00-00-00,2020-02-29 03:00:00,7969253.0,11328518.0,46803.75,48318.0,15601.0,16106.0,21 St - Queensbridge,ES426,Northbound Platform to Mezzanine,QNS,F,ES,N,Y,F,R303
3265499,R303,00-00-00,2020-02-29 03:00:00,7969253.0,11328518.0,46803.75,48318.0,15601.0,16106.0,21 St - Queensbridge,ES424,Southbound Platform to Mezzanine,QNS,F,ES,N,Y,F,R303
3265500,R303,00-00-00,2020-02-29 03:00:00,7969253.0,11328518.0,46803.75,48318.0,15601.0,16106.0,21 St - Queensbridge,ES423,Southbound Platform to Mezzanine,QNS,F,ES,N,Y,F,R303
3265501,R303,00-00-00,2020-02-29 07:00:00,7969290.0,11328599.0,62405.0,64424.0,15601.0,16106.0,21 St - Queensbridge,EL405,21 St & 41 Ave (NE corner) to Mezzanine to reach service in both directions,QNS,F,EL,Y,Y,F,R303
3265502,R303,00-00-00,2020-02-29 07:00:00,7969290.0,11328599.0,62405.0,64424.0,15601.0,16106.0,21 St - Queensbridge,EL407,Mezzanine to Jamaica bound Platform,QNS,F,EL,Y,Y,F,R303
3265503,R303,00-00-00,2020-02-29 07:00:00,7969290.0,11328599.0,62405.0,64424.0,15601.0,16106.0,21 St - Queensbridge,EL406,Mezzanine to Manhattan bound Platform,QNS,F,EL,Y,Y,F,R303
3265504,R303,00-00-00,2020-02-29 07:00:00,7969290.0,11328599.0,62405.0,64424.0,15601.0,16106.0,21 St - Queensbridge,ES421,Mezzanine to Street,QNS,F,ES,N,Y,F,R303
3265505,R303,00-00-00,2020-02-29 07:00:00,7969290.0,11328599.0,62405.0,64424.0,15601.0,16106.0,21 St - Queensbridge,ES422,Mezzanine to Street,QNS,F,ES,N,Y,F,R303
3265506,R303,00-00-00,2020-02-29 07:00:00,7969290.0,11328599.0,62405.0,64424.0,15601.0,16106.0,21 St - Queensbridge,ES425,Northbound Platform to Mezzanine,QNS,F,ES,N,Y,F,R303
3265507,R303,00-00-00,2020-02-29 07:00:00,7969290.0,11328599.0,62405.0,64424.0,15601.0,16106.0,21 St - Queensbridge,ES426,Northbound Platform to Mezzanine,QNS,F,ES,N,Y,F,R303
3265508,R303,00-00-00,2020-02-29 07:00:00,7969290.0,11328599.0,62405.0,64424.0,15601.0,16106.0,21 St - Queensbridge,ES424,Southbound Platform to Mezzanine,QNS,F,ES,N,Y,F,R303
3265509,R303,00-00-00,2020-02-29 07:00:00,7969290.0,11328599.0,62405.0,64424.0,15601.0,16106.0,21 St - Queensbridge,ES423,Southbound Platform to Mezzanine,QNS,F,ES,N,Y,F,R303
3265510,R303,00-00-00,2020-02-29 07:00:00,7969290.0,11328599.0,62405.0,64424.0,0.0,0.0,21 St - Queensbridge,EL405,21 St & 41 Ave (NE corner) to Mezzanine to reach service in both directions,QNS,F,EL,Y,Y,F,R303
3265511,R303,00-00-00,2020-02-29 07:00:00,7969290.0,11328599.0,62405.0,64424.0,0.0,0.0,21 St - Queensbridge,EL407,Mezzanine to Jamaica bound Platform,QNS,F,EL,Y,Y,F,R303
3265512,R303,00-00-00,2020-02-29 07:00:00,7969290.0,11328599.0,62405.0,64424.0,0.0,0.0,21 St - Queensbridge,EL406,Mezzanine to Manhattan bound Platform,QNS,F,EL,Y,Y,F,R303
