,UNIT,SCP,datetime,ENTRIES,EXITS,cleaned_entries,cleaned_exits,entries_diff,exists_diff,station_name,equipment_id,description,borough,subway_lines,equipment_type,ada_compliant,is_active,clean_lines,remote
632402,R021,00-00-00,2020-02-29 03:00:00,633591.0,2164185.0,0.0,0.0,,,42 St - Bryant Park,EL295X,39 St & 6th Ave (near NW corner) to Mezzanine of B/D/F/M and passageway to 7 line,MN,B/D/F/M,EL,N,Y,B-D-F-M,R021
632403,R021,00-00-00,2020-02-29 03:00:00,633591.0,2164185.0,0.0,0.0,,,42 St - Bryant Park,EL287X,42 St & 6th Ave (NW corne) to Mezzanine of B/D/F/M and passageway to 7 line,MN,B/D/F/M,EL,N,Y,B-D-F-M,R021
632404,R021,00-00-00,2020-02-29 03:00:00,633591.0,2164185.0,0.0,0.0,,,42 St - Bryant Park,EL294X,42 St & 6th Ave (SW corner) to Mezzanine of B/D/F/M and passageway to 7 line,MN,B/D/F/M,EL,N,Y,B-D-F-M,R021
632405,R021,00-00-00,2020-02-29 03:00:00,633591.0,2164185.0,0.0,0.0,0.0,0.0,42 St - Bryant Park,EL295X,39 St & 6th Ave (near NW corner) to Mezzanine of B/D/F/M and passageway to 7 line,MN,B/D/F/M,EL,N,Y,B-D-F-M,R021
632406,R021,00-00-00,2020-02-29 03:00:00,633591.0,2164185.0,0.0,0.0,0.0,0.0,42 St - Bryant Park,EL287X,42 St & 6th Ave (NW corne) to Mezzanine of B/D/F/M and passageway to 7 line,MN,B/D/F/M,EL,N,Y,B-D-F-M,R021
632407,R021,00-00-00,2020-02-29 03:00:00,633591.0,2164185.0,0.0,0.0,0.0,0.0,42 St - Bryant Park,EL294X,42 St & 6th Ave (SW corner) to Mezzanine of B/D/F/M and passageway to 7 line,MN,B/D/F/M,EL,N,Y,B-D-F-M,R021
632408,R021,00-00-00,2020-02-29 03:00:00,633591.0,2164185.0,15471.25,16013.75,15471.0,16014.0,42 St - Bryant Park,EL295X,39 St & 6th Ave (near NW corner) to Mezzanine of B/D/F/M and passageway to 7 line,MN,B/D/F/M,EL,N,Y,B-D-F-M,R021
632409,R021,00-00-00,2020-02-29 03:00:00,633591.0,2164185.0,15471.25,16013.75,15471.0,16014.0,42 St - Bryant Park,EL287X,42 St & 6th Ave (NW corne) to Mezzanine of B/D/F/M and passageway to 7 line,MN,B/D/F/M,EL,N,Y,B-D-F-M,R021
632410,R021,00-00-00,2020-02-29 03:00:00,633591.0,2164185.0,15471.25,16013.75,15471.0,16014.0,42 St - Bryant Park,EL294X,42 St & 6th Ave (SW corner) to Mezzanine of B/D/F/M and passageway to 7 line,MN,B/D/F/M,EL,N,Y,B-D-F-M,R021
632411,R021,00-00-00,2020-02-29 03:00:00,633591.0,2164185.0,30942.5,32027.5,15471.0,16014.0,42 St - Bryant Park,EL295X,39 St & 6th Ave (near NW corner) to Mezzanine of B/D/F/M and passageway to 7 line,MN,B/D/F/M,EL,N,Y,B-D-F-M,R021
632412,R021,00-00-00,2020-02-29 03:00:00,633591.0,2164185.0,30942.5,32027.5,15471.0,16014.0,42 St - Bryant Park,EL287X,42 St & 6th Ave (NW corne) to Mezzanine of B/D/F/M and passageway to 7 line,MN,B/D/F/M,EL,N,Y,B-D-F-M,R021
