,UNIT,SCP,datetime,ENTRIES,EXITS,cleaned_entries,cleaned_exits,entries_diff,exists_diff,station_name,equipment_id,description,borough,subway_lines,equipment_type,ada_compliant,is_active,clean_lines,remote
2693430,R147,00-00-00,2020-02-29 00:00:00,1133938.0,961782.0,0.0,0.0,,,61 St - Woodside,EL419X,LIRR Platform to 7 line Mezzanine,QNS,7,EL,N,Y,7,R147
2693431,R147,00-00-00,2020-02-29 00:00:00,1133938.0,961782.0,0.0,0.0,,,61 St - Woodside,EL418X,LIRR Platform to 7 line Mezzanine,QNS,7,EL,N,Y,7,R147
2693432,R147,00-00-00,2020-02-29 00:00:00,1133938.0,961782.0,0.0,0.0,,,61 St - Woodside,EL417X,Mezzanine to Flushing Main St bound Platform,QNS,7,EL,Y,Y,7,R147
2693433,R147,00-00-00,2020-02-29 00:00:00,1133938.0,961782.0,0.0,0.0,,,61 St - Woodside,EL416X,Mezzanine to Manhattan bound Platform,QNS,7,EL,Y,Y,7,R147
2693434,R147,00-00-00,2020-02-29 00:00:00,1133938.0,961782.0,0.0,0.0,,,61 St - Woodside,EL415X,Roosevelt Ave & 61 St (NE corner) to  Mezzanine for service in both directions,QNS,7,EL,Y,Y,7,R147
2693435,R147,00-00-00,2020-02-29 00:00:00,1133938.0,961782.0,0.0,0.0,,,61 St - Woodside,ES448,Street to Mezzanine,QNS,7,ES,N,Y,7,R147
2693436,R147,00-00-00,2020-02-29 00:00:00,1133938.0,961782.0,0.0,0.0,0.0,0.0,61 St - Woodside,EL419X,LIRR Platform to 7 line Mezzanine,QNS,7,EL,N,Y,7,R147
2693437,R147,00-00-00,2020-02-29 00:00:00,1133938.0,961782.0,0.0,0.0,0.0,0.0,61 St - Woodside,EL418X,LIRR Platform to 7 line Mezzanine,QNS,7,EL,N,Y,7,R147
2693438,R147,00-00-00,2020-02-29 00:00:00,1133938.0,961782.0,0.0,0.0,0.0,0.0,61 St - Woodside,EL417X,Mezzanine to Flushing Main St bound Platform,QNS,7,EL,Y,Y,7,R147
2693439,R147,00-00-00,2020-02-29 00:00:00,1133938.0,961782.0,0.0,0.0,0.0,0.0,61 St - Woodside,EL416X,Mezzanine to Manhattan bound Platform,QNS,7,EL,Y,Y,7,R147
