,UNIT,SCP,datetime,ENTRIES,EXITS,cleaned_entries,cleaned_exits,entries_diff,exists_diff,station_name,equipment_id,description,borough,subway_lines,equipment_type,ada_compliant,is_active,clean_lines,remote
2895489,R177,00-00-00,2020-02-29 00:00:00,1171471.0,697888.0,0.0,0.0,,,68 St / Hunter College,EL285,Mezzanine Northbound Platform,MN,6,EL,Y,N,6,R177
2895490,R177,00-00-00,2020-02-29 00:00:00,1171471.0,697888.0,0.0,0.0,,,68 St / Hunter College,EL286,Mezzanine Southbound Platform,MN,6,EL,Y,N,6,R177
2895491,R177,00-00-00,2020-02-29 00:00:00,1171471.0,697888.0,0.0,0.0,,,68 St / Hunter College,EL284,Mezzanine to Street,MN,6,EL,Y,N,6,R177
2895492,R177,00-00-00,2020-02-29 00:00:00,1171471.0,697888.0,0.0,0.0,0.0,0.0,68 St / Hunter College,EL285,Mezzanine Northbound Platform,MN,6,EL,Y,N,6,R177
2895493,R177,00-00-00,2020-02-29 00:00:00,1171471.0,697888.0,0.0,0.0,0.0,0.0,68 St / Hunter College,EL286,Mezzanine Southbound Platform,MN,6,EL,Y,N,6,R177
2895494,R177,00-00-00,2020-02-29 00:00:00,1171471.0,697888.0,0.0,0.0,0.0,0.0,68 St / Hunter College,EL284,Mezzanine to Street,MN,6,EL,Y,N,6,R177
2895495,R177,00-00-00,2020-02-29 00:00:00,1171471.0,697888.0,2933.0,3853.25,2933.0,3853.0,68 St / Hunter College,EL285,Mezzanine Northbound Platform,MN,6,EL,Y,N,6,R177
2895496,R177,00-00-00,2020-02-29 00:00:00,1171471.0,697888.0,2933.0,3853.25,2933.0,3853.0,68 St / Hunter College,EL286,Mezzanine Southbound Platform,MN,6,EL,Y,N,6,R177
2895497,R177,00-00-00,2020-02-29 00:00:00,1171471.0,697888.0,2933.0,3853.25,2933.0,3853.0,68 St / Hunter College,EL284,Mezzanine to Street,MN,6,EL,Y,N,6,R177
2895498,R177,00-00-00,2020-02-29 00:00:00,1171471.0,697888.0,5866.0,7706.5,2933.0,3853.0,68 St / Hunter College,EL285,Mezzanine Northbound Platform,MN,6,EL,Y,N,6,R177
