,UNIT,SCP,datetime,ENTRIES,EXITS,cleaned_entries,cleaned_exits,entries_diff,exists_diff,station_name,equipment_id,description,borough,subway_lines,equipment_type,ada_compliant,is_active,clean_lines,remote
544475,R018,00-00-00,2020-02-29 03:00:00,5778.0,8024.0,0.0,0.0,,,74 St - Broadway / Roosevelt Av,EL423,Mezzanine to Platform for Manhattan bound 7 line service,QNS,7/E/F/M/R,EL,Y,Y,7-E-F-M-R,R018
544484,R018,00-00-00,2020-02-29 03:00:00,5778.0,8024.0,0.0,0.0,0.0,0.0,74 St - Broadway / Roosevelt Av,EL423,Mezzanine to Platform for Manhattan bound 7 line service,QNS,7/E/F/M/R,EL,Y,Y,7-E-F-M-R,R018
544493,R018,00-00-00,2020-02-29 03:00:00,5778.0,8024.0,10469.5,13180.25,10470.0,13180.0,74 St - Broadway / Roosevelt Av,EL423,Mezzanine to Platform for Manhattan bound 7 line service,QNS,7/E/F/M/R,EL,Y,Y,7-E-F-M-R,R018
544502,R018,00-00-00,2020-02-29 03:00:00,5778.0,8024.0,20939.0,26360.5,10470.0,13180.0,74 St - Broadway / Roosevelt Av,EL423,Mezzanine to Platform for Manhattan bound 7 line service,QNS,7/E/F/M/R,EL,Y,Y,7-E-F-M-R,R018
544511,R018,00-00-00,2020-02-29 03:00:00,5778.0,8024.0,31408.5,39540.75,10470.0,13180.0,74 St - Broadway / Roosevelt Av,EL423,Mezzanine to Platform for Manhattan bound 7 line service,QNS,7/E/F/M/R,EL,Y,Y,7-E-F-M-R,R018
544520,R018,00-00-00,2020-02-29 07:00:00,5829.0,8061.0,41878.0,52721.0,10470.0,13180.0,74 St - Broadway / Roosevelt Av,EL423,Mezzanine to Platform for Manhattan bound 7 line service,QNS,7/E/F/M/R,EL,Y,Y,7-E-F-M-R,R018
544529,R018,00-00-00,2020-02-29 07:00:00,5829.0,8061.0,41878.0,52721.0,0.0,0.0,74 St - Broadway / Roosevelt Av,EL423,Mezzanine to Platform for Manhattan bound 7 line service,QNS,7/E/F/M/R,EL,Y,Y,7-E-F-M-R,R018
544538,R018,00-00-00,2020-02-29 07:00:00,5829.0,8061.0,92277.75,106863.5,50400.0,54142.0,74 St - Broadway / Roosevelt Av,EL423,Mezzanine to Platform for Manhattan bound 7 line service,QNS,7/E/F/M/R,EL,Y,Y,7-E-F-M-R,R018
544547,R018,00-00-00,2020-02-29 07:00:00,5829.0,8061.0,142677.5,161006.0,50400.0,54142.0,74 St - Broadway / Roosevelt Av,EL423,Mezzanine to Platform for Manhattan bound 7 line service,QNS,7/E/F/M/R,EL,Y,Y,7-E-F-M-R,R018
544556,R018,00-00-00,2020-02-29 07:00:00,5829.0,8061.0,193077.25,215148.5,50400.0,54142.0,74 St - Broadway / Roosevelt Av,EL423,Mezzanine to Platform for Manhattan bound 7 line service,QNS,7/E/F/M/R,EL,Y,Y,7-E-F-M-R,R018
544565,R018,00-00-00,2020-02-29 11:00:00,5974.0,8153.0,243477.0,269291.0,50400.0,54142.0,74 St - Broadway / Roosevelt Av,EL423,Mezzanine to Platform for Manhattan bound 7 line service,QNS,7/E/F/M/R,EL,Y,Y,7-E-F-M-R,R018
544574,R018,00-00-00,2020-02-29 11:00:00,5974.0,8153.0,243477.0,269291.0,0.0,0.0,74 St - Broadway / Roosevelt Av,EL423,Mezzanine to Platform for Manhattan bound 7 line service,QNS,7/E/F/M/R,EL,Y,Y,7-E-F-M-R,R018
544583,R018,00-00-00,2020-02-29 11:00:00,5974.0,8153.0,578026.0,465194.25,334549.0,195903.0,74 St - Broadway / Roosevelt Av,EL423,Mezzanine to Platform for Manhattan bound 7 line service,QNS,7/E/F/M/R,EL,Y,Y,7-E-F-M-R,R018
544592,R018,00-00-00,2020-02-29 11:00:00,5974.0,8153.0,912575.0,661097.5,334549.0,195903.0,74 St - Broadway / Roosevelt Av,EL423,Mezzanine to Platform for Manhattan bound 7 line service,QNS,7/E/F/M/R,EL,Y,Y,7-E-F-M-R,R018
544601,R018,00-00-00,2020-02-29 11:00:00,5974.0,8153.0,1247124.0,857000.75,334549.0,195903.0,74 St - Broadway / Roosevelt Av,EL423,Mezzanine to Platform for Manhattan bound 7 line service,QNS,7/E/F/M/R,EL,Y,Y,7-E-F-M-R,R018
544610,R018,00-00-00,2020-02-29 15:00:00,6062.0,8308.0,1581673.0,1052904.0,334549.0,195903.0,74 St - Broadway / Roosevelt Av,EL423,Mezzanine to Platform for Manhattan bound 7 line service,QNS,7/E/F/M/R,EL,Y,Y,7-E-F-M-R,R018
544619,R018,00-00-00,2020-02-29 15:00:00,6062.0,8308.0,1581673.0,1052904.0,0.0,0.0,74 St - Broadway / Roosevelt Av,EL423,Mezzanine to Platform for Manhattan bound 7 line service,QNS,7/E/F/M/R,EL,Y,Y,7-E-F-M-R,R018
544628,R018,00-00-00,2020-02-29 15:00:00,6062.0,8308.0,1728068.5,1170898.25,146396.0,117994.0,74 St - Broadway / Roosevelt Av,EL423,Mezzanine to Platform for Manhattan bound 7 line service,QNS,7/E/F/M/R,EL,Y,Y,7-E-F-M-R,R018
544637,R018,00-00-00,2020-02-29 15:00:00,6062.0,8308.0,1874464.0,1288892.5,146396.0,117994.0,74 St - Broadway / Roosevelt Av,EL423,Mezzanine to Platform for Manhattan bound 7 line service,QNS,7/E/F/M/R,EL,Y,Y,7-E-F-M-R,R018
544646,R018,00-00-00,2020-02-29 15:00:00,6062.0,8308.0,2020859.5,1406886.75,146396.0,117994.0,74 St - Broadway / Roosevelt Av,EL423,Mezzanine to Platform for Manhattan bound 7 line service,QNS,7/E/F/M/R,EL,Y,Y,7-E-F-M-R,R018
