,UNIT,SCP,datetime,ENTRIES,EXITS,cleaned_entries,cleaned_exits,entries_diff,exists_diff,station_name,equipment_id,description,borough,subway_lines,equipment_type,ada_compliant,is_active,clean_lines,remote
3584520,R390,00-00-00,2020-02-29 00:00:00,137426.0,439295.0,0.0,0.0,,,8 Av,EL753,Street to Northbound N Platform,BKN,N,EL,N,Y,N,R390
3584521,R390,00-00-00,2020-02-29 00:00:00,137426.0,439295.0,0.0,0.0,0.0,0.0,8 Av,EL753,Street to Northbound N Platform,BKN,N,EL,N,Y,N,R390
3584522,R390,00-00-00,2020-02-29 00:00:00,137426.0,439295.0,2714.25,3522.5,2714.0,3522.0,8 Av,EL753,Street to Northbound N Platform,BKN,N,EL,N,Y,N,R390
3584523,R390,00-00-00,2020-02-29 00:00:00,137426.0,439295.0,5428.5,7045.0,2714.0,3522.0,8 Av,EL753,Street to Northbound N Platform,BKN,N,EL,N,Y,N,R390
3584524,R390,00-00-00,2020-02-29 00:00:00,137426.0,439295.0,8142.75,10567.5,2714.0,3522.0,8 Av,EL753,Street to Northbound N Platform,BKN,N,EL,N,Y,N,R390
3584525,R390,00-00-00,2020-02-29 04:00:00,137437.0,439362.0,10857.0,14090.0,2714.0,3522.0,8 Av,EL753,Street to Northbound N Platform,BKN,N,EL,N,Y,N,R390
3584526,R390,00-00-00,2020-02-29 04:00:00,137437.0,439362.0,10857.0,14090.0,0.0,0.0,8 Av,EL753,Street to Northbound N Platform,BKN,N,EL,N,Y,N,R390
3584527,R390,00-00-00,2020-02-29 04:00:00,137437.0,439362.0,53290.25,47875.25,42433.0,33785.0,8 Av,EL753,Street to Northbound N Platform,BKN,N,EL,N,Y,N,R390
3584528,R390,00-00-00,2020-02-29 04:00:00,137437.0,439362.0,95723.5,81660.5,42433.0,33785.0,8 Av,EL753,Street to Northbound N Platform,BKN,N,EL,N,Y,N,R390
3584529,R390,00-00-00,2020-02-29 04:00:00,137437.0,439362.0,138156.75,115445.75,42433.0,33785.0,8 Av,EL753,Street to Northbound N Platform,BKN,N,EL,N,Y,N,R390
3584530,R390,00-00-00,2020-02-29 08:00:00,137461.0,439403.0,180590.0,149231.0,42433.0,33785.0,8 Av,EL753,Street to Northbound N Platform,BKN,N,EL,N,Y,N,R390
3584531,R390,00-00-00,2020-02-29 08:00:00,137461.0,439403.0,180590.0,149231.0,0.0,0.0,8 Av,EL753,Street to Northbound N Platform,BKN,N,EL,N,Y,N,R390
3584532,R390,00-00-00,2020-02-29 08:00:00,137461.0,439403.0,415638.75,274471.75,235049.0,125241.0,8 Av,EL753,Street to Northbound N Platform,BKN,N,EL,N,Y,N,R390
3584533,R390,00-00-00,2020-02-29 08:00:00,137461.0,439403.0,650687.5,399712.5,235049.0,125241.0,8 Av,EL753,Street to Northbound N Platform,BKN,N,EL,N,Y,N,R390
3584534,R390,00-00-00,2020-02-29 08:00:00,137461.0,439403.0,885736.25,524953.25,235049.0,125241.0,8 Av,EL753,Street to Northbound N Platform,BKN,N,EL,N,Y,N,R390
