,UNIT,SCP,datetime,ENTRIES,EXITS,cleaned_entries,cleaned_exits,entries_diff,exists_diff,station_name,equipment_id,description,borough,subway_lines,equipment_type,ada_compliant,is_active,clean_lines,remote
2869411,R175,00-00-00,2020-02-29 00:00:00,7449038.0,6436881.0,0.0,0.0,,,8 Av - 14 St,EL224,Mezzanine to Platform for L service in both directions,MN,A/C/E/L,EL,Y,Y,A-C-E-L,R175
2869415,R175,00-00-00,2020-02-29 00:00:00,7449038.0,6436881.0,0.0,0.0,0.0,0.0,8 Av - 14 St,EL224,Mezzanine to Platform for L service in both directions,MN,A/C/E/L,EL,Y,Y,A-C-E-L,R175
2869419,R175,00-00-00,2020-02-29 00:00:00,7449038.0,6436881.0,2114.25,2691.25,2114.0,2691.0,8 Av - 14 St,EL224,Mezzanine to Platform for L service in both directions,MN,A/C/E/L,EL,Y,Y,A-C-E-L,R175
2869423,R175,00-00-00,2020-02-29 00:00:00,7449038.0,6436881.0,4228.5,5382.5,2114.0,2691.0,8 Av - 14 St,EL224,Mezzanine to Platform for L service in both directions,MN,A/C/E/L,EL,Y,Y,A-C-E-L,R175
2869427,R175,00-00-00,2020-02-29 00:00:00,7449038.0,6436881.0,6342.75,8073.75,2114.0,2691.0,8 Av - 14 St,EL224,Mezzanine to Platform for L service in both directions,MN,A/C/E/L,EL,Y,Y,A-C-E-L,R175
2869431,R175,00-00-00,2020-02-29 04:00:00,7449038.0,6436980.0,8457.0,10765.0,2114.0,2691.0,8 Av - 14 St,EL224,Mezzanine to Platform for L service in both directions,MN,A/C/E/L,EL,Y,Y,A-C-E-L,R175
2869435,R175,00-00-00,2020-02-29 04:00:00,7449038.0,6436980.0,8457.0,10765.0,0.0,0.0,8 Av - 14 St,EL224,Mezzanine to Platform for L service in both directions,MN,A/C/E/L,EL,Y,Y,A-C-E-L,R175
2869439,R175,00-00-00,2020-02-29 04:00:00,7449038.0,6436980.0,42520.5,39336.0,34064.0,28571.0,8 Av - 14 St,EL224,Mezzanine to Platform for L service in both directions,MN,A/C/E/L,EL,Y,Y,A-C-E-L,R175
2869443,R175,00-00-00,2020-02-29 04:00:00,7449038.0,6436980.0,76584.0,67907.0,34064.0,28571.0,8 Av - 14 St,EL224,Mezzanine to Platform for L service in both directions,MN,A/C/E/L,EL,Y,Y,A-C-E-L,R175
2869447,R175,00-00-00,2020-02-29 04:00:00,7449038.0,6436980.0,110647.5,96478.0,34064.0,28571.0,8 Av - 14 St,EL224,Mezzanine to Platform for L service in both directions,MN,A/C/E/L,EL,Y,Y,A-C-E-L,R175
2869451,R175,00-00-00,2020-02-29 08:00:00,7449038.0,6437115.0,144711.0,125049.0,34064.0,28571.0,8 Av - 14 St,EL224,Mezzanine to Platform for L service in both directions,MN,A/C/E/L,EL,Y,Y,A-C-E-L,R175
2869455,R175,00-00-00,2020-02-29 08:00:00,7449038.0,6437115.0,144711.0,125049.0,0.0,0.0,8 Av - 14 St,EL224,Mezzanine to Platform for L service in both directions,MN,A/C/E/L,EL,Y,Y,A-C-E-L,R175
2869459,R175,00-00-00,2020-02-29 08:00:00,7449038.0,6437115.0,402577.0,266853.0,257866.0,141804.0,8 Av - 14 St,EL224,Mezzanine to Platform for L service in both directions,MN,A/C/E/L,EL,Y,Y,A-C-E-L,R175
2869463,R175,00-00-00,2020-02-29 08:00:00,7449038.0,6437115.0,660443.0,408657.0,257866.0,141804.0,8 Av - 14 St,EL224,Mezzanine to Platform for L service in both directions,MN,A/C/E/L,EL,Y,Y,A-C-E-L,R175
2869467,R175,00-00-00,2020-02-29 08:00:00,7449038.0,6437115.0,918309.0,550461.0,257866.0,141804.0,8 Av - 14 St,EL224,Mezzanine to Platform for L service in both directions,MN,A/C/E/L,EL,Y,Y,A-C-E-L,R175
2869471,R175,00-00-00,2020-02-29 12:00:00,7449199.0,6437696.0,1176175.0,692265.0,257866.0,141804.0,8 Av - 14 St,EL224,Mezzanine to Platform for L service in both directions,MN,A/C/E/L,EL,Y,Y,A-C-E-L,R175
2869475,R175,00-00-00,2020-02-29 12:00:00,7449199.0,6437696.0,1176175.0,692265.0,0.0,0.0,8 Av - 14 St,EL224,Mezzanine to Platform for L service in both directions,MN,A/C/E/L,EL,Y,Y,A-C-E-L,R175
2869479,R175,00-00-00,2020-02-29 12:00:00,7449199.0,6437696.0,1298622.0,797433.5,122447.0,105168.0,8 Av - 14 St,EL224,Mezzanine to Platform for L service in both directions,MN,A/C/E/L,EL,Y,Y,A-C-E-L,R175
2869483,R175,00-00-00,2020-02-29 12:00:00,7449199.0,6437696.0,1421069.0,902602.0,122447.0,105168.0,8 Av - 14 St,EL224,Mezzanine to Platform for L service in both directions,MN,A/C/E/L,EL,Y,Y,A-C-E-L,R175
2869487,R175,00-00-00,2020-02-29 12:00:00,7449199.0,6437696.0,1543516.0,1007770.5,122447.0,105168.0,8 Av - 14 St,EL224,Mezzanine to Platform for L service in both directions,MN,A/C/E/L,EL,Y,Y,A-C-E-L,R175
2869491,R175,00-00-00,2020-02-29 16:00:00,7449948.0,6438488.0,1665963.0,1112939.0,122447.0,105168.0,8 Av - 14 St,EL224,Mezzanine to Platform for L service in both directions,MN,A/C/E/L,EL,Y,Y,A-C-E-L,R175
