,UNIT,SCP,datetime,ENTRIES,EXITS,cleaned_entries,cleaned_exits,entries_diff,exists_diff,station_name,equipment_id,description,borough,subway_lines,equipment_type,ada_compliant,is_active,clean_lines,remote
3737096,R464,00-05-00,2020-02-29 03:00:00,1984.0,0.0,0.0,0.0,,,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737097,R464,00-05-00,2020-02-29 03:00:00,1984.0,0.0,0.0,0.0,0.0,0.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737098,R464,00-05-00,2020-02-29 03:00:00,1984.0,0.0,22081.25,20554.0,22081.0,20554.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737099,R464,00-05-00,2020-02-29 03:00:00,1984.0,0.0,44162.5,41108.0,22081.0,20554.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737100,R464,00-05-00,2020-02-29 03:00:00,1984.0,0.0,66243.75,61662.0,22081.0,20554.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737101,R464,00-05-00,2020-02-29 07:00:00,1984.0,0.0,88325.0,82216.0,22081.0,20554.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737102,R464,00-05-00,2020-02-29 07:00:00,1984.0,0.0,88325.0,82216.0,0.0,0.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737103,R464,00-05-00,2020-02-29 07:00:00,1984.0,0.0,159584.5,159134.25,71260.0,76918.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737104,R464,00-05-00,2020-02-29 07:00:00,1984.0,0.0,230844.0,236052.5,71260.0,76918.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737105,R464,00-05-00,2020-02-29 07:00:00,1984.0,0.0,302103.5,312970.75,71260.0,76918.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737106,R464,00-05-00,2020-02-29 11:00:00,1984.0,0.0,373363.0,389889.0,71260.0,76918.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737107,R464,00-05-00,2020-02-29 11:00:00,1984.0,0.0,373363.0,389889.0,0.0,0.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737108,R464,00-05-00,2020-02-29 11:00:00,1984.0,0.0,634605.5,519716.75,261242.0,129828.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737109,R464,00-05-00,2020-02-29 11:00:00,1984.0,0.0,895848.0,649544.5,261242.0,129828.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737110,R464,00-05-00,2020-02-29 11:00:00,1984.0,0.0,1157090.5,779372.25,261242.0,129828.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737111,R464,00-05-00,2020-02-29 15:00:00,1984.0,0.0,1418333.0,909200.0,261242.0,129828.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737112,R464,00-05-00,2020-02-29 15:00:00,1984.0,0.0,1418333.0,909200.0,0.0,0.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737113,R464,00-05-00,2020-02-29 15:00:00,1984.0,0.0,1572303.25,1036729.5,153970.0,127530.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737114,R464,00-05-00,2020-02-29 15:00:00,1984.0,0.0,1726273.5,1164259.0,153970.0,127530.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737115,R464,00-05-00,2020-02-29 15:00:00,1984.0,0.0,1880243.75,1291788.5,153970.0,127530.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737116,R464,00-05-00,2020-02-29 19:00:00,1984.0,0.0,2034214.0,1419318.0,153970.0,127530.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737117,R464,00-05-00,2020-02-29 19:00:00,1984.0,0.0,2034214.0,1419318.0,0.0,0.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737118,R464,00-05-00,2020-02-29 19:00:00,1984.0,0.0,2260521.75,1614269.25,226308.0,194951.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737119,R464,00-05-00,2020-02-29 19:00:00,1984.0,0.0,2486829.5,1809220.5,226308.0,194951.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737120,R464,00-05-00,2020-02-29 19:00:00,1984.0,0.0,2713137.25,2004171.75,226308.0,194951.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737121,R464,00-05-00,2020-02-29 23:00:00,1984.0,0.0,2939445.0,2199123.0,226308.0,194951.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737122,R464,00-05-00,2020-02-29 23:00:00,1984.0,0.0,2939445.0,2199123.0,0.0,0.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737123,R464,00-05-00,2020-02-29 23:00:00,1984.0,0.0,3645420.0,2778668.25,705975.0,579545.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737124,R464,00-05-00,2020-02-29 23:00:00,1984.0,0.0,4351395.0,3358213.5,705975.0,579545.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737125,R464,00-05-00,2020-02-29 23:00:00,1984.0,0.0,5057370.0,3937758.75,705975.0,579545.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737126,R464,00-05-00,2020-03-01 03:00:00,1984.0,0.0,5763345.0,4517304.0,705975.0,579545.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737127,R464,00-05-00,2020-03-01 03:00:00,1984.0,0.0,5763345.0,4517304.0,0.0,0.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737128,R464,00-05-00,2020-03-01 03:00:00,1984.0,0.0,5783192.5,4538634.75,19848.0,21331.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737129,R464,00-05-00,2020-03-01 03:00:00,1984.0,0.0,5803040.0,4559965.5,19848.0,21331.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737130,R464,00-05-00,2020-03-01 03:00:00,1984.0,0.0,5822887.5,4581296.25,19848.0,21331.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737131,R464,00-05-00,2020-03-01 07:00:00,1984.0,0.0,5842735.0,4602627.0,19848.0,21331.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737132,R464,00-05-00,2020-03-01 07:00:00,1984.0,0.0,5842735.0,4602627.0,0.0,0.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737133,R464,00-05-00,2020-03-01 07:00:00,1984.0,0.0,6530360.5,5326185.75,687626.0,723559.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737134,R464,00-05-00,2020-03-01 07:00:00,1984.0,0.0,7217986.0,6049744.5,687626.0,723559.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737135,R464,00-05-00,2020-03-01 07:00:00,1984.0,0.0,7905611.5,6773303.25,687626.0,723559.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737136,R464,00-05-00,2020-03-01 11:00:00,1984.0,0.0,8593237.0,7496862.0,687626.0,723559.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737137,R464,00-05-00,2020-03-01 11:00:00,1984.0,0.0,8593237.0,7496862.0,0.0,0.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737138,R464,00-05-00,2020-03-01 11:00:00,1984.0,0.0,8695994.25,7583013.25,102757.0,86151.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737139,R464,00-05-00,2020-03-01 11:00:00,1984.0,0.0,8798751.5,7669164.5,102757.0,86151.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737140,R464,00-05-00,2020-03-01 11:00:00,1984.0,0.0,8901508.75,7755315.75,102757.0,86151.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737141,R464,00-05-00,2020-03-01 15:00:00,1984.0,0.0,9004266.0,7841467.0,102757.0,86151.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737142,R464,00-05-00,2020-03-01 15:00:00,1984.0,0.0,9004266.0,7841467.0,0.0,0.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737143,R464,00-05-00,2020-03-01 15:00:00,1984.0,0.0,9189149.75,8003941.5,184884.0,162474.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737144,R464,00-05-00,2020-03-01 15:00:00,1984.0,0.0,9374033.5,8166416.0,184884.0,162474.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737145,R464,00-05-00,2020-03-01 15:00:00,1984.0,0.0,9558917.25,8328890.5,184884.0,162474.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737146,R464,00-05-00,2020-03-01 19:00:00,1984.0,0.0,9743801.0,8491365.0,184884.0,162474.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737147,R464,00-05-00,2020-03-01 19:00:00,1984.0,0.0,9743801.0,8491365.0,0.0,0.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737148,R464,00-05-00,2020-03-01 19:00:00,1984.0,0.0,10043420.5,8662298.25,299620.0,170933.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737149,R464,00-05-00,2020-03-01 19:00:00,1984.0,0.0,10343040.0,8833231.5,299620.0,170933.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737150,R464,00-05-00,2020-03-01 19:00:00,1984.0,0.0,10642659.5,9004164.75,299620.0,170933.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737151,R464,00-05-00,2020-03-01 23:00:00,1984.0,0.0,10942279.0,9175098.0,299620.0,170933.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737152,R464,00-05-00,2020-03-01 23:00:00,1984.0,0.0,10942279.0,9175098.0,0.0,0.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737153,R464,00-05-00,2020-03-01 23:00:00,1984.0,0.0,13756681.0,9896340.75,2814402.0,721243.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737154,R464,00-05-00,2020-03-01 23:00:00,1984.0,0.0,16571083.0,10617583.5,2814402.0,721243.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737155,R464,00-05-00,2020-03-01 23:00:00,1984.0,0.0,19385485.0,11338826.25,2814402.0,721243.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737156,R464,00-05-00,2020-03-02 03:00:00,1984.0,0.0,22199887.0,12060069.0,2814402.0,721243.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737157,R464,00-05-00,2020-03-02 03:00:00,1984.0,0.0,22199887.0,12060069.0,0.0,0.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737158,R464,00-05-00,2020-03-02 03:00:00,1984.0,0.0,22208183.25,12070033.5,8296.0,9964.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737159,R464,00-05-00,2020-03-02 03:00:00,1984.0,0.0,22216479.5,12079998.0,8296.0,9964.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737160,R464,00-05-00,2020-03-02 03:00:00,1984.0,0.0,22224775.75,12089962.5,8296.0,9964.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737161,R464,00-05-00,2020-03-02 07:00:00,1984.0,0.0,22233072.0,12099927.0,8296.0,9964.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737162,R464,00-05-00,2020-03-02 07:00:00,1984.0,0.0,22233072.0,12099927.0,0.0,0.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737163,R464,00-05-00,2020-03-02 07:00:00,1984.0,0.0,22587874.75,12369623.5,354803.0,269696.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737164,R464,00-05-00,2020-03-02 07:00:00,1984.0,0.0,22942677.5,12639320.0,354803.0,269696.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737165,R464,00-05-00,2020-03-02 07:00:00,1984.0,0.0,23297480.25,12909016.5,354803.0,269696.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737166,R464,00-05-00,2020-03-02 11:00:00,1984.0,0.0,23652283.0,13178713.0,354803.0,269696.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737167,R464,00-05-00,2020-03-02 11:00:00,1984.0,0.0,23652283.0,13178713.0,0.0,0.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737168,R464,00-05-00,2020-03-02 11:00:00,1984.0,0.0,23916937.0,13398834.5,264654.0,220122.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737169,R464,00-05-00,2020-03-02 11:00:00,1984.0,0.0,24181591.0,13618956.0,264654.0,220122.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737170,R464,00-05-00,2020-03-02 11:00:00,1984.0,0.0,24446245.0,13839077.5,264654.0,220122.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737171,R464,00-05-00,2020-03-02 15:00:00,1984.0,0.0,24710899.0,14059199.0,264654.0,220122.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737172,R464,00-05-00,2020-03-02 15:00:00,1984.0,0.0,24710899.0,14059199.0,0.0,0.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737173,R464,00-05-00,2020-03-02 15:00:00,1984.0,0.0,25173565.25,14684620.0,462666.0,625421.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737174,R464,00-05-00,2020-03-02 15:00:00,1984.0,0.0,25636231.5,15310041.0,462666.0,625421.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737175,R464,00-05-00,2020-03-02 15:00:00,1984.0,0.0,26098897.75,15935462.0,462666.0,625421.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737176,R464,00-05-00,2020-03-02 19:00:00,1984.0,0.0,26561564.0,16560883.0,462666.0,625421.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737177,R464,00-05-00,2020-03-02 19:00:00,1984.0,0.0,26561564.0,16560883.0,0.0,0.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737178,R464,00-05-00,2020-03-02 19:00:00,1984.0,0.0,28673435.25,18062498.25,2111871.0,1501615.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737179,R464,00-05-00,2020-03-02 19:00:00,1984.0,0.0,30785306.5,19564113.5,2111871.0,1501615.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737180,R464,00-05-00,2020-03-02 19:00:00,1984.0,0.0,32897177.75,21065728.75,2111871.0,1501615.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737181,R464,00-05-00,2020-03-02 23:00:00,1984.0,0.0,35009049.0,22567344.0,2111871.0,1501615.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737182,R464,00-05-00,2020-03-02 23:00:00,1984.0,0.0,35009049.0,22567344.0,0.0,0.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737183,R464,00-05-00,2020-03-02 23:00:00,1984.0,0.0,35132900.75,22686165.75,123852.0,118822.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
3737184,R464,00-05-00,2020-03-02 23:00:00,1984.0,0.0,35256752.5,22804987.5,123852.0,118822.0,Aqueduct Racetrack,EL489X,Sidewalk entrance (east of the pedestrian skybridge) to Manhattan bound Platform,QNS,A,EL,Y,Y,A,R464
