,UNIT,SCP,datetime,ENTRIES,EXITS,cleaned_entries,cleaned_exits,entries_diff,exists_diff,station_name,equipment_id,description,borough,subway_lines,equipment_type,ada_compliant,is_active,clean_lines,remote
3556215,R374,00-00-00,2020-02-29 00:00:00,15130763.0,12163659.0,0.0,0.0,,,Bay Parkway,EL376,Bay Pkwy & 86 St (NW corner) to Mezzanine for service in both directions,BKN,D,EL,Y,Y,D,R374
3556216,R374,00-00-00,2020-02-29 00:00:00,15130763.0,12163659.0,0.0,0.0,,,Bay Parkway,EL378,Mezzanine to Coney Island bound Platform,BKN,D,EL,Y,Y,D,R374
3556217,R374,00-00-00,2020-02-29 00:00:00,15130763.0,12163659.0,0.0,0.0,,,Bay Parkway,EL377,Mezzanine to Manhattan bound Platform,BKN,D,EL,Y,Y,D,R374
3556218,R374,00-00-00,2020-02-29 00:00:00,15130763.0,12163659.0,0.0,0.0,0.0,0.0,Bay Parkway,EL376,Bay Pkwy & 86 St (NW corner) to Mezzanine for service in both directions,BKN,D,EL,Y,Y,D,R374
3556219,R374,00-00-00,2020-02-29 00:00:00,15130763.0,12163659.0,0.0,0.0,0.0,0.0,Bay Parkway,EL378,Mezzanine to Coney Island bound Platform,BKN,D,EL,Y,Y,D,R374
3556220,R374,00-00-00,2020-02-29 00:00:00,15130763.0,12163659.0,0.0,0.0,0.0,0.0,Bay Parkway,EL377,Mezzanine to Manhattan bound Platform,BKN,D,EL,Y,Y,D,R374
3556221,R374,00-00-00,2020-02-29 00:00:00,15130763.0,12163659.0,5992.25,8141.25,5992.0,8141.0,Bay Parkway,EL376,Bay Pkwy & 86 St (NW corner) to Mezzanine for service in both directions,BKN,D,EL,Y,Y,D,R374
3556222,R374,00-00-00,2020-02-29 00:00:00,15130763.0,12163659.0,5992.25,8141.25,5992.0,8141.0,Bay Parkway,EL378,Mezzanine to Coney Island bound Platform,BKN,D,EL,Y,Y,D,R374
3556223,R374,00-00-00,2020-02-29 00:00:00,15130763.0,12163659.0,5992.25,8141.25,5992.0,8141.0,Bay Parkway,EL377,Mezzanine to Manhattan bound Platform,BKN,D,EL,Y,Y,D,R374
3556224,R374,00-00-00,2020-02-29 00:00:00,15130763.0,12163659.0,11984.5,16282.5,5992.0,8141.0,Bay Parkway,EL376,Bay Pkwy & 86 St (NW corner) to Mezzanine for service in both directions,BKN,D,EL,Y,Y,D,R374
3556225,R374,00-00-00,2020-02-29 00:00:00,15130763.0,12163659.0,11984.5,16282.5,5992.0,8141.0,Bay Parkway,EL378,Mezzanine to Coney Island bound Platform,BKN,D,EL,Y,Y,D,R374
3556226,R374,00-00-00,2020-02-29 00:00:00,15130763.0,12163659.0,11984.5,16282.5,5992.0,8141.0,Bay Parkway,EL377,Mezzanine to Manhattan bound Platform,BKN,D,EL,Y,Y,D,R374
3556227,R374,00-00-00,2020-02-29 00:00:00,15130763.0,12163659.0,17976.75,24423.75,5992.0,8141.0,Bay Parkway,EL376,Bay Pkwy & 86 St (NW corner) to Mezzanine for service in both directions,BKN,D,EL,Y,Y,D,R374
3556228,R374,00-00-00,2020-02-29 00:00:00,15130763.0,12163659.0,17976.75,24423.75,5992.0,8141.0,Bay Parkway,EL378,Mezzanine to Coney Island bound Platform,BKN,D,EL,Y,Y,D,R374
3556229,R374,00-00-00,2020-02-29 00:00:00,15130763.0,12163659.0,17976.75,24423.75,5992.0,8141.0,Bay Parkway,EL377,Mezzanine to Manhattan bound Platform,BKN,D,EL,Y,Y,D,R374
3556230,R374,00-00-00,2020-02-29 04:00:00,15130779.0,12163736.0,23969.0,32565.0,5992.0,8141.0,Bay Parkway,EL376,Bay Pkwy & 86 St (NW corner) to Mezzanine for service in both directions,BKN,D,EL,Y,Y,D,R374
3556231,R374,00-00-00,2020-02-29 04:00:00,15130779.0,12163736.0,23969.0,32565.0,5992.0,8141.0,Bay Parkway,EL378,Mezzanine to Coney Island bound Platform,BKN,D,EL,Y,Y,D,R374
3556232,R374,00-00-00,2020-02-29 04:00:00,15130779.0,12163736.0,23969.0,32565.0,5992.0,8141.0,Bay Parkway,EL377,Mezzanine to Manhattan bound Platform,BKN,D,EL,Y,Y,D,R374
3556233,R374,00-00-00,2020-02-29 04:00:00,15130779.0,12163736.0,23969.0,32565.0,0.0,0.0,Bay Parkway,EL376,Bay Pkwy & 86 St (NW corner) to Mezzanine for service in both directions,BKN,D,EL,Y,Y,D,R374
3556234,R374,00-00-00,2020-02-29 04:00:00,15130779.0,12163736.0,23969.0,32565.0,0.0,0.0,Bay Parkway,EL378,Mezzanine to Coney Island bound Platform,BKN,D,EL,Y,Y,D,R374
3556235,R374,00-00-00,2020-02-29 04:00:00,15130779.0,12163736.0,23969.0,32565.0,0.0,0.0,Bay Parkway,EL377,Mezzanine to Manhattan bound Platform,BKN,D,EL,Y,Y,D,R374
3556236,R374,00-00-00,2020-02-29 04:00:00,15130779.0,12163736.0,59818.5,59754.5,35850.0,27190.0,Bay Parkway,EL376,Bay Pkwy & 86 St (NW corner) to Mezzanine for service in both directions,BKN,D,EL,Y,Y,D,R374
3556237,R374,00-00-00,2020-02-29 04:00:00,15130779.0,12163736.0,59818.5,59754.5,35850.0,27190.0,Bay Parkway,EL378,Mezzanine to Coney Island bound Platform,BKN,D,EL,Y,Y,D,R374
3556238,R374,00-00-00,2020-02-29 04:00:00,15130779.0,12163736.0,59818.5,59754.5,35850.0,27190.0,Bay Parkway,EL377,Mezzanine to Manhattan bound Platform,BKN,D,EL,Y,Y,D,R374
3556239,R374,00-00-00,2020-02-29 04:00:00,15130779.0,12163736.0,95668.0,86944.0,35850.0,27190.0,Bay Parkway,EL376,Bay Pkwy & 86 St (NW corner) to Mezzanine for service in both directions,BKN,D,EL,Y,Y,D,R374
3556240,R374,00-00-00,2020-02-29 04:00:00,15130779.0,12163736.0,95668.0,86944.0,35850.0,27190.0,Bay Parkway,EL378,Mezzanine to Coney Island bound Platform,BKN,D,EL,Y,Y,D,R374
3556241,R374,00-00-00,2020-02-29 04:00:00,15130779.0,12163736.0,95668.0,86944.0,35850.0,27190.0,Bay Parkway,EL377,Mezzanine to Manhattan bound Platform,BKN,D,EL,Y,Y,D,R374
3556242,R374,00-00-00,2020-02-29 04:00:00,15130779.0,12163736.0,131517.5,114133.5,35850.0,27190.0,Bay Parkway,EL376,Bay Pkwy & 86 St (NW corner) to Mezzanine for service in both directions,BKN,D,EL,Y,Y,D,R374
3556243,R374,00-00-00,2020-02-29 04:00:00,15130779.0,12163736.0,131517.5,114133.5,35850.0,27190.0,Bay Parkway,EL378,Mezzanine to Coney Island bound Platform,BKN,D,EL,Y,Y,D,R374
3556244,R374,00-00-00,2020-02-29 04:00:00,15130779.0,12163736.0,131517.5,114133.5,35850.0,27190.0,Bay Parkway,EL377,Mezzanine to Manhattan bound Platform,BKN,D,EL,Y,Y,D,R374
3556245,R374,00-00-00,2020-02-29 08:00:00,15130976.0,12163782.0,167367.0,141323.0,35850.0,27190.0,Bay Parkway,EL376,Bay Pkwy & 86 St (NW corner) to Mezzanine for service in both directions,BKN,D,EL,Y,Y,D,R374
3556246,R374,00-00-00,2020-02-29 08:00:00,15130976.0,12163782.0,167367.0,141323.0,35850.0,27190.0,Bay Parkway,EL378,Mezzanine to Coney Island bound Platform,BKN,D,EL,Y,Y,D,R374
3556247,R374,00-00-00,2020-02-29 08:00:00,15130976.0,12163782.0,167367.0,141323.0,35850.0,27190.0,Bay Parkway,EL377,Mezzanine to Manhattan bound Platform,BKN,D,EL,Y,Y,D,R374
3556248,R374,00-00-00,2020-02-29 08:00:00,15130976.0,12163782.0,167367.0,141323.0,0.0,0.0,Bay Parkway,EL376,Bay Pkwy & 86 St (NW corner) to Mezzanine for service in both directions,BKN,D,EL,Y,Y,D,R374
3556249,R374,00-00-00,2020-02-29 08:00:00,15130976.0,12163782.0,167367.0,141323.0,0.0,0.0,Bay Parkway,EL378,Mezzanine to Coney Island bound Platform,BKN,D,EL,Y,Y,D,R374
3556250,R374,00-00-00,2020-02-29 08:00:00,15130976.0,12163782.0,167367.0,141323.0,0.0,0.0,Bay Parkway,EL377,Mezzanine to Manhattan bound Platform,BKN,D,EL,Y,Y,D,R374
3556251,R374,00-00-00,2020-02-29 08:00:00,15130976.0,12163782.0,265070.75,240401.5,97704.0,99078.0,Bay Parkway,EL376,Bay Pkwy & 86 St (NW corner) to Mezzanine for service in both directions,BKN,D,EL,Y,Y,D,R374
3556252,R374,00-00-00,2020-02-29 08:00:00,15130976.0,12163782.0,265070.75,240401.5,97704.0,99078.0,Bay Parkway,EL378,Mezzanine to Coney Island bound Platform,BKN,D,EL,Y,Y,D,R374
3556253,R374,00-00-00,2020-02-29 08:00:00,15130976.0,12163782.0,265070.75,240401.5,97704.0,99078.0,Bay Parkway,EL377,Mezzanine to Manhattan bound Platform,BKN,D,EL,Y,Y,D,R374
3556254,R374,00-00-00,2020-02-29 08:00:00,15130976.0,12163782.0,362774.5,339480.0,97704.0,99078.0,Bay Parkway,EL376,Bay Pkwy & 86 St (NW corner) to Mezzanine for service in both directions,BKN,D,EL,Y,Y,D,R374
3556255,R374,00-00-00,2020-02-29 08:00:00,15130976.0,12163782.0,362774.5,339480.0,97704.0,99078.0,Bay Parkway,EL378,Mezzanine to Coney Island bound Platform,BKN,D,EL,Y,Y,D,R374
3556256,R374,00-00-00,2020-02-29 08:00:00,15130976.0,12163782.0,362774.5,339480.0,97704.0,99078.0,Bay Parkway,EL377,Mezzanine to Manhattan bound Platform,BKN,D,EL,Y,Y,D,R374
3556257,R374,00-00-00,2020-02-29 08:00:00,15130976.0,12163782.0,460478.25,438558.5,97704.0,99078.0,Bay Parkway,EL376,Bay Pkwy & 86 St (NW corner) to Mezzanine for service in both directions,BKN,D,EL,Y,Y,D,R374
3556258,R374,00-00-00,2020-02-29 08:00:00,15130976.0,12163782.0,460478.25,438558.5,97704.0,99078.0,Bay Parkway,EL378,Mezzanine to Coney Island bound Platform,BKN,D,EL,Y,Y,D,R374
3556259,R374,00-00-00,2020-02-29 08:00:00,15130976.0,12163782.0,460478.25,438558.5,97704.0,99078.0,Bay Parkway,EL377,Mezzanine to Manhattan bound Platform,BKN,D,EL,Y,Y,D,R374
3556260,R374,00-00-00,2020-02-29 12:00:00,15131408.0,12164032.0,558182.0,537637.0,97704.0,99078.0,Bay Parkway,EL376,Bay Pkwy & 86 St (NW corner) to Mezzanine for service in both directions,BKN,D,EL,Y,Y,D,R374
3556261,R374,00-00-00,2020-02-29 12:00:00,15131408.0,12164032.0,558182.0,537637.0,97704.0,99078.0,Bay Parkway,EL378,Mezzanine to Coney Island bound Platform,BKN,D,EL,Y,Y,D,R374
3556262,R374,00-00-00,2020-02-29 12:00:00,15131408.0,12164032.0,558182.0,537637.0,97704.0,99078.0,Bay Parkway,EL377,Mezzanine to Manhattan bound Platform,BKN,D,EL,Y,Y,D,R374
3556263,R374,00-00-00,2020-02-29 12:00:00,15131408.0,12164032.0,558182.0,537637.0,0.0,0.0,Bay Parkway,EL376,Bay Pkwy & 86 St (NW corner) to Mezzanine for service in both directions,BKN,D,EL,Y,Y,D,R374
3556264,R374,00-00-00,2020-02-29 12:00:00,15131408.0,12164032.0,558182.0,537637.0,0.0,0.0,Bay Parkway,EL378,Mezzanine to Coney Island bound Platform,BKN,D,EL,Y,Y,D,R374
3556265,R374,00-00-00,2020-02-29 12:00:00,15131408.0,12164032.0,558182.0,537637.0,0.0,0.0,Bay Parkway,EL377,Mezzanine to Manhattan bound Platform,BKN,D,EL,Y,Y,D,R374
3556266,R374,00-00-00,2020-02-29 12:00:00,15131408.0,12164032.0,909050.75,739889.5,350869.0,202252.0,Bay Parkway,EL376,Bay Pkwy & 86 St (NW corner) to Mezzanine for service in both directions,BKN,D,EL,Y,Y,D,R374
3556267,R374,00-00-00,2020-02-29 12:00:00,15131408.0,12164032.0,909050.75,739889.5,350869.0,202252.0,Bay Parkway,EL378,Mezzanine to Coney Island bound Platform,BKN,D,EL,Y,Y,D,R374
3556268,R374,00-00-00,2020-02-29 12:00:00,15131408.0,12164032.0,909050.75,739889.5,350869.0,202252.0,Bay Parkway,EL377,Mezzanine to Manhattan bound Platform,BKN,D,EL,Y,Y,D,R374
3556269,R374,00-00-00,2020-02-29 12:00:00,15131408.0,12164032.0,1259919.5,942142.0,350869.0,202252.0,Bay Parkway,EL376,Bay Pkwy & 86 St (NW corner) to Mezzanine for service in both directions,BKN,D,EL,Y,Y,D,R374
3556270,R374,00-00-00,2020-02-29 12:00:00,15131408.0,12164032.0,1259919.5,942142.0,350869.0,202252.0,Bay Parkway,EL378,Mezzanine to Coney Island bound Platform,BKN,D,EL,Y,Y,D,R374
3556271,R374,00-00-00,2020-02-29 12:00:00,15131408.0,12164032.0,1259919.5,942142.0,350869.0,202252.0,Bay Parkway,EL377,Mezzanine to Manhattan bound Platform,BKN,D,EL,Y,Y,D,R374
3556272,R374,00-00-00,2020-02-29 12:00:00,15131408.0,12164032.0,1610788.25,1144394.5,350869.0,202252.0,Bay Parkway,EL376,Bay Pkwy & 86 St (NW corner) to Mezzanine for service in both directions,BKN,D,EL,Y,Y,D,R374
3556273,R374,00-00-00,2020-02-29 12:00:00,15131408.0,12164032.0,1610788.25,1144394.5,350869.0,202252.0,Bay Parkway,EL378,Mezzanine to Coney Island bound Platform,BKN,D,EL,Y,Y,D,R374
