,UNIT,SCP,datetime,ENTRIES,EXITS,cleaned_entries,cleaned_exits,entries_diff,exists_diff,station_name,equipment_id,description,borough,subway_lines,equipment_type,ada_compliant,is_active,clean_lines,remote
2738107,R156,00-00-00,2020-02-29 00:00:00,2232781.0,2017147.0,0.0,0.0,,,Bedford Park Blvd/Grand Concourse Line,EL501,Mezzanine Northbound Platform,BX,D/B,EL,Y,N,D-B,R156
2738108,R156,00-00-00,2020-02-29 00:00:00,2232781.0,2017147.0,0.0,0.0,,,Bedford Park Blvd/Grand Concourse Line,EL502,Mezzanine Southbound Platform,BX,D/B,EL,Y,N,D-B,R156
2738109,R156,00-00-00,2020-02-29 00:00:00,2232781.0,2017147.0,0.0,0.0,,,Bedford Park Blvd/Grand Concourse Line,EL500,Mezzanine to Street,BX,D/B,EL,Y,N,D-B,R156
2738110,R156,00-00-00,2020-02-29 00:00:00,2232781.0,2017147.0,0.0,0.0,0.0,0.0,Bedford Park Blvd/Grand Concourse Line,EL501,Mezzanine Northbound Platform,BX,D/B,EL,Y,N,D-B,R156
2738111,R156,00-00-00,2020-02-29 00:00:00,2232781.0,2017147.0,0.0,0.0,0.0,0.0,Bedford Park Blvd/Grand Concourse Line,EL502,Mezzanine Southbound Platform,BX,D/B,EL,Y,N,D-B,R156
2738112,R156,00-00-00,2020-02-29 00:00:00,2232781.0,2017147.0,0.0,0.0,0.0,0.0,Bedford Park Blvd/Grand Concourse Line,EL500,Mezzanine to Street,BX,D/B,EL,Y,N,D-B,R156
2738113,R156,00-00-00,2020-02-29 00:00:00,2232781.0,2017147.0,3054.0,4098.75,3054.0,4099.0,Bedford Park Blvd/Grand Concourse Line,EL501,Mezzanine Northbound Platform,BX,D/B,EL,Y,N,D-B,R156
2738114,R156,00-00-00,2020-02-29 00:00:00,2232781.0,2017147.0,3054.0,4098.75,3054.0,4099.0,Bedford Park Blvd/Grand Concourse Line,EL502,Mezzanine Southbound Platform,BX,D/B,EL,Y,N,D-B,R156
2738115,R156,00-00-00,2020-02-29 00:00:00,2232781.0,2017147.0,3054.0,4098.75,3054.0,4099.0,Bedford Park Blvd/Grand Concourse Line,EL500,Mezzanine to Street,BX,D/B,EL,Y,N,D-B,R156
2738116,R156,00-00-00,2020-02-29 00:00:00,2232781.0,2017147.0,6108.0,8197.5,3054.0,4099.0,Bedford Park Blvd/Grand Concourse Line,EL501,Mezzanine Northbound Platform,BX,D/B,EL,Y,N,D-B,R156
2738117,R156,00-00-00,2020-02-29 00:00:00,2232781.0,2017147.0,6108.0,8197.5,3054.0,4099.0,Bedford Park Blvd/Grand Concourse Line,EL502,Mezzanine Southbound Platform,BX,D/B,EL,Y,N,D-B,R156
2738118,R156,00-00-00,2020-02-29 00:00:00,2232781.0,2017147.0,6108.0,8197.5,3054.0,4099.0,Bedford Park Blvd/Grand Concourse Line,EL500,Mezzanine to Street,BX,D/B,EL,Y,N,D-B,R156
2738119,R156,00-00-00,2020-02-29 00:00:00,2232781.0,2017147.0,9162.0,12296.25,3054.0,4099.0,Bedford Park Blvd/Grand Concourse Line,EL501,Mezzanine Northbound Platform,BX,D/B,EL,Y,N,D-B,R156
2738120,R156,00-00-00,2020-02-29 00:00:00,2232781.0,2017147.0,9162.0,12296.25,3054.0,4099.0,Bedford Park Blvd/Grand Concourse Line,EL502,Mezzanine Southbound Platform,BX,D/B,EL,Y,N,D-B,R156
2738121,R156,00-00-00,2020-02-29 00:00:00,2232781.0,2017147.0,9162.0,12296.25,3054.0,4099.0,Bedford Park Blvd/Grand Concourse Line,EL500,Mezzanine to Street,BX,D/B,EL,Y,N,D-B,R156
2738122,R156,00-00-00,2020-02-29 04:00:00,2232810.0,2017244.0,12216.0,16395.0,3054.0,4099.0,Bedford Park Blvd/Grand Concourse Line,EL501,Mezzanine Northbound Platform,BX,D/B,EL,Y,N,D-B,R156
2738123,R156,00-00-00,2020-02-29 04:00:00,2232810.0,2017244.0,12216.0,16395.0,3054.0,4099.0,Bedford Park Blvd/Grand Concourse Line,EL502,Mezzanine Southbound Platform,BX,D/B,EL,Y,N,D-B,R156
2738124,R156,00-00-00,2020-02-29 04:00:00,2232810.0,2017244.0,12216.0,16395.0,3054.0,4099.0,Bedford Park Blvd/Grand Concourse Line,EL500,Mezzanine to Street,BX,D/B,EL,Y,N,D-B,R156
