,UNIT,SCP,datetime,ENTRIES,EXITS,cleaned_entries,cleaned_exits,entries_diff,exists_diff,station_name,equipment_id,description,borough,subway_lines,equipment_type,ada_compliant,is_active,clean_lines,remote
2424593,R108,00-00-00,2020-02-29 03:00:00,2825709.0,941788.0,0.0,0.0,,,Borough Hall,EL317,Court St & Montague St (on plaza) to Mezzanine for service in both directions,BKN,2/3/4/5,EL,Y,Y,2-3-4-5,R108
2424594,R108,00-00-00,2020-02-29 03:00:00,2825709.0,941788.0,0.0,0.0,,,Borough Hall,EL318,Mezzanine to 2/3 Platform for service in both directions and uptown 4/5,BKN,2/3/4/5,EL,Y,Y,2-3-4-5,R108
2424595,R108,00-00-00,2020-02-29 03:00:00,2825709.0,941788.0,0.0,0.0,,,Borough Hall,ES303,Southbound Platform to Mezzanine,BKN,2/3/4/5,ES,N,Y,2-3-4-5,R108
2424600,R108,00-00-00,2020-02-29 03:00:00,2825709.0,941788.0,0.0,0.0,0.0,0.0,Borough Hall,EL317,Court St & Montague St (on plaza) to Mezzanine for service in both directions,BKN,2/3/4/5,EL,Y,Y,2-3-4-5,R108
2424601,R108,00-00-00,2020-02-29 03:00:00,2825709.0,941788.0,0.0,0.0,0.0,0.0,Borough Hall,EL318,Mezzanine to 2/3 Platform for service in both directions and uptown 4/5,BKN,2/3/4/5,EL,Y,Y,2-3-4-5,R108
2424602,R108,00-00-00,2020-02-29 03:00:00,2825709.0,941788.0,0.0,0.0,0.0,0.0,Borough Hall,ES303,Southbound Platform to Mezzanine,BKN,2/3/4/5,ES,N,Y,2-3-4-5,R108
2424607,R108,00-00-00,2020-02-29 03:00:00,2825709.0,941788.0,24415.75,22078.0,24416.0,22078.0,Borough Hall,EL317,Court St & Montague St (on plaza) to Mezzanine for service in both directions,BKN,2/3/4/5,EL,Y,Y,2-3-4-5,R108
2424608,R108,00-00-00,2020-02-29 03:00:00,2825709.0,941788.0,24415.75,22078.0,24416.0,22078.0,Borough Hall,EL318,Mezzanine to 2/3 Platform for service in both directions and uptown 4/5,BKN,2/3/4/5,EL,Y,Y,2-3-4-5,R108
2424609,R108,00-00-00,2020-02-29 03:00:00,2825709.0,941788.0,24415.75,22078.0,24416.0,22078.0,Borough Hall,ES303,Southbound Platform to Mezzanine,BKN,2/3/4/5,ES,N,Y,2-3-4-5,R108
2424614,R108,00-00-00,2020-02-29 03:00:00,2825709.0,941788.0,48831.5,44156.0,24416.0,22078.0,Borough Hall,EL317,Court St & Montague St (on plaza) to Mezzanine for service in both directions,BKN,2/3/4/5,EL,Y,Y,2-3-4-5,R108
