,UNIT,SCP,datetime,ENTRIES,EXITS,cleaned_entries,cleaned_exits,entries_diff,exists_diff,station_name,equipment_id,description,borough,subway_lines,equipment_type,ada_compliant,is_active,clean_lines,remote
3333759,R311,00-00-00,2020-02-29 03:00:00,6069344.0,4268627.0,0.0,0.0,,,Bowery,ES334,Center Island Platform to Mezzanine,MN,J/Z,ES,N,Y,J-Z,R311
3333760,R311,00-00-00,2020-02-29 03:00:00,6069344.0,4268627.0,0.0,0.0,0.0,0.0,Bowery,ES334,Center Island Platform to Mezzanine,MN,J/Z,ES,N,Y,J-Z,R311
3333761,R311,00-00-00,2020-02-29 03:00:00,6069344.0,4268627.0,20723.0,19690.5,20723.0,19690.0,Bowery,ES334,Center Island Platform to Mezzanine,MN,J/Z,ES,N,Y,J-Z,R311
3333762,R311,00-00-00,2020-02-29 03:00:00,6069344.0,4268627.0,41446.0,39381.0,20723.0,19690.0,Bowery,ES334,Center Island Platform to Mezzanine,MN,J/Z,ES,N,Y,J-Z,R311
3333763,R311,00-00-00,2020-02-29 03:00:00,6069344.0,4268627.0,62169.0,59071.5,20723.0,19690.0,Bowery,ES334,Center Island Platform to Mezzanine,MN,J/Z,ES,N,Y,J-Z,R311
3333764,R311,00-00-00,2020-02-29 07:00:00,6069363.0,4268669.0,82892.0,78762.0,20723.0,19690.0,Bowery,ES334,Center Island Platform to Mezzanine,MN,J/Z,ES,N,Y,J-Z,R311
3333765,R311,00-00-00,2020-02-29 07:00:00,6069363.0,4268669.0,82892.0,78762.0,0.0,0.0,Bowery,ES334,Center Island Platform to Mezzanine,MN,J/Z,ES,N,Y,J-Z,R311
3333766,R311,00-00-00,2020-02-29 07:00:00,6069363.0,4268669.0,152816.75,154129.5,69925.0,75368.0,Bowery,ES334,Center Island Platform to Mezzanine,MN,J/Z,ES,N,Y,J-Z,R311
3333767,R311,00-00-00,2020-02-29 07:00:00,6069363.0,4268669.0,222741.5,229497.0,69925.0,75368.0,Bowery,ES334,Center Island Platform to Mezzanine,MN,J/Z,ES,N,Y,J-Z,R311
3333768,R311,00-00-00,2020-02-29 07:00:00,6069363.0,4268669.0,292666.25,304864.5,69925.0,75368.0,Bowery,ES334,Center Island Platform to Mezzanine,MN,J/Z,ES,N,Y,J-Z,R311
3333769,R311,00-00-00,2020-02-29 11:00:00,6069452.0,4268944.0,362591.0,380232.0,69925.0,75368.0,Bowery,ES334,Center Island Platform to Mezzanine,MN,J/Z,ES,N,Y,J-Z,R311
3333770,R311,00-00-00,2020-02-29 11:00:00,6069452.0,4268944.0,362591.0,380232.0,0.0,0.0,Bowery,ES334,Center Island Platform to Mezzanine,MN,J/Z,ES,N,Y,J-Z,R311
3333771,R311,00-00-00,2020-02-29 11:00:00,6069452.0,4268944.0,643849.25,525466.25,281258.0,145234.0,Bowery,ES334,Center Island Platform to Mezzanine,MN,J/Z,ES,N,Y,J-Z,R311
3333772,R311,00-00-00,2020-02-29 11:00:00,6069452.0,4268944.0,925107.5,670700.5,281258.0,145234.0,Bowery,ES334,Center Island Platform to Mezzanine,MN,J/Z,ES,N,Y,J-Z,R311
3333773,R311,00-00-00,2020-02-29 11:00:00,6069452.0,4268944.0,1206365.75,815934.75,281258.0,145234.0,Bowery,ES334,Center Island Platform to Mezzanine,MN,J/Z,ES,N,Y,J-Z,R311
3333774,R311,00-00-00,2020-02-29 15:00:00,6069727.0,4269207.0,1487624.0,961169.0,281258.0,145234.0,Bowery,ES334,Center Island Platform to Mezzanine,MN,J/Z,ES,N,Y,J-Z,R311
3333775,R311,00-00-00,2020-02-29 15:00:00,6069727.0,4269207.0,1487624.0,961169.0,0.0,0.0,Bowery,ES334,Center Island Platform to Mezzanine,MN,J/Z,ES,N,Y,J-Z,R311
3333776,R311,00-00-00,2020-02-29 15:00:00,6069727.0,4269207.0,1629143.25,1079437.0,141519.0,118268.0,Bowery,ES334,Center Island Platform to Mezzanine,MN,J/Z,ES,N,Y,J-Z,R311
3333777,R311,00-00-00,2020-02-29 15:00:00,6069727.0,4269207.0,1770662.5,1197705.0,141519.0,118268.0,Bowery,ES334,Center Island Platform to Mezzanine,MN,J/Z,ES,N,Y,J-Z,R311
3333778,R311,00-00-00,2020-02-29 15:00:00,6069727.0,4269207.0,1912181.75,1315973.0,141519.0,118268.0,Bowery,ES334,Center Island Platform to Mezzanine,MN,J/Z,ES,N,Y,J-Z,R311
3333779,R311,00-00-00,2020-02-29 19:00:00,6070130.0,4269415.0,2053701.0,1434241.0,141519.0,118268.0,Bowery,ES334,Center Island Platform to Mezzanine,MN,J/Z,ES,N,Y,J-Z,R311
3333780,R311,00-00-00,2020-02-29 19:00:00,6070130.0,4269415.0,2053701.0,1434241.0,0.0,0.0,Bowery,ES334,Center Island Platform to Mezzanine,MN,J/Z,ES,N,Y,J-Z,R311
3333781,R311,00-00-00,2020-02-29 19:00:00,6070130.0,4269415.0,2322493.25,1668983.25,268792.0,234742.0,Bowery,ES334,Center Island Platform to Mezzanine,MN,J/Z,ES,N,Y,J-Z,R311
3333782,R311,00-00-00,2020-02-29 19:00:00,6070130.0,4269415.0,2591285.5,1903725.5,268792.0,234742.0,Bowery,ES334,Center Island Platform to Mezzanine,MN,J/Z,ES,N,Y,J-Z,R311
3333783,R311,00-00-00,2020-02-29 19:00:00,6070130.0,4269415.0,2860077.75,2138467.75,268792.0,234742.0,Bowery,ES334,Center Island Platform to Mezzanine,MN,J/Z,ES,N,Y,J-Z,R311
3333784,R311,00-00-00,2020-02-29 23:00:00,6070358.0,4269510.0,3128870.0,2373210.0,268792.0,234742.0,Bowery,ES334,Center Island Platform to Mezzanine,MN,J/Z,ES,N,Y,J-Z,R311
3333785,R311,00-00-00,2020-02-29 23:00:00,6070358.0,4269510.0,3128870.0,2373210.0,0.0,0.0,Bowery,ES334,Center Island Platform to Mezzanine,MN,J/Z,ES,N,Y,J-Z,R311
3333786,R311,00-00-00,2020-02-29 23:00:00,6070358.0,4269510.0,3785513.0,2906849.75,656643.0,533640.0,Bowery,ES334,Center Island Platform to Mezzanine,MN,J/Z,ES,N,Y,J-Z,R311
3333787,R311,00-00-00,2020-02-29 23:00:00,6070358.0,4269510.0,4442156.0,3440489.5,656643.0,533640.0,Bowery,ES334,Center Island Platform to Mezzanine,MN,J/Z,ES,N,Y,J-Z,R311
3333788,R311,00-00-00,2020-02-29 23:00:00,6070358.0,4269510.0,5098799.0,3974129.25,656643.0,533640.0,Bowery,ES334,Center Island Platform to Mezzanine,MN,J/Z,ES,N,Y,J-Z,R311
3333789,R311,00-00-00,2020-03-01 03:00:00,6070438.0,4269545.0,5755442.0,4507769.0,656643.0,533640.0,Bowery,ES334,Center Island Platform to Mezzanine,MN,J/Z,ES,N,Y,J-Z,R311
3333790,R311,00-00-00,2020-03-01 03:00:00,6070438.0,4269545.0,5755442.0,4507769.0,0.0,0.0,Bowery,ES334,Center Island Platform to Mezzanine,MN,J/Z,ES,N,Y,J-Z,R311
3333791,R311,00-00-00,2020-03-01 03:00:00,6070438.0,4269545.0,5786030.0,4538114.0,30588.0,30345.0,Bowery,ES334,Center Island Platform to Mezzanine,MN,J/Z,ES,N,Y,J-Z,R311
3333792,R311,00-00-00,2020-03-01 03:00:00,6070438.0,4269545.0,5816618.0,4568459.0,30588.0,30345.0,Bowery,ES334,Center Island Platform to Mezzanine,MN,J/Z,ES,N,Y,J-Z,R311
