,UNIT,SCP,datetime,ENTRIES,EXITS,cleaned_entries,cleaned_exits,entries_diff,exists_diff,station_name,equipment_id,description,borough,subway_lines,equipment_type,ada_compliant,is_active,clean_lines,remote
3119355,R255,00-00-00,2020-02-29 03:00:00,3054521.0,291311.0,0.0,0.0,,,Briarwood/Van Wyck Blvd,EL424,Queens Blvd & Main St (NE corner) to Mezzanine passageway,QNS,E/F,EL,N,Y,E-F,R255
3119356,R255,00-00-00,2020-02-29 03:00:00,3054521.0,291311.0,0.0,0.0,0.0,0.0,Briarwood/Van Wyck Blvd,EL424,Queens Blvd & Main St (NE corner) to Mezzanine passageway,QNS,E/F,EL,N,Y,E-F,R255
3119357,R255,00-00-00,2020-02-29 03:00:00,3054521.0,291311.0,19245.5,18776.75,19246.0,18777.0,Briarwood/Van Wyck Blvd,EL424,Queens Blvd & Main St (NE corner) to Mezzanine passageway,QNS,E/F,EL,N,Y,E-F,R255
3119358,R255,00-00-00,2020-02-29 03:00:00,3054521.0,291311.0,38491.0,37553.5,19246.0,18777.0,Briarwood/Van Wyck Blvd,EL424,Queens Blvd & Main St (NE corner) to Mezzanine passageway,QNS,E/F,EL,N,Y,E-F,R255
3119359,R255,00-00-00,2020-02-29 03:00:00,3054521.0,291311.0,57736.5,56330.25,19246.0,18777.0,Briarwood/Van Wyck Blvd,EL424,Queens Blvd & Main St (NE corner) to Mezzanine passageway,QNS,E/F,EL,N,Y,E-F,R255
3119360,R255,00-00-00,2020-02-29 07:00:00,3054592.0,291315.0,76982.0,75107.0,19246.0,18777.0,Briarwood/Van Wyck Blvd,EL424,Queens Blvd & Main St (NE corner) to Mezzanine passageway,QNS,E/F,EL,N,Y,E-F,R255
3119361,R255,00-00-00,2020-02-29 07:00:00,3054592.0,291315.0,76982.0,75107.0,0.0,0.0,Briarwood/Van Wyck Blvd,EL424,Queens Blvd & Main St (NE corner) to Mezzanine passageway,QNS,E/F,EL,N,Y,E-F,R255
3119362,R255,00-00-00,2020-02-29 07:00:00,3054592.0,291315.0,180408.0,175784.75,103426.0,100678.0,Briarwood/Van Wyck Blvd,EL424,Queens Blvd & Main St (NE corner) to Mezzanine passageway,QNS,E/F,EL,N,Y,E-F,R255
3119363,R255,00-00-00,2020-02-29 07:00:00,3054592.0,291315.0,283834.0,276462.5,103426.0,100678.0,Briarwood/Van Wyck Blvd,EL424,Queens Blvd & Main St (NE corner) to Mezzanine passageway,QNS,E/F,EL,N,Y,E-F,R255
3119364,R255,00-00-00,2020-02-29 07:00:00,3054592.0,291315.0,387260.0,377140.25,103426.0,100678.0,Briarwood/Van Wyck Blvd,EL424,Queens Blvd & Main St (NE corner) to Mezzanine passageway,QNS,E/F,EL,N,Y,E-F,R255
