,UNIT,SCP,datetime,ENTRIES,EXITS,cleaned_entries,cleaned_exits,entries_diff,exists_diff,station_name,equipment_id,description,borough,subway_lines,equipment_type,ada_compliant,is_active,clean_lines,remote
2854523,R172,00-00-00,2020-02-29 03:00:00,13711505.0,10357533.0,0.0,0.0,,,Brighton Beach,ES346,Street to Mezzanine,BKN,B/Q,ES,N,Y,B-Q,R172
2854524,R172,00-00-00,2020-02-29 03:00:00,13711505.0,10357533.0,0.0,0.0,0.0,0.0,Brighton Beach,ES346,Street to Mezzanine,BKN,B/Q,ES,N,Y,B-Q,R172
2854525,R172,00-00-00,2020-02-29 03:00:00,13711505.0,10357533.0,11422.75,13674.75,11423.0,13675.0,Brighton Beach,ES346,Street to Mezzanine,BKN,B/Q,ES,N,Y,B-Q,R172
2854526,R172,00-00-00,2020-02-29 03:00:00,13711505.0,10357533.0,22845.5,27349.5,11423.0,13675.0,Brighton Beach,ES346,Street to Mezzanine,BKN,B/Q,ES,N,Y,B-Q,R172
2854527,R172,00-00-00,2020-02-29 03:00:00,13711505.0,10357533.0,34268.25,41024.25,11423.0,13675.0,Brighton Beach,ES346,Street to Mezzanine,BKN,B/Q,ES,N,Y,B-Q,R172
2854528,R172,00-00-00,2020-02-29 07:00:00,13711533.0,10357550.0,45691.0,54699.0,11423.0,13675.0,Brighton Beach,ES346,Street to Mezzanine,BKN,B/Q,ES,N,Y,B-Q,R172
2854529,R172,00-00-00,2020-02-29 07:00:00,13711533.0,10357550.0,45691.0,54699.0,0.0,0.0,Brighton Beach,ES346,Street to Mezzanine,BKN,B/Q,ES,N,Y,B-Q,R172
2854530,R172,00-00-00,2020-02-29 07:00:00,13711533.0,10357550.0,123350.25,134673.0,77659.0,79974.0,Brighton Beach,ES346,Street to Mezzanine,BKN,B/Q,ES,N,Y,B-Q,R172
2854531,R172,00-00-00,2020-02-29 07:00:00,13711533.0,10357550.0,201009.5,214647.0,77659.0,79974.0,Brighton Beach,ES346,Street to Mezzanine,BKN,B/Q,ES,N,Y,B-Q,R172
2854532,R172,00-00-00,2020-02-29 07:00:00,13711533.0,10357550.0,278668.75,294621.0,77659.0,79974.0,Brighton Beach,ES346,Street to Mezzanine,BKN,B/Q,ES,N,Y,B-Q,R172
2854533,R172,00-00-00,2020-02-29 11:00:00,13711682.0,10357625.0,356328.0,374595.0,77659.0,79974.0,Brighton Beach,ES346,Street to Mezzanine,BKN,B/Q,ES,N,Y,B-Q,R172
2854534,R172,00-00-00,2020-02-29 11:00:00,13711682.0,10357625.0,356328.0,374595.0,0.0,0.0,Brighton Beach,ES346,Street to Mezzanine,BKN,B/Q,ES,N,Y,B-Q,R172
2854535,R172,00-00-00,2020-02-29 11:00:00,13711682.0,10357625.0,608912.25,498302.5,252584.0,123708.0,Brighton Beach,ES346,Street to Mezzanine,BKN,B/Q,ES,N,Y,B-Q,R172
2854536,R172,00-00-00,2020-02-29 11:00:00,13711682.0,10357625.0,861496.5,622010.0,252584.0,123708.0,Brighton Beach,ES346,Street to Mezzanine,BKN,B/Q,ES,N,Y,B-Q,R172
2854537,R172,00-00-00,2020-02-29 11:00:00,13711682.0,10357625.0,1114080.75,745717.5,252584.0,123708.0,Brighton Beach,ES346,Street to Mezzanine,BKN,B/Q,ES,N,Y,B-Q,R172
2854538,R172,00-00-00,2020-02-29 15:00:00,13711818.0,10357722.0,1366665.0,869425.0,252584.0,123708.0,Brighton Beach,ES346,Street to Mezzanine,BKN,B/Q,ES,N,Y,B-Q,R172
2854539,R172,00-00-00,2020-02-29 15:00:00,13711818.0,10357722.0,1366665.0,869425.0,0.0,0.0,Brighton Beach,ES346,Street to Mezzanine,BKN,B/Q,ES,N,Y,B-Q,R172
2854540,R172,00-00-00,2020-02-29 15:00:00,13711818.0,10357722.0,1552512.25,1021960.5,185847.0,152536.0,Brighton Beach,ES346,Street to Mezzanine,BKN,B/Q,ES,N,Y,B-Q,R172
2854541,R172,00-00-00,2020-02-29 15:00:00,13711818.0,10357722.0,1738359.5,1174496.0,185847.0,152536.0,Brighton Beach,ES346,Street to Mezzanine,BKN,B/Q,ES,N,Y,B-Q,R172
2854542,R172,00-00-00,2020-02-29 15:00:00,13711818.0,10357722.0,1924206.75,1327031.5,185847.0,152536.0,Brighton Beach,ES346,Street to Mezzanine,BKN,B/Q,ES,N,Y,B-Q,R172
2854543,R172,00-00-00,2020-02-29 19:00:00,13711967.0,10357930.0,2110054.0,1479567.0,185847.0,152536.0,Brighton Beach,ES346,Street to Mezzanine,BKN,B/Q,ES,N,Y,B-Q,R172
2854544,R172,00-00-00,2020-02-29 19:00:00,13711967.0,10357930.0,2110054.0,1479567.0,0.0,0.0,Brighton Beach,ES346,Street to Mezzanine,BKN,B/Q,ES,N,Y,B-Q,R172
2854545,R172,00-00-00,2020-02-29 19:00:00,13711967.0,10357930.0,2318623.75,1660812.0,208570.0,181245.0,Brighton Beach,ES346,Street to Mezzanine,BKN,B/Q,ES,N,Y,B-Q,R172
2854546,R172,00-00-00,2020-02-29 19:00:00,13711967.0,10357930.0,2527193.5,1842057.0,208570.0,181245.0,Brighton Beach,ES346,Street to Mezzanine,BKN,B/Q,ES,N,Y,B-Q,R172
2854547,R172,00-00-00,2020-02-29 19:00:00,13711967.0,10357930.0,2735763.25,2023302.0,208570.0,181245.0,Brighton Beach,ES346,Street to Mezzanine,BKN,B/Q,ES,N,Y,B-Q,R172
2854548,R172,00-00-00,2020-02-29 23:00:00,13712017.0,10358085.0,2944333.0,2204547.0,208570.0,181245.0,Brighton Beach,ES346,Street to Mezzanine,BKN,B/Q,ES,N,Y,B-Q,R172
