,UNIT,SCP,datetime,ENTRIES,EXITS,cleaned_entries,cleaned_exits,entries_diff,exists_diff,station_name,equipment_id,description,borough,subway_lines,equipment_type,ada_compliant,is_active,clean_lines,remote
2500319,R125,00-00-00,2020-02-29 00:00:00,5895987.0,2175731.0,0.0,0.0,,,Broadway Junction,ES347,Street to Upper Mezzanine,BKN,A/C/J/L/Z/LIRR,ES,N,Y,A-C-J-L-Z,R125
2500320,R125,00-00-00,2020-02-29 00:00:00,5895987.0,2175731.0,0.0,0.0,,,Broadway Junction,ES331,Street to Upper Mezzanine,BKN,A/C/J/L/Z/LIRR,ES,N,Y,A-C-J-L-Z,R125
2500321,R125,00-00-00,2020-02-29 00:00:00,5895987.0,2175731.0,0.0,0.0,,,Broadway Junction,ES330,Street to Upper Mezzanine,BKN,A/C/J/L/Z/LIRR,ES,N,Y,A-C-J-L-Z,R125
2500322,R125,00-00-00,2020-02-29 00:00:00,5895987.0,2175731.0,0.0,0.0,0.0,0.0,Broadway Junction,ES347,Street to Upper Mezzanine,BKN,A/C/J/L/Z/LIRR,ES,N,Y,A-C-J-L-Z,R125
2500323,R125,00-00-00,2020-02-29 00:00:00,5895987.0,2175731.0,0.0,0.0,0.0,0.0,Broadway Junction,ES331,Street to Upper Mezzanine,BKN,A/C/J/L/Z/LIRR,ES,N,Y,A-C-J-L-Z,R125
2500324,R125,00-00-00,2020-02-29 00:00:00,5895987.0,2175731.0,0.0,0.0,0.0,0.0,Broadway Junction,ES330,Street to Upper Mezzanine,BKN,A/C/J/L/Z/LIRR,ES,N,Y,A-C-J-L-Z,R125
2500325,R125,00-00-00,2020-02-29 00:00:00,5895987.0,2175731.0,30.75,57.0,31.0,57.0,Broadway Junction,ES347,Street to Upper Mezzanine,BKN,A/C/J/L/Z/LIRR,ES,N,Y,A-C-J-L-Z,R125
2500326,R125,00-00-00,2020-02-29 00:00:00,5895987.0,2175731.0,30.75,57.0,31.0,57.0,Broadway Junction,ES331,Street to Upper Mezzanine,BKN,A/C/J/L/Z/LIRR,ES,N,Y,A-C-J-L-Z,R125
2500327,R125,00-00-00,2020-02-29 00:00:00,5895987.0,2175731.0,30.75,57.0,31.0,57.0,Broadway Junction,ES330,Street to Upper Mezzanine,BKN,A/C/J/L/Z/LIRR,ES,N,Y,A-C-J-L-Z,R125
2500328,R125,00-00-00,2020-02-29 00:00:00,5895987.0,2175731.0,61.5,114.0,31.0,57.0,Broadway Junction,ES347,Street to Upper Mezzanine,BKN,A/C/J/L/Z/LIRR,ES,N,Y,A-C-J-L-Z,R125
2500329,R125,00-00-00,2020-02-29 00:00:00,5895987.0,2175731.0,61.5,114.0,31.0,57.0,Broadway Junction,ES331,Street to Upper Mezzanine,BKN,A/C/J/L/Z/LIRR,ES,N,Y,A-C-J-L-Z,R125
2500330,R125,00-00-00,2020-02-29 00:00:00,5895987.0,2175731.0,61.5,114.0,31.0,57.0,Broadway Junction,ES330,Street to Upper Mezzanine,BKN,A/C/J/L/Z/LIRR,ES,N,Y,A-C-J-L-Z,R125
2500331,R125,00-00-00,2020-02-29 00:00:00,5895987.0,2175731.0,92.25,171.0,31.0,57.0,Broadway Junction,ES347,Street to Upper Mezzanine,BKN,A/C/J/L/Z/LIRR,ES,N,Y,A-C-J-L-Z,R125
2500332,R125,00-00-00,2020-02-29 00:00:00,5895987.0,2175731.0,92.25,171.0,31.0,57.0,Broadway Junction,ES331,Street to Upper Mezzanine,BKN,A/C/J/L/Z/LIRR,ES,N,Y,A-C-J-L-Z,R125
2500333,R125,00-00-00,2020-02-29 00:00:00,5895987.0,2175731.0,92.25,171.0,31.0,57.0,Broadway Junction,ES330,Street to Upper Mezzanine,BKN,A/C/J/L/Z/LIRR,ES,N,Y,A-C-J-L-Z,R125
2500334,R125,00-00-00,2020-02-29 04:00:00,5896025.0,2175736.0,123.0,228.0,31.0,57.0,Broadway Junction,ES347,Street to Upper Mezzanine,BKN,A/C/J/L/Z/LIRR,ES,N,Y,A-C-J-L-Z,R125
2500335,R125,00-00-00,2020-02-29 04:00:00,5896025.0,2175736.0,123.0,228.0,31.0,57.0,Broadway Junction,ES331,Street to Upper Mezzanine,BKN,A/C/J/L/Z/LIRR,ES,N,Y,A-C-J-L-Z,R125
2500336,R125,00-00-00,2020-02-29 04:00:00,5896025.0,2175736.0,123.0,228.0,31.0,57.0,Broadway Junction,ES330,Street to Upper Mezzanine,BKN,A/C/J/L/Z/LIRR,ES,N,Y,A-C-J-L-Z,R125
2500337,R125,00-00-00,2020-02-29 04:00:00,5896025.0,2175736.0,123.0,228.0,0.0,0.0,Broadway Junction,ES347,Street to Upper Mezzanine,BKN,A/C/J/L/Z/LIRR,ES,N,Y,A-C-J-L-Z,R125
2500338,R125,00-00-00,2020-02-29 04:00:00,5896025.0,2175736.0,123.0,228.0,0.0,0.0,Broadway Junction,ES331,Street to Upper Mezzanine,BKN,A/C/J/L/Z/LIRR,ES,N,Y,A-C-J-L-Z,R125
2500339,R125,00-00-00,2020-02-29 04:00:00,5896025.0,2175736.0,123.0,228.0,0.0,0.0,Broadway Junction,ES330,Street to Upper Mezzanine,BKN,A/C/J/L/Z/LIRR,ES,N,Y,A-C-J-L-Z,R125
2500340,R125,00-00-00,2020-02-29 04:00:00,5896025.0,2175736.0,35067.5,30528.25,34944.0,30300.0,Broadway Junction,ES347,Street to Upper Mezzanine,BKN,A/C/J/L/Z/LIRR,ES,N,Y,A-C-J-L-Z,R125
2500341,R125,00-00-00,2020-02-29 04:00:00,5896025.0,2175736.0,35067.5,30528.25,34944.0,30300.0,Broadway Junction,ES331,Street to Upper Mezzanine,BKN,A/C/J/L/Z/LIRR,ES,N,Y,A-C-J-L-Z,R125
2500342,R125,00-00-00,2020-02-29 04:00:00,5896025.0,2175736.0,35067.5,30528.25,34944.0,30300.0,Broadway Junction,ES330,Street to Upper Mezzanine,BKN,A/C/J/L/Z/LIRR,ES,N,Y,A-C-J-L-Z,R125
2500343,R125,00-00-00,2020-02-29 04:00:00,5896025.0,2175736.0,70012.0,60828.5,34944.0,30300.0,Broadway Junction,ES347,Street to Upper Mezzanine,BKN,A/C/J/L/Z/LIRR,ES,N,Y,A-C-J-L-Z,R125
2500344,R125,00-00-00,2020-02-29 04:00:00,5896025.0,2175736.0,70012.0,60828.5,34944.0,30300.0,Broadway Junction,ES331,Street to Upper Mezzanine,BKN,A/C/J/L/Z/LIRR,ES,N,Y,A-C-J-L-Z,R125
2500345,R125,00-00-00,2020-02-29 04:00:00,5896025.0,2175736.0,70012.0,60828.5,34944.0,30300.0,Broadway Junction,ES330,Street to Upper Mezzanine,BKN,A/C/J/L/Z/LIRR,ES,N,Y,A-C-J-L-Z,R125
2500346,R125,00-00-00,2020-02-29 04:00:00,5896025.0,2175736.0,104956.5,91128.75,34944.0,30300.0,Broadway Junction,ES347,Street to Upper Mezzanine,BKN,A/C/J/L/Z/LIRR,ES,N,Y,A-C-J-L-Z,R125
