,UNIT,SCP,datetime,ENTRIES,EXITS,cleaned_entries,cleaned_exits,entries_diff,exists_diff,station_name,equipment_id,description,borough,subway_lines,equipment_type,ada_compliant,is_active,clean_lines,remote
1465828,R044,00-00-00,2020-02-29 03:00:00,68501524.0,68545728.0,0.0,0.0,,,Brooklyn Bridge - City Hall,EL315,Mezzanine to downtown Platform,MN,4/5/6,EL,Y,Y,4-5-6,R044
1465829,R044,00-00-00,2020-02-29 03:00:00,68501524.0,68545728.0,0.0,0.0,,,Brooklyn Bridge - City Hall,EL316,Mezzanine to uptown Platform,MN,4/5/6,EL,Y,Y,4-5-6,R044
1465830,R044,00-00-00,2020-02-29 03:00:00,68501524.0,68545728.0,0.0,0.0,,,Brooklyn Bridge - City Hall,EL314,Plaza on east side of City Hall (opposite Brooklyn Bridge walkway) to Mezzanine for service in both directions,MN,4/5/6,EL,Y,Y,4-5-6,R044
1465833,R044,00-00-00,2020-02-29 03:00:00,68501524.0,68545728.0,0.0,0.0,0.0,0.0,Brooklyn Bridge - City Hall,EL315,Mezzanine to downtown Platform,MN,4/5/6,EL,Y,Y,4-5-6,R044
1465834,R044,00-00-00,2020-02-29 03:00:00,68501524.0,68545728.0,0.0,0.0,0.0,0.0,Brooklyn Bridge - City Hall,EL316,Mezzanine to uptown Platform,MN,4/5/6,EL,Y,Y,4-5-6,R044
1465835,R044,00-00-00,2020-02-29 03:00:00,68501524.0,68545728.0,0.0,0.0,0.0,0.0,Brooklyn Bridge - City Hall,EL314,Plaza on east side of City Hall (opposite Brooklyn Bridge walkway) to Mezzanine for service in both directions,MN,4/5/6,EL,Y,Y,4-5-6,R044
1465838,R044,00-00-00,2020-02-29 03:00:00,68501524.0,68545728.0,26951.0,25142.25,26951.0,25142.0,Brooklyn Bridge - City Hall,EL315,Mezzanine to downtown Platform,MN,4/5/6,EL,Y,Y,4-5-6,R044
1465839,R044,00-00-00,2020-02-29 03:00:00,68501524.0,68545728.0,26951.0,25142.25,26951.0,25142.0,Brooklyn Bridge - City Hall,EL316,Mezzanine to uptown Platform,MN,4/5/6,EL,Y,Y,4-5-6,R044
1465840,R044,00-00-00,2020-02-29 03:00:00,68501524.0,68545728.0,26951.0,25142.25,26951.0,25142.0,Brooklyn Bridge - City Hall,EL314,Plaza on east side of City Hall (opposite Brooklyn Bridge walkway) to Mezzanine for service in both directions,MN,4/5/6,EL,Y,Y,4-5-6,R044
1465843,R044,00-00-00,2020-02-29 03:00:00,68501524.0,68545728.0,53902.0,50284.5,26951.0,25142.0,Brooklyn Bridge - City Hall,EL315,Mezzanine to downtown Platform,MN,4/5/6,EL,Y,Y,4-5-6,R044
1465844,R044,00-00-00,2020-02-29 03:00:00,68501524.0,68545728.0,53902.0,50284.5,26951.0,25142.0,Brooklyn Bridge - City Hall,EL316,Mezzanine to uptown Platform,MN,4/5/6,EL,Y,Y,4-5-6,R044
1465845,R044,00-00-00,2020-02-29 03:00:00,68501524.0,68545728.0,53902.0,50284.5,26951.0,25142.0,Brooklyn Bridge - City Hall,EL314,Plaza on east side of City Hall (opposite Brooklyn Bridge walkway) to Mezzanine for service in both directions,MN,4/5/6,EL,Y,Y,4-5-6,R044
1465848,R044,00-00-00,2020-02-29 03:00:00,68501524.0,68545728.0,80853.0,75426.75,26951.0,25142.0,Brooklyn Bridge - City Hall,EL315,Mezzanine to downtown Platform,MN,4/5/6,EL,Y,Y,4-5-6,R044
1465849,R044,00-00-00,2020-02-29 03:00:00,68501524.0,68545728.0,80853.0,75426.75,26951.0,25142.0,Brooklyn Bridge - City Hall,EL316,Mezzanine to uptown Platform,MN,4/5/6,EL,Y,Y,4-5-6,R044
1465850,R044,00-00-00,2020-02-29 03:00:00,68501524.0,68545728.0,80853.0,75426.75,26951.0,25142.0,Brooklyn Bridge - City Hall,EL314,Plaza on east side of City Hall (opposite Brooklyn Bridge walkway) to Mezzanine for service in both directions,MN,4/5/6,EL,Y,Y,4-5-6,R044
1465853,R044,00-00-00,2020-02-29 07:00:00,68501524.0,68545734.0,107804.0,100569.0,26951.0,25142.0,Brooklyn Bridge - City Hall,EL315,Mezzanine to downtown Platform,MN,4/5/6,EL,Y,Y,4-5-6,R044
1465854,R044,00-00-00,2020-02-29 07:00:00,68501524.0,68545734.0,107804.0,100569.0,26951.0,25142.0,Brooklyn Bridge - City Hall,EL316,Mezzanine to uptown Platform,MN,4/5/6,EL,Y,Y,4-5-6,R044
1465855,R044,00-00-00,2020-02-29 07:00:00,68501524.0,68545734.0,107804.0,100569.0,26951.0,25142.0,Brooklyn Bridge - City Hall,EL314,Plaza on east side of City Hall (opposite Brooklyn Bridge walkway) to Mezzanine for service in both directions,MN,4/5/6,EL,Y,Y,4-5-6,R044
1465858,R044,00-00-00,2020-02-29 07:00:00,68501524.0,68545734.0,107804.0,100569.0,0.0,0.0,Brooklyn Bridge - City Hall,EL315,Mezzanine to downtown Platform,MN,4/5/6,EL,Y,Y,4-5-6,R044
1465859,R044,00-00-00,2020-02-29 07:00:00,68501524.0,68545734.0,107804.0,100569.0,0.0,0.0,Brooklyn Bridge - City Hall,EL316,Mezzanine to uptown Platform,MN,4/5/6,EL,Y,Y,4-5-6,R044
1465860,R044,00-00-00,2020-02-29 07:00:00,68501524.0,68545734.0,107804.0,100569.0,0.0,0.0,Brooklyn Bridge - City Hall,EL314,Plaza on east side of City Hall (opposite Brooklyn Bridge walkway) to Mezzanine for service in both directions,MN,4/5/6,EL,Y,Y,4-5-6,R044
1465863,R044,00-00-00,2020-02-29 07:00:00,68501524.0,68545734.0,153365.0,152844.5,45561.0,52276.0,Brooklyn Bridge - City Hall,EL315,Mezzanine to downtown Platform,MN,4/5/6,EL,Y,Y,4-5-6,R044
1465864,R044,00-00-00,2020-02-29 07:00:00,68501524.0,68545734.0,153365.0,152844.5,45561.0,52276.0,Brooklyn Bridge - City Hall,EL316,Mezzanine to uptown Platform,MN,4/5/6,EL,Y,Y,4-5-6,R044
1465865,R044,00-00-00,2020-02-29 07:00:00,68501524.0,68545734.0,153365.0,152844.5,45561.0,52276.0,Brooklyn Bridge - City Hall,EL314,Plaza on east side of City Hall (opposite Brooklyn Bridge walkway) to Mezzanine for service in both directions,MN,4/5/6,EL,Y,Y,4-5-6,R044
1465868,R044,00-00-00,2020-02-29 07:00:00,68501524.0,68545734.0,198926.0,205120.0,45561.0,52276.0,Brooklyn Bridge - City Hall,EL315,Mezzanine to downtown Platform,MN,4/5/6,EL,Y,Y,4-5-6,R044
1465869,R044,00-00-00,2020-02-29 07:00:00,68501524.0,68545734.0,198926.0,205120.0,45561.0,52276.0,Brooklyn Bridge - City Hall,EL316,Mezzanine to uptown Platform,MN,4/5/6,EL,Y,Y,4-5-6,R044
1465870,R044,00-00-00,2020-02-29 07:00:00,68501524.0,68545734.0,198926.0,205120.0,45561.0,52276.0,Brooklyn Bridge - City Hall,EL314,Plaza on east side of City Hall (opposite Brooklyn Bridge walkway) to Mezzanine for service in both directions,MN,4/5/6,EL,Y,Y,4-5-6,R044
1465873,R044,00-00-00,2020-02-29 07:00:00,68501524.0,68545734.0,244487.0,257395.5,45561.0,52276.0,Brooklyn Bridge - City Hall,EL315,Mezzanine to downtown Platform,MN,4/5/6,EL,Y,Y,4-5-6,R044
1465874,R044,00-00-00,2020-02-29 07:00:00,68501524.0,68545734.0,244487.0,257395.5,45561.0,52276.0,Brooklyn Bridge - City Hall,EL316,Mezzanine to uptown Platform,MN,4/5/6,EL,Y,Y,4-5-6,R044
1465875,R044,00-00-00,2020-02-29 07:00:00,68501524.0,68545734.0,244487.0,257395.5,45561.0,52276.0,Brooklyn Bridge - City Hall,EL314,Plaza on east side of City Hall (opposite Brooklyn Bridge walkway) to Mezzanine for service in both directions,MN,4/5/6,EL,Y,Y,4-5-6,R044
1465878,R044,00-00-00,2020-02-29 11:00:00,68501537.0,68545770.0,290048.0,309671.0,45561.0,52276.0,Brooklyn Bridge - City Hall,EL315,Mezzanine to downtown Platform,MN,4/5/6,EL,Y,Y,4-5-6,R044
1465879,R044,00-00-00,2020-02-29 11:00:00,68501537.0,68545770.0,290048.0,309671.0,45561.0,52276.0,Brooklyn Bridge - City Hall,EL316,Mezzanine to uptown Platform,MN,4/5/6,EL,Y,Y,4-5-6,R044
1465880,R044,00-00-00,2020-02-29 11:00:00,68501537.0,68545770.0,290048.0,309671.0,45561.0,52276.0,Brooklyn Bridge - City Hall,EL314,Plaza on east side of City Hall (opposite Brooklyn Bridge walkway) to Mezzanine for service in both directions,MN,4/5/6,EL,Y,Y,4-5-6,R044
1465883,R044,00-00-00,2020-02-29 11:00:00,68501537.0,68545770.0,290048.0,309671.0,0.0,0.0,Brooklyn Bridge - City Hall,EL315,Mezzanine to downtown Platform,MN,4/5/6,EL,Y,Y,4-5-6,R044
1465884,R044,00-00-00,2020-02-29 11:00:00,68501537.0,68545770.0,290048.0,309671.0,0.0,0.0,Brooklyn Bridge - City Hall,EL316,Mezzanine to uptown Platform,MN,4/5/6,EL,Y,Y,4-5-6,R044
1465885,R044,00-00-00,2020-02-29 11:00:00,68501537.0,68545770.0,290048.0,309671.0,0.0,0.0,Brooklyn Bridge - City Hall,EL314,Plaza on east side of City Hall (opposite Brooklyn Bridge walkway) to Mezzanine for service in both directions,MN,4/5/6,EL,Y,Y,4-5-6,R044
1465888,R044,00-00-00,2020-02-29 11:00:00,68501537.0,68545770.0,540448.5,434119.25,250400.0,124448.0,Brooklyn Bridge - City Hall,EL315,Mezzanine to downtown Platform,MN,4/5/6,EL,Y,Y,4-5-6,R044
1465889,R044,00-00-00,2020-02-29 11:00:00,68501537.0,68545770.0,540448.5,434119.25,250400.0,124448.0,Brooklyn Bridge - City Hall,EL316,Mezzanine to uptown Platform,MN,4/5/6,EL,Y,Y,4-5-6,R044
1465890,R044,00-00-00,2020-02-29 11:00:00,68501537.0,68545770.0,540448.5,434119.25,250400.0,124448.0,Brooklyn Bridge - City Hall,EL314,Plaza on east side of City Hall (opposite Brooklyn Bridge walkway) to Mezzanine for service in both directions,MN,4/5/6,EL,Y,Y,4-5-6,R044
1465893,R044,00-00-00,2020-02-29 11:00:00,68501537.0,68545770.0,790849.0,558567.5,250400.0,124448.0,Brooklyn Bridge - City Hall,EL315,Mezzanine to downtown Platform,MN,4/5/6,EL,Y,Y,4-5-6,R044
