,UNIT,SCP,datetime,ENTRIES,EXITS,cleaned_entries,cleaned_exits,entries_diff,exists_diff,station_name,equipment_id,description,borough,subway_lines,equipment_type,ada_compliant,is_active,clean_lines,remote
2488729,R118,00-00-00,2020-02-29 00:00:00,1722987754.0,1763399021.0,0.0,0.0,,,Canal St,EL324,Canal St & Lafayette St (NW corner) to uptown Platform,MN,6,EL,Y,Y,6,R118
2488730,R118,00-00-00,2020-02-29 00:00:00,1722987754.0,1763399021.0,0.0,0.0,,,Canal St,EL325,Street-level entrance (down the block from NE corner of Canal St & Lafayette St) to downtown 6 Platform,MN,6,EL,Y,Y,6,R118
2488731,R118,00-00-00,2020-02-29 00:00:00,1722987754.0,1763399021.0,0.0,0.0,0.0,0.0,Canal St,EL324,Canal St & Lafayette St (NW corner) to uptown Platform,MN,6,EL,Y,Y,6,R118
2488732,R118,00-00-00,2020-02-29 00:00:00,1722987754.0,1763399021.0,0.0,0.0,0.0,0.0,Canal St,EL325,Street-level entrance (down the block from NE corner of Canal St & Lafayette St) to downtown 6 Platform,MN,6,EL,Y,Y,6,R118
2488733,R118,00-00-00,2020-02-29 00:00:00,1722987754.0,1763399021.0,4058.5,5331.0,4058.0,5331.0,Canal St,EL324,Canal St & Lafayette St (NW corner) to uptown Platform,MN,6,EL,Y,Y,6,R118
2488734,R118,00-00-00,2020-02-29 00:00:00,1722987754.0,1763399021.0,4058.5,5331.0,4058.0,5331.0,Canal St,EL325,Street-level entrance (down the block from NE corner of Canal St & Lafayette St) to downtown 6 Platform,MN,6,EL,Y,Y,6,R118
2488735,R118,00-00-00,2020-02-29 00:00:00,1722987754.0,1763399021.0,8117.0,10662.0,4058.0,5331.0,Canal St,EL324,Canal St & Lafayette St (NW corner) to uptown Platform,MN,6,EL,Y,Y,6,R118
2488736,R118,00-00-00,2020-02-29 00:00:00,1722987754.0,1763399021.0,8117.0,10662.0,4058.0,5331.0,Canal St,EL325,Street-level entrance (down the block from NE corner of Canal St & Lafayette St) to downtown 6 Platform,MN,6,EL,Y,Y,6,R118
2488737,R118,00-00-00,2020-02-29 00:00:00,1722987754.0,1763399021.0,12175.5,15993.0,4058.0,5331.0,Canal St,EL324,Canal St & Lafayette St (NW corner) to uptown Platform,MN,6,EL,Y,Y,6,R118
2488738,R118,00-00-00,2020-02-29 00:00:00,1722987754.0,1763399021.0,12175.5,15993.0,4058.0,5331.0,Canal St,EL325,Street-level entrance (down the block from NE corner of Canal St & Lafayette St) to downtown 6 Platform,MN,6,EL,Y,Y,6,R118
2488739,R118,00-00-00,2020-02-29 04:00:00,1722987674.0,1763399064.0,16234.0,21324.0,4058.0,5331.0,Canal St,EL324,Canal St & Lafayette St (NW corner) to uptown Platform,MN,6,EL,Y,Y,6,R118
2488740,R118,00-00-00,2020-02-29 04:00:00,1722987674.0,1763399064.0,16234.0,21324.0,4058.0,5331.0,Canal St,EL325,Street-level entrance (down the block from NE corner of Canal St & Lafayette St) to downtown 6 Platform,MN,6,EL,Y,Y,6,R118
2488741,R118,00-00-00,2020-02-29 04:00:00,1722987674.0,1763399064.0,16234.0,21324.0,0.0,0.0,Canal St,EL324,Canal St & Lafayette St (NW corner) to uptown Platform,MN,6,EL,Y,Y,6,R118
2488742,R118,00-00-00,2020-02-29 04:00:00,1722987674.0,1763399064.0,16234.0,21324.0,0.0,0.0,Canal St,EL325,Street-level entrance (down the block from NE corner of Canal St & Lafayette St) to downtown 6 Platform,MN,6,EL,Y,Y,6,R118
2488743,R118,00-00-00,2020-02-29 04:00:00,1722987674.0,1763399064.0,41217.0,42541.25,24983.0,21217.0,Canal St,EL324,Canal St & Lafayette St (NW corner) to uptown Platform,MN,6,EL,Y,Y,6,R118
2488744,R118,00-00-00,2020-02-29 04:00:00,1722987674.0,1763399064.0,41217.0,42541.25,24983.0,21217.0,Canal St,EL325,Street-level entrance (down the block from NE corner of Canal St & Lafayette St) to downtown 6 Platform,MN,6,EL,Y,Y,6,R118
2488745,R118,00-00-00,2020-02-29 04:00:00,1722987674.0,1763399064.0,66200.0,63758.5,24983.0,21217.0,Canal St,EL324,Canal St & Lafayette St (NW corner) to uptown Platform,MN,6,EL,Y,Y,6,R118
2488746,R118,00-00-00,2020-02-29 04:00:00,1722987674.0,1763399064.0,66200.0,63758.5,24983.0,21217.0,Canal St,EL325,Street-level entrance (down the block from NE corner of Canal St & Lafayette St) to downtown 6 Platform,MN,6,EL,Y,Y,6,R118
2488747,R118,00-00-00,2020-02-29 04:00:00,1722987674.0,1763399064.0,91183.0,84975.75,24983.0,21217.0,Canal St,EL324,Canal St & Lafayette St (NW corner) to uptown Platform,MN,6,EL,Y,Y,6,R118
