,UNIT,SCP,datetime,ENTRIES,EXITS,cleaned_entries,cleaned_exits,entries_diff,exists_diff,station_name,equipment_id,description,borough,subway_lines,equipment_type,ada_compliant,is_active,clean_lines,remote
2463688,R109,00-00-00,2020-02-29 00:00:00,206649.0,46483.0,0.0,0.0,,,Church Av,EL320,Nostrand Ave & Church Ave (SE corner) to Manhattan bound Platform,BKN,2/5,EL,Y,Y,2-5,R109
2463689,R109,00-00-00,2020-02-29 00:00:00,206649.0,46483.0,0.0,0.0,,,Church Av,EL321,Nostrand Ave & Church Ave (SW corner) to Flatbush Av Brooklyn College bound Platform,BKN,2/5,EL,Y,Y,2-5,R109
2463690,R109,00-00-00,2020-02-29 00:00:00,206649.0,46483.0,0.0,0.0,0.0,0.0,Church Av,EL320,Nostrand Ave & Church Ave (SE corner) to Manhattan bound Platform,BKN,2/5,EL,Y,Y,2-5,R109
2463691,R109,00-00-00,2020-02-29 00:00:00,206649.0,46483.0,0.0,0.0,0.0,0.0,Church Av,EL321,Nostrand Ave & Church Ave (SW corner) to Flatbush Av Brooklyn College bound Platform,BKN,2/5,EL,Y,Y,2-5,R109
2463692,R109,00-00-00,2020-02-29 00:00:00,206649.0,46483.0,4268.25,5674.0,4268.0,5674.0,Church Av,EL320,Nostrand Ave & Church Ave (SE corner) to Manhattan bound Platform,BKN,2/5,EL,Y,Y,2-5,R109
2463693,R109,00-00-00,2020-02-29 00:00:00,206649.0,46483.0,4268.25,5674.0,4268.0,5674.0,Church Av,EL321,Nostrand Ave & Church Ave (SW corner) to Flatbush Av Brooklyn College bound Platform,BKN,2/5,EL,Y,Y,2-5,R109
2463694,R109,00-00-00,2020-02-29 00:00:00,206649.0,46483.0,8536.5,11348.0,4268.0,5674.0,Church Av,EL320,Nostrand Ave & Church Ave (SE corner) to Manhattan bound Platform,BKN,2/5,EL,Y,Y,2-5,R109
2463695,R109,00-00-00,2020-02-29 00:00:00,206649.0,46483.0,8536.5,11348.0,4268.0,5674.0,Church Av,EL321,Nostrand Ave & Church Ave (SW corner) to Flatbush Av Brooklyn College bound Platform,BKN,2/5,EL,Y,Y,2-5,R109
2463696,R109,00-00-00,2020-02-29 00:00:00,206649.0,46483.0,12804.75,17022.0,4268.0,5674.0,Church Av,EL320,Nostrand Ave & Church Ave (SE corner) to Manhattan bound Platform,BKN,2/5,EL,Y,Y,2-5,R109
2463697,R109,00-00-00,2020-02-29 00:00:00,206649.0,46483.0,12804.75,17022.0,4268.0,5674.0,Church Av,EL321,Nostrand Ave & Church Ave (SW corner) to Flatbush Av Brooklyn College bound Platform,BKN,2/5,EL,Y,Y,2-5,R109
2463698,R109,00-00-00,2020-02-29 04:00:00,206675.0,46489.0,17073.0,22696.0,4268.0,5674.0,Church Av,EL320,Nostrand Ave & Church Ave (SE corner) to Manhattan bound Platform,BKN,2/5,EL,Y,Y,2-5,R109
2463699,R109,00-00-00,2020-02-29 04:00:00,206675.0,46489.0,17073.0,22696.0,4268.0,5674.0,Church Av,EL321,Nostrand Ave & Church Ave (SW corner) to Flatbush Av Brooklyn College bound Platform,BKN,2/5,EL,Y,Y,2-5,R109
2463700,R109,00-00-00,2020-02-29 04:00:00,206675.0,46489.0,17073.0,22696.0,0.0,0.0,Church Av,EL320,Nostrand Ave & Church Ave (SE corner) to Manhattan bound Platform,BKN,2/5,EL,Y,Y,2-5,R109
2463701,R109,00-00-00,2020-02-29 04:00:00,206675.0,46489.0,17073.0,22696.0,0.0,0.0,Church Av,EL321,Nostrand Ave & Church Ave (SW corner) to Flatbush Av Brooklyn College bound Platform,BKN,2/5,EL,Y,Y,2-5,R109
2463702,R109,00-00-00,2020-02-29 04:00:00,206675.0,46489.0,55820.25,53070.25,38747.0,30374.0,Church Av,EL320,Nostrand Ave & Church Ave (SE corner) to Manhattan bound Platform,BKN,2/5,EL,Y,Y,2-5,R109
2463703,R109,00-00-00,2020-02-29 04:00:00,206675.0,46489.0,55820.25,53070.25,38747.0,30374.0,Church Av,EL321,Nostrand Ave & Church Ave (SW corner) to Flatbush Av Brooklyn College bound Platform,BKN,2/5,EL,Y,Y,2-5,R109
2463704,R109,00-00-00,2020-02-29 04:00:00,206675.0,46489.0,94567.5,83444.5,38747.0,30374.0,Church Av,EL320,Nostrand Ave & Church Ave (SE corner) to Manhattan bound Platform,BKN,2/5,EL,Y,Y,2-5,R109
2463705,R109,00-00-00,2020-02-29 04:00:00,206675.0,46489.0,94567.5,83444.5,38747.0,30374.0,Church Av,EL321,Nostrand Ave & Church Ave (SW corner) to Flatbush Av Brooklyn College bound Platform,BKN,2/5,EL,Y,Y,2-5,R109
2463706,R109,00-00-00,2020-02-29 04:00:00,206675.0,46489.0,133314.75,113818.75,38747.0,30374.0,Church Av,EL320,Nostrand Ave & Church Ave (SE corner) to Manhattan bound Platform,BKN,2/5,EL,Y,Y,2-5,R109
2463707,R109,00-00-00,2020-02-29 04:00:00,206675.0,46489.0,133314.75,113818.75,38747.0,30374.0,Church Av,EL321,Nostrand Ave & Church Ave (SW corner) to Flatbush Av Brooklyn College bound Platform,BKN,2/5,EL,Y,Y,2-5,R109
2463708,R109,00-00-00,2020-02-29 08:00:00,206802.0,46508.0,172062.0,144193.0,38747.0,30374.0,Church Av,EL320,Nostrand Ave & Church Ave (SE corner) to Manhattan bound Platform,BKN,2/5,EL,Y,Y,2-5,R109
2463709,R109,00-00-00,2020-02-29 08:00:00,206802.0,46508.0,172062.0,144193.0,38747.0,30374.0,Church Av,EL321,Nostrand Ave & Church Ave (SW corner) to Flatbush Av Brooklyn College bound Platform,BKN,2/5,EL,Y,Y,2-5,R109
