,UNIT,SCP,datetime,ENTRIES,EXITS,cleaned_entries,cleaned_exits,entries_diff,exists_diff,station_name,equipment_id,description,borough,subway_lines,equipment_type,ada_compliant,is_active,clean_lines,remote
3064335,R224,00-00-00,2020-02-29 03:00:00,3050871.0,7900248.0,0.0,0.0,,,Clark St,EL310,Lower Mezzanine to street-level Arcade at Clark St & Henry St,BKN,2/3,EL,N,Y,2-3,R224
3064336,R224,00-00-00,2020-02-29 03:00:00,3050871.0,7900248.0,0.0,0.0,,,Clark St,EL311,Lower Mezzanine to street-level Arcade at Clark St & Henry St,BKN,2/3,EL,N,Y,2-3,R224
3064337,R224,00-00-00,2020-02-29 03:00:00,3050871.0,7900248.0,0.0,0.0,,,Clark St,EL312,Lower Mezzanine to street-level Arcade at Clark St & Henry St,BKN,2/3,EL,N,Y,2-3,R224
3064338,R224,00-00-00,2020-02-29 03:00:00,3050871.0,7900248.0,0.0,0.0,0.0,0.0,Clark St,EL310,Lower Mezzanine to street-level Arcade at Clark St & Henry St,BKN,2/3,EL,N,Y,2-3,R224
3064339,R224,00-00-00,2020-02-29 03:00:00,3050871.0,7900248.0,0.0,0.0,0.0,0.0,Clark St,EL311,Lower Mezzanine to street-level Arcade at Clark St & Henry St,BKN,2/3,EL,N,Y,2-3,R224
3064340,R224,00-00-00,2020-02-29 03:00:00,3050871.0,7900248.0,0.0,0.0,0.0,0.0,Clark St,EL312,Lower Mezzanine to street-level Arcade at Clark St & Henry St,BKN,2/3,EL,N,Y,2-3,R224
3064341,R224,00-00-00,2020-02-29 03:00:00,3050871.0,7900248.0,25800.5,23703.25,25800.0,23703.0,Clark St,EL310,Lower Mezzanine to street-level Arcade at Clark St & Henry St,BKN,2/3,EL,N,Y,2-3,R224
3064342,R224,00-00-00,2020-02-29 03:00:00,3050871.0,7900248.0,25800.5,23703.25,25800.0,23703.0,Clark St,EL311,Lower Mezzanine to street-level Arcade at Clark St & Henry St,BKN,2/3,EL,N,Y,2-3,R224
3064343,R224,00-00-00,2020-02-29 03:00:00,3050871.0,7900248.0,25800.5,23703.25,25800.0,23703.0,Clark St,EL312,Lower Mezzanine to street-level Arcade at Clark St & Henry St,BKN,2/3,EL,N,Y,2-3,R224
3064344,R224,00-00-00,2020-02-29 03:00:00,3050871.0,7900248.0,51601.0,47406.5,25800.0,23703.0,Clark St,EL310,Lower Mezzanine to street-level Arcade at Clark St & Henry St,BKN,2/3,EL,N,Y,2-3,R224
3064345,R224,00-00-00,2020-02-29 03:00:00,3050871.0,7900248.0,51601.0,47406.5,25800.0,23703.0,Clark St,EL311,Lower Mezzanine to street-level Arcade at Clark St & Henry St,BKN,2/3,EL,N,Y,2-3,R224
3064346,R224,00-00-00,2020-02-29 03:00:00,3050871.0,7900248.0,51601.0,47406.5,25800.0,23703.0,Clark St,EL312,Lower Mezzanine to street-level Arcade at Clark St & Henry St,BKN,2/3,EL,N,Y,2-3,R224
3064347,R224,00-00-00,2020-02-29 03:00:00,3050871.0,7900248.0,77401.5,71109.75,25800.0,23703.0,Clark St,EL310,Lower Mezzanine to street-level Arcade at Clark St & Henry St,BKN,2/3,EL,N,Y,2-3,R224
3064348,R224,00-00-00,2020-02-29 03:00:00,3050871.0,7900248.0,77401.5,71109.75,25800.0,23703.0,Clark St,EL311,Lower Mezzanine to street-level Arcade at Clark St & Henry St,BKN,2/3,EL,N,Y,2-3,R224
3064349,R224,00-00-00,2020-02-29 03:00:00,3050871.0,7900248.0,77401.5,71109.75,25800.0,23703.0,Clark St,EL312,Lower Mezzanine to street-level Arcade at Clark St & Henry St,BKN,2/3,EL,N,Y,2-3,R224
3064350,R224,00-00-00,2020-02-29 07:00:00,3050873.0,7900252.0,103202.0,94813.0,25800.0,23703.0,Clark St,EL310,Lower Mezzanine to street-level Arcade at Clark St & Henry St,BKN,2/3,EL,N,Y,2-3,R224
3064351,R224,00-00-00,2020-02-29 07:00:00,3050873.0,7900252.0,103202.0,94813.0,25800.0,23703.0,Clark St,EL311,Lower Mezzanine to street-level Arcade at Clark St & Henry St,BKN,2/3,EL,N,Y,2-3,R224
3064352,R224,00-00-00,2020-02-29 07:00:00,3050873.0,7900252.0,103202.0,94813.0,25800.0,23703.0,Clark St,EL312,Lower Mezzanine to street-level Arcade at Clark St & Henry St,BKN,2/3,EL,N,Y,2-3,R224
3064353,R224,00-00-00,2020-02-29 07:00:00,3050873.0,7900252.0,103202.0,94813.0,0.0,0.0,Clark St,EL310,Lower Mezzanine to street-level Arcade at Clark St & Henry St,BKN,2/3,EL,N,Y,2-3,R224
3064354,R224,00-00-00,2020-02-29 07:00:00,3050873.0,7900252.0,103202.0,94813.0,0.0,0.0,Clark St,EL311,Lower Mezzanine to street-level Arcade at Clark St & Henry St,BKN,2/3,EL,N,Y,2-3,R224
3064355,R224,00-00-00,2020-02-29 07:00:00,3050873.0,7900252.0,103202.0,94813.0,0.0,0.0,Clark St,EL312,Lower Mezzanine to street-level Arcade at Clark St & Henry St,BKN,2/3,EL,N,Y,2-3,R224
3064356,R224,00-00-00,2020-02-29 07:00:00,3050873.0,7900252.0,197291.5,188373.25,94090.0,93560.0,Clark St,EL310,Lower Mezzanine to street-level Arcade at Clark St & Henry St,BKN,2/3,EL,N,Y,2-3,R224
3064357,R224,00-00-00,2020-02-29 07:00:00,3050873.0,7900252.0,197291.5,188373.25,94090.0,93560.0,Clark St,EL311,Lower Mezzanine to street-level Arcade at Clark St & Henry St,BKN,2/3,EL,N,Y,2-3,R224
3064358,R224,00-00-00,2020-02-29 07:00:00,3050873.0,7900252.0,197291.5,188373.25,94090.0,93560.0,Clark St,EL312,Lower Mezzanine to street-level Arcade at Clark St & Henry St,BKN,2/3,EL,N,Y,2-3,R224
3064359,R224,00-00-00,2020-02-29 07:00:00,3050873.0,7900252.0,291381.0,281933.5,94090.0,93560.0,Clark St,EL310,Lower Mezzanine to street-level Arcade at Clark St & Henry St,BKN,2/3,EL,N,Y,2-3,R224
3064360,R224,00-00-00,2020-02-29 07:00:00,3050873.0,7900252.0,291381.0,281933.5,94090.0,93560.0,Clark St,EL311,Lower Mezzanine to street-level Arcade at Clark St & Henry St,BKN,2/3,EL,N,Y,2-3,R224
3064361,R224,00-00-00,2020-02-29 07:00:00,3050873.0,7900252.0,291381.0,281933.5,94090.0,93560.0,Clark St,EL312,Lower Mezzanine to street-level Arcade at Clark St & Henry St,BKN,2/3,EL,N,Y,2-3,R224
3064362,R224,00-00-00,2020-02-29 07:00:00,3050873.0,7900252.0,385470.5,375493.75,94090.0,93560.0,Clark St,EL310,Lower Mezzanine to street-level Arcade at Clark St & Henry St,BKN,2/3,EL,N,Y,2-3,R224
3064363,R224,00-00-00,2020-02-29 07:00:00,3050873.0,7900252.0,385470.5,375493.75,94090.0,93560.0,Clark St,EL311,Lower Mezzanine to street-level Arcade at Clark St & Henry St,BKN,2/3,EL,N,Y,2-3,R224
3064364,R224,00-00-00,2020-02-29 07:00:00,3050873.0,7900252.0,385470.5,375493.75,94090.0,93560.0,Clark St,EL312,Lower Mezzanine to street-level Arcade at Clark St & Henry St,BKN,2/3,EL,N,Y,2-3,R224
3064365,R224,00-00-00,2020-02-29 11:00:00,3050938.0,7900363.0,479560.0,469054.0,94090.0,93560.0,Clark St,EL310,Lower Mezzanine to street-level Arcade at Clark St & Henry St,BKN,2/3,EL,N,Y,2-3,R224
3064366,R224,00-00-00,2020-02-29 11:00:00,3050938.0,7900363.0,479560.0,469054.0,94090.0,93560.0,Clark St,EL311,Lower Mezzanine to street-level Arcade at Clark St & Henry St,BKN,2/3,EL,N,Y,2-3,R224
3064367,R224,00-00-00,2020-02-29 11:00:00,3050938.0,7900363.0,479560.0,469054.0,94090.0,93560.0,Clark St,EL312,Lower Mezzanine to street-level Arcade at Clark St & Henry St,BKN,2/3,EL,N,Y,2-3,R224
3064368,R224,00-00-00,2020-02-29 11:00:00,3050938.0,7900363.0,479560.0,469054.0,0.0,0.0,Clark St,EL310,Lower Mezzanine to street-level Arcade at Clark St & Henry St,BKN,2/3,EL,N,Y,2-3,R224
3064369,R224,00-00-00,2020-02-29 11:00:00,3050938.0,7900363.0,479560.0,469054.0,0.0,0.0,Clark St,EL311,Lower Mezzanine to street-level Arcade at Clark St & Henry St,BKN,2/3,EL,N,Y,2-3,R224
3064370,R224,00-00-00,2020-02-29 11:00:00,3050938.0,7900363.0,479560.0,469054.0,0.0,0.0,Clark St,EL312,Lower Mezzanine to street-level Arcade at Clark St & Henry St,BKN,2/3,EL,N,Y,2-3,R224
3064371,R224,00-00-00,2020-02-29 11:00:00,3050938.0,7900363.0,721212.5,584227.5,241652.0,115174.0,Clark St,EL310,Lower Mezzanine to street-level Arcade at Clark St & Henry St,BKN,2/3,EL,N,Y,2-3,R224
3064372,R224,00-00-00,2020-02-29 11:00:00,3050938.0,7900363.0,721212.5,584227.5,241652.0,115174.0,Clark St,EL311,Lower Mezzanine to street-level Arcade at Clark St & Henry St,BKN,2/3,EL,N,Y,2-3,R224
3064373,R224,00-00-00,2020-02-29 11:00:00,3050938.0,7900363.0,721212.5,584227.5,241652.0,115174.0,Clark St,EL312,Lower Mezzanine to street-level Arcade at Clark St & Henry St,BKN,2/3,EL,N,Y,2-3,R224
3064374,R224,00-00-00,2020-02-29 11:00:00,3050938.0,7900363.0,962865.0,699401.0,241652.0,115174.0,Clark St,EL310,Lower Mezzanine to street-level Arcade at Clark St & Henry St,BKN,2/3,EL,N,Y,2-3,R224
3064375,R224,00-00-00,2020-02-29 11:00:00,3050938.0,7900363.0,962865.0,699401.0,241652.0,115174.0,Clark St,EL311,Lower Mezzanine to street-level Arcade at Clark St & Henry St,BKN,2/3,EL,N,Y,2-3,R224
3064376,R224,00-00-00,2020-02-29 11:00:00,3050938.0,7900363.0,962865.0,699401.0,241652.0,115174.0,Clark St,EL312,Lower Mezzanine to street-level Arcade at Clark St & Henry St,BKN,2/3,EL,N,Y,2-3,R224
3064377,R224,00-00-00,2020-02-29 11:00:00,3050938.0,7900363.0,1204517.5,814574.5,241652.0,115174.0,Clark St,EL310,Lower Mezzanine to street-level Arcade at Clark St & Henry St,BKN,2/3,EL,N,Y,2-3,R224
3064378,R224,00-00-00,2020-02-29 11:00:00,3050938.0,7900363.0,1204517.5,814574.5,241652.0,115174.0,Clark St,EL311,Lower Mezzanine to street-level Arcade at Clark St & Henry St,BKN,2/3,EL,N,Y,2-3,R224
3064379,R224,00-00-00,2020-02-29 11:00:00,3050938.0,7900363.0,1204517.5,814574.5,241652.0,115174.0,Clark St,EL312,Lower Mezzanine to street-level Arcade at Clark St & Henry St,BKN,2/3,EL,N,Y,2-3,R224
