,UNIT,SCP,datetime,ENTRIES,EXITS,cleaned_entries,cleaned_exits,entries_diff,exists_diff,station_name,equipment_id,description,borough,subway_lines,equipment_type,ada_compliant,is_active,clean_lines,remote
2711208,R151,00-00-00,2020-02-29 00:00:00,1396603.0,2435841.0,0.0,0.0,,,Coney Island Stillwell Av,EL702,ADA access to the N line Platform in combination with EL701 and a crossover bridge over the tracks,BKN,D/F/N/Q,EL,Y,Y,D-F-N-Q,R151
2711209,R151,00-00-00,2020-02-29 00:00:00,1396603.0,2435841.0,0.0,0.0,,,Coney Island Stillwell Av,EL701,ADA access to the N line Platform in combination with EL702 and a crossover bridge over the tracks,BKN,D/F/N/Q,EL,Y,Y,D-F-N-Q,R151
2711210,R151,00-00-00,2020-02-29 00:00:00,1396603.0,2435841.0,0.0,0.0,0.0,0.0,Coney Island Stillwell Av,EL702,ADA access to the N line Platform in combination with EL701 and a crossover bridge over the tracks,BKN,D/F/N/Q,EL,Y,Y,D-F-N-Q,R151
2711211,R151,00-00-00,2020-02-29 00:00:00,1396603.0,2435841.0,0.0,0.0,0.0,0.0,Coney Island Stillwell Av,EL701,ADA access to the N line Platform in combination with EL702 and a crossover bridge over the tracks,BKN,D/F/N/Q,EL,Y,Y,D-F-N-Q,R151
2711212,R151,00-00-00,2020-02-29 00:00:00,1396603.0,2435841.0,6256.5,8316.0,6256.0,8316.0,Coney Island Stillwell Av,EL702,ADA access to the N line Platform in combination with EL701 and a crossover bridge over the tracks,BKN,D/F/N/Q,EL,Y,Y,D-F-N-Q,R151
2711213,R151,00-00-00,2020-02-29 00:00:00,1396603.0,2435841.0,6256.5,8316.0,6256.0,8316.0,Coney Island Stillwell Av,EL701,ADA access to the N line Platform in combination with EL702 and a crossover bridge over the tracks,BKN,D/F/N/Q,EL,Y,Y,D-F-N-Q,R151
2711214,R151,00-00-00,2020-02-29 00:00:00,1396603.0,2435841.0,12513.0,16632.0,6256.0,8316.0,Coney Island Stillwell Av,EL702,ADA access to the N line Platform in combination with EL701 and a crossover bridge over the tracks,BKN,D/F/N/Q,EL,Y,Y,D-F-N-Q,R151
2711215,R151,00-00-00,2020-02-29 00:00:00,1396603.0,2435841.0,12513.0,16632.0,6256.0,8316.0,Coney Island Stillwell Av,EL701,ADA access to the N line Platform in combination with EL702 and a crossover bridge over the tracks,BKN,D/F/N/Q,EL,Y,Y,D-F-N-Q,R151
2711216,R151,00-00-00,2020-02-29 00:00:00,1396603.0,2435841.0,18769.5,24948.0,6256.0,8316.0,Coney Island Stillwell Av,EL702,ADA access to the N line Platform in combination with EL701 and a crossover bridge over the tracks,BKN,D/F/N/Q,EL,Y,Y,D-F-N-Q,R151
2711217,R151,00-00-00,2020-02-29 00:00:00,1396603.0,2435841.0,18769.5,24948.0,6256.0,8316.0,Coney Island Stillwell Av,EL701,ADA access to the N line Platform in combination with EL702 and a crossover bridge over the tracks,BKN,D/F/N/Q,EL,Y,Y,D-F-N-Q,R151
2711218,R151,00-00-00,2020-02-29 04:00:00,1396644.0,2435934.0,25026.0,33264.0,6256.0,8316.0,Coney Island Stillwell Av,EL702,ADA access to the N line Platform in combination with EL701 and a crossover bridge over the tracks,BKN,D/F/N/Q,EL,Y,Y,D-F-N-Q,R151
2711219,R151,00-00-00,2020-02-29 04:00:00,1396644.0,2435934.0,25026.0,33264.0,6256.0,8316.0,Coney Island Stillwell Av,EL701,ADA access to the N line Platform in combination with EL702 and a crossover bridge over the tracks,BKN,D/F/N/Q,EL,Y,Y,D-F-N-Q,R151
