,UNIT,SCP,datetime,ENTRIES,EXITS,cleaned_entries,cleaned_exits,entries_diff,exists_diff,station_name,equipment_id,description,borough,subway_lines,equipment_type,ada_compliant,is_active,clean_lines,remote
3492264,R359,00-00-00,2020-02-29 03:00:00,447269.0,1029666.0,0.0,0.0,,,Court Square - 23 St,PW401,Passageway transfer,QNS,E/M,PW,N,N,E-M,R359
3492265,R359,00-00-00,2020-02-29 03:00:00,447269.0,1029666.0,0.0,0.0,,,Court Square - 23 St,PW402,Passageway transfer,QNS,E/M,PW,N,N,E-M,R359
3492273,R359,00-00-00,2020-02-29 03:00:00,447269.0,1029666.0,0.0,0.0,0.0,0.0,Court Square - 23 St,PW401,Passageway transfer,QNS,E/M,PW,N,N,E-M,R359
3492274,R359,00-00-00,2020-02-29 03:00:00,447269.0,1029666.0,0.0,0.0,0.0,0.0,Court Square - 23 St,PW402,Passageway transfer,QNS,E/M,PW,N,N,E-M,R359
3492282,R359,00-00-00,2020-02-29 03:00:00,447269.0,1029666.0,24310.75,21926.25,24311.0,21926.0,Court Square - 23 St,PW401,Passageway transfer,QNS,E/M,PW,N,N,E-M,R359
3492283,R359,00-00-00,2020-02-29 03:00:00,447269.0,1029666.0,24310.75,21926.25,24311.0,21926.0,Court Square - 23 St,PW402,Passageway transfer,QNS,E/M,PW,N,N,E-M,R359
3492291,R359,00-00-00,2020-02-29 03:00:00,447269.0,1029666.0,48621.5,43852.5,24311.0,21926.0,Court Square - 23 St,PW401,Passageway transfer,QNS,E/M,PW,N,N,E-M,R359
3492292,R359,00-00-00,2020-02-29 03:00:00,447269.0,1029666.0,48621.5,43852.5,24311.0,21926.0,Court Square - 23 St,PW402,Passageway transfer,QNS,E/M,PW,N,N,E-M,R359
3492300,R359,00-00-00,2020-02-29 03:00:00,447269.0,1029666.0,72932.25,65778.75,24311.0,21926.0,Court Square - 23 St,PW401,Passageway transfer,QNS,E/M,PW,N,N,E-M,R359
3492301,R359,00-00-00,2020-02-29 03:00:00,447269.0,1029666.0,72932.25,65778.75,24311.0,21926.0,Court Square - 23 St,PW402,Passageway transfer,QNS,E/M,PW,N,N,E-M,R359
3492309,R359,00-00-00,2020-02-29 07:00:00,447290.0,1029677.0,97243.0,87705.0,24311.0,21926.0,Court Square - 23 St,PW401,Passageway transfer,QNS,E/M,PW,N,N,E-M,R359
3492310,R359,00-00-00,2020-02-29 07:00:00,447290.0,1029677.0,97243.0,87705.0,24311.0,21926.0,Court Square - 23 St,PW402,Passageway transfer,QNS,E/M,PW,N,N,E-M,R359
3492318,R359,00-00-00,2020-02-29 07:00:00,447290.0,1029677.0,97243.0,87705.0,0.0,0.0,Court Square - 23 St,PW401,Passageway transfer,QNS,E/M,PW,N,N,E-M,R359
3492319,R359,00-00-00,2020-02-29 07:00:00,447290.0,1029677.0,97243.0,87705.0,0.0,0.0,Court Square - 23 St,PW402,Passageway transfer,QNS,E/M,PW,N,N,E-M,R359
3492327,R359,00-00-00,2020-02-29 07:00:00,447290.0,1029677.0,136895.5,135412.75,39652.0,47708.0,Court Square - 23 St,PW401,Passageway transfer,QNS,E/M,PW,N,N,E-M,R359
3492328,R359,00-00-00,2020-02-29 07:00:00,447290.0,1029677.0,136895.5,135412.75,39652.0,47708.0,Court Square - 23 St,PW402,Passageway transfer,QNS,E/M,PW,N,N,E-M,R359
3492336,R359,00-00-00,2020-02-29 07:00:00,447290.0,1029677.0,176548.0,183120.5,39652.0,47708.0,Court Square - 23 St,PW401,Passageway transfer,QNS,E/M,PW,N,N,E-M,R359
3492337,R359,00-00-00,2020-02-29 07:00:00,447290.0,1029677.0,176548.0,183120.5,39652.0,47708.0,Court Square - 23 St,PW402,Passageway transfer,QNS,E/M,PW,N,N,E-M,R359
3492345,R359,00-00-00,2020-02-29 07:00:00,447290.0,1029677.0,216200.5,230828.25,39652.0,47708.0,Court Square - 23 St,PW401,Passageway transfer,QNS,E/M,PW,N,N,E-M,R359
3492346,R359,00-00-00,2020-02-29 07:00:00,447290.0,1029677.0,216200.5,230828.25,39652.0,47708.0,Court Square - 23 St,PW402,Passageway transfer,QNS,E/M,PW,N,N,E-M,R359
3492354,R359,00-00-00,2020-02-29 11:00:00,447430.0,1029702.0,255853.0,278536.0,39652.0,47708.0,Court Square - 23 St,PW401,Passageway transfer,QNS,E/M,PW,N,N,E-M,R359
3492355,R359,00-00-00,2020-02-29 11:00:00,447430.0,1029702.0,255853.0,278536.0,39652.0,47708.0,Court Square - 23 St,PW402,Passageway transfer,QNS,E/M,PW,N,N,E-M,R359
3492363,R359,00-00-00,2020-02-29 11:00:00,447430.0,1029702.0,255853.0,278536.0,0.0,0.0,Court Square - 23 St,PW401,Passageway transfer,QNS,E/M,PW,N,N,E-M,R359
3492364,R359,00-00-00,2020-02-29 11:00:00,447430.0,1029702.0,255853.0,278536.0,0.0,0.0,Court Square - 23 St,PW402,Passageway transfer,QNS,E/M,PW,N,N,E-M,R359
3492372,R359,00-00-00,2020-02-29 11:00:00,447430.0,1029702.0,582455.0,467112.75,326602.0,188577.0,Court Square - 23 St,PW401,Passageway transfer,QNS,E/M,PW,N,N,E-M,R359
3492373,R359,00-00-00,2020-02-29 11:00:00,447430.0,1029702.0,582455.0,467112.75,326602.0,188577.0,Court Square - 23 St,PW402,Passageway transfer,QNS,E/M,PW,N,N,E-M,R359
3492381,R359,00-00-00,2020-02-29 11:00:00,447430.0,1029702.0,909057.0,655689.5,326602.0,188577.0,Court Square - 23 St,PW401,Passageway transfer,QNS,E/M,PW,N,N,E-M,R359
3492382,R359,00-00-00,2020-02-29 11:00:00,447430.0,1029702.0,909057.0,655689.5,326602.0,188577.0,Court Square - 23 St,PW402,Passageway transfer,QNS,E/M,PW,N,N,E-M,R359
