,UNIT,SCP,datetime,ENTRIES,EXITS,cleaned_entries,cleaned_exits,entries_diff,exists_diff,station_name,equipment_id,description,borough,subway_lines,equipment_type,ada_compliant,is_active,clean_lines,remote
2386926,R099,00-00-00,2020-02-29 03:00:00,1999806640.0,1850755183.0,0.0,0.0,,,Dekalb Av,EL370,Dekalb Ave & Flatbush Ave (SW corner) and Mezzanine to reach service in both directions,BKN,B/Q/R,EL,Y,Y,B-Q-R,R099
2386927,R099,00-00-00,2020-02-29 03:00:00,1999806640.0,1850755183.0,0.0,0.0,,,Dekalb Av,EL372,"Mezzanine to Brighton Beach, Coney Island, Bay Ridge bound Platform",BKN,B/Q/R,EL,Y,Y,B-Q-R,R099
2386928,R099,00-00-00,2020-02-29 03:00:00,1999806640.0,1850755183.0,0.0,0.0,,,Dekalb Av,EL371,Mezzanine to Manhattan bound Platform,BKN,B/Q/R,EL,Y,Y,B-Q-R,R099
2386929,R099,00-00-00,2020-02-29 03:00:00,1999806640.0,1850755183.0,0.0,0.0,,,Dekalb Av,ES309,Northbound Platform to Mezzanine,BKN,B/Q/R,ES,N,Y,B-Q-R,R099
2386930,R099,00-00-00,2020-02-29 03:00:00,1999806640.0,1850755183.0,0.0,0.0,,,Dekalb Av,ES308,Southbound Platform to Mezzanine,BKN,B/Q/R,ES,N,Y,B-Q-R,R099
2386931,R099,00-00-00,2020-02-29 03:00:00,1999806640.0,1850755183.0,0.0,0.0,0.0,0.0,Dekalb Av,EL370,Dekalb Ave & Flatbush Ave (SW corner) and Mezzanine to reach service in both directions,BKN,B/Q/R,EL,Y,Y,B-Q-R,R099
2386932,R099,00-00-00,2020-02-29 03:00:00,1999806640.0,1850755183.0,0.0,0.0,0.0,0.0,Dekalb Av,EL372,"Mezzanine to Brighton Beach, Coney Island, Bay Ridge bound Platform",BKN,B/Q/R,EL,Y,Y,B-Q-R,R099
2386933,R099,00-00-00,2020-02-29 03:00:00,1999806640.0,1850755183.0,0.0,0.0,0.0,0.0,Dekalb Av,EL371,Mezzanine to Manhattan bound Platform,BKN,B/Q/R,EL,Y,Y,B-Q-R,R099
2386934,R099,00-00-00,2020-02-29 03:00:00,1999806640.0,1850755183.0,0.0,0.0,0.0,0.0,Dekalb Av,ES309,Northbound Platform to Mezzanine,BKN,B/Q/R,ES,N,Y,B-Q-R,R099
2386935,R099,00-00-00,2020-02-29 03:00:00,1999806640.0,1850755183.0,0.0,0.0,0.0,0.0,Dekalb Av,ES308,Southbound Platform to Mezzanine,BKN,B/Q/R,ES,N,Y,B-Q-R,R099
2386936,R099,00-00-00,2020-02-29 03:00:00,1999806640.0,1850755183.0,20137.5,19292.75,20138.0,19293.0,Dekalb Av,EL370,Dekalb Ave & Flatbush Ave (SW corner) and Mezzanine to reach service in both directions,BKN,B/Q/R,EL,Y,Y,B-Q-R,R099
2386937,R099,00-00-00,2020-02-29 03:00:00,1999806640.0,1850755183.0,20137.5,19292.75,20138.0,19293.0,Dekalb Av,EL372,"Mezzanine to Brighton Beach, Coney Island, Bay Ridge bound Platform",BKN,B/Q/R,EL,Y,Y,B-Q-R,R099
2386938,R099,00-00-00,2020-02-29 03:00:00,1999806640.0,1850755183.0,20137.5,19292.75,20138.0,19293.0,Dekalb Av,EL371,Mezzanine to Manhattan bound Platform,BKN,B/Q/R,EL,Y,Y,B-Q-R,R099
2386939,R099,00-00-00,2020-02-29 03:00:00,1999806640.0,1850755183.0,20137.5,19292.75,20138.0,19293.0,Dekalb Av,ES309,Northbound Platform to Mezzanine,BKN,B/Q/R,ES,N,Y,B-Q-R,R099
2386940,R099,00-00-00,2020-02-29 03:00:00,1999806640.0,1850755183.0,20137.5,19292.75,20138.0,19293.0,Dekalb Av,ES308,Southbound Platform to Mezzanine,BKN,B/Q/R,ES,N,Y,B-Q-R,R099
2386941,R099,00-00-00,2020-02-29 03:00:00,1999806640.0,1850755183.0,40275.0,38585.5,20138.0,19293.0,Dekalb Av,EL370,Dekalb Ave & Flatbush Ave (SW corner) and Mezzanine to reach service in both directions,BKN,B/Q/R,EL,Y,Y,B-Q-R,R099
2386942,R099,00-00-00,2020-02-29 03:00:00,1999806640.0,1850755183.0,40275.0,38585.5,20138.0,19293.0,Dekalb Av,EL372,"Mezzanine to Brighton Beach, Coney Island, Bay Ridge bound Platform",BKN,B/Q/R,EL,Y,Y,B-Q-R,R099
2386943,R099,00-00-00,2020-02-29 03:00:00,1999806640.0,1850755183.0,40275.0,38585.5,20138.0,19293.0,Dekalb Av,EL371,Mezzanine to Manhattan bound Platform,BKN,B/Q/R,EL,Y,Y,B-Q-R,R099
2386944,R099,00-00-00,2020-02-29 03:00:00,1999806640.0,1850755183.0,40275.0,38585.5,20138.0,19293.0,Dekalb Av,ES309,Northbound Platform to Mezzanine,BKN,B/Q/R,ES,N,Y,B-Q-R,R099
2386945,R099,00-00-00,2020-02-29 03:00:00,1999806640.0,1850755183.0,40275.0,38585.5,20138.0,19293.0,Dekalb Av,ES308,Southbound Platform to Mezzanine,BKN,B/Q/R,ES,N,Y,B-Q-R,R099
2386946,R099,00-00-00,2020-02-29 03:00:00,1999806640.0,1850755183.0,60412.5,57878.25,20138.0,19293.0,Dekalb Av,EL370,Dekalb Ave & Flatbush Ave (SW corner) and Mezzanine to reach service in both directions,BKN,B/Q/R,EL,Y,Y,B-Q-R,R099
2386947,R099,00-00-00,2020-02-29 03:00:00,1999806640.0,1850755183.0,60412.5,57878.25,20138.0,19293.0,Dekalb Av,EL372,"Mezzanine to Brighton Beach, Coney Island, Bay Ridge bound Platform",BKN,B/Q/R,EL,Y,Y,B-Q-R,R099
2386948,R099,00-00-00,2020-02-29 03:00:00,1999806640.0,1850755183.0,60412.5,57878.25,20138.0,19293.0,Dekalb Av,EL371,Mezzanine to Manhattan bound Platform,BKN,B/Q/R,EL,Y,Y,B-Q-R,R099
2386949,R099,00-00-00,2020-02-29 03:00:00,1999806640.0,1850755183.0,60412.5,57878.25,20138.0,19293.0,Dekalb Av,ES309,Northbound Platform to Mezzanine,BKN,B/Q/R,ES,N,Y,B-Q-R,R099
2386950,R099,00-00-00,2020-02-29 03:00:00,1999806640.0,1850755183.0,60412.5,57878.25,20138.0,19293.0,Dekalb Av,ES308,Southbound Platform to Mezzanine,BKN,B/Q/R,ES,N,Y,B-Q-R,R099
2386951,R099,00-00-00,2020-02-29 07:00:00,1999806605.0,1850755230.0,80550.0,77171.0,20138.0,19293.0,Dekalb Av,EL370,Dekalb Ave & Flatbush Ave (SW corner) and Mezzanine to reach service in both directions,BKN,B/Q/R,EL,Y,Y,B-Q-R,R099
2386952,R099,00-00-00,2020-02-29 07:00:00,1999806605.0,1850755230.0,80550.0,77171.0,20138.0,19293.0,Dekalb Av,EL372,"Mezzanine to Brighton Beach, Coney Island, Bay Ridge bound Platform",BKN,B/Q/R,EL,Y,Y,B-Q-R,R099
2386953,R099,00-00-00,2020-02-29 07:00:00,1999806605.0,1850755230.0,80550.0,77171.0,20138.0,19293.0,Dekalb Av,EL371,Mezzanine to Manhattan bound Platform,BKN,B/Q/R,EL,Y,Y,B-Q-R,R099
