,UNIT,SCP,datetime,ENTRIES,EXITS,cleaned_entries,cleaned_exits,entries_diff,exists_diff,station_name,equipment_id,description,borough,subway_lines,equipment_type,ada_compliant,is_active,clean_lines,remote
2673146,R142,00-00-00,2020-02-29 00:00:00,13850010.0,12261392.0,0.0,0.0,,,Delancey St Essex St,ES327,Mezzanine to Street,MN,F/J/M/Z,ES,N,Y,F-J-M-Z,R142
2673147,R142,00-00-00,2020-02-29 00:00:00,13850010.0,12261392.0,0.0,0.0,,,Delancey St Essex St,ES328,Northbound Platform to Street,MN,F/J/M/Z,ES,N,Y,F-J-M-Z,R142
2673148,R142,00-00-00,2020-02-29 00:00:00,13850010.0,12261392.0,0.0,0.0,0.0,0.0,Delancey St Essex St,ES327,Mezzanine to Street,MN,F/J/M/Z,ES,N,Y,F-J-M-Z,R142
2673149,R142,00-00-00,2020-02-29 00:00:00,13850010.0,12261392.0,0.0,0.0,0.0,0.0,Delancey St Essex St,ES328,Northbound Platform to Street,MN,F/J/M/Z,ES,N,Y,F-J-M-Z,R142
2673150,R142,00-00-00,2020-02-29 00:00:00,13850010.0,12261392.0,3224.5,4353.25,3224.0,4353.0,Delancey St Essex St,ES327,Mezzanine to Street,MN,F/J/M/Z,ES,N,Y,F-J-M-Z,R142
2673151,R142,00-00-00,2020-02-29 00:00:00,13850010.0,12261392.0,3224.5,4353.25,3224.0,4353.0,Delancey St Essex St,ES328,Northbound Platform to Street,MN,F/J/M/Z,ES,N,Y,F-J-M-Z,R142
2673152,R142,00-00-00,2020-02-29 00:00:00,13850010.0,12261392.0,6449.0,8706.5,3224.0,4353.0,Delancey St Essex St,ES327,Mezzanine to Street,MN,F/J/M/Z,ES,N,Y,F-J-M-Z,R142
2673153,R142,00-00-00,2020-02-29 00:00:00,13850010.0,12261392.0,6449.0,8706.5,3224.0,4353.0,Delancey St Essex St,ES328,Northbound Platform to Street,MN,F/J/M/Z,ES,N,Y,F-J-M-Z,R142
2673154,R142,00-00-00,2020-02-29 00:00:00,13850010.0,12261392.0,9673.5,13059.75,3224.0,4353.0,Delancey St Essex St,ES327,Mezzanine to Street,MN,F/J/M/Z,ES,N,Y,F-J-M-Z,R142
2673155,R142,00-00-00,2020-02-29 00:00:00,13850010.0,12261392.0,9673.5,13059.75,3224.0,4353.0,Delancey St Essex St,ES328,Northbound Platform to Street,MN,F/J/M/Z,ES,N,Y,F-J-M-Z,R142
