,UNIT,SCP,datetime,ENTRIES,EXITS,cleaned_entries,cleaned_exits,entries_diff,exists_diff,station_name,equipment_id,description,borough,subway_lines,equipment_type,ada_compliant,is_active,clean_lines,remote
3581415,R388,00-00-00,2020-02-29 00:00:00,1476900.0,1825698.0,0.0,0.0,,,East 180 St,EL160,Morris Park Ave & E 180 St to downtown Platform,BX,2/5,EL,Y,Y,2-5,R388
3581416,R388,00-00-00,2020-02-29 00:00:00,1476900.0,1825698.0,0.0,0.0,,,East 180 St,EL159,Morris Park Ave & E 180 St to uptown Platform,BX,2/5,EL,Y,Y,2-5,R388
3581417,R388,00-00-00,2020-02-29 00:00:00,1476900.0,1825698.0,0.0,0.0,0.0,0.0,East 180 St,EL160,Morris Park Ave & E 180 St to downtown Platform,BX,2/5,EL,Y,Y,2-5,R388
3581418,R388,00-00-00,2020-02-29 00:00:00,1476900.0,1825698.0,0.0,0.0,0.0,0.0,East 180 St,EL159,Morris Park Ave & E 180 St to uptown Platform,BX,2/5,EL,Y,Y,2-5,R388
3581419,R388,00-00-00,2020-02-29 00:00:00,1476900.0,1825698.0,7649.0,9876.75,7649.0,9877.0,East 180 St,EL160,Morris Park Ave & E 180 St to downtown Platform,BX,2/5,EL,Y,Y,2-5,R388
3581420,R388,00-00-00,2020-02-29 00:00:00,1476900.0,1825698.0,7649.0,9876.75,7649.0,9877.0,East 180 St,EL159,Morris Park Ave & E 180 St to uptown Platform,BX,2/5,EL,Y,Y,2-5,R388
3581421,R388,00-00-00,2020-02-29 00:00:00,1476900.0,1825698.0,15298.0,19753.5,7649.0,9877.0,East 180 St,EL160,Morris Park Ave & E 180 St to downtown Platform,BX,2/5,EL,Y,Y,2-5,R388
3581422,R388,00-00-00,2020-02-29 00:00:00,1476900.0,1825698.0,15298.0,19753.5,7649.0,9877.0,East 180 St,EL159,Morris Park Ave & E 180 St to uptown Platform,BX,2/5,EL,Y,Y,2-5,R388
3581423,R388,00-00-00,2020-02-29 00:00:00,1476900.0,1825698.0,22947.0,29630.25,7649.0,9877.0,East 180 St,EL160,Morris Park Ave & E 180 St to downtown Platform,BX,2/5,EL,Y,Y,2-5,R388
3581424,R388,00-00-00,2020-02-29 00:00:00,1476900.0,1825698.0,22947.0,29630.25,7649.0,9877.0,East 180 St,EL159,Morris Park Ave & E 180 St to uptown Platform,BX,2/5,EL,Y,Y,2-5,R388
3581425,R388,00-00-00,2020-02-29 04:00:00,1476949.0,1825840.0,30596.0,39507.0,7649.0,9877.0,East 180 St,EL160,Morris Park Ave & E 180 St to downtown Platform,BX,2/5,EL,Y,Y,2-5,R388
3581426,R388,00-00-00,2020-02-29 04:00:00,1476949.0,1825840.0,30596.0,39507.0,7649.0,9877.0,East 180 St,EL159,Morris Park Ave & E 180 St to uptown Platform,BX,2/5,EL,Y,Y,2-5,R388
3581427,R388,00-00-00,2020-02-29 04:00:00,1476949.0,1825840.0,30596.0,39507.0,0.0,0.0,East 180 St,EL160,Morris Park Ave & E 180 St to downtown Platform,BX,2/5,EL,Y,Y,2-5,R388
