,UNIT,SCP,datetime,ENTRIES,EXITS,cleaned_entries,cleaned_exits,entries_diff,exists_diff,station_name,equipment_id,description,borough,subway_lines,equipment_type,ada_compliant,is_active,clean_lines,remote
3123909,R257,00-00-00,2020-02-29 03:00:00,6815097.0,5342531.0,0.0,0.0,,,East Broadway,ES329,Center Island Platform to Mezzanine,MN,F,ES,N,Y,F,R257
3123910,R257,00-00-00,2020-02-29 03:00:00,6815097.0,5342531.0,0.0,0.0,0.0,0.0,East Broadway,ES329,Center Island Platform to Mezzanine,MN,F,ES,N,Y,F,R257
3123911,R257,00-00-00,2020-02-29 03:00:00,6815097.0,5342531.0,24300.75,21917.5,24301.0,21918.0,East Broadway,ES329,Center Island Platform to Mezzanine,MN,F,ES,N,Y,F,R257
3123912,R257,00-00-00,2020-02-29 03:00:00,6815097.0,5342531.0,48601.5,43835.0,24301.0,21918.0,East Broadway,ES329,Center Island Platform to Mezzanine,MN,F,ES,N,Y,F,R257
3123913,R257,00-00-00,2020-02-29 03:00:00,6815097.0,5342531.0,72902.25,65752.5,24301.0,21918.0,East Broadway,ES329,Center Island Platform to Mezzanine,MN,F,ES,N,Y,F,R257
3123914,R257,00-00-00,2020-02-29 07:00:00,6815196.0,5342594.0,97203.0,87670.0,24301.0,21918.0,East Broadway,ES329,Center Island Platform to Mezzanine,MN,F,ES,N,Y,F,R257
3123915,R257,00-00-00,2020-02-29 07:00:00,6815196.0,5342594.0,97203.0,87670.0,0.0,0.0,East Broadway,ES329,Center Island Platform to Mezzanine,MN,F,ES,N,Y,F,R257
3123916,R257,00-00-00,2020-02-29 07:00:00,6815196.0,5342594.0,136429.5,134970.25,39226.0,47300.0,East Broadway,ES329,Center Island Platform to Mezzanine,MN,F,ES,N,Y,F,R257
3123917,R257,00-00-00,2020-02-29 07:00:00,6815196.0,5342594.0,175656.0,182270.5,39226.0,47300.0,East Broadway,ES329,Center Island Platform to Mezzanine,MN,F,ES,N,Y,F,R257
3123918,R257,00-00-00,2020-02-29 07:00:00,6815196.0,5342594.0,214882.5,229570.75,39226.0,47300.0,East Broadway,ES329,Center Island Platform to Mezzanine,MN,F,ES,N,Y,F,R257
3123919,R257,00-00-00,2020-02-29 11:00:00,6815576.0,5342949.0,254109.0,276871.0,39226.0,47300.0,East Broadway,ES329,Center Island Platform to Mezzanine,MN,F,ES,N,Y,F,R257
3123920,R257,00-00-00,2020-02-29 11:00:00,6815576.0,5342949.0,254109.0,276871.0,0.0,0.0,East Broadway,ES329,Center Island Platform to Mezzanine,MN,F,ES,N,Y,F,R257
3123921,R257,00-00-00,2020-02-29 11:00:00,6815576.0,5342949.0,520119.75,415314.75,266011.0,138444.0,East Broadway,ES329,Center Island Platform to Mezzanine,MN,F,ES,N,Y,F,R257
3123922,R257,00-00-00,2020-02-29 11:00:00,6815576.0,5342949.0,786130.5,553758.5,266011.0,138444.0,East Broadway,ES329,Center Island Platform to Mezzanine,MN,F,ES,N,Y,F,R257
3123923,R257,00-00-00,2020-02-29 11:00:00,6815576.0,5342949.0,1052141.25,692202.25,266011.0,138444.0,East Broadway,ES329,Center Island Platform to Mezzanine,MN,F,ES,N,Y,F,R257
3123924,R257,00-00-00,2020-02-29 15:00:00,6816032.0,5343268.0,1318152.0,830646.0,266011.0,138444.0,East Broadway,ES329,Center Island Platform to Mezzanine,MN,F,ES,N,Y,F,R257
3123925,R257,00-00-00,2020-02-29 15:00:00,6816032.0,5343268.0,1318152.0,830646.0,0.0,0.0,East Broadway,ES329,Center Island Platform to Mezzanine,MN,F,ES,N,Y,F,R257
3123926,R257,00-00-00,2020-02-29 15:00:00,6816032.0,5343268.0,1574479.5,1042765.25,256328.0,212119.0,East Broadway,ES329,Center Island Platform to Mezzanine,MN,F,ES,N,Y,F,R257
3123927,R257,00-00-00,2020-02-29 15:00:00,6816032.0,5343268.0,1830807.0,1254884.5,256328.0,212119.0,East Broadway,ES329,Center Island Platform to Mezzanine,MN,F,ES,N,Y,F,R257
3123928,R257,00-00-00,2020-02-29 15:00:00,6816032.0,5343268.0,2087134.5,1467003.75,256328.0,212119.0,East Broadway,ES329,Center Island Platform to Mezzanine,MN,F,ES,N,Y,F,R257
