,UNIT,SCP,datetime,ENTRIES,EXITS,cleaned_entries,cleaned_exits,entries_diff,exists_diff,station_name,equipment_id,description,borough,subway_lines,equipment_type,ada_compliant,is_active,clean_lines,remote
3195300,R285,00-00-00,2020-02-29 03:00:00,239574.0,465710.0,0.0,0.0,,,Far Rockaway - Mott Av,EL498,Beach 22nd & Mott Ave to Platform for all service,QNS,A,EL,Y,Y,A,R285
3195301,R285,00-00-00,2020-02-29 03:00:00,239574.0,465710.0,0.0,0.0,,,Far Rockaway - Mott Av,EL497,Beach 22nd & Mott Ave to Platform for all service,QNS,A,EL,Y,Y,A,R285
3195302,R285,00-00-00,2020-02-29 03:00:00,239574.0,465710.0,0.0,0.0,0.0,0.0,Far Rockaway - Mott Av,EL498,Beach 22nd & Mott Ave to Platform for all service,QNS,A,EL,Y,Y,A,R285
3195303,R285,00-00-00,2020-02-29 03:00:00,239574.0,465710.0,0.0,0.0,0.0,0.0,Far Rockaway - Mott Av,EL497,Beach 22nd & Mott Ave to Platform for all service,QNS,A,EL,Y,Y,A,R285
3195304,R285,00-00-00,2020-02-29 03:00:00,239574.0,465710.0,19168.5,18726.25,19168.0,18726.0,Far Rockaway - Mott Av,EL498,Beach 22nd & Mott Ave to Platform for all service,QNS,A,EL,Y,Y,A,R285
3195305,R285,00-00-00,2020-02-29 03:00:00,239574.0,465710.0,19168.5,18726.25,19168.0,18726.0,Far Rockaway - Mott Av,EL497,Beach 22nd & Mott Ave to Platform for all service,QNS,A,EL,Y,Y,A,R285
3195306,R285,00-00-00,2020-02-29 03:00:00,239574.0,465710.0,38337.0,37452.5,19168.0,18726.0,Far Rockaway - Mott Av,EL498,Beach 22nd & Mott Ave to Platform for all service,QNS,A,EL,Y,Y,A,R285
3195307,R285,00-00-00,2020-02-29 03:00:00,239574.0,465710.0,38337.0,37452.5,19168.0,18726.0,Far Rockaway - Mott Av,EL497,Beach 22nd & Mott Ave to Platform for all service,QNS,A,EL,Y,Y,A,R285
3195308,R285,00-00-00,2020-02-29 03:00:00,239574.0,465710.0,57505.5,56178.75,19168.0,18726.0,Far Rockaway - Mott Av,EL498,Beach 22nd & Mott Ave to Platform for all service,QNS,A,EL,Y,Y,A,R285
3195309,R285,00-00-00,2020-02-29 03:00:00,239574.0,465710.0,57505.5,56178.75,19168.0,18726.0,Far Rockaway - Mott Av,EL497,Beach 22nd & Mott Ave to Platform for all service,QNS,A,EL,Y,Y,A,R285
3195310,R285,00-00-00,2020-02-29 07:00:00,239597.0,465759.0,76674.0,74905.0,19168.0,18726.0,Far Rockaway - Mott Av,EL498,Beach 22nd & Mott Ave to Platform for all service,QNS,A,EL,Y,Y,A,R285
3195311,R285,00-00-00,2020-02-29 07:00:00,239597.0,465759.0,76674.0,74905.0,19168.0,18726.0,Far Rockaway - Mott Av,EL497,Beach 22nd & Mott Ave to Platform for all service,QNS,A,EL,Y,Y,A,R285
3195312,R285,00-00-00,2020-02-29 07:00:00,239597.0,465759.0,76674.0,74905.0,0.0,0.0,Far Rockaway - Mott Av,EL498,Beach 22nd & Mott Ave to Platform for all service,QNS,A,EL,Y,Y,A,R285
3195313,R285,00-00-00,2020-02-29 07:00:00,239597.0,465759.0,76674.0,74905.0,0.0,0.0,Far Rockaway - Mott Av,EL497,Beach 22nd & Mott Ave to Platform for all service,QNS,A,EL,Y,Y,A,R285
3195314,R285,00-00-00,2020-02-29 07:00:00,239597.0,465759.0,136573.0,140236.25,59899.0,65331.0,Far Rockaway - Mott Av,EL498,Beach 22nd & Mott Ave to Platform for all service,QNS,A,EL,Y,Y,A,R285
3195315,R285,00-00-00,2020-02-29 07:00:00,239597.0,465759.0,136573.0,140236.25,59899.0,65331.0,Far Rockaway - Mott Av,EL497,Beach 22nd & Mott Ave to Platform for all service,QNS,A,EL,Y,Y,A,R285
3195316,R285,00-00-00,2020-02-29 07:00:00,239597.0,465759.0,196472.0,205567.5,59899.0,65331.0,Far Rockaway - Mott Av,EL498,Beach 22nd & Mott Ave to Platform for all service,QNS,A,EL,Y,Y,A,R285
3195317,R285,00-00-00,2020-02-29 07:00:00,239597.0,465759.0,196472.0,205567.5,59899.0,65331.0,Far Rockaway - Mott Av,EL497,Beach 22nd & Mott Ave to Platform for all service,QNS,A,EL,Y,Y,A,R285
3195318,R285,00-00-00,2020-02-29 07:00:00,239597.0,465759.0,256371.0,270898.75,59899.0,65331.0,Far Rockaway - Mott Av,EL498,Beach 22nd & Mott Ave to Platform for all service,QNS,A,EL,Y,Y,A,R285
3195319,R285,00-00-00,2020-02-29 07:00:00,239597.0,465759.0,256371.0,270898.75,59899.0,65331.0,Far Rockaway - Mott Av,EL497,Beach 22nd & Mott Ave to Platform for all service,QNS,A,EL,Y,Y,A,R285
3195320,R285,00-00-00,2020-02-29 11:00:00,239645.0,465862.0,316270.0,336230.0,59899.0,65331.0,Far Rockaway - Mott Av,EL498,Beach 22nd & Mott Ave to Platform for all service,QNS,A,EL,Y,Y,A,R285
3195321,R285,00-00-00,2020-02-29 11:00:00,239645.0,465862.0,316270.0,336230.0,59899.0,65331.0,Far Rockaway - Mott Av,EL497,Beach 22nd & Mott Ave to Platform for all service,QNS,A,EL,Y,Y,A,R285
