,UNIT,SCP,datetime,ENTRIES,EXITS,cleaned_entries,cleaned_exits,entries_diff,exists_diff,station_name,equipment_id,description,borough,subway_lines,equipment_type,ada_compliant,is_active,clean_lines,remote
2467414,R110,00-00-00,2020-02-29 00:00:00,143460.0,105224.0,0.0,0.0,,,Flatbush Av Brooklyn College,EL319,Nostrand Ave & Flatbush Ave (SE corner) to Platform for service in both directions,BKN,2/5,EL,Y,Y,2-5,R110
2467415,R110,00-00-00,2020-02-29 00:00:00,143460.0,105224.0,0.0,0.0,0.0,0.0,Flatbush Av Brooklyn College,EL319,Nostrand Ave & Flatbush Ave (SE corner) to Platform for service in both directions,BKN,2/5,EL,Y,Y,2-5,R110
2467416,R110,00-00-00,2020-02-29 00:00:00,143460.0,105224.0,1082.5,1235.25,1082.0,1235.0,Flatbush Av Brooklyn College,EL319,Nostrand Ave & Flatbush Ave (SE corner) to Platform for service in both directions,BKN,2/5,EL,Y,Y,2-5,R110
2467417,R110,00-00-00,2020-02-29 00:00:00,143460.0,105224.0,2165.0,2470.5,1082.0,1235.0,Flatbush Av Brooklyn College,EL319,Nostrand Ave & Flatbush Ave (SE corner) to Platform for service in both directions,BKN,2/5,EL,Y,Y,2-5,R110
2467418,R110,00-00-00,2020-02-29 00:00:00,143460.0,105224.0,3247.5,3705.75,1082.0,1235.0,Flatbush Av Brooklyn College,EL319,Nostrand Ave & Flatbush Ave (SE corner) to Platform for service in both directions,BKN,2/5,EL,Y,Y,2-5,R110
2467419,R110,00-00-00,2020-02-29 04:00:00,143469.0,105287.0,4330.0,4941.0,1082.0,1235.0,Flatbush Av Brooklyn College,EL319,Nostrand Ave & Flatbush Ave (SE corner) to Platform for service in both directions,BKN,2/5,EL,Y,Y,2-5,R110
2467420,R110,00-00-00,2020-02-29 04:00:00,143469.0,105287.0,4330.0,4941.0,0.0,0.0,Flatbush Av Brooklyn College,EL319,Nostrand Ave & Flatbush Ave (SE corner) to Platform for service in both directions,BKN,2/5,EL,Y,Y,2-5,R110
2467421,R110,00-00-00,2020-02-29 04:00:00,143469.0,105287.0,38256.0,34072.5,33926.0,29132.0,Flatbush Av Brooklyn College,EL319,Nostrand Ave & Flatbush Ave (SE corner) to Platform for service in both directions,BKN,2/5,EL,Y,Y,2-5,R110
2467422,R110,00-00-00,2020-02-29 04:00:00,143469.0,105287.0,72182.0,63204.0,33926.0,29132.0,Flatbush Av Brooklyn College,EL319,Nostrand Ave & Flatbush Ave (SE corner) to Platform for service in both directions,BKN,2/5,EL,Y,Y,2-5,R110
2467423,R110,00-00-00,2020-02-29 04:00:00,143469.0,105287.0,106108.0,92335.5,33926.0,29132.0,Flatbush Av Brooklyn College,EL319,Nostrand Ave & Flatbush Ave (SE corner) to Platform for service in both directions,BKN,2/5,EL,Y,Y,2-5,R110
2467424,R110,00-00-00,2020-02-29 08:00:00,143602.0,105325.0,140034.0,121467.0,33926.0,29132.0,Flatbush Av Brooklyn College,EL319,Nostrand Ave & Flatbush Ave (SE corner) to Platform for service in both directions,BKN,2/5,EL,Y,Y,2-5,R110
