,UNIT,SCP,datetime,ENTRIES,EXITS,cleaned_entries,cleaned_exits,entries_diff,exists_diff,station_name,equipment_id,description,borough,subway_lines,equipment_type,ada_compliant,is_active,clean_lines,remote
3562011,R377,00-00-00,2020-02-29 00:00:00,17051477.0,11028207.0,0.0,0.0,,,Flushing Av,EL393,Flushing Ave & Broadway (SE corner)  to Mezzanine for service in both directions,BKN,J/M,EL,Y,Y,J-M,R377
3562012,R377,00-00-00,2020-02-29 00:00:00,17051477.0,11028207.0,0.0,0.0,,,Flushing Av,EL395,Mezzanine to Jamaica Center bound Platform,BKN,J/M,EL,Y,Y,J-M,R377
3562013,R377,00-00-00,2020-02-29 00:00:00,17051477.0,11028207.0,0.0,0.0,,,Flushing Av,EL394,Mezzanine to Manhattan bound Platform,BKN,J/M,EL,Y,Y,J-M,R377
3562014,R377,00-00-00,2020-02-29 00:00:00,17051477.0,11028207.0,0.0,0.0,0.0,0.0,Flushing Av,EL393,Flushing Ave & Broadway (SE corner)  to Mezzanine for service in both directions,BKN,J/M,EL,Y,Y,J-M,R377
3562015,R377,00-00-00,2020-02-29 00:00:00,17051477.0,11028207.0,0.0,0.0,0.0,0.0,Flushing Av,EL395,Mezzanine to Jamaica Center bound Platform,BKN,J/M,EL,Y,Y,J-M,R377
3562016,R377,00-00-00,2020-02-29 00:00:00,17051477.0,11028207.0,0.0,0.0,0.0,0.0,Flushing Av,EL394,Mezzanine to Manhattan bound Platform,BKN,J/M,EL,Y,Y,J-M,R377
3562017,R377,00-00-00,2020-02-29 00:00:00,17051477.0,11028207.0,5790.5,7966.5,5790.0,7966.0,Flushing Av,EL393,Flushing Ave & Broadway (SE corner)  to Mezzanine for service in both directions,BKN,J/M,EL,Y,Y,J-M,R377
3562018,R377,00-00-00,2020-02-29 00:00:00,17051477.0,11028207.0,5790.5,7966.5,5790.0,7966.0,Flushing Av,EL395,Mezzanine to Jamaica Center bound Platform,BKN,J/M,EL,Y,Y,J-M,R377
3562019,R377,00-00-00,2020-02-29 00:00:00,17051477.0,11028207.0,5790.5,7966.5,5790.0,7966.0,Flushing Av,EL394,Mezzanine to Manhattan bound Platform,BKN,J/M,EL,Y,Y,J-M,R377
3562020,R377,00-00-00,2020-02-29 00:00:00,17051477.0,11028207.0,11581.0,15933.0,5790.0,7966.0,Flushing Av,EL393,Flushing Ave & Broadway (SE corner)  to Mezzanine for service in both directions,BKN,J/M,EL,Y,Y,J-M,R377
3562021,R377,00-00-00,2020-02-29 00:00:00,17051477.0,11028207.0,11581.0,15933.0,5790.0,7966.0,Flushing Av,EL395,Mezzanine to Jamaica Center bound Platform,BKN,J/M,EL,Y,Y,J-M,R377
