,UNIT,SCP,datetime,ENTRIES,EXITS,cleaned_entries,cleaned_exits,entries_diff,exists_diff,station_name,equipment_id,description,borough,subway_lines,equipment_type,ada_compliant,is_active,clean_lines,remote
1872977,R055,00-00-00,2020-02-29 03:00:00,9751807.0,20957745.0,0.0,0.0,,,Flushing Main St,EL414,Entrance east of Main St & Roosevelt Ave to Platform for service in both directions,QNS,7,EL,Y,Y,7,R055
1872978,R055,00-00-00,2020-02-29 03:00:00,9751807.0,20957745.0,0.0,0.0,,,Flushing Main St,ES457,Street to Mezzanine,QNS,7,ES,N,Y,7,R055
1872979,R055,00-00-00,2020-02-29 03:00:00,9751807.0,20957745.0,0.0,0.0,,,Flushing Main St,ES456,Street to Mezzanine,QNS,7,ES,N,Y,7,R055
1872980,R055,00-00-00,2020-02-29 03:00:00,9751807.0,20957745.0,0.0,0.0,,,Flushing Main St,ES455,Street to Mezzanine,QNS,7,ES,N,Y,7,R055
1872981,R055,00-00-00,2020-02-29 03:00:00,9751807.0,20957745.0,0.0,0.0,0.0,0.0,Flushing Main St,EL414,Entrance east of Main St & Roosevelt Ave to Platform for service in both directions,QNS,7,EL,Y,Y,7,R055
1872982,R055,00-00-00,2020-02-29 03:00:00,9751807.0,20957745.0,0.0,0.0,0.0,0.0,Flushing Main St,ES457,Street to Mezzanine,QNS,7,ES,N,Y,7,R055
1872983,R055,00-00-00,2020-02-29 03:00:00,9751807.0,20957745.0,0.0,0.0,0.0,0.0,Flushing Main St,ES456,Street to Mezzanine,QNS,7,ES,N,Y,7,R055
1872984,R055,00-00-00,2020-02-29 03:00:00,9751807.0,20957745.0,0.0,0.0,0.0,0.0,Flushing Main St,ES455,Street to Mezzanine,QNS,7,ES,N,Y,7,R055
1872985,R055,00-00-00,2020-02-29 03:00:00,9751807.0,20957745.0,26337.75,24316.75,26338.0,24317.0,Flushing Main St,EL414,Entrance east of Main St & Roosevelt Ave to Platform for service in both directions,QNS,7,EL,Y,Y,7,R055
1872986,R055,00-00-00,2020-02-29 03:00:00,9751807.0,20957745.0,26337.75,24316.75,26338.0,24317.0,Flushing Main St,ES457,Street to Mezzanine,QNS,7,ES,N,Y,7,R055
1872987,R055,00-00-00,2020-02-29 03:00:00,9751807.0,20957745.0,26337.75,24316.75,26338.0,24317.0,Flushing Main St,ES456,Street to Mezzanine,QNS,7,ES,N,Y,7,R055
1872988,R055,00-00-00,2020-02-29 03:00:00,9751807.0,20957745.0,26337.75,24316.75,26338.0,24317.0,Flushing Main St,ES455,Street to Mezzanine,QNS,7,ES,N,Y,7,R055
1872989,R055,00-00-00,2020-02-29 03:00:00,9751807.0,20957745.0,52675.5,48633.5,26338.0,24317.0,Flushing Main St,EL414,Entrance east of Main St & Roosevelt Ave to Platform for service in both directions,QNS,7,EL,Y,Y,7,R055
1872990,R055,00-00-00,2020-02-29 03:00:00,9751807.0,20957745.0,52675.5,48633.5,26338.0,24317.0,Flushing Main St,ES457,Street to Mezzanine,QNS,7,ES,N,Y,7,R055
1872991,R055,00-00-00,2020-02-29 03:00:00,9751807.0,20957745.0,52675.5,48633.5,26338.0,24317.0,Flushing Main St,ES456,Street to Mezzanine,QNS,7,ES,N,Y,7,R055
1872992,R055,00-00-00,2020-02-29 03:00:00,9751807.0,20957745.0,52675.5,48633.5,26338.0,24317.0,Flushing Main St,ES455,Street to Mezzanine,QNS,7,ES,N,Y,7,R055
1872993,R055,00-00-00,2020-02-29 03:00:00,9751807.0,20957745.0,79013.25,72950.25,26338.0,24317.0,Flushing Main St,EL414,Entrance east of Main St & Roosevelt Ave to Platform for service in both directions,QNS,7,EL,Y,Y,7,R055
1872994,R055,00-00-00,2020-02-29 03:00:00,9751807.0,20957745.0,79013.25,72950.25,26338.0,24317.0,Flushing Main St,ES457,Street to Mezzanine,QNS,7,ES,N,Y,7,R055
1872995,R055,00-00-00,2020-02-29 03:00:00,9751807.0,20957745.0,79013.25,72950.25,26338.0,24317.0,Flushing Main St,ES456,Street to Mezzanine,QNS,7,ES,N,Y,7,R055
1872996,R055,00-00-00,2020-02-29 03:00:00,9751807.0,20957745.0,79013.25,72950.25,26338.0,24317.0,Flushing Main St,ES455,Street to Mezzanine,QNS,7,ES,N,Y,7,R055
1872997,R055,00-00-00,2020-02-29 07:00:00,9751809.0,20957749.0,105351.0,97267.0,26338.0,24317.0,Flushing Main St,EL414,Entrance east of Main St & Roosevelt Ave to Platform for service in both directions,QNS,7,EL,Y,Y,7,R055
1872998,R055,00-00-00,2020-02-29 07:00:00,9751809.0,20957749.0,105351.0,97267.0,26338.0,24317.0,Flushing Main St,ES457,Street to Mezzanine,QNS,7,ES,N,Y,7,R055
1872999,R055,00-00-00,2020-02-29 07:00:00,9751809.0,20957749.0,105351.0,97267.0,26338.0,24317.0,Flushing Main St,ES456,Street to Mezzanine,QNS,7,ES,N,Y,7,R055
1873000,R055,00-00-00,2020-02-29 07:00:00,9751809.0,20957749.0,105351.0,97267.0,26338.0,24317.0,Flushing Main St,ES455,Street to Mezzanine,QNS,7,ES,N,Y,7,R055
