,UNIT,SCP,datetime,ENTRIES,EXITS,cleaned_entries,cleaned_exits,entries_diff,exists_diff,station_name,equipment_id,description,borough,subway_lines,equipment_type,ada_compliant,is_active,clean_lines,remote
2658242,R141,00-00-00,2020-02-29 00:00:00,1426326.0,2924075.0,0.0,0.0,,,Forest Hills - 71 Av,EL438,Mezzanine to Jamaica bound Platform,QNS,E/F/R/M/LIRR,EL,Y,Y,E-F-R-M,R141
2658243,R141,00-00-00,2020-02-29 00:00:00,1426326.0,2924075.0,0.0,0.0,,,Forest Hills - 71 Av,EL439,Mezzanine to Manhattan bound Platform,QNS,E/F/R/M/LIRR,EL,Y,Y,E-F-R-M,R141
2658244,R141,00-00-00,2020-02-29 00:00:00,1426326.0,2924075.0,0.0,0.0,,,Forest Hills - 71 Av,EL437,South side of Queens Blvd (between 70 Rd & 71 Ave) for Mezzanine for service in both directions,QNS,E/F/R/M/LIRR,EL,Y,Y,E-F-R-M,R141
2658245,R141,00-00-00,2020-02-29 00:00:00,1426326.0,2924075.0,0.0,0.0,0.0,0.0,Forest Hills - 71 Av,EL438,Mezzanine to Jamaica bound Platform,QNS,E/F/R/M/LIRR,EL,Y,Y,E-F-R-M,R141
2658246,R141,00-00-00,2020-02-29 00:00:00,1426326.0,2924075.0,0.0,0.0,0.0,0.0,Forest Hills - 71 Av,EL439,Mezzanine to Manhattan bound Platform,QNS,E/F/R/M/LIRR,EL,Y,Y,E-F-R-M,R141
2658247,R141,00-00-00,2020-02-29 00:00:00,1426326.0,2924075.0,0.0,0.0,0.0,0.0,Forest Hills - 71 Av,EL437,South side of Queens Blvd (between 70 Rd & 71 Ave) for Mezzanine for service in both directions,QNS,E/F/R/M/LIRR,EL,Y,Y,E-F-R-M,R141
2658248,R141,00-00-00,2020-02-29 00:00:00,1426326.0,2924075.0,689.0,744.25,689.0,744.0,Forest Hills - 71 Av,EL438,Mezzanine to Jamaica bound Platform,QNS,E/F/R/M/LIRR,EL,Y,Y,E-F-R-M,R141
2658249,R141,00-00-00,2020-02-29 00:00:00,1426326.0,2924075.0,689.0,744.25,689.0,744.0,Forest Hills - 71 Av,EL439,Mezzanine to Manhattan bound Platform,QNS,E/F/R/M/LIRR,EL,Y,Y,E-F-R-M,R141
2658250,R141,00-00-00,2020-02-29 00:00:00,1426326.0,2924075.0,689.0,744.25,689.0,744.0,Forest Hills - 71 Av,EL437,South side of Queens Blvd (between 70 Rd & 71 Ave) for Mezzanine for service in both directions,QNS,E/F/R/M/LIRR,EL,Y,Y,E-F-R-M,R141
2658251,R141,00-00-00,2020-02-29 00:00:00,1426326.0,2924075.0,1378.0,1488.5,689.0,744.0,Forest Hills - 71 Av,EL438,Mezzanine to Jamaica bound Platform,QNS,E/F/R/M/LIRR,EL,Y,Y,E-F-R-M,R141
2658252,R141,00-00-00,2020-02-29 00:00:00,1426326.0,2924075.0,1378.0,1488.5,689.0,744.0,Forest Hills - 71 Av,EL439,Mezzanine to Manhattan bound Platform,QNS,E/F/R/M/LIRR,EL,Y,Y,E-F-R-M,R141
2658253,R141,00-00-00,2020-02-29 00:00:00,1426326.0,2924075.0,1378.0,1488.5,689.0,744.0,Forest Hills - 71 Av,EL437,South side of Queens Blvd (between 70 Rd & 71 Ave) for Mezzanine for service in both directions,QNS,E/F/R/M/LIRR,EL,Y,Y,E-F-R-M,R141
2658254,R141,00-00-00,2020-02-29 00:00:00,1426326.0,2924075.0,2067.0,2232.75,689.0,744.0,Forest Hills - 71 Av,EL438,Mezzanine to Jamaica bound Platform,QNS,E/F/R/M/LIRR,EL,Y,Y,E-F-R-M,R141
2658255,R141,00-00-00,2020-02-29 00:00:00,1426326.0,2924075.0,2067.0,2232.75,689.0,744.0,Forest Hills - 71 Av,EL439,Mezzanine to Manhattan bound Platform,QNS,E/F/R/M/LIRR,EL,Y,Y,E-F-R-M,R141
2658256,R141,00-00-00,2020-02-29 00:00:00,1426326.0,2924075.0,2067.0,2232.75,689.0,744.0,Forest Hills - 71 Av,EL437,South side of Queens Blvd (between 70 Rd & 71 Ave) for Mezzanine for service in both directions,QNS,E/F/R/M/LIRR,EL,Y,Y,E-F-R-M,R141
2658257,R141,00-00-00,2020-02-29 04:00:00,1426336.0,2924108.0,2756.0,2977.0,689.0,744.0,Forest Hills - 71 Av,EL438,Mezzanine to Jamaica bound Platform,QNS,E/F/R/M/LIRR,EL,Y,Y,E-F-R-M,R141
2658258,R141,00-00-00,2020-02-29 04:00:00,1426336.0,2924108.0,2756.0,2977.0,689.0,744.0,Forest Hills - 71 Av,EL439,Mezzanine to Manhattan bound Platform,QNS,E/F/R/M/LIRR,EL,Y,Y,E-F-R-M,R141
2658259,R141,00-00-00,2020-02-29 04:00:00,1426336.0,2924108.0,2756.0,2977.0,689.0,744.0,Forest Hills - 71 Av,EL437,South side of Queens Blvd (between 70 Rd & 71 Ave) for Mezzanine for service in both directions,QNS,E/F/R/M/LIRR,EL,Y,Y,E-F-R-M,R141
2658260,R141,00-00-00,2020-02-29 04:00:00,1426336.0,2924108.0,2756.0,2977.0,0.0,0.0,Forest Hills - 71 Av,EL438,Mezzanine to Jamaica bound Platform,QNS,E/F/R/M/LIRR,EL,Y,Y,E-F-R-M,R141
2658261,R141,00-00-00,2020-02-29 04:00:00,1426336.0,2924108.0,2756.0,2977.0,0.0,0.0,Forest Hills - 71 Av,EL439,Mezzanine to Manhattan bound Platform,QNS,E/F/R/M/LIRR,EL,Y,Y,E-F-R-M,R141
2658262,R141,00-00-00,2020-02-29 04:00:00,1426336.0,2924108.0,2756.0,2977.0,0.0,0.0,Forest Hills - 71 Av,EL437,South side of Queens Blvd (between 70 Rd & 71 Ave) for Mezzanine for service in both directions,QNS,E/F/R/M/LIRR,EL,Y,Y,E-F-R-M,R141
2658263,R141,00-00-00,2020-02-29 04:00:00,1426336.0,2924108.0,40592.75,34936.75,37837.0,31960.0,Forest Hills - 71 Av,EL438,Mezzanine to Jamaica bound Platform,QNS,E/F/R/M/LIRR,EL,Y,Y,E-F-R-M,R141
2658264,R141,00-00-00,2020-02-29 04:00:00,1426336.0,2924108.0,40592.75,34936.75,37837.0,31960.0,Forest Hills - 71 Av,EL439,Mezzanine to Manhattan bound Platform,QNS,E/F/R/M/LIRR,EL,Y,Y,E-F-R-M,R141
2658265,R141,00-00-00,2020-02-29 04:00:00,1426336.0,2924108.0,40592.75,34936.75,37837.0,31960.0,Forest Hills - 71 Av,EL437,South side of Queens Blvd (between 70 Rd & 71 Ave) for Mezzanine for service in both directions,QNS,E/F/R/M/LIRR,EL,Y,Y,E-F-R-M,R141
2658266,R141,00-00-00,2020-02-29 04:00:00,1426336.0,2924108.0,78429.5,66896.5,37837.0,31960.0,Forest Hills - 71 Av,EL438,Mezzanine to Jamaica bound Platform,QNS,E/F/R/M/LIRR,EL,Y,Y,E-F-R-M,R141
2658267,R141,00-00-00,2020-02-29 04:00:00,1426336.0,2924108.0,78429.5,66896.5,37837.0,31960.0,Forest Hills - 71 Av,EL439,Mezzanine to Manhattan bound Platform,QNS,E/F/R/M/LIRR,EL,Y,Y,E-F-R-M,R141
2658268,R141,00-00-00,2020-02-29 04:00:00,1426336.0,2924108.0,78429.5,66896.5,37837.0,31960.0,Forest Hills - 71 Av,EL437,South side of Queens Blvd (between 70 Rd & 71 Ave) for Mezzanine for service in both directions,QNS,E/F/R/M/LIRR,EL,Y,Y,E-F-R-M,R141
2658269,R141,00-00-00,2020-02-29 04:00:00,1426336.0,2924108.0,116266.25,98856.25,37837.0,31960.0,Forest Hills - 71 Av,EL438,Mezzanine to Jamaica bound Platform,QNS,E/F/R/M/LIRR,EL,Y,Y,E-F-R-M,R141
2658270,R141,00-00-00,2020-02-29 04:00:00,1426336.0,2924108.0,116266.25,98856.25,37837.0,31960.0,Forest Hills - 71 Av,EL439,Mezzanine to Manhattan bound Platform,QNS,E/F/R/M/LIRR,EL,Y,Y,E-F-R-M,R141
2658271,R141,00-00-00,2020-02-29 04:00:00,1426336.0,2924108.0,116266.25,98856.25,37837.0,31960.0,Forest Hills - 71 Av,EL437,South side of Queens Blvd (between 70 Rd & 71 Ave) for Mezzanine for service in both directions,QNS,E/F/R/M/LIRR,EL,Y,Y,E-F-R-M,R141
2658272,R141,00-00-00,2020-02-29 08:00:00,1426359.0,2924125.0,154103.0,130816.0,37837.0,31960.0,Forest Hills - 71 Av,EL438,Mezzanine to Jamaica bound Platform,QNS,E/F/R/M/LIRR,EL,Y,Y,E-F-R-M,R141
2658273,R141,00-00-00,2020-02-29 08:00:00,1426359.0,2924125.0,154103.0,130816.0,37837.0,31960.0,Forest Hills - 71 Av,EL439,Mezzanine to Manhattan bound Platform,QNS,E/F/R/M/LIRR,EL,Y,Y,E-F-R-M,R141
