,UNIT,SCP,datetime,ENTRIES,EXITS,cleaned_entries,cleaned_exits,entries_diff,exists_diff,station_name,equipment_id,description,borough,subway_lines,equipment_type,ada_compliant,is_active,clean_lines,remote
3251383,R297,00-00-00,2020-02-29 00:00:00,243829.0,40148.0,0.0,0.0,,,Franklin Av,EL340,Fulton St & Franklin Ave (NW corner) to footbridge for uptown C service and Shuttle and to downtown C Platform,BKN,C/S,EL,Y,Y,C-S,R297
3251384,R297,00-00-00,2020-02-29 00:00:00,243829.0,40148.0,0.0,0.0,,,Franklin Av,EL339,Fulton St & Franklin Ave (SW corner) to transfer to Shuttle and for footbridge to reach downtown C service,BKN,C/S,EL,Y,Y,C-S,R297
3251385,R297,00-00-00,2020-02-29 00:00:00,243829.0,40148.0,0.0,0.0,,,Franklin Av,ES352,Lower Mezzanine to Platform,BKN,C/S,ES,N,Y,C-S,R297
3251386,R297,00-00-00,2020-02-29 00:00:00,243829.0,40148.0,0.0,0.0,0.0,0.0,Franklin Av,EL340,Fulton St & Franklin Ave (NW corner) to footbridge for uptown C service and Shuttle and to downtown C Platform,BKN,C/S,EL,Y,Y,C-S,R297
3251387,R297,00-00-00,2020-02-29 00:00:00,243829.0,40148.0,0.0,0.0,0.0,0.0,Franklin Av,EL339,Fulton St & Franklin Ave (SW corner) to transfer to Shuttle and for footbridge to reach downtown C service,BKN,C/S,EL,Y,Y,C-S,R297
3251388,R297,00-00-00,2020-02-29 00:00:00,243829.0,40148.0,0.0,0.0,0.0,0.0,Franklin Av,ES352,Lower Mezzanine to Platform,BKN,C/S,ES,N,Y,C-S,R297
3251389,R297,00-00-00,2020-02-29 00:00:00,243829.0,40148.0,1759.0,2164.75,1759.0,2165.0,Franklin Av,EL340,Fulton St & Franklin Ave (NW corner) to footbridge for uptown C service and Shuttle and to downtown C Platform,BKN,C/S,EL,Y,Y,C-S,R297
3251390,R297,00-00-00,2020-02-29 00:00:00,243829.0,40148.0,1759.0,2164.75,1759.0,2165.0,Franklin Av,EL339,Fulton St & Franklin Ave (SW corner) to transfer to Shuttle and for footbridge to reach downtown C service,BKN,C/S,EL,Y,Y,C-S,R297
3251391,R297,00-00-00,2020-02-29 00:00:00,243829.0,40148.0,1759.0,2164.75,1759.0,2165.0,Franklin Av,ES352,Lower Mezzanine to Platform,BKN,C/S,ES,N,Y,C-S,R297
3251392,R297,00-00-00,2020-02-29 00:00:00,243829.0,40148.0,3518.0,4329.5,1759.0,2165.0,Franklin Av,EL340,Fulton St & Franklin Ave (NW corner) to footbridge for uptown C service and Shuttle and to downtown C Platform,BKN,C/S,EL,Y,Y,C-S,R297
3251393,R297,00-00-00,2020-02-29 00:00:00,243829.0,40148.0,3518.0,4329.5,1759.0,2165.0,Franklin Av,EL339,Fulton St & Franklin Ave (SW corner) to transfer to Shuttle and for footbridge to reach downtown C service,BKN,C/S,EL,Y,Y,C-S,R297
