,UNIT,SCP,datetime,ENTRIES,EXITS,cleaned_entries,cleaned_exits,entries_diff,exists_diff,station_name,equipment_id,description,borough,subway_lines,equipment_type,ada_compliant,is_active,clean_lines,remote
3067936,R226,00-00-00,2020-02-29 03:00:00,5578355.0,6386146.0,0.0,0.0,,,Gun Hill Rd,EL183,Gun Hill Rd to downtown Platform,BX,2/5,EL,Y,Y,2-5,R226
3067937,R226,00-00-00,2020-02-29 03:00:00,5578355.0,6386146.0,0.0,0.0,,,Gun Hill Rd,EL182,Gun Hill Rd to uptown Platform,BX,2/5,EL,Y,Y,2-5,R226
3067938,R226,00-00-00,2020-02-29 03:00:00,5578355.0,6386146.0,0.0,0.0,,,Gun Hill Rd,ES105,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R226
3067939,R226,00-00-00,2020-02-29 03:00:00,5578355.0,6386146.0,0.0,0.0,,,Gun Hill Rd,ES104,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R226
3067940,R226,00-00-00,2020-02-29 03:00:00,5578355.0,6386146.0,0.0,0.0,0.0,0.0,Gun Hill Rd,EL183,Gun Hill Rd to downtown Platform,BX,2/5,EL,Y,Y,2-5,R226
3067941,R226,00-00-00,2020-02-29 03:00:00,5578355.0,6386146.0,0.0,0.0,0.0,0.0,Gun Hill Rd,EL182,Gun Hill Rd to uptown Platform,BX,2/5,EL,Y,Y,2-5,R226
3067942,R226,00-00-00,2020-02-29 03:00:00,5578355.0,6386146.0,0.0,0.0,0.0,0.0,Gun Hill Rd,ES105,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R226
3067943,R226,00-00-00,2020-02-29 03:00:00,5578355.0,6386146.0,0.0,0.0,0.0,0.0,Gun Hill Rd,ES104,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R226
3067944,R226,00-00-00,2020-02-29 03:00:00,5578355.0,6386146.0,21516.5,20228.0,21516.0,20228.0,Gun Hill Rd,EL183,Gun Hill Rd to downtown Platform,BX,2/5,EL,Y,Y,2-5,R226
3067945,R226,00-00-00,2020-02-29 03:00:00,5578355.0,6386146.0,21516.5,20228.0,21516.0,20228.0,Gun Hill Rd,EL182,Gun Hill Rd to uptown Platform,BX,2/5,EL,Y,Y,2-5,R226
