,UNIT,SCP,datetime,ENTRIES,EXITS,cleaned_entries,cleaned_exits,entries_diff,exists_diff,station_name,equipment_id,description,borough,subway_lines,equipment_type,ada_compliant,is_active,clean_lines,remote
3108812,R252,00-00-00,2020-02-29 03:00:00,680503.0,1490146.0,0.0,0.0,,,High St,ES323,Lower Mezzanine to Upper Mezzanine,BKN,A/C,ES,N,Y,A-C,R252
3108813,R252,00-00-00,2020-02-29 03:00:00,680503.0,1490146.0,0.0,0.0,,,High St,ES324,Lower Mezzanine to Upper Mezzanine,BKN,A/C,ES,N,Y,A-C,R252
3108814,R252,00-00-00,2020-02-29 03:00:00,680503.0,1490146.0,0.0,0.0,,,High St,ES321,Lower Mezzanine to Upper Mezzanine,BKN,A/C,ES,N,Y,A-C,R252
3108815,R252,00-00-00,2020-02-29 03:00:00,680503.0,1490146.0,0.0,0.0,,,High St,ES350,Lower Mezzanine to Upper Mezzanine,BKN,A/C,ES,N,Y,A-C,R252
3108816,R252,00-00-00,2020-02-29 03:00:00,680503.0,1490146.0,0.0,0.0,,,High St,ES322,Lower Mezzanine to Upper Mezzanine,BKN,A/C,ES,N,Y,A-C,R252
3108817,R252,00-00-00,2020-02-29 03:00:00,680503.0,1490146.0,0.0,0.0,0.0,0.0,High St,ES323,Lower Mezzanine to Upper Mezzanine,BKN,A/C,ES,N,Y,A-C,R252
3108818,R252,00-00-00,2020-02-29 03:00:00,680503.0,1490146.0,0.0,0.0,0.0,0.0,High St,ES324,Lower Mezzanine to Upper Mezzanine,BKN,A/C,ES,N,Y,A-C,R252
3108819,R252,00-00-00,2020-02-29 03:00:00,680503.0,1490146.0,0.0,0.0,0.0,0.0,High St,ES321,Lower Mezzanine to Upper Mezzanine,BKN,A/C,ES,N,Y,A-C,R252
3108820,R252,00-00-00,2020-02-29 03:00:00,680503.0,1490146.0,0.0,0.0,0.0,0.0,High St,ES350,Lower Mezzanine to Upper Mezzanine,BKN,A/C,ES,N,Y,A-C,R252
3108821,R252,00-00-00,2020-02-29 03:00:00,680503.0,1490146.0,0.0,0.0,0.0,0.0,High St,ES322,Lower Mezzanine to Upper Mezzanine,BKN,A/C,ES,N,Y,A-C,R252
