,UNIT,SCP,datetime,ENTRIES,EXITS,cleaned_entries,cleaned_exits,entries_diff,exists_diff,station_name,equipment_id,description,borough,subway_lines,equipment_type,ada_compliant,is_active,clean_lines,remote
3624027,R414,00-00-00,2020-02-29 03:00:00,590591.0,60004.0,0.0,0.0,,,Howard Beach,EL491X,Colman Square entrance to Mezzanine for service in both directions,QNS,A,EL,Y,Y,A,R414
3624028,R414,00-00-00,2020-02-29 03:00:00,590591.0,60004.0,0.0,0.0,,,Howard Beach,EL490X,Colman Square entrance to Mezzanine for service in both directions,QNS,A,EL,Y,Y,A,R414
3624029,R414,00-00-00,2020-02-29 03:00:00,590591.0,60004.0,0.0,0.0,,,Howard Beach,EL495X,Mezzanine and Platform for northbound service,QNS,A,EL,Y,Y,A,R414
3624030,R414,00-00-00,2020-02-29 03:00:00,590591.0,60004.0,0.0,0.0,,,Howard Beach,EL494X,Mezzanine and Platform for northbound service,QNS,A,EL,Y,Y,A,R414
3624031,R414,00-00-00,2020-02-29 03:00:00,590591.0,60004.0,0.0,0.0,,,Howard Beach,EL493X,Mezzanine and Platform for southbound service,QNS,A,EL,Y,Y,A,R414
3624032,R414,00-00-00,2020-02-29 03:00:00,590591.0,60004.0,0.0,0.0,,,Howard Beach,ES498X,Mezzanine to Air Train,QNS,A,ES,N,Y,A,R414
3624033,R414,00-00-00,2020-02-29 03:00:00,590591.0,60004.0,0.0,0.0,,,Howard Beach,ES497X,Mezzanine to Air Train,QNS,A,ES,N,Y,A,R414
3624034,R414,00-00-00,2020-02-29 03:00:00,590591.0,60004.0,0.0,0.0,,,Howard Beach,ES499X,Mezzanine to Air Train,QNS,A,ES,N,Y,A,R414
3624035,R414,00-00-00,2020-02-29 03:00:00,590591.0,60004.0,0.0,0.0,,,Howard Beach,ES496X,Mezzanine to Center Island Platform,QNS,A,ES,N,Y,A,R414
3624036,R414,00-00-00,2020-02-29 03:00:00,590591.0,60004.0,0.0,0.0,,,Howard Beach,EL492X,Mezzanine to Far Rockaway bound Platform,QNS,A,EL,Y,Y,A,R414
3624037,R414,00-00-00,2020-02-29 03:00:00,590591.0,60004.0,0.0,0.0,0.0,0.0,Howard Beach,EL491X,Colman Square entrance to Mezzanine for service in both directions,QNS,A,EL,Y,Y,A,R414
3624038,R414,00-00-00,2020-02-29 03:00:00,590591.0,60004.0,0.0,0.0,0.0,0.0,Howard Beach,EL490X,Colman Square entrance to Mezzanine for service in both directions,QNS,A,EL,Y,Y,A,R414
3624039,R414,00-00-00,2020-02-29 03:00:00,590591.0,60004.0,0.0,0.0,0.0,0.0,Howard Beach,EL495X,Mezzanine and Platform for northbound service,QNS,A,EL,Y,Y,A,R414
3624040,R414,00-00-00,2020-02-29 03:00:00,590591.0,60004.0,0.0,0.0,0.0,0.0,Howard Beach,EL494X,Mezzanine and Platform for northbound service,QNS,A,EL,Y,Y,A,R414
3624041,R414,00-00-00,2020-02-29 03:00:00,590591.0,60004.0,0.0,0.0,0.0,0.0,Howard Beach,EL493X,Mezzanine and Platform for southbound service,QNS,A,EL,Y,Y,A,R414
3624042,R414,00-00-00,2020-02-29 03:00:00,590591.0,60004.0,0.0,0.0,0.0,0.0,Howard Beach,ES498X,Mezzanine to Air Train,QNS,A,ES,N,Y,A,R414
3624043,R414,00-00-00,2020-02-29 03:00:00,590591.0,60004.0,0.0,0.0,0.0,0.0,Howard Beach,ES497X,Mezzanine to Air Train,QNS,A,ES,N,Y,A,R414
3624044,R414,00-00-00,2020-02-29 03:00:00,590591.0,60004.0,0.0,0.0,0.0,0.0,Howard Beach,ES499X,Mezzanine to Air Train,QNS,A,ES,N,Y,A,R414
