,UNIT,SCP,datetime,ENTRIES,EXITS,cleaned_entries,cleaned_exits,entries_diff,exists_diff,station_name,equipment_id,description,borough,subway_lines,equipment_type,ada_compliant,is_active,clean_lines,remote
3050691,R217,00-00-00,2020-02-29 03:00:00,19222068.0,16777000.0,0.0,0.0,,,Hoyt Schermerhorn,EL747X,Street to Mezzanine,BKN,A/C/G,EL,N,Y,A-C-G,R217
3050692,R217,00-00-00,2020-02-29 03:00:00,19222068.0,16777000.0,0.0,0.0,0.0,0.0,Hoyt Schermerhorn,EL747X,Street to Mezzanine,BKN,A/C/G,EL,N,Y,A-C-G,R217
3050693,R217,00-00-00,2020-02-29 03:00:00,19222068.0,16777000.0,18938.0,24487.0,18938.0,24487.0,Hoyt Schermerhorn,EL747X,Street to Mezzanine,BKN,A/C/G,EL,N,Y,A-C-G,R217
3050694,R217,00-00-00,2020-02-29 04:59:03,19222094.0,16777038.0,60311.0,65017.0,22435.0,16032.0,Hoyt Schermerhorn,EL747X,Street to Mezzanine,BKN,A/C/G,EL,N,Y,A-C-G,R217
3050695,R217,00-00-00,2020-02-29 04:59:03,19222094.0,16777038.0,82746.0,81049.0,22435.0,16032.0,Hoyt Schermerhorn,EL747X,Street to Mezzanine,BKN,A/C/G,EL,N,Y,A-C-G,R217
3050696,R217,00-00-00,2020-02-29 07:00:00,19222135.0,16777066.0,105181.0,97081.0,22435.0,16032.0,Hoyt Schermerhorn,EL747X,Street to Mezzanine,BKN,A/C/G,EL,N,Y,A-C-G,R217
3050697,R217,00-00-00,2020-02-29 07:00:00,19222135.0,16777066.0,105181.0,97081.0,0.0,0.0,Hoyt Schermerhorn,EL747X,Street to Mezzanine,BKN,A/C/G,EL,N,Y,A-C-G,R217
3050698,R217,00-00-00,2020-02-29 07:00:00,19222135.0,16777066.0,171335.0,169458.25,66154.0,72377.0,Hoyt Schermerhorn,EL747X,Street to Mezzanine,BKN,A/C/G,EL,N,Y,A-C-G,R217
3050699,R217,00-00-00,2020-02-29 07:00:00,19222135.0,16777066.0,237489.0,241835.5,66154.0,72377.0,Hoyt Schermerhorn,EL747X,Street to Mezzanine,BKN,A/C/G,EL,N,Y,A-C-G,R217
3050700,R217,00-00-00,2020-02-29 07:00:00,19222135.0,16777066.0,303643.0,314212.75,66154.0,72377.0,Hoyt Schermerhorn,EL747X,Street to Mezzanine,BKN,A/C/G,EL,N,Y,A-C-G,R217
3050701,R217,00-00-00,2020-02-29 11:00:00,19222409.0,16777264.0,369797.0,386590.0,66154.0,72377.0,Hoyt Schermerhorn,EL747X,Street to Mezzanine,BKN,A/C/G,EL,N,Y,A-C-G,R217
3050702,R217,00-00-00,2020-02-29 11:00:00,19222409.0,16777264.0,369797.0,386590.0,0.0,0.0,Hoyt Schermerhorn,EL747X,Street to Mezzanine,BKN,A/C/G,EL,N,Y,A-C-G,R217
3050703,R217,00-00-00,2020-02-29 11:00:00,19222409.0,16777264.0,594006.75,485100.0,224210.0,98510.0,Hoyt Schermerhorn,EL747X,Street to Mezzanine,BKN,A/C/G,EL,N,Y,A-C-G,R217
3050704,R217,00-00-00,2020-02-29 11:00:00,19222409.0,16777264.0,818216.5,583610.0,224210.0,98510.0,Hoyt Schermerhorn,EL747X,Street to Mezzanine,BKN,A/C/G,EL,N,Y,A-C-G,R217
3050705,R217,00-00-00,2020-02-29 11:00:00,19222409.0,16777264.0,1042426.25,682120.0,224210.0,98510.0,Hoyt Schermerhorn,EL747X,Street to Mezzanine,BKN,A/C/G,EL,N,Y,A-C-G,R217
3050706,R217,00-00-00,2020-02-29 15:00:00,19223103.0,16777706.0,1266636.0,780630.0,224210.0,98510.0,Hoyt Schermerhorn,EL747X,Street to Mezzanine,BKN,A/C/G,EL,N,Y,A-C-G,R217
3050707,R217,00-00-00,2020-02-29 15:00:00,19223103.0,16777706.0,1266636.0,780630.0,0.0,0.0,Hoyt Schermerhorn,EL747X,Street to Mezzanine,BKN,A/C/G,EL,N,Y,A-C-G,R217
3050708,R217,00-00-00,2020-02-29 15:00:00,19223103.0,16777706.0,1517891.25,989862.0,251255.0,209232.0,Hoyt Schermerhorn,EL747X,Street to Mezzanine,BKN,A/C/G,EL,N,Y,A-C-G,R217
3050709,R217,00-00-00,2020-02-29 15:00:00,19223103.0,16777706.0,1769146.5,1199094.0,251255.0,209232.0,Hoyt Schermerhorn,EL747X,Street to Mezzanine,BKN,A/C/G,EL,N,Y,A-C-G,R217
3050710,R217,00-00-00,2020-02-29 15:00:00,19223103.0,16777706.0,2020401.75,1408326.0,251255.0,209232.0,Hoyt Schermerhorn,EL747X,Street to Mezzanine,BKN,A/C/G,EL,N,Y,A-C-G,R217
3050711,R217,00-00-00,2020-02-29 19:00:00,19223957.0,16778104.0,2271657.0,1617558.0,251255.0,209232.0,Hoyt Schermerhorn,EL747X,Street to Mezzanine,BKN,A/C/G,EL,N,Y,A-C-G,R217
3050712,R217,00-00-00,2020-02-29 19:00:00,19223957.0,16778104.0,2271657.0,1617558.0,0.0,0.0,Hoyt Schermerhorn,EL747X,Street to Mezzanine,BKN,A/C/G,EL,N,Y,A-C-G,R217
3050713,R217,00-00-00,2020-02-29 19:00:00,19223957.0,16778104.0,2444481.5,1768238.5,172824.0,150680.0,Hoyt Schermerhorn,EL747X,Street to Mezzanine,BKN,A/C/G,EL,N,Y,A-C-G,R217
3050714,R217,00-00-00,2020-02-29 19:00:00,19223957.0,16778104.0,2617306.0,1918919.0,172824.0,150680.0,Hoyt Schermerhorn,EL747X,Street to Mezzanine,BKN,A/C/G,EL,N,Y,A-C-G,R217
3050715,R217,00-00-00,2020-02-29 19:00:00,19223957.0,16778104.0,2790130.5,2069599.5,172824.0,150680.0,Hoyt Schermerhorn,EL747X,Street to Mezzanine,BKN,A/C/G,EL,N,Y,A-C-G,R217
3050716,R217,00-00-00,2020-02-29 23:00:00,19224587.0,16778392.0,2962955.0,2220280.0,172824.0,150680.0,Hoyt Schermerhorn,EL747X,Street to Mezzanine,BKN,A/C/G,EL,N,Y,A-C-G,R217
3050717,R217,00-00-00,2020-02-29 23:00:00,19224587.0,16778392.0,2962955.0,2220280.0,0.0,0.0,Hoyt Schermerhorn,EL747X,Street to Mezzanine,BKN,A/C/G,EL,N,Y,A-C-G,R217
3050718,R217,00-00-00,2020-02-29 23:00:00,19224587.0,16778392.0,3667360.5,2798518.0,704406.0,578238.0,Hoyt Schermerhorn,EL747X,Street to Mezzanine,BKN,A/C/G,EL,N,Y,A-C-G,R217
3050719,R217,00-00-00,2020-02-29 23:00:00,19224587.0,16778392.0,4371766.0,3376756.0,704406.0,578238.0,Hoyt Schermerhorn,EL747X,Street to Mezzanine,BKN,A/C/G,EL,N,Y,A-C-G,R217
