,UNIT,SCP,datetime,ENTRIES,EXITS,cleaned_entries,cleaned_exits,entries_diff,exists_diff,station_name,equipment_id,description,borough,subway_lines,equipment_type,ada_compliant,is_active,clean_lines,remote
2687220,R146,00-00-00,2020-02-29 00:00:00,1123701415.0,1980071387.0,0.0,0.0,,,Hunts Point,EL197,Mezzanine to Platform for downtown service,BX,6,EL,Y,Y,6,R146
2687221,R146,00-00-00,2020-02-29 00:00:00,1123701415.0,1980071387.0,0.0,0.0,,,Hunts Point,EL196,Mezzanine to uptown Platform,BX,6,EL,Y,Y,6,R146
2687222,R146,00-00-00,2020-02-29 00:00:00,1123701415.0,1980071387.0,0.0,0.0,,,Hunts Point,EL195,Station entrance on the Hunts Pt Ave side of traffic Island to Mezzanine for service in both directions,BX,6,EL,Y,Y,6,R146
2687223,R146,00-00-00,2020-02-29 00:00:00,1123701415.0,1980071387.0,0.0,0.0,0.0,0.0,Hunts Point,EL197,Mezzanine to Platform for downtown service,BX,6,EL,Y,Y,6,R146
2687224,R146,00-00-00,2020-02-29 00:00:00,1123701415.0,1980071387.0,0.0,0.0,0.0,0.0,Hunts Point,EL196,Mezzanine to uptown Platform,BX,6,EL,Y,Y,6,R146
2687225,R146,00-00-00,2020-02-29 00:00:00,1123701415.0,1980071387.0,0.0,0.0,0.0,0.0,Hunts Point,EL195,Station entrance on the Hunts Pt Ave side of traffic Island to Mezzanine for service in both directions,BX,6,EL,Y,Y,6,R146
2687226,R146,00-00-00,2020-02-29 00:00:00,1123701415.0,1980071387.0,7866.25,10192.5,7866.0,10192.0,Hunts Point,EL197,Mezzanine to Platform for downtown service,BX,6,EL,Y,Y,6,R146
2687227,R146,00-00-00,2020-02-29 00:00:00,1123701415.0,1980071387.0,7866.25,10192.5,7866.0,10192.0,Hunts Point,EL196,Mezzanine to uptown Platform,BX,6,EL,Y,Y,6,R146
2687228,R146,00-00-00,2020-02-29 00:00:00,1123701415.0,1980071387.0,7866.25,10192.5,7866.0,10192.0,Hunts Point,EL195,Station entrance on the Hunts Pt Ave side of traffic Island to Mezzanine for service in both directions,BX,6,EL,Y,Y,6,R146
2687229,R146,00-00-00,2020-02-29 00:00:00,1123701415.0,1980071387.0,15732.5,20385.0,7866.0,10192.0,Hunts Point,EL197,Mezzanine to Platform for downtown service,BX,6,EL,Y,Y,6,R146
2687230,R146,00-00-00,2020-02-29 00:00:00,1123701415.0,1980071387.0,15732.5,20385.0,7866.0,10192.0,Hunts Point,EL196,Mezzanine to uptown Platform,BX,6,EL,Y,Y,6,R146
2687231,R146,00-00-00,2020-02-29 00:00:00,1123701415.0,1980071387.0,15732.5,20385.0,7866.0,10192.0,Hunts Point,EL195,Station entrance on the Hunts Pt Ave side of traffic Island to Mezzanine for service in both directions,BX,6,EL,Y,Y,6,R146
2687232,R146,00-00-00,2020-02-29 00:00:00,1123701415.0,1980071387.0,23598.75,30577.5,7866.0,10192.0,Hunts Point,EL197,Mezzanine to Platform for downtown service,BX,6,EL,Y,Y,6,R146
2687233,R146,00-00-00,2020-02-29 00:00:00,1123701415.0,1980071387.0,23598.75,30577.5,7866.0,10192.0,Hunts Point,EL196,Mezzanine to uptown Platform,BX,6,EL,Y,Y,6,R146
2687234,R146,00-00-00,2020-02-29 00:00:00,1123701415.0,1980071387.0,23598.75,30577.5,7866.0,10192.0,Hunts Point,EL195,Station entrance on the Hunts Pt Ave side of traffic Island to Mezzanine for service in both directions,BX,6,EL,Y,Y,6,R146
