,UNIT,SCP,datetime,ENTRIES,EXITS,cleaned_entries,cleaned_exits,entries_diff,exists_diff,station_name,equipment_id,description,borough,subway_lines,equipment_type,ada_compliant,is_active,clean_lines,remote
3615363,R407,00-00-00,2020-02-29 00:00:00,2927824.0,7604248.0,0.0,0.0,,,Intervale Av,ES108,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R407
3615364,R407,00-00-00,2020-02-29 00:00:00,2927824.0,7604248.0,0.0,0.0,0.0,0.0,Intervale Av,ES108,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R407
3615365,R407,00-00-00,2020-02-29 00:00:00,2927824.0,7604248.0,6491.5,8606.75,6492.0,8607.0,Intervale Av,ES108,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R407
3615366,R407,00-00-00,2020-02-29 00:00:00,2927824.0,7604248.0,12983.0,17213.5,6492.0,8607.0,Intervale Av,ES108,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R407
3615367,R407,00-00-00,2020-02-29 00:00:00,2927824.0,7604248.0,19474.5,25820.25,6492.0,8607.0,Intervale Av,ES108,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R407
3615368,R407,00-00-00,2020-02-29 04:00:00,2927832.0,7604364.0,25966.0,34427.0,6492.0,8607.0,Intervale Av,ES108,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R407
3615369,R407,00-00-00,2020-02-29 04:00:00,2927832.0,7604364.0,25966.0,34427.0,0.0,0.0,Intervale Av,ES108,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R407
3615370,R407,00-00-00,2020-02-29 04:00:00,2927832.0,7604364.0,54962.5,56468.75,28996.0,22042.0,Intervale Av,ES108,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R407
3615371,R407,00-00-00,2020-02-29 04:00:00,2927832.0,7604364.0,83959.0,78510.5,28996.0,22042.0,Intervale Av,ES108,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R407
3615372,R407,00-00-00,2020-02-29 04:00:00,2927832.0,7604364.0,112955.5,100552.25,28996.0,22042.0,Intervale Av,ES108,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R407
3615373,R407,00-00-00,2020-02-29 08:00:00,2927909.0,7604430.0,141952.0,122594.0,28996.0,22042.0,Intervale Av,ES108,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R407
3615374,R407,00-00-00,2020-02-29 08:00:00,2927909.0,7604430.0,141952.0,122594.0,0.0,0.0,Intervale Av,ES108,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R407
3615375,R407,00-00-00,2020-02-29 08:00:00,2927909.0,7604430.0,256287.75,235136.5,114336.0,112542.0,Intervale Av,ES108,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R407
3615376,R407,00-00-00,2020-02-29 08:00:00,2927909.0,7604430.0,370623.5,347679.0,114336.0,112542.0,Intervale Av,ES108,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R407
3615377,R407,00-00-00,2020-02-29 08:00:00,2927909.0,7604430.0,484959.25,460221.5,114336.0,112542.0,Intervale Av,ES108,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R407
3615378,R407,00-00-00,2020-02-29 12:00:00,2928038.0,7604606.0,599295.0,572764.0,114336.0,112542.0,Intervale Av,ES108,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R407
3615379,R407,00-00-00,2020-02-29 12:00:00,2928038.0,7604606.0,599295.0,572764.0,0.0,0.0,Intervale Av,ES108,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R407
3615380,R407,00-00-00,2020-02-29 12:00:00,2928038.0,7604606.0,936206.5,762473.5,336912.0,189710.0,Intervale Av,ES108,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R407
3615381,R407,00-00-00,2020-02-29 12:00:00,2928038.0,7604606.0,1273118.0,952183.0,336912.0,189710.0,Intervale Av,ES108,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R407
3615382,R407,00-00-00,2020-02-29 12:00:00,2928038.0,7604606.0,1610029.5,1141892.5,336912.0,189710.0,Intervale Av,ES108,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R407
3615383,R407,00-00-00,2020-02-29 16:00:00,2928157.0,7604890.0,1946941.0,1331602.0,336912.0,189710.0,Intervale Av,ES108,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R407
3615384,R407,00-00-00,2020-02-29 16:00:00,2928157.0,7604890.0,1946941.0,1331602.0,0.0,0.0,Intervale Av,ES108,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R407
3615385,R407,00-00-00,2020-02-29 16:00:00,2928157.0,7604890.0,2126541.75,1487152.75,179601.0,155551.0,Intervale Av,ES108,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R407
3615386,R407,00-00-00,2020-02-29 16:00:00,2928157.0,7604890.0,2306142.5,1642703.5,179601.0,155551.0,Intervale Av,ES108,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R407
3615387,R407,00-00-00,2020-02-29 16:00:00,2928157.0,7604890.0,2485743.25,1798254.25,179601.0,155551.0,Intervale Av,ES108,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R407
3615388,R407,00-00-00,2020-02-29 20:00:00,2928259.0,7605244.0,2665344.0,1953805.0,179601.0,155551.0,Intervale Av,ES108,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R407
3615389,R407,00-00-00,2020-02-29 20:00:00,2928259.0,7605244.0,2665344.0,1953805.0,0.0,0.0,Intervale Av,ES108,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R407
3615390,R407,00-00-00,2020-02-29 20:00:00,2928259.0,7605244.0,2925101.5,2162959.25,259758.0,209154.0,Intervale Av,ES108,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R407
3615391,R407,00-00-00,2020-02-29 20:00:00,2928259.0,7605244.0,3184859.0,2372113.5,259758.0,209154.0,Intervale Av,ES108,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R407
3615392,R407,00-00-00,2020-02-29 20:00:00,2928259.0,7605244.0,3444616.5,2581267.75,259758.0,209154.0,Intervale Av,ES108,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R407
3615393,R407,00-00-00,2020-03-01 00:00:00,2928305.0,7605494.0,3704374.0,2790422.0,259758.0,209154.0,Intervale Av,ES108,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R407
3615394,R407,00-00-00,2020-03-01 00:00:00,2928305.0,7605494.0,3704374.0,2790422.0,0.0,0.0,Intervale Av,ES108,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R407
3615395,R407,00-00-00,2020-03-01 00:00:00,2928305.0,7605494.0,4230215.0,3232651.0,525841.0,442229.0,Intervale Av,ES108,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R407
3615396,R407,00-00-00,2020-03-01 00:00:00,2928305.0,7605494.0,4756056.0,3674880.0,525841.0,442229.0,Intervale Av,ES108,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R407
3615397,R407,00-00-00,2020-03-01 00:00:00,2928305.0,7605494.0,5281897.0,4117109.0,525841.0,442229.0,Intervale Av,ES108,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R407
3615398,R407,00-00-00,2020-03-01 04:00:00,2928315.0,7605597.0,5807738.0,4559338.0,525841.0,442229.0,Intervale Av,ES108,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R407
3615399,R407,00-00-00,2020-03-01 04:00:00,2928315.0,7605597.0,5807738.0,4559338.0,0.0,0.0,Intervale Av,ES108,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R407
3615400,R407,00-00-00,2020-03-01 04:00:00,2928315.0,7605597.0,5836432.25,4584608.5,28694.0,25270.0,Intervale Av,ES108,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R407
3615401,R407,00-00-00,2020-03-01 04:00:00,2928315.0,7605597.0,5865126.5,4609879.0,28694.0,25270.0,Intervale Av,ES108,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R407
3615402,R407,00-00-00,2020-03-01 04:00:00,2928315.0,7605597.0,5893820.75,4635149.5,28694.0,25270.0,Intervale Av,ES108,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R407
3615403,R407,00-00-00,2020-03-01 08:00:00,2928359.0,7605657.0,5922515.0,4660420.0,28694.0,25270.0,Intervale Av,ES108,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R407
3615404,R407,00-00-00,2020-03-01 08:00:00,2928359.0,7605657.0,5922515.0,4660420.0,0.0,0.0,Intervale Av,ES108,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R407
3615405,R407,00-00-00,2020-03-01 08:00:00,2928359.0,7605657.0,6608718.25,5385666.75,686203.0,725247.0,Intervale Av,ES108,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R407
3615406,R407,00-00-00,2020-03-01 08:00:00,2928359.0,7605657.0,7294921.5,6110913.5,686203.0,725247.0,Intervale Av,ES108,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R407
3615407,R407,00-00-00,2020-03-01 08:00:00,2928359.0,7605657.0,7981124.75,6836160.25,686203.0,725247.0,Intervale Av,ES108,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R407
3615408,R407,00-00-00,2020-03-01 12:00:00,2928462.0,7605775.0,8667328.0,7561407.0,686203.0,725247.0,Intervale Av,ES108,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R407
3615409,R407,00-00-00,2020-03-01 12:00:00,2928462.0,7605775.0,8667328.0,7561407.0,0.0,0.0,Intervale Av,ES108,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R407
3615410,R407,00-00-00,2020-03-01 12:00:00,2928462.0,7605775.0,8889525.5,7753062.25,222198.0,191655.0,Intervale Av,ES108,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R407
3615411,R407,00-00-00,2020-03-01 12:00:00,2928462.0,7605775.0,9111723.0,7944717.5,222198.0,191655.0,Intervale Av,ES108,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R407
3615412,R407,00-00-00,2020-03-01 12:00:00,2928462.0,7605775.0,9333920.5,8136372.75,222198.0,191655.0,Intervale Av,ES108,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R407
3615413,R407,00-00-00,2020-03-01 16:00:00,2928594.0,7605991.0,9556118.0,8328028.0,222198.0,191655.0,Intervale Av,ES108,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R407
3615414,R407,00-00-00,2020-03-01 16:00:00,2928594.0,7605991.0,9556118.0,8328028.0,0.0,0.0,Intervale Av,ES108,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R407
3615415,R407,00-00-00,2020-03-01 16:00:00,2928594.0,7605991.0,9692830.25,8447443.5,136712.0,119416.0,Intervale Av,ES108,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R407
3615416,R407,00-00-00,2020-03-01 16:00:00,2928594.0,7605991.0,9829542.5,8566859.0,136712.0,119416.0,Intervale Av,ES108,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R407
3615417,R407,00-00-00,2020-03-01 16:00:00,2928594.0,7605991.0,9966254.75,8686274.5,136712.0,119416.0,Intervale Av,ES108,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R407
3615418,R407,00-00-00,2020-03-01 20:00:00,2928689.0,7606301.0,10102967.0,8805690.0,136712.0,119416.0,Intervale Av,ES108,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R407
3615419,R407,00-00-00,2020-03-01 20:00:00,2928689.0,7606301.0,10102967.0,8805690.0,0.0,0.0,Intervale Av,ES108,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R407
3615420,R407,00-00-00,2020-03-01 20:00:00,2928689.0,7606301.0,10334144.5,8919006.75,231178.0,113317.0,Intervale Av,ES108,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R407
3615421,R407,00-00-00,2020-03-01 20:00:00,2928689.0,7606301.0,10565322.0,9032323.5,231178.0,113317.0,Intervale Av,ES108,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R407
3615422,R407,00-00-00,2020-03-01 20:00:00,2928689.0,7606301.0,10796499.5,9145640.25,231178.0,113317.0,Intervale Av,ES108,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R407
3615423,R407,00-00-00,2020-03-02 00:00:00,2928739.0,7606532.0,11027677.0,9258957.0,231178.0,113317.0,Intervale Av,ES108,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R407
3615424,R407,00-00-00,2020-03-02 00:00:00,2928739.0,7606532.0,11027677.0,9258957.0,0.0,0.0,Intervale Av,ES108,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R407
3615425,R407,00-00-00,2020-03-02 00:00:00,2928739.0,7606532.0,13824550.5,9965014.25,2796874.0,706057.0,Intervale Av,ES108,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R407
3615426,R407,00-00-00,2020-03-02 00:00:00,2928739.0,7606532.0,16621424.0,10671071.5,2796874.0,706057.0,Intervale Av,ES108,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R407
3615427,R407,00-00-00,2020-03-02 00:00:00,2928739.0,7606532.0,19418297.5,11377128.75,2796874.0,706057.0,Intervale Av,ES108,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R407
3615428,R407,00-00-00,2020-03-02 04:00:00,2928746.0,7606601.0,22215171.0,12083186.0,2796874.0,706057.0,Intervale Av,ES108,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R407
3615429,R407,00-00-00,2020-03-02 04:00:00,2928746.0,7606601.0,22215171.0,12083186.0,0.0,0.0,Intervale Av,ES108,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R407
