,UNIT,SCP,datetime,ENTRIES,EXITS,cleaned_entries,cleaned_exits,entries_diff,exists_diff,station_name,equipment_id,description,borough,subway_lines,equipment_type,ada_compliant,is_active,clean_lines,remote
3452099,R342,00-00-00,2020-02-29 00:00:00,6193982.0,11452257.0,0.0,0.0,,,Jamaica - Van Wyck,EL409,89 Ave & Van Wyck Expwy (SW corner) to Mezzanine for service in both directions,QNS,E,EL,Y,Y,E,R342
3452100,R342,00-00-00,2020-02-29 00:00:00,6193982.0,11452257.0,0.0,0.0,,,Jamaica - Van Wyck,ES429,Center Island Platform to Mezzanine,QNS,E,ES,N,Y,E,R342
3452101,R342,00-00-00,2020-02-29 00:00:00,6193982.0,11452257.0,0.0,0.0,,,Jamaica - Van Wyck,ES428,Center Island Platform to Mezzanine,QNS,E,ES,N,Y,E,R342
3452102,R342,00-00-00,2020-02-29 00:00:00,6193982.0,11452257.0,0.0,0.0,,,Jamaica - Van Wyck,EL408,Mezzanine to Platform for service in both directions,QNS,E,EL,Y,Y,E,R342
3452103,R342,00-00-00,2020-02-29 00:00:00,6193982.0,11452257.0,0.0,0.0,,,Jamaica - Van Wyck,ES427,Mezzanine to Street,QNS,E,ES,N,Y,E,R342
3452104,R342,00-00-00,2020-02-29 00:00:00,6193982.0,11452257.0,0.0,0.0,,,Jamaica - Van Wyck,ES431,Mezzanine to Street,QNS,E,ES,N,Y,E,R342
3452105,R342,00-00-00,2020-02-29 00:00:00,6193982.0,11452257.0,0.0,0.0,,,Jamaica - Van Wyck,ES430,Mezzanine to Street,QNS,E,ES,N,Y,E,R342
3452106,R342,00-00-00,2020-02-29 00:00:00,6193982.0,11452257.0,0.0,0.0,0.0,0.0,Jamaica - Van Wyck,EL409,89 Ave & Van Wyck Expwy (SW corner) to Mezzanine for service in both directions,QNS,E,EL,Y,Y,E,R342
3452107,R342,00-00-00,2020-02-29 00:00:00,6193982.0,11452257.0,0.0,0.0,0.0,0.0,Jamaica - Van Wyck,ES429,Center Island Platform to Mezzanine,QNS,E,ES,N,Y,E,R342
3452108,R342,00-00-00,2020-02-29 00:00:00,6193982.0,11452257.0,0.0,0.0,0.0,0.0,Jamaica - Van Wyck,ES428,Center Island Platform to Mezzanine,QNS,E,ES,N,Y,E,R342
