,UNIT,SCP,datetime,ENTRIES,EXITS,cleaned_entries,cleaned_exits,entries_diff,exists_diff,station_name,equipment_id,description,borough,subway_lines,equipment_type,ada_compliant,is_active,clean_lines,remote
2376576,R097,00-00-00,2020-02-29 03:00:00,13614669.0,34850797.0,0.0,0.0,,,Junction Blvd,EL427,Mezzanine to Flushing bound Platform,QNS,7,EL,Y,Y,7,R097
2376577,R097,00-00-00,2020-02-29 03:00:00,13614669.0,34850797.0,0.0,0.0,,,Junction Blvd,EL426,Mezzanine to Manhattan bound Platform,QNS,7,EL,Y,Y,7,R097
2376578,R097,00-00-00,2020-02-29 03:00:00,13614669.0,34850797.0,0.0,0.0,,,Junction Blvd,EL425,Roosevelt Ave & Junction Blvd (NE corner) to Mezzanine for service in both directions,QNS,7,EL,Y,Y,7,R097
2376579,R097,00-00-00,2020-02-29 03:00:00,13614669.0,34850797.0,0.0,0.0,0.0,0.0,Junction Blvd,EL427,Mezzanine to Flushing bound Platform,QNS,7,EL,Y,Y,7,R097
2376580,R097,00-00-00,2020-02-29 03:00:00,13614669.0,34850797.0,0.0,0.0,0.0,0.0,Junction Blvd,EL426,Mezzanine to Manhattan bound Platform,QNS,7,EL,Y,Y,7,R097
2376581,R097,00-00-00,2020-02-29 03:00:00,13614669.0,34850797.0,0.0,0.0,0.0,0.0,Junction Blvd,EL425,Roosevelt Ave & Junction Blvd (NE corner) to Mezzanine for service in both directions,QNS,7,EL,Y,Y,7,R097
2376582,R097,00-00-00,2020-02-29 03:00:00,13614669.0,34850797.0,16854.25,16786.0,16854.0,16786.0,Junction Blvd,EL427,Mezzanine to Flushing bound Platform,QNS,7,EL,Y,Y,7,R097
2376583,R097,00-00-00,2020-02-29 03:00:00,13614669.0,34850797.0,16854.25,16786.0,16854.0,16786.0,Junction Blvd,EL426,Mezzanine to Manhattan bound Platform,QNS,7,EL,Y,Y,7,R097
2376584,R097,00-00-00,2020-02-29 03:00:00,13614669.0,34850797.0,16854.25,16786.0,16854.0,16786.0,Junction Blvd,EL425,Roosevelt Ave & Junction Blvd (NE corner) to Mezzanine for service in both directions,QNS,7,EL,Y,Y,7,R097
2376585,R097,00-00-00,2020-02-29 03:00:00,13614669.0,34850797.0,33708.5,33572.0,16854.0,16786.0,Junction Blvd,EL427,Mezzanine to Flushing bound Platform,QNS,7,EL,Y,Y,7,R097
2376586,R097,00-00-00,2020-02-29 03:00:00,13614669.0,34850797.0,33708.5,33572.0,16854.0,16786.0,Junction Blvd,EL426,Mezzanine to Manhattan bound Platform,QNS,7,EL,Y,Y,7,R097
2376587,R097,00-00-00,2020-02-29 03:00:00,13614669.0,34850797.0,33708.5,33572.0,16854.0,16786.0,Junction Blvd,EL425,Roosevelt Ave & Junction Blvd (NE corner) to Mezzanine for service in both directions,QNS,7,EL,Y,Y,7,R097
2376588,R097,00-00-00,2020-02-29 03:00:00,13614669.0,34850797.0,50562.75,50358.0,16854.0,16786.0,Junction Blvd,EL427,Mezzanine to Flushing bound Platform,QNS,7,EL,Y,Y,7,R097
2376589,R097,00-00-00,2020-02-29 03:00:00,13614669.0,34850797.0,50562.75,50358.0,16854.0,16786.0,Junction Blvd,EL426,Mezzanine to Manhattan bound Platform,QNS,7,EL,Y,Y,7,R097
2376590,R097,00-00-00,2020-02-29 03:00:00,13614669.0,34850797.0,50562.75,50358.0,16854.0,16786.0,Junction Blvd,EL425,Roosevelt Ave & Junction Blvd (NE corner) to Mezzanine for service in both directions,QNS,7,EL,Y,Y,7,R097
2376591,R097,00-00-00,2020-02-29 07:00:00,13614784.0,34850952.0,67417.0,67144.0,16854.0,16786.0,Junction Blvd,EL427,Mezzanine to Flushing bound Platform,QNS,7,EL,Y,Y,7,R097
