,UNIT,SCP,datetime,ENTRIES,EXITS,cleaned_entries,cleaned_exits,entries_diff,exists_diff,station_name,equipment_id,description,borough,subway_lines,equipment_type,ada_compliant,is_active,clean_lines,remote
2744732,R158,00-00-00,2020-02-29 01:30:00,1592485.0,8950633.0,8092.6,10207.4,8093.0,10207.0,Kew Gardens / Union Tpk,EL434,Kew Gardens Rd & Union Tpke (SW corner) to Mezzanine for service in both directions,QNS,E/F,EL,Y,Y,E-F,R158
2744733,R158,00-00-00,2020-02-29 01:30:00,1592485.0,8950633.0,8092.6,10207.4,8093.0,10207.0,Kew Gardens / Union Tpk,EL435,Mezzanine to Jamaica bound Platform,QNS,E/F,EL,Y,Y,E-F,R158
2744734,R158,00-00-00,2020-02-29 01:30:00,1592485.0,8950633.0,8092.6,10207.4,8093.0,10207.0,Kew Gardens / Union Tpk,EL436,Mezzanine to Manhattan bound Platform,QNS,E/F,EL,Y,Y,E-F,R158
2744735,R158,00-00-00,2020-02-29 01:30:00,1592485.0,8950633.0,16185.2,20414.8,8093.0,10207.0,Kew Gardens / Union Tpk,EL434,Kew Gardens Rd & Union Tpke (SW corner) to Mezzanine for service in both directions,QNS,E/F,EL,Y,Y,E-F,R158
2744736,R158,00-00-00,2020-02-29 01:30:00,1592485.0,8950633.0,16185.2,20414.8,8093.0,10207.0,Kew Gardens / Union Tpk,EL435,Mezzanine to Jamaica bound Platform,QNS,E/F,EL,Y,Y,E-F,R158
2744737,R158,00-00-00,2020-02-29 01:30:00,1592485.0,8950633.0,16185.2,20414.8,8093.0,10207.0,Kew Gardens / Union Tpk,EL436,Mezzanine to Manhattan bound Platform,QNS,E/F,EL,Y,Y,E-F,R158
2744738,R158,00-00-00,2020-02-29 01:30:00,1592485.0,8950633.0,24277.800000000003,30622.199999999997,8093.0,10207.0,Kew Gardens / Union Tpk,EL434,Kew Gardens Rd & Union Tpke (SW corner) to Mezzanine for service in both directions,QNS,E/F,EL,Y,Y,E-F,R158
2744739,R158,00-00-00,2020-02-29 01:30:00,1592485.0,8950633.0,24277.800000000003,30622.199999999997,8093.0,10207.0,Kew Gardens / Union Tpk,EL435,Mezzanine to Jamaica bound Platform,QNS,E/F,EL,Y,Y,E-F,R158
2744740,R158,00-00-00,2020-02-29 01:30:00,1592485.0,8950633.0,24277.800000000003,30622.199999999997,8093.0,10207.0,Kew Gardens / Union Tpk,EL436,Mezzanine to Manhattan bound Platform,QNS,E/F,EL,Y,Y,E-F,R158
2744741,R158,00-00-00,2020-02-29 01:30:00,1592485.0,8950633.0,32370.4,40829.6,8093.0,10207.0,Kew Gardens / Union Tpk,EL434,Kew Gardens Rd & Union Tpke (SW corner) to Mezzanine for service in both directions,QNS,E/F,EL,Y,Y,E-F,R158
2744742,R158,00-00-00,2020-02-29 01:30:00,1592485.0,8950633.0,32370.4,40829.6,8093.0,10207.0,Kew Gardens / Union Tpk,EL435,Mezzanine to Jamaica bound Platform,QNS,E/F,EL,Y,Y,E-F,R158
2744743,R158,00-00-00,2020-02-29 01:30:00,1592485.0,8950633.0,32370.4,40829.6,8093.0,10207.0,Kew Gardens / Union Tpk,EL436,Mezzanine to Manhattan bound Platform,QNS,E/F,EL,Y,Y,E-F,R158
2744744,R158,00-00-00,2020-02-29 05:30:00,1592492.0,8950732.0,77100.8,91483.0,36638.0,40446.0,Kew Gardens / Union Tpk,EL434,Kew Gardens Rd & Union Tpke (SW corner) to Mezzanine for service in both directions,QNS,E/F,EL,Y,Y,E-F,R158
2744745,R158,00-00-00,2020-02-29 05:30:00,1592492.0,8950732.0,77100.8,91483.0,36638.0,40446.0,Kew Gardens / Union Tpk,EL435,Mezzanine to Jamaica bound Platform,QNS,E/F,EL,Y,Y,E-F,R158
2744746,R158,00-00-00,2020-02-29 05:30:00,1592492.0,8950732.0,77100.8,91483.0,36638.0,40446.0,Kew Gardens / Union Tpk,EL436,Mezzanine to Manhattan bound Platform,QNS,E/F,EL,Y,Y,E-F,R158
2744747,R158,00-00-00,2020-02-29 05:30:00,1592492.0,8950732.0,113738.6,131929.0,36638.0,40446.0,Kew Gardens / Union Tpk,EL434,Kew Gardens Rd & Union Tpke (SW corner) to Mezzanine for service in both directions,QNS,E/F,EL,Y,Y,E-F,R158
2744748,R158,00-00-00,2020-02-29 05:30:00,1592492.0,8950732.0,113738.6,131929.0,36638.0,40446.0,Kew Gardens / Union Tpk,EL435,Mezzanine to Jamaica bound Platform,QNS,E/F,EL,Y,Y,E-F,R158
2744749,R158,00-00-00,2020-02-29 05:30:00,1592492.0,8950732.0,113738.6,131929.0,36638.0,40446.0,Kew Gardens / Union Tpk,EL436,Mezzanine to Manhattan bound Platform,QNS,E/F,EL,Y,Y,E-F,R158
2744750,R158,00-00-00,2020-02-29 05:30:00,1592492.0,8950732.0,150376.40000000002,172375.0,36638.0,40446.0,Kew Gardens / Union Tpk,EL434,Kew Gardens Rd & Union Tpke (SW corner) to Mezzanine for service in both directions,QNS,E/F,EL,Y,Y,E-F,R158
2744751,R158,00-00-00,2020-02-29 05:30:00,1592492.0,8950732.0,150376.40000000002,172375.0,36638.0,40446.0,Kew Gardens / Union Tpk,EL435,Mezzanine to Jamaica bound Platform,QNS,E/F,EL,Y,Y,E-F,R158
2744752,R158,00-00-00,2020-02-29 05:30:00,1592492.0,8950732.0,150376.40000000002,172375.0,36638.0,40446.0,Kew Gardens / Union Tpk,EL436,Mezzanine to Manhattan bound Platform,QNS,E/F,EL,Y,Y,E-F,R158
2744753,R158,00-00-00,2020-02-29 05:30:00,1592492.0,8950732.0,187014.2,212821.0,36638.0,40446.0,Kew Gardens / Union Tpk,EL434,Kew Gardens Rd & Union Tpke (SW corner) to Mezzanine for service in both directions,QNS,E/F,EL,Y,Y,E-F,R158
2744754,R158,00-00-00,2020-02-29 05:30:00,1592492.0,8950732.0,187014.2,212821.0,36638.0,40446.0,Kew Gardens / Union Tpk,EL435,Mezzanine to Jamaica bound Platform,QNS,E/F,EL,Y,Y,E-F,R158
2744755,R158,00-00-00,2020-02-29 05:30:00,1592492.0,8950732.0,187014.2,212821.0,36638.0,40446.0,Kew Gardens / Union Tpk,EL436,Mezzanine to Manhattan bound Platform,QNS,E/F,EL,Y,Y,E-F,R158
2744756,R158,00-00-00,2020-02-29 09:30:00,1592600.0,8950957.0,422861.4,347890.4,199209.0,94623.0,Kew Gardens / Union Tpk,EL434,Kew Gardens Rd & Union Tpke (SW corner) to Mezzanine for service in both directions,QNS,E/F,EL,Y,Y,E-F,R158
2744757,R158,00-00-00,2020-02-29 09:30:00,1592600.0,8950957.0,422861.4,347890.4,199209.0,94623.0,Kew Gardens / Union Tpk,EL435,Mezzanine to Jamaica bound Platform,QNS,E/F,EL,Y,Y,E-F,R158
2744758,R158,00-00-00,2020-02-29 09:30:00,1592600.0,8950957.0,422861.4,347890.4,199209.0,94623.0,Kew Gardens / Union Tpk,EL436,Mezzanine to Manhattan bound Platform,QNS,E/F,EL,Y,Y,E-F,R158
2744759,R158,00-00-00,2020-02-29 09:30:00,1592600.0,8950957.0,622070.8,442513.8,199209.0,94623.0,Kew Gardens / Union Tpk,EL434,Kew Gardens Rd & Union Tpke (SW corner) to Mezzanine for service in both directions,QNS,E/F,EL,Y,Y,E-F,R158
2744760,R158,00-00-00,2020-02-29 09:30:00,1592600.0,8950957.0,622070.8,442513.8,199209.0,94623.0,Kew Gardens / Union Tpk,EL435,Mezzanine to Jamaica bound Platform,QNS,E/F,EL,Y,Y,E-F,R158
2744761,R158,00-00-00,2020-02-29 09:30:00,1592600.0,8950957.0,622070.8,442513.8,199209.0,94623.0,Kew Gardens / Union Tpk,EL436,Mezzanine to Manhattan bound Platform,QNS,E/F,EL,Y,Y,E-F,R158
2744762,R158,00-00-00,2020-02-29 09:30:00,1592600.0,8950957.0,821280.2,537137.2,199209.0,94623.0,Kew Gardens / Union Tpk,EL434,Kew Gardens Rd & Union Tpke (SW corner) to Mezzanine for service in both directions,QNS,E/F,EL,Y,Y,E-F,R158
2744763,R158,00-00-00,2020-02-29 09:30:00,1592600.0,8950957.0,821280.2,537137.2,199209.0,94623.0,Kew Gardens / Union Tpk,EL435,Mezzanine to Jamaica bound Platform,QNS,E/F,EL,Y,Y,E-F,R158
2744764,R158,00-00-00,2020-02-29 09:30:00,1592600.0,8950957.0,821280.2,537137.2,199209.0,94623.0,Kew Gardens / Union Tpk,EL436,Mezzanine to Manhattan bound Platform,QNS,E/F,EL,Y,Y,E-F,R158
2744765,R158,00-00-00,2020-02-29 09:30:00,1592600.0,8950957.0,1020489.6,631760.6,199209.0,94623.0,Kew Gardens / Union Tpk,EL434,Kew Gardens Rd & Union Tpke (SW corner) to Mezzanine for service in both directions,QNS,E/F,EL,Y,Y,E-F,R158
2744766,R158,00-00-00,2020-02-29 09:30:00,1592600.0,8950957.0,1020489.6,631760.6,199209.0,94623.0,Kew Gardens / Union Tpk,EL435,Mezzanine to Jamaica bound Platform,QNS,E/F,EL,Y,Y,E-F,R158
2744767,R158,00-00-00,2020-02-29 09:30:00,1592600.0,8950957.0,1020489.6,631760.6,199209.0,94623.0,Kew Gardens / Union Tpk,EL436,Mezzanine to Manhattan bound Platform,QNS,E/F,EL,Y,Y,E-F,R158
2744768,R158,00-00-00,2020-02-29 13:30:00,1592682.0,8951306.0,1376995.0,859184.8,157296.0,132801.0,Kew Gardens / Union Tpk,EL434,Kew Gardens Rd & Union Tpke (SW corner) to Mezzanine for service in both directions,QNS,E/F,EL,Y,Y,E-F,R158
2744769,R158,00-00-00,2020-02-29 13:30:00,1592682.0,8951306.0,1376995.0,859184.8,157296.0,132801.0,Kew Gardens / Union Tpk,EL435,Mezzanine to Jamaica bound Platform,QNS,E/F,EL,Y,Y,E-F,R158
2744770,R158,00-00-00,2020-02-29 13:30:00,1592682.0,8951306.0,1376995.0,859184.8,157296.0,132801.0,Kew Gardens / Union Tpk,EL436,Mezzanine to Manhattan bound Platform,QNS,E/F,EL,Y,Y,E-F,R158
2744771,R158,00-00-00,2020-02-29 13:30:00,1592682.0,8951306.0,1534291.0,991985.6,157296.0,132801.0,Kew Gardens / Union Tpk,EL434,Kew Gardens Rd & Union Tpke (SW corner) to Mezzanine for service in both directions,QNS,E/F,EL,Y,Y,E-F,R158
2744772,R158,00-00-00,2020-02-29 13:30:00,1592682.0,8951306.0,1534291.0,991985.6,157296.0,132801.0,Kew Gardens / Union Tpk,EL435,Mezzanine to Jamaica bound Platform,QNS,E/F,EL,Y,Y,E-F,R158
2744773,R158,00-00-00,2020-02-29 13:30:00,1592682.0,8951306.0,1534291.0,991985.6,157296.0,132801.0,Kew Gardens / Union Tpk,EL436,Mezzanine to Manhattan bound Platform,QNS,E/F,EL,Y,Y,E-F,R158
2744774,R158,00-00-00,2020-02-29 13:30:00,1592682.0,8951306.0,1691587.0,1124786.4,157296.0,132801.0,Kew Gardens / Union Tpk,EL434,Kew Gardens Rd & Union Tpke (SW corner) to Mezzanine for service in both directions,QNS,E/F,EL,Y,Y,E-F,R158
2744775,R158,00-00-00,2020-02-29 13:30:00,1592682.0,8951306.0,1691587.0,1124786.4,157296.0,132801.0,Kew Gardens / Union Tpk,EL435,Mezzanine to Jamaica bound Platform,QNS,E/F,EL,Y,Y,E-F,R158
2744776,R158,00-00-00,2020-02-29 13:30:00,1592682.0,8951306.0,1691587.0,1124786.4,157296.0,132801.0,Kew Gardens / Union Tpk,EL436,Mezzanine to Manhattan bound Platform,QNS,E/F,EL,Y,Y,E-F,R158
2744777,R158,00-00-00,2020-02-29 13:30:00,1592682.0,8951306.0,1848883.0,1257587.2,157296.0,132801.0,Kew Gardens / Union Tpk,EL434,Kew Gardens Rd & Union Tpke (SW corner) to Mezzanine for service in both directions,QNS,E/F,EL,Y,Y,E-F,R158
