,UNIT,SCP,datetime,ENTRIES,EXITS,cleaned_entries,cleaned_exits,entries_diff,exists_diff,station_name,equipment_id,description,borough,subway_lines,equipment_type,ada_compliant,is_active,clean_lines,remote
3035373,R211,00-00-00,2020-02-29 03:00:00,16961123.0,11046845.0,0.0,0.0,,,Kings Highway,EL761,South side of Kings Hwy (west of 16 St) to Brighton Beach/Coney Island bound Platform,BKN,B/Q,EL,Y,Y,B-Q,R211
3035374,R211,00-00-00,2020-02-29 03:00:00,16961123.0,11046845.0,0.0,0.0,,,Kings Highway,EL760,South side of Kings Hwy (west of 16 St) to Manhattan bound Platform,BKN,B/Q,EL,Y,Y,B-Q,R211
3035375,R211,00-00-00,2020-02-29 03:00:00,16961123.0,11046845.0,0.0,0.0,0.0,0.0,Kings Highway,EL761,South side of Kings Hwy (west of 16 St) to Brighton Beach/Coney Island bound Platform,BKN,B/Q,EL,Y,Y,B-Q,R211
3035376,R211,00-00-00,2020-02-29 03:00:00,16961123.0,11046845.0,0.0,0.0,0.0,0.0,Kings Highway,EL760,South side of Kings Hwy (west of 16 St) to Manhattan bound Platform,BKN,B/Q,EL,Y,Y,B-Q,R211
3035377,R211,00-00-00,2020-02-29 03:00:00,16961123.0,11046845.0,10864.5,13495.5,10864.0,13496.0,Kings Highway,EL761,South side of Kings Hwy (west of 16 St) to Brighton Beach/Coney Island bound Platform,BKN,B/Q,EL,Y,Y,B-Q,R211
3035378,R211,00-00-00,2020-02-29 03:00:00,16961123.0,11046845.0,10864.5,13495.5,10864.0,13496.0,Kings Highway,EL760,South side of Kings Hwy (west of 16 St) to Manhattan bound Platform,BKN,B/Q,EL,Y,Y,B-Q,R211
3035379,R211,00-00-00,2020-02-29 03:00:00,16961123.0,11046845.0,21729.0,26991.0,10864.0,13496.0,Kings Highway,EL761,South side of Kings Hwy (west of 16 St) to Brighton Beach/Coney Island bound Platform,BKN,B/Q,EL,Y,Y,B-Q,R211
3035380,R211,00-00-00,2020-02-29 03:00:00,16961123.0,11046845.0,21729.0,26991.0,10864.0,13496.0,Kings Highway,EL760,South side of Kings Hwy (west of 16 St) to Manhattan bound Platform,BKN,B/Q,EL,Y,Y,B-Q,R211
3035381,R211,00-00-00,2020-02-29 03:00:00,16961123.0,11046845.0,32593.5,40486.5,10864.0,13496.0,Kings Highway,EL761,South side of Kings Hwy (west of 16 St) to Brighton Beach/Coney Island bound Platform,BKN,B/Q,EL,Y,Y,B-Q,R211
3035382,R211,00-00-00,2020-02-29 03:00:00,16961123.0,11046845.0,32593.5,40486.5,10864.0,13496.0,Kings Highway,EL760,South side of Kings Hwy (west of 16 St) to Manhattan bound Platform,BKN,B/Q,EL,Y,Y,B-Q,R211
3035383,R211,00-00-00,2020-02-29 07:00:00,16961144.0,11046917.0,43458.0,53982.0,10864.0,13496.0,Kings Highway,EL761,South side of Kings Hwy (west of 16 St) to Brighton Beach/Coney Island bound Platform,BKN,B/Q,EL,Y,Y,B-Q,R211
3035384,R211,00-00-00,2020-02-29 07:00:00,16961144.0,11046917.0,43458.0,53982.0,10864.0,13496.0,Kings Highway,EL760,South side of Kings Hwy (west of 16 St) to Manhattan bound Platform,BKN,B/Q,EL,Y,Y,B-Q,R211
3035385,R211,00-00-00,2020-02-29 07:00:00,16961144.0,11046917.0,43458.0,53982.0,0.0,0.0,Kings Highway,EL761,South side of Kings Hwy (west of 16 St) to Brighton Beach/Coney Island bound Platform,BKN,B/Q,EL,Y,Y,B-Q,R211
3035386,R211,00-00-00,2020-02-29 07:00:00,16961144.0,11046917.0,43458.0,53982.0,0.0,0.0,Kings Highway,EL760,South side of Kings Hwy (west of 16 St) to Manhattan bound Platform,BKN,B/Q,EL,Y,Y,B-Q,R211
3035387,R211,00-00-00,2020-02-29 07:00:00,16961144.0,11046917.0,106218.5,119419.5,62760.0,65438.0,Kings Highway,EL761,South side of Kings Hwy (west of 16 St) to Brighton Beach/Coney Island bound Platform,BKN,B/Q,EL,Y,Y,B-Q,R211
3035388,R211,00-00-00,2020-02-29 07:00:00,16961144.0,11046917.0,106218.5,119419.5,62760.0,65438.0,Kings Highway,EL760,South side of Kings Hwy (west of 16 St) to Manhattan bound Platform,BKN,B/Q,EL,Y,Y,B-Q,R211
3035389,R211,00-00-00,2020-02-29 07:00:00,16961144.0,11046917.0,168979.0,184857.0,62760.0,65438.0,Kings Highway,EL761,South side of Kings Hwy (west of 16 St) to Brighton Beach/Coney Island bound Platform,BKN,B/Q,EL,Y,Y,B-Q,R211
