,UNIT,SCP,datetime,ENTRIES,EXITS,cleaned_entries,cleaned_exits,entries_diff,exists_diff,station_name,equipment_id,description,borough,subway_lines,equipment_type,ada_compliant,is_active,clean_lines,remote
2730655,R155,00-00-00,2020-02-29 00:00:00,705193537.0,705179136.0,0.0,0.0,,,Kingsbridge Road,EL189,Kingsbridge Rd & Grand Concourse (SE corner) to Mezzanine for service in both directions,BX,D/B,EL,Y,Y,D-B,R155
2730656,R155,00-00-00,2020-02-29 00:00:00,705193537.0,705179136.0,0.0,0.0,,,Kingsbridge Road,EL191,Mezzanine to downtown Platform,BX,D/B,EL,Y,Y,D-B,R155
2730657,R155,00-00-00,2020-02-29 00:00:00,705193537.0,705179136.0,0.0,0.0,,,Kingsbridge Road,EL190,Mezzanine to uptown Platform,BX,D/B,EL,Y,Y,D-B,R155
2730658,R155,00-00-00,2020-02-29 00:00:00,705193537.0,705179136.0,0.0,0.0,0.0,0.0,Kingsbridge Road,EL189,Kingsbridge Rd & Grand Concourse (SE corner) to Mezzanine for service in both directions,BX,D/B,EL,Y,Y,D-B,R155
2730659,R155,00-00-00,2020-02-29 00:00:00,705193537.0,705179136.0,0.0,0.0,0.0,0.0,Kingsbridge Road,EL191,Mezzanine to downtown Platform,BX,D/B,EL,Y,Y,D-B,R155
2730660,R155,00-00-00,2020-02-29 00:00:00,705193537.0,705179136.0,0.0,0.0,0.0,0.0,Kingsbridge Road,EL190,Mezzanine to uptown Platform,BX,D/B,EL,Y,Y,D-B,R155
2730661,R155,00-00-00,2020-02-29 00:00:00,705193537.0,705179136.0,2869.0,3725.75,2869.0,3726.0,Kingsbridge Road,EL189,Kingsbridge Rd & Grand Concourse (SE corner) to Mezzanine for service in both directions,BX,D/B,EL,Y,Y,D-B,R155
2730662,R155,00-00-00,2020-02-29 00:00:00,705193537.0,705179136.0,2869.0,3725.75,2869.0,3726.0,Kingsbridge Road,EL191,Mezzanine to downtown Platform,BX,D/B,EL,Y,Y,D-B,R155
2730663,R155,00-00-00,2020-02-29 00:00:00,705193537.0,705179136.0,2869.0,3725.75,2869.0,3726.0,Kingsbridge Road,EL190,Mezzanine to uptown Platform,BX,D/B,EL,Y,Y,D-B,R155
2730664,R155,00-00-00,2020-02-29 00:00:00,705193537.0,705179136.0,5738.0,7451.5,2869.0,3726.0,Kingsbridge Road,EL189,Kingsbridge Rd & Grand Concourse (SE corner) to Mezzanine for service in both directions,BX,D/B,EL,Y,Y,D-B,R155
2730665,R155,00-00-00,2020-02-29 00:00:00,705193537.0,705179136.0,5738.0,7451.5,2869.0,3726.0,Kingsbridge Road,EL191,Mezzanine to downtown Platform,BX,D/B,EL,Y,Y,D-B,R155
2730666,R155,00-00-00,2020-02-29 00:00:00,705193537.0,705179136.0,5738.0,7451.5,2869.0,3726.0,Kingsbridge Road,EL190,Mezzanine to uptown Platform,BX,D/B,EL,Y,Y,D-B,R155
2730667,R155,00-00-00,2020-02-29 00:00:00,705193537.0,705179136.0,8607.0,11177.25,2869.0,3726.0,Kingsbridge Road,EL189,Kingsbridge Rd & Grand Concourse (SE corner) to Mezzanine for service in both directions,BX,D/B,EL,Y,Y,D-B,R155
2730668,R155,00-00-00,2020-02-29 00:00:00,705193537.0,705179136.0,8607.0,11177.25,2869.0,3726.0,Kingsbridge Road,EL191,Mezzanine to downtown Platform,BX,D/B,EL,Y,Y,D-B,R155
2730669,R155,00-00-00,2020-02-29 00:00:00,705193537.0,705179136.0,8607.0,11177.25,2869.0,3726.0,Kingsbridge Road,EL190,Mezzanine to uptown Platform,BX,D/B,EL,Y,Y,D-B,R155
2730670,R155,00-00-00,2020-02-29 04:00:00,705193543.0,705179244.0,11476.0,14903.0,2869.0,3726.0,Kingsbridge Road,EL189,Kingsbridge Rd & Grand Concourse (SE corner) to Mezzanine for service in both directions,BX,D/B,EL,Y,Y,D-B,R155
2730671,R155,00-00-00,2020-02-29 04:00:00,705193543.0,705179244.0,11476.0,14903.0,2869.0,3726.0,Kingsbridge Road,EL191,Mezzanine to downtown Platform,BX,D/B,EL,Y,Y,D-B,R155
2730672,R155,00-00-00,2020-02-29 04:00:00,705193543.0,705179244.0,11476.0,14903.0,2869.0,3726.0,Kingsbridge Road,EL190,Mezzanine to uptown Platform,BX,D/B,EL,Y,Y,D-B,R155
2730673,R155,00-00-00,2020-02-29 04:00:00,705193543.0,705179244.0,11476.0,14903.0,0.0,0.0,Kingsbridge Road,EL189,Kingsbridge Rd & Grand Concourse (SE corner) to Mezzanine for service in both directions,BX,D/B,EL,Y,Y,D-B,R155
2730674,R155,00-00-00,2020-02-29 04:00:00,705193543.0,705179244.0,11476.0,14903.0,0.0,0.0,Kingsbridge Road,EL191,Mezzanine to downtown Platform,BX,D/B,EL,Y,Y,D-B,R155
2730675,R155,00-00-00,2020-02-29 04:00:00,705193543.0,705179244.0,11476.0,14903.0,0.0,0.0,Kingsbridge Road,EL190,Mezzanine to uptown Platform,BX,D/B,EL,Y,Y,D-B,R155
2730676,R155,00-00-00,2020-02-29 04:00:00,705193543.0,705179244.0,55904.0,49397.5,44428.0,34494.0,Kingsbridge Road,EL189,Kingsbridge Rd & Grand Concourse (SE corner) to Mezzanine for service in both directions,BX,D/B,EL,Y,Y,D-B,R155
2730677,R155,00-00-00,2020-02-29 04:00:00,705193543.0,705179244.0,55904.0,49397.5,44428.0,34494.0,Kingsbridge Road,EL191,Mezzanine to downtown Platform,BX,D/B,EL,Y,Y,D-B,R155
2730678,R155,00-00-00,2020-02-29 04:00:00,705193543.0,705179244.0,55904.0,49397.5,44428.0,34494.0,Kingsbridge Road,EL190,Mezzanine to uptown Platform,BX,D/B,EL,Y,Y,D-B,R155
2730679,R155,00-00-00,2020-02-29 04:00:00,705193543.0,705179244.0,100332.0,83892.0,44428.0,34494.0,Kingsbridge Road,EL189,Kingsbridge Rd & Grand Concourse (SE corner) to Mezzanine for service in both directions,BX,D/B,EL,Y,Y,D-B,R155
2730680,R155,00-00-00,2020-02-29 04:00:00,705193543.0,705179244.0,100332.0,83892.0,44428.0,34494.0,Kingsbridge Road,EL191,Mezzanine to downtown Platform,BX,D/B,EL,Y,Y,D-B,R155
2730681,R155,00-00-00,2020-02-29 04:00:00,705193543.0,705179244.0,100332.0,83892.0,44428.0,34494.0,Kingsbridge Road,EL190,Mezzanine to uptown Platform,BX,D/B,EL,Y,Y,D-B,R155
2730682,R155,00-00-00,2020-02-29 04:00:00,705193543.0,705179244.0,144760.0,118386.5,44428.0,34494.0,Kingsbridge Road,EL189,Kingsbridge Rd & Grand Concourse (SE corner) to Mezzanine for service in both directions,BX,D/B,EL,Y,Y,D-B,R155
2730683,R155,00-00-00,2020-02-29 04:00:00,705193543.0,705179244.0,144760.0,118386.5,44428.0,34494.0,Kingsbridge Road,EL191,Mezzanine to downtown Platform,BX,D/B,EL,Y,Y,D-B,R155
2730684,R155,00-00-00,2020-02-29 04:00:00,705193543.0,705179244.0,144760.0,118386.5,44428.0,34494.0,Kingsbridge Road,EL190,Mezzanine to uptown Platform,BX,D/B,EL,Y,Y,D-B,R155
2730685,R155,00-00-00,2020-02-29 08:00:00,705193683.0,705179299.0,189188.0,152881.0,44428.0,34494.0,Kingsbridge Road,EL189,Kingsbridge Rd & Grand Concourse (SE corner) to Mezzanine for service in both directions,BX,D/B,EL,Y,Y,D-B,R155
2730686,R155,00-00-00,2020-02-29 08:00:00,705193683.0,705179299.0,189188.0,152881.0,44428.0,34494.0,Kingsbridge Road,EL191,Mezzanine to downtown Platform,BX,D/B,EL,Y,Y,D-B,R155
2730687,R155,00-00-00,2020-02-29 08:00:00,705193683.0,705179299.0,189188.0,152881.0,44428.0,34494.0,Kingsbridge Road,EL190,Mezzanine to uptown Platform,BX,D/B,EL,Y,Y,D-B,R155
2730688,R155,00-00-00,2020-02-29 08:00:00,705193683.0,705179299.0,189188.0,152881.0,0.0,0.0,Kingsbridge Road,EL189,Kingsbridge Rd & Grand Concourse (SE corner) to Mezzanine for service in both directions,BX,D/B,EL,Y,Y,D-B,R155
2730689,R155,00-00-00,2020-02-29 08:00:00,705193683.0,705179299.0,189188.0,152881.0,0.0,0.0,Kingsbridge Road,EL191,Mezzanine to downtown Platform,BX,D/B,EL,Y,Y,D-B,R155
