,UNIT,SCP,datetime,ENTRIES,EXITS,cleaned_entries,cleaned_exits,entries_diff,exists_diff,station_name,equipment_id,description,borough,subway_lines,equipment_type,ada_compliant,is_active,clean_lines,remote
3692820,R460,00-00-00,2020-02-29 00:00:00,2013094.0,435563.0,0.0,0.0,,,Marcy Av,EL391,Marcy Ave & Broadway (NW corner) to Jamaica Center bound Platform,BKN,J/M/Z,EL,Y,Y,J-M-Z,R460
3692821,R460,00-00-00,2020-02-29 00:00:00,2013094.0,435563.0,0.0,0.0,,,Marcy Av,EL392,Marcy Ave & Broadway (SW corner) to Manhattan bound Platform,BKN,J/M/Z,EL,Y,Y,J-M-Z,R460
3692822,R460,00-00-00,2020-02-29 00:00:00,2013094.0,435563.0,0.0,0.0,0.0,0.0,Marcy Av,EL391,Marcy Ave & Broadway (NW corner) to Jamaica Center bound Platform,BKN,J/M/Z,EL,Y,Y,J-M-Z,R460
3692823,R460,00-00-00,2020-02-29 00:00:00,2013094.0,435563.0,0.0,0.0,0.0,0.0,Marcy Av,EL392,Marcy Ave & Broadway (SW corner) to Manhattan bound Platform,BKN,J/M/Z,EL,Y,Y,J-M-Z,R460
3692824,R460,00-00-00,2020-02-29 00:00:00,2013094.0,435563.0,7816.25,10075.0,7816.0,10075.0,Marcy Av,EL391,Marcy Ave & Broadway (NW corner) to Jamaica Center bound Platform,BKN,J/M/Z,EL,Y,Y,J-M-Z,R460
3692825,R460,00-00-00,2020-02-29 00:00:00,2013094.0,435563.0,7816.25,10075.0,7816.0,10075.0,Marcy Av,EL392,Marcy Ave & Broadway (SW corner) to Manhattan bound Platform,BKN,J/M/Z,EL,Y,Y,J-M-Z,R460
3692826,R460,00-00-00,2020-02-29 00:00:00,2013094.0,435563.0,15632.5,20150.0,7816.0,10075.0,Marcy Av,EL391,Marcy Ave & Broadway (NW corner) to Jamaica Center bound Platform,BKN,J/M/Z,EL,Y,Y,J-M-Z,R460
3692827,R460,00-00-00,2020-02-29 00:00:00,2013094.0,435563.0,15632.5,20150.0,7816.0,10075.0,Marcy Av,EL392,Marcy Ave & Broadway (SW corner) to Manhattan bound Platform,BKN,J/M/Z,EL,Y,Y,J-M-Z,R460
3692828,R460,00-00-00,2020-02-29 00:00:00,2013094.0,435563.0,23448.75,30225.0,7816.0,10075.0,Marcy Av,EL391,Marcy Ave & Broadway (NW corner) to Jamaica Center bound Platform,BKN,J/M/Z,EL,Y,Y,J-M-Z,R460
3692829,R460,00-00-00,2020-02-29 00:00:00,2013094.0,435563.0,23448.75,30225.0,7816.0,10075.0,Marcy Av,EL392,Marcy Ave & Broadway (SW corner) to Manhattan bound Platform,BKN,J/M/Z,EL,Y,Y,J-M-Z,R460
