,UNIT,SCP,datetime,ENTRIES,EXITS,cleaned_entries,cleaned_exits,entries_diff,exists_diff,station_name,equipment_id,description,borough,subway_lines,equipment_type,ada_compliant,is_active,clean_lines,remote
2606492,R137,00-00-00,2020-02-29 03:00:00,7581741.0,18421612.0,0.0,0.0,,,Myrtle Av / Wyckoff Av,EL396,Gates Ave & Wyckoff Ave (SE corner) to Mezzanine for service in both directions on all lines,BKN,L/M,EL,Y,Y,L-M,R137
2606493,R137,00-00-00,2020-02-29 03:00:00,7581741.0,18421612.0,0.0,0.0,,,Myrtle Av / Wyckoff Av,ES333,Lower Mezzanine to Upper Mezzanine,BKN,L/M,ES,N,Y,L-M,R137
2606494,R137,00-00-00,2020-02-29 03:00:00,7581741.0,18421612.0,0.0,0.0,,,Myrtle Av / Wyckoff Av,ES332,Lower Mezzanine to Upper Mezzanine,BKN,L/M,ES,N,Y,L-M,R137
2606495,R137,00-00-00,2020-02-29 03:00:00,7581741.0,18421612.0,0.0,0.0,,,Myrtle Av / Wyckoff Av,EL397,Mezzanine to L Platform for service in both directions,BKN,L/M,EL,Y,Y,L-M,R137
2606496,R137,00-00-00,2020-02-29 03:00:00,7581741.0,18421612.0,0.0,0.0,,,Myrtle Av / Wyckoff Av,EL398,Mezzanine to M Platform for service in both directions,BKN,L/M,EL,Y,Y,L-M,R137
2606497,R137,00-00-00,2020-02-29 03:00:00,7581741.0,18421612.0,0.0,0.0,0.0,0.0,Myrtle Av / Wyckoff Av,EL396,Gates Ave & Wyckoff Ave (SE corner) to Mezzanine for service in both directions on all lines,BKN,L/M,EL,Y,Y,L-M,R137
2606498,R137,00-00-00,2020-02-29 03:00:00,7581741.0,18421612.0,0.0,0.0,0.0,0.0,Myrtle Av / Wyckoff Av,ES333,Lower Mezzanine to Upper Mezzanine,BKN,L/M,ES,N,Y,L-M,R137
2606499,R137,00-00-00,2020-02-29 03:00:00,7581741.0,18421612.0,0.0,0.0,0.0,0.0,Myrtle Av / Wyckoff Av,ES332,Lower Mezzanine to Upper Mezzanine,BKN,L/M,ES,N,Y,L-M,R137
2606500,R137,00-00-00,2020-02-29 03:00:00,7581741.0,18421612.0,0.0,0.0,0.0,0.0,Myrtle Av / Wyckoff Av,EL397,Mezzanine to L Platform for service in both directions,BKN,L/M,EL,Y,Y,L-M,R137
2606501,R137,00-00-00,2020-02-29 03:00:00,7581741.0,18421612.0,0.0,0.0,0.0,0.0,Myrtle Av / Wyckoff Av,EL398,Mezzanine to M Platform for service in both directions,BKN,L/M,EL,Y,Y,L-M,R137
2606502,R137,00-00-00,2020-02-29 03:00:00,7581741.0,18421612.0,10764.0,13419.5,10764.0,13420.0,Myrtle Av / Wyckoff Av,EL396,Gates Ave & Wyckoff Ave (SE corner) to Mezzanine for service in both directions on all lines,BKN,L/M,EL,Y,Y,L-M,R137
2606503,R137,00-00-00,2020-02-29 03:00:00,7581741.0,18421612.0,10764.0,13419.5,10764.0,13420.0,Myrtle Av / Wyckoff Av,ES333,Lower Mezzanine to Upper Mezzanine,BKN,L/M,ES,N,Y,L-M,R137
2606504,R137,00-00-00,2020-02-29 03:00:00,7581741.0,18421612.0,10764.0,13419.5,10764.0,13420.0,Myrtle Av / Wyckoff Av,ES332,Lower Mezzanine to Upper Mezzanine,BKN,L/M,ES,N,Y,L-M,R137
2606505,R137,00-00-00,2020-02-29 03:00:00,7581741.0,18421612.0,10764.0,13419.5,10764.0,13420.0,Myrtle Av / Wyckoff Av,EL397,Mezzanine to L Platform for service in both directions,BKN,L/M,EL,Y,Y,L-M,R137
2606506,R137,00-00-00,2020-02-29 03:00:00,7581741.0,18421612.0,10764.0,13419.5,10764.0,13420.0,Myrtle Av / Wyckoff Av,EL398,Mezzanine to M Platform for service in both directions,BKN,L/M,EL,Y,Y,L-M,R137
2606507,R137,00-00-00,2020-02-29 03:00:00,7581741.0,18421612.0,21528.0,26839.0,10764.0,13420.0,Myrtle Av / Wyckoff Av,EL396,Gates Ave & Wyckoff Ave (SE corner) to Mezzanine for service in both directions on all lines,BKN,L/M,EL,Y,Y,L-M,R137
2606508,R137,00-00-00,2020-02-29 03:00:00,7581741.0,18421612.0,21528.0,26839.0,10764.0,13420.0,Myrtle Av / Wyckoff Av,ES333,Lower Mezzanine to Upper Mezzanine,BKN,L/M,ES,N,Y,L-M,R137
2606509,R137,00-00-00,2020-02-29 03:00:00,7581741.0,18421612.0,21528.0,26839.0,10764.0,13420.0,Myrtle Av / Wyckoff Av,ES332,Lower Mezzanine to Upper Mezzanine,BKN,L/M,ES,N,Y,L-M,R137
2606510,R137,00-00-00,2020-02-29 03:00:00,7581741.0,18421612.0,21528.0,26839.0,10764.0,13420.0,Myrtle Av / Wyckoff Av,EL397,Mezzanine to L Platform for service in both directions,BKN,L/M,EL,Y,Y,L-M,R137
2606511,R137,00-00-00,2020-02-29 03:00:00,7581741.0,18421612.0,21528.0,26839.0,10764.0,13420.0,Myrtle Av / Wyckoff Av,EL398,Mezzanine to M Platform for service in both directions,BKN,L/M,EL,Y,Y,L-M,R137
2606512,R137,00-00-00,2020-02-29 03:00:00,7581741.0,18421612.0,32292.0,40258.5,10764.0,13420.0,Myrtle Av / Wyckoff Av,EL396,Gates Ave & Wyckoff Ave (SE corner) to Mezzanine for service in both directions on all lines,BKN,L/M,EL,Y,Y,L-M,R137
2606513,R137,00-00-00,2020-02-29 03:00:00,7581741.0,18421612.0,32292.0,40258.5,10764.0,13420.0,Myrtle Av / Wyckoff Av,ES333,Lower Mezzanine to Upper Mezzanine,BKN,L/M,ES,N,Y,L-M,R137
2606514,R137,00-00-00,2020-02-29 03:00:00,7581741.0,18421612.0,32292.0,40258.5,10764.0,13420.0,Myrtle Av / Wyckoff Av,ES332,Lower Mezzanine to Upper Mezzanine,BKN,L/M,ES,N,Y,L-M,R137
2606515,R137,00-00-00,2020-02-29 03:00:00,7581741.0,18421612.0,32292.0,40258.5,10764.0,13420.0,Myrtle Av / Wyckoff Av,EL397,Mezzanine to L Platform for service in both directions,BKN,L/M,EL,Y,Y,L-M,R137
2606516,R137,00-00-00,2020-02-29 03:00:00,7581741.0,18421612.0,32292.0,40258.5,10764.0,13420.0,Myrtle Av / Wyckoff Av,EL398,Mezzanine to M Platform for service in both directions,BKN,L/M,EL,Y,Y,L-M,R137
2606517,R137,00-00-00,2020-02-29 07:00:00,7581847.0,18421806.0,43056.0,53678.0,10764.0,13420.0,Myrtle Av / Wyckoff Av,EL396,Gates Ave & Wyckoff Ave (SE corner) to Mezzanine for service in both directions on all lines,BKN,L/M,EL,Y,Y,L-M,R137
2606518,R137,00-00-00,2020-02-29 07:00:00,7581847.0,18421806.0,43056.0,53678.0,10764.0,13420.0,Myrtle Av / Wyckoff Av,ES333,Lower Mezzanine to Upper Mezzanine,BKN,L/M,ES,N,Y,L-M,R137
