,UNIT,SCP,datetime,ENTRIES,EXITS,cleaned_entries,cleaned_exits,entries_diff,exists_diff,station_name,equipment_id,description,borough,subway_lines,equipment_type,ada_compliant,is_active,clean_lines,remote
3597147,R398,00-00-00,2020-02-29 00:00:00,84953.0,20149.0,0.0,0.0,,,New Utrecht,EL740,Mezzanine to Northbound D Platform,BKN,D/N,EL,Y,Y,D-N,R398
3597148,R398,00-00-00,2020-02-29 00:00:00,84953.0,20149.0,0.0,0.0,,,New Utrecht,EL741,Mezzanine to Southbound D Platform,BKN,D/N,EL,Y,Y,D-N,R398
3597149,R398,00-00-00,2020-02-29 00:00:00,84953.0,20149.0,0.0,0.0,,,New Utrecht,EL738,Street to Northbound N Platform,BKN,D/N,EL,Y,Y,D-N,R398
3597150,R398,00-00-00,2020-02-29 00:00:00,84953.0,20149.0,0.0,0.0,,,New Utrecht,EL739,Street to Southbound N Platform and Mezzanine to D Train,BKN,D/N,EL,Y,Y,D-N,R398
3597151,R398,00-00-00,2020-02-29 00:00:00,84953.0,20149.0,0.0,0.0,0.0,0.0,New Utrecht,EL740,Mezzanine to Northbound D Platform,BKN,D/N,EL,Y,Y,D-N,R398
3597152,R398,00-00-00,2020-02-29 00:00:00,84953.0,20149.0,0.0,0.0,0.0,0.0,New Utrecht,EL741,Mezzanine to Southbound D Platform,BKN,D/N,EL,Y,Y,D-N,R398
3597153,R398,00-00-00,2020-02-29 00:00:00,84953.0,20149.0,0.0,0.0,0.0,0.0,New Utrecht,EL738,Street to Northbound N Platform,BKN,D/N,EL,Y,Y,D-N,R398
3597154,R398,00-00-00,2020-02-29 00:00:00,84953.0,20149.0,0.0,0.0,0.0,0.0,New Utrecht,EL739,Street to Southbound N Platform and Mezzanine to D Train,BKN,D/N,EL,Y,Y,D-N,R398
3597155,R398,00-00-00,2020-02-29 00:00:00,84953.0,20149.0,3100.5,4187.25,3100.0,4187.0,New Utrecht,EL740,Mezzanine to Northbound D Platform,BKN,D/N,EL,Y,Y,D-N,R398
3597156,R398,00-00-00,2020-02-29 00:00:00,84953.0,20149.0,3100.5,4187.25,3100.0,4187.0,New Utrecht,EL741,Mezzanine to Southbound D Platform,BKN,D/N,EL,Y,Y,D-N,R398
3597157,R398,00-00-00,2020-02-29 00:00:00,84953.0,20149.0,3100.5,4187.25,3100.0,4187.0,New Utrecht,EL738,Street to Northbound N Platform,BKN,D/N,EL,Y,Y,D-N,R398
3597158,R398,00-00-00,2020-02-29 00:00:00,84953.0,20149.0,3100.5,4187.25,3100.0,4187.0,New Utrecht,EL739,Street to Southbound N Platform and Mezzanine to D Train,BKN,D/N,EL,Y,Y,D-N,R398
3597159,R398,00-00-00,2020-02-29 00:00:00,84953.0,20149.0,6201.0,8374.5,3100.0,4187.0,New Utrecht,EL740,Mezzanine to Northbound D Platform,BKN,D/N,EL,Y,Y,D-N,R398
3597160,R398,00-00-00,2020-02-29 00:00:00,84953.0,20149.0,6201.0,8374.5,3100.0,4187.0,New Utrecht,EL741,Mezzanine to Southbound D Platform,BKN,D/N,EL,Y,Y,D-N,R398
3597161,R398,00-00-00,2020-02-29 00:00:00,84953.0,20149.0,6201.0,8374.5,3100.0,4187.0,New Utrecht,EL738,Street to Northbound N Platform,BKN,D/N,EL,Y,Y,D-N,R398
3597162,R398,00-00-00,2020-02-29 00:00:00,84953.0,20149.0,6201.0,8374.5,3100.0,4187.0,New Utrecht,EL739,Street to Southbound N Platform and Mezzanine to D Train,BKN,D/N,EL,Y,Y,D-N,R398
3597163,R398,00-00-00,2020-02-29 00:00:00,84953.0,20149.0,9301.5,12561.75,3100.0,4187.0,New Utrecht,EL740,Mezzanine to Northbound D Platform,BKN,D/N,EL,Y,Y,D-N,R398
3597164,R398,00-00-00,2020-02-29 00:00:00,84953.0,20149.0,9301.5,12561.75,3100.0,4187.0,New Utrecht,EL741,Mezzanine to Southbound D Platform,BKN,D/N,EL,Y,Y,D-N,R398
3597165,R398,00-00-00,2020-02-29 00:00:00,84953.0,20149.0,9301.5,12561.75,3100.0,4187.0,New Utrecht,EL738,Street to Northbound N Platform,BKN,D/N,EL,Y,Y,D-N,R398
3597166,R398,00-00-00,2020-02-29 00:00:00,84953.0,20149.0,9301.5,12561.75,3100.0,4187.0,New Utrecht,EL739,Street to Southbound N Platform and Mezzanine to D Train,BKN,D/N,EL,Y,Y,D-N,R398
3597167,R398,00-00-00,2020-02-29 04:00:00,84958.0,20150.0,12402.0,16749.0,3100.0,4187.0,New Utrecht,EL740,Mezzanine to Northbound D Platform,BKN,D/N,EL,Y,Y,D-N,R398
3597168,R398,00-00-00,2020-02-29 04:00:00,84958.0,20150.0,12402.0,16749.0,3100.0,4187.0,New Utrecht,EL741,Mezzanine to Southbound D Platform,BKN,D/N,EL,Y,Y,D-N,R398
3597169,R398,00-00-00,2020-02-29 04:00:00,84958.0,20150.0,12402.0,16749.0,3100.0,4187.0,New Utrecht,EL738,Street to Northbound N Platform,BKN,D/N,EL,Y,Y,D-N,R398
3597170,R398,00-00-00,2020-02-29 04:00:00,84958.0,20150.0,12402.0,16749.0,3100.0,4187.0,New Utrecht,EL739,Street to Southbound N Platform and Mezzanine to D Train,BKN,D/N,EL,Y,Y,D-N,R398
3597171,R398,00-00-00,2020-02-29 04:00:00,84958.0,20150.0,12402.0,16749.0,0.0,0.0,New Utrecht,EL740,Mezzanine to Northbound D Platform,BKN,D/N,EL,Y,Y,D-N,R398
3597172,R398,00-00-00,2020-02-29 04:00:00,84958.0,20150.0,12402.0,16749.0,0.0,0.0,New Utrecht,EL741,Mezzanine to Southbound D Platform,BKN,D/N,EL,Y,Y,D-N,R398
3597173,R398,00-00-00,2020-02-29 04:00:00,84958.0,20150.0,12402.0,16749.0,0.0,0.0,New Utrecht,EL738,Street to Northbound N Platform,BKN,D/N,EL,Y,Y,D-N,R398
3597174,R398,00-00-00,2020-02-29 04:00:00,84958.0,20150.0,12402.0,16749.0,0.0,0.0,New Utrecht,EL739,Street to Southbound N Platform and Mezzanine to D Train,BKN,D/N,EL,Y,Y,D-N,R398
3597175,R398,00-00-00,2020-02-29 04:00:00,84958.0,20150.0,56860.5,50949.25,44458.0,34200.0,New Utrecht,EL740,Mezzanine to Northbound D Platform,BKN,D/N,EL,Y,Y,D-N,R398
3597176,R398,00-00-00,2020-02-29 04:00:00,84958.0,20150.0,56860.5,50949.25,44458.0,34200.0,New Utrecht,EL741,Mezzanine to Southbound D Platform,BKN,D/N,EL,Y,Y,D-N,R398
3597177,R398,00-00-00,2020-02-29 04:00:00,84958.0,20150.0,56860.5,50949.25,44458.0,34200.0,New Utrecht,EL738,Street to Northbound N Platform,BKN,D/N,EL,Y,Y,D-N,R398
3597178,R398,00-00-00,2020-02-29 04:00:00,84958.0,20150.0,56860.5,50949.25,44458.0,34200.0,New Utrecht,EL739,Street to Southbound N Platform and Mezzanine to D Train,BKN,D/N,EL,Y,Y,D-N,R398
3597179,R398,00-00-00,2020-02-29 04:00:00,84958.0,20150.0,101319.0,85149.5,44458.0,34200.0,New Utrecht,EL740,Mezzanine to Northbound D Platform,BKN,D/N,EL,Y,Y,D-N,R398
3597180,R398,00-00-00,2020-02-29 04:00:00,84958.0,20150.0,101319.0,85149.5,44458.0,34200.0,New Utrecht,EL741,Mezzanine to Southbound D Platform,BKN,D/N,EL,Y,Y,D-N,R398
3597181,R398,00-00-00,2020-02-29 04:00:00,84958.0,20150.0,101319.0,85149.5,44458.0,34200.0,New Utrecht,EL738,Street to Northbound N Platform,BKN,D/N,EL,Y,Y,D-N,R398
3597182,R398,00-00-00,2020-02-29 04:00:00,84958.0,20150.0,101319.0,85149.5,44458.0,34200.0,New Utrecht,EL739,Street to Southbound N Platform and Mezzanine to D Train,BKN,D/N,EL,Y,Y,D-N,R398
3597183,R398,00-00-00,2020-02-29 04:00:00,84958.0,20150.0,145777.5,119349.75,44458.0,34200.0,New Utrecht,EL740,Mezzanine to Northbound D Platform,BKN,D/N,EL,Y,Y,D-N,R398
3597184,R398,00-00-00,2020-02-29 04:00:00,84958.0,20150.0,145777.5,119349.75,44458.0,34200.0,New Utrecht,EL741,Mezzanine to Southbound D Platform,BKN,D/N,EL,Y,Y,D-N,R398
3597185,R398,00-00-00,2020-02-29 04:00:00,84958.0,20150.0,145777.5,119349.75,44458.0,34200.0,New Utrecht,EL738,Street to Northbound N Platform,BKN,D/N,EL,Y,Y,D-N,R398
3597186,R398,00-00-00,2020-02-29 04:00:00,84958.0,20150.0,145777.5,119349.75,44458.0,34200.0,New Utrecht,EL739,Street to Southbound N Platform and Mezzanine to D Train,BKN,D/N,EL,Y,Y,D-N,R398
3597187,R398,00-00-00,2020-02-29 08:00:00,84982.0,20155.0,190236.0,153550.0,44458.0,34200.0,New Utrecht,EL740,Mezzanine to Northbound D Platform,BKN,D/N,EL,Y,Y,D-N,R398
3597188,R398,00-00-00,2020-02-29 08:00:00,84982.0,20155.0,190236.0,153550.0,44458.0,34200.0,New Utrecht,EL741,Mezzanine to Southbound D Platform,BKN,D/N,EL,Y,Y,D-N,R398
