,UNIT,SCP,datetime,ENTRIES,EXITS,cleaned_entries,cleaned_exits,entries_diff,exists_diff,station_name,equipment_id,description,borough,subway_lines,equipment_type,ada_compliant,is_active,clean_lines,remote
3486047,R356,00-00-00,2020-02-29 03:00:00,5479139.0,5440232.0,0.0,0.0,,,Ozone Park / Lefferts Blvd,EL462,Lefferts Blvd & Liberty Ave to Mezzanine for service in both directions,QNS,A,EL,Y,Y,A,R356
3486048,R356,00-00-00,2020-02-29 03:00:00,5479139.0,5440232.0,0.0,0.0,,,Ozone Park / Lefferts Blvd,EL463,Mezzanine to Platform for service in both directions,QNS,A,EL,Y,Y,A,R356
3486049,R356,00-00-00,2020-02-29 03:00:00,5479139.0,5440232.0,0.0,0.0,0.0,0.0,Ozone Park / Lefferts Blvd,EL462,Lefferts Blvd & Liberty Ave to Mezzanine for service in both directions,QNS,A,EL,Y,Y,A,R356
3486050,R356,00-00-00,2020-02-29 03:00:00,5479139.0,5440232.0,0.0,0.0,0.0,0.0,Ozone Park / Lefferts Blvd,EL463,Mezzanine to Platform for service in both directions,QNS,A,EL,Y,Y,A,R356
3486051,R356,00-00-00,2020-02-29 03:00:00,5479139.0,5440232.0,19719.0,19037.75,19719.0,19038.0,Ozone Park / Lefferts Blvd,EL462,Lefferts Blvd & Liberty Ave to Mezzanine for service in both directions,QNS,A,EL,Y,Y,A,R356
3486052,R356,00-00-00,2020-02-29 03:00:00,5479139.0,5440232.0,19719.0,19037.75,19719.0,19038.0,Ozone Park / Lefferts Blvd,EL463,Mezzanine to Platform for service in both directions,QNS,A,EL,Y,Y,A,R356
3486053,R356,00-00-00,2020-02-29 03:00:00,5479139.0,5440232.0,39438.0,38075.5,19719.0,19038.0,Ozone Park / Lefferts Blvd,EL462,Lefferts Blvd & Liberty Ave to Mezzanine for service in both directions,QNS,A,EL,Y,Y,A,R356
3486054,R356,00-00-00,2020-02-29 03:00:00,5479139.0,5440232.0,39438.0,38075.5,19719.0,19038.0,Ozone Park / Lefferts Blvd,EL463,Mezzanine to Platform for service in both directions,QNS,A,EL,Y,Y,A,R356
3486055,R356,00-00-00,2020-02-29 03:00:00,5479139.0,5440232.0,59157.0,57113.25,19719.0,19038.0,Ozone Park / Lefferts Blvd,EL462,Lefferts Blvd & Liberty Ave to Mezzanine for service in both directions,QNS,A,EL,Y,Y,A,R356
3486056,R356,00-00-00,2020-02-29 03:00:00,5479139.0,5440232.0,59157.0,57113.25,19719.0,19038.0,Ozone Park / Lefferts Blvd,EL463,Mezzanine to Platform for service in both directions,QNS,A,EL,Y,Y,A,R356
3486057,R356,00-00-00,2020-02-29 07:00:00,5479218.0,5440280.0,78876.0,76151.0,19719.0,19038.0,Ozone Park / Lefferts Blvd,EL462,Lefferts Blvd & Liberty Ave to Mezzanine for service in both directions,QNS,A,EL,Y,Y,A,R356
3486058,R356,00-00-00,2020-02-29 07:00:00,5479218.0,5440280.0,78876.0,76151.0,19719.0,19038.0,Ozone Park / Lefferts Blvd,EL463,Mezzanine to Platform for service in both directions,QNS,A,EL,Y,Y,A,R356
3486059,R356,00-00-00,2020-02-29 07:00:00,5479218.0,5440280.0,78876.0,76151.0,0.0,0.0,Ozone Park / Lefferts Blvd,EL462,Lefferts Blvd & Liberty Ave to Mezzanine for service in both directions,QNS,A,EL,Y,Y,A,R356
3486060,R356,00-00-00,2020-02-29 07:00:00,5479218.0,5440280.0,78876.0,76151.0,0.0,0.0,Ozone Park / Lefferts Blvd,EL463,Mezzanine to Platform for service in both directions,QNS,A,EL,Y,Y,A,R356
3486061,R356,00-00-00,2020-02-29 07:00:00,5479218.0,5440280.0,125046.75,128505.25,46171.0,52354.0,Ozone Park / Lefferts Blvd,EL462,Lefferts Blvd & Liberty Ave to Mezzanine for service in both directions,QNS,A,EL,Y,Y,A,R356
3486062,R356,00-00-00,2020-02-29 07:00:00,5479218.0,5440280.0,125046.75,128505.25,46171.0,52354.0,Ozone Park / Lefferts Blvd,EL463,Mezzanine to Platform for service in both directions,QNS,A,EL,Y,Y,A,R356
